start	end	duration	text
330	2120	1790	.
2920	6120	3200	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7920	10880	2960	"Guten Abend, meine Damen und Herren, das ist die ""Tagesschau""-Hauptausgabe"
11650	13840	2190	vom 9.11. - oder Eleven-Nine, wie es die Amerikaner sagen würden -
14550	16880	2330	am Tag, als ein Donald Trump
17520	19680	2160	zum 45. Präsidenten der USA gewählt worden ist.
20390	22560	2170	Ein Bad in der Menge des krassen Aussenseiters,
23190	25000	1810	wenige Minuten, nachdem klar war: Er, Donald Trump,
25740	31080	5340	der Realitystar und Immobilien-Hai aus New York, hat gewonnen.
31890	34240	2350	Entsetzen, ja Schockstarre bei den Demokraten.
34920	37160	2240	Viele einfach nur fassungslos,
37810	40160	2350	dass es Hillary Clinton nicht geschafft hat.
42370	44360	1990	Donald Trump ist denn auch, kurz nachdem klar war,
45130	47440	2310	dass er gewonnen hat, vor seine Anhänger und Fans getreten,
48100	50650	2550	mit für ihn überraschend versöhnlichen Worten.
51360	54730	3370	Er versprach das, was alle anderen Präsidenten auch schon versprachen,
55350	58450	3100	nämlich, dass er ein Präsident für alle sein wolle:
59180	61930	2750	I pledge to every citizen of our land,
62640	65330	2690	that I will be president for all Americans.
66010	68570	2560	And this is so important to me.
71650	73730	2080	Die Welt ist heute morgen aufgewacht
74360	76330	1970	und wurde Zeuge eines fast unvorstellbaren Szenarios:
77170	80450	3280	Donald Trump, der Fernsehstar und Milliardär, ist gewählt.
81230	84010	2780	Niemand hatte den 70-Jährigen wirklich auf der Rechnung gehabt.
84690	86730	2040	Weder Experten noch Meinungsforscher.
87370	89850	2480	Doch der Mann, der in seinem Wahlkampf v.a. auf Wut setzte,
90520	93650	3130	hat diese Wahlen in der grössten und wichtigsten Demokratie gewonnen.
94400	96530	2130	Und zwar ziemlich eindeutig, mit - Stand jetzt -
97200	98650	1450	71 Elektoren-Stimmen Vorsprung.
99360	102810	3450	Trump kommt auf 289 Elektoren-Stimmen.
103450	104850	1400	Hillary Clinton nur auf 218.
105650	107850	2200	Drei Staaten - hier grau in der Grafik -
108560	109930	1370	sind noch immer nicht fertig ausgezählt.
110520.00000000001	111850	1330	Gemäss CNN könnte es sein,
112530	114130	1600	dass Hillary Clinton die Wahl zwar verloren hat,
114870	116970	2100	jedoch mehr Wählerstimmen als Donald Trump hat.
117670	120010	2340	Dies ändert allerdings nichts am Wahlerfolg von Trump,
120790	123730	2940	der seine Siegesrede kurz nach 9 Uhr Schweizer Zeit hielt.
125400	129130	3730	Es ist nun Zeit für Amerika, die Wunden der Spaltung zu heilen.
129850	132330	2480	Allen Republikanern, Demokraten und Unabhängigen im ganzen Land
133040	135450	2410	sage ich:
136130	141170.00000000003	5040	Es ist an der Zeit für uns, als geeintes Volk zusammenzukommen.
145500	147810	2310	Donald Trump gibt sich präsidial.
148470	149890	1420	Keine Seitenhiebe, keine Beleidigungen
150630	152450	1820	gibt er vor seinen Anhängern von sich.
153200	157370	4170	Dafür macht er aber grosse Versprechen:
158060	160690	2630	Wir werden das Wirtschaftswachstum verdoppeln
161420.00000000003	163810	2390	und die stärkste Wirtschaft der Welt haben.
164460	167290	2830	Gleichzeitig werden wir gut mit allen Nationen auskommen,
168040	170130	2090	die gewillt sind, mit uns auszukommen.
170920.00000000003	173530	2610	Auf Twitter postet Trump ausserdem eine Nachricht an seine Anhänger
174090	175970	1880	und verspricht, dass die
176770	179530	2760	"""vergessenen Männer und Frauen nie mehr vergessen gehen würden""."
180200	182050	1850	Diese feiern seinen Sieg ausgelassen.
182790	184890	2100	Z.B. im wichtigsten Swing State Florida,
185560	188290	2730	den Trump für sich gewinnen konnte.
188960	192210	3250	Niemand hat an Trumps Sieg geglaubt, aber er hat es geschafft.
192890	195290	2400	Ich bin so aufgeregt.
196040	198250	2210	Anfangs habe ich Trump nicht gemocht, aber jetzt liebe ich ihn.
198950	205690	6740	Er ist ein Mann, der den Wandel bringen wird.
207010	209770	2760	Er hat uns einen Neuanfang verspro- chen, und dass die Jobs hierbleiben.
210440	211610	1170	Das ist genau das, was wir brauchen.
212370	215329.99999999997	2960	Ich liebe dieses Land! Danke! Vielen Dank!
217430	220930	3500	Amerika wieder gross zu machen. Das hat Trump im Wahlkampf versprochen.
221640	223970	2330	Jetzt wird sich zeigen, ob er dieses Versprechen einhalten kann.
224670.00000000003	228370	3700	Und ob es ihm gelingt, das gespaltene Land zu versöhnen -
229020	231850	2830	als 45. Präsident der USA.
233960	236050	2090	Die Welt hat sich heute morgen die Augen gerieben -
236680	239130	2450	es wurde ein Mann gewählt, der gegen Frauen, Minderheiten,
239770	241370	1600	Immigranten und das Establishment gewettert hat -
242090	243250	1160	darum die einfach Frage:
244080	245810	1730	Peter Düggeli in Washington, Warum? Warum Trump?
246470	247130	660	Wir untertiteln live:
253200	259130	5930	Er ist gewählt worden,
260610	263410	2800	als er seine eigene Basis überwältigend mobilisieren konnte.
264170	267090	2920	Wir haben oft davon gesprochen.
267780	271130	3350	Es sind die unzufriedenen weissen Männer
271820	275850	4030	aus den Industriestaaten.
276550	279650	3100	Ihnen hat er versprochen, sich für sie einzusetzen.
280370	285010	4640	Und es ist noch etwas anderes:
