start	end	duration	text
2550	4530	1980	.
4770	7570	2800	Liveuntertitelung. Fehler sind möglich.
21930	25410	3480	Guten Abend und willkommen
25630	28890	3260	zu dieser Arena Spezial zum Brexit.
29140	31610	2470	Auf den Trümmern dieses Kontinents wurde sie gebaut,
31730	33570	1840	die Europäische Union.
33850	35930	2080	Nach zwei vernichtenden Weltkriegen.
36140	38250	2110	Eine Union mit zwei Zielen.
38420	40250	1830	Nie wieder Krieg und Wohlstand.
40460	44130	3670	Für den ganzen Kontinenten.
44310	46810	2500	Heute ist die Union vielen ihrer Bürger fremd geworden.
47040	48930	1890	Sie gilt als fremde Macht,
49120	55010	5890	als bürokratisches Ungetüm.
58030	60690	2660	Die Briten ziehen nun die Konsequenzen, die Briten gehen.
60990	63090	2100	Aber wie geht es weiter mit dem Rest der Union?
63350	66410	3060	Diskutieren wir jetzt mit folgenden Gästen:
66710	69850	3140	Frau alt Bundesrätin Micheline Calmy-Rey, früher Aussenministerin,
70060	71850	1790	sie kennt die Europäische Union gut.
72039.99999999999	73930	1890	Aus Österreich angereist:
74140	77010	2870	Johannes Hübner, Parlamentarier der FPÖ.
77300	81050	3750	Ich begrüsse Katja Gentinetta,
81320	85460.00000000001	4140	bekannt durch ihre Tätigkeit beim Think Tank Avenir Suisse.
85670	88340	2670	Georg Kreis, ehemaliger Professor für Geschichte in Basel.
88530	93259.99999999999	4730	Herzlich willkommen.
93370	95380	2010	Die Briten gehen,
95590	99220	3630	die EU bleibt zurück.
99550	102060	2510	Spitzenpolitiker wie der französische Präsident Francois
102380	104620	2240	Hollande versuchten heute die Fassung zu behalten.
104850	107539.99999999999	2690	Sie versuchten es.
107500	109780	2280	Es ist eine schmerzhafte Entscheidung
109870	112500	2630	und ich bedaure sie zutiefst, für Grossbritannien und für Europa.
112700	115900	3200	Aber es ist deren Entscheidung und wir müssen sie respektieren -
116060	120220	4160	zusammen mit allen Konsequenzen daraus.
125720	128020.00000000001	2300	Die Konsequenzen sind zur Sprache gekommen.
128300.00000000001	133300	5000	Ein schmerzhafter Entscheid, sagt er.
133540	136500	2960	Frau alt Bundesrätin, wer ist heute der grosse Gewinner, wer der
136790	138660	1870	Verlierer?
138870	140579.99999999997	1710	Wir stehen vor einer neuen Ausgangslage.
140800	142579.99999999997	1780	Es hängt an der Europäischen Union,
142800	148660	5860	sie hat es in den Händen,
150590	152860	2270	die Massnahmen, die nötig sind, um zu gewinnen.
153060	156620	3560	Es sind alle Optionen offen.
156820	158980	2160	Innerhalb der EU sehen wir jetzt
159180	161579.99999999997	2400	drei verschiedene Visionen,
161790	167500	5710	die sich in dieser Abstimmung gezeigt haben.
167780	170540	2760	Die eine Vision, mehr Solidarität will, zum Beispiel für den
170770	173540	2770	Migranten.
173750	177579.99999999997	3830	Sie will mehr gemeinsame Politiken -
177860	180260	2400	eine Währung ohne Wirtschaftspolitik, eine Grossmacht
180490	182340	1850	ohne Aussenpolitik.
182640	184420	1780	Sie wollen mehr davon.
184620	189380	4760	Eine grössere Integration.
189630	193980	4350	Und die andere Vision legt Priorität auf die nationalen Interessen.
194220	197260	3040	Zum Beispiel Zugang zu grossen Märkten, Grossbritannien aber auch
197470	200140	2670	die Schweiz.
200410	203340	2930	Mehrere Revisionen an diesem historischen Tag, Johannes Hübner,
203500	205340	1840	wer hat heute gewonnen?
205600	208980	3380	Wenn jemand gewonnen hat, dann das englische Volk.
209240	212140	2900	Das hat mal sicher gewonnen, weil ich seine Meinung durchsetzen
212360	214260	1900	konnte.
214490	217340	2850	Das war nicht leicht, sie wurden überschwemmt von einem Tsunami
217579.99999999997	219620	2040	Androhungen und apokalyptischen Szenarien.
