start	end	duration	text
3340	6130	2790	.
6270	10170	3900	1:1-Untertitelung
17300	19330	2030	(Männerstimme im Off) Meine Damen und Herren,
19550	24010	4460	Viktor Giacobbo und Mike Müller. * Applaus *
29590	32009.999999999996	2420	Guten Abend miteinander. - Vielen Dank.
32119.999999999996	34850	2730	Schön, dass ihr bei uns seid.
35070	37930	2860	Aus Appenzell-Ausserrhoden: Dani Ziegler!
38040	44490	6450	* Funkige Bassklänge *
45550	49370	3820	Ja, in dieser Woche: Böhmermann, Erdogan, Merkel.
49520	53290	3770	Das geht uns grundsätzlich am Arsch vorbei,
53450	56370	2920	denn das sind alles Ausländer.
56450	59210	2760	Und bei unserer Themensetzung kennen wir v.a. eines:
59470	63250	3780	Einen absoluten Inländervorrang, nicht wahr, Mike? - Ja.
63410	66890	3480	Der Prozess in Deutschland hat aber auch etwas Gutes.
67030	70570	3540	Angela Merkel musste entscheiden, ob der Prozess zugelassen wird -
70730	72570	1840	hat sie gemacht.
72710.00000000001	75610	2900	Erdogan lernt so, dass Politik und Gerichte
75760	79170	3410	in einer modernen Demokratie voneinander unabhängig sind.
79270	83289.99999999999	4020	Das kennt er ja nicht aus der Türkei, als Ziegenvögler.
85400	91010	5610	Nach wie vor steht Behauptung gegen Behauptung.
91110	93650	2540	Also für einen, der von sich behauptet,
93750	98289.99999999999	4540	dass er nicht so auf Ziegen steht, benimmt er sich unglaublich zickig.
98390	102050	3660	Was schon ein wenig verdächtig ist.
102150	107130	4980	Aber nach wie vor gilt auch für ihn die Unschuldsvermutung.
107259.99999999999	109930	2670	Ja, nur weil einer aussieht wie ein Ziegenficker,
110030	114410	4380	heisst das noch lange nicht, dass er auch ein Ziegenficker ist.
114530	116690	2160	Da muss man wirklich sauber trennen.
116860	119289.99999999999	2430	Vielleicht wäre er ja auch ein wenig entspannter,
119509.99999999999	123810	4300	wenn er mal mit einer Ziege ... lassen wir das.
123960	126130	2170	In der Türkei wird im Moment alles etwas heiss gegessen -
126280	129810	3530	Erdogan wollte auch die neue Heidi-Verfilmung verbieten.
130030	133530	3500	Darauf wurden einfach alle Szenen mit dem Geissenpeter rausgeschnitten,
133690	136570	2880	weil die so leicht erregend sind, und dann geht's.
136790	141090	4300	Aber Fakt ist: Jan Böhmermann wird in Deutschland angeklagt.
141300	146810	5510	Das schleckt keine Geiss weg - auch nicht Erdogans.
147030	150050	3020	Und die schleckt gut.
150200	156010	5810	* Lachen * * Applaus *
162870	166210	3340	Es scheint so, als hätte euch das gefallen.
166360	169530	3170	Aber ich muss doch sagen: Ist das, was Mike eben sagte,
169710	175250	5540	noch Satire oder, extremer gesagt: Ist es noch Satüre, Mike?
175340	179890	4550	Da müsste man jetzt eben Experten fragen, einen Moritz Leuenberger.
180070	182050	1980	Ja, das stimmt,
182230	186710	4480	aber es braucht jetzt einfach eine juristische Aufarbeitung.
186920	189230	2310	Die werden wir auch bekommen, denn Angela Merkel
189370	191830	2460	hat zu Recht beschlossen, dass ein Gericht entscheiden soll,
191960	193230	1270	was da weiter passiert.
193430	195670	2240	Möglicherweise wird sich die Geschichte wiederholen.
195820	197990	2170	"Man sagt ja: ""Wenn sich die Geschichte wiederholt,"
198210	200510	2300	"ist das meistens als Farce."""
200610	205710	5100	Und es gab ja früher schon Staats- oberhäupter, die Sex-Affären hatten,
205820	210110	4290	die dann ausgebreitet wurden - z.B. Bill Clinton.
210280	215070	4790	Evtl. muss Erdogan dann nach dem Gerichtsverfahren
215210	222910	7700	"am Fernsehen sagen: ""I didn't have a sexual relationship with that goat."""
223060	226670.00000000003	3610	Möglicherweise ... Aber die neuste Meldung
226780	231390	4610	könnte auch für eine Schweizer Partei beunruhigend sein:
231600	236190	4590	Offenbar ist doch ein Schweizer Akteur in die Affäre verwickelt.
242440	246350	3910	Man muss abwarten, was das heisst.
249020	252110	3090	Das wird heiss und schwierig, auch juristisch.
252270	256070	3800	Das Tier wurde ja sowieso schon missbraucht. - Ja, natürlich.
256290.00000000003	257950	1660	Wir haben natürlich im Schweizerischen Strafgesetzbuch
258070	261950	3880	auch einen solchen Artikel, Artikel 296.
262040.00000000003	265510	3470	"Das heisst es: ""Wer einen fremden Staat"
265640	269990	4350	in der Person seines Oberhauptes ... - Moment: Nur Fremde?
270110	272670	2560	Also wenn wir unser eigenes Staatsoberhaupt beleidigen,
272790	276750	3960	sind wir straffrei?
276980	281350	4370	Ja, wir müssen sogar unser eigenes Staatsoberhaupt beleidigen,
281510	285110	3600	wir haben eine Bringschuld! - Eben genau.
285260	290830	5570	Aber keine Sorge: Man kann vieles über Johann Schneider-Ammann sagen,
291060	295710	4650	aber er hat nichts mit Ziegen, wirklich nicht.
314700	318750	4050	Was sich sagen lässt: Eine Liebesbeziehung ist es nicht!
318870	320070	1200	Aber ich frage mich:
320260	325510	5250	Hat Erdogan wirklich keine anderen, grösseren Probleme als das hier?
325620	329150	3530	Der hat natürlich in der Türkei - wir wissen es ja,
329330	334750	5420	das ist ein Pulverfass - ganz andere Probleme als Böhmermann.
334980	337950	2970	Also bitte, wenn man die Nachrichten schaut ...
338200	344350	6150	Erdogan hat alleine in der Türkei gegen 200 Verfahren laufen,
344450	346750	2300	weil man ihn beleidigte.
346930	349830	2900	Erdogan unterschreibt mehr Beleidigungsklagen
350010	352990	2980	als Böhmermann Autogrammkarten - das muss man sich mal vorstellen.
353130	355870	2740	Mit Erdogan muss man einfach harte Deals machen,
356010	358510	2500	bei denen die Bedingungen klar, aber fair sind.
358600	361110	2510	Die Deutschen würden Böhmermann besser an die Türkei ausliefern,
361270	367190	5920	wenn Erdogan gleichzeitig noch Frauke Petry und ihre AfD mit aufnimmt.
367370	372150	4780	Gut, die Diskussion darüber, ob das Gedicht primitiv ist
372270	378750	6480	und ob das noch Satire ist oder eine primitüve Satüre ist ...
378900	381910	3010	Die Diskussion erübrigt sich, denn was klar ist:
382030	384790	2760	Das Gedicht war sehr effektvoll.
384900	388350	3450	Da müssen wir nicht mehr gross über Geschmack diskutieren.
388450	392950	4500	Auch die grossen Satire-Versteher nicht, die das jetzt überall tun.
402180	404390	2210	(Spricht Hochdeutsch mit starkem Schweizer Akzent)
404560	408550	3990	Moritz Leuenberger, Sie waren Re- gierungsrat, Nationalrat, Bundesrat,
408710	412590.00000000006	3880	ein citoyen directeur im besten Sinne.
412820	418350	5530	Und als kunstsinniger Mensch sind Sie gleichwohl ein homme de lettres.
418460	422430	3970	In dieser Funktion sind Sie in letzter Zeit auch als Satiriker
422660	426150	3490	und als Satirekritiker in Erscheinung getreten.
426280	431230	4950	Reden wir also über die Klage von Erdogan gegen Böhmermann,
431310	434350	3040	welche ja Angela Merkel in Bedrängnis bringt.
434450	438750	4300	Wie würden Sie entscheiden?
438910	445390	6480	Ja, also äh ... Es ist auf jeden Fall schwierig,
445540	448310	2770	wenn eine Regierungschefin von einem Land
448430	451350	2920	über den Regierungspräsident eines anderen Landes,
451530	454790	3260	also bzw. über seine Klage richten muss.
454940	457590.00000000006	2650	Ich als Bundesrat ...
457700	459510	1810	Ich lebe ja schon länger in Berlin,
459659.99999999994	461750	2090	deswegen spreche ich auch nur Schriftdeutsch,
461920	465830	3910	aber soviel ich weiss, sind Sie nicht mehr Bundesrat.
466060	470310	4250	Also das ist jetzt wieder so eine typische Journalistenbemerkung.
470430	475909.99999999994	5480	"Ich habe mich im deutschen Magazin ""Focus"" hinreichend geäussert"
476020	480510	4490	über die miserable Qualität dieser Böhmermann-Satire.
480650	484910	4260	"Und im ""Tages-Anzeiger"" wurde es dann sogar auch noch gedruckt."
485000	490430	5430	Ich frage Sie: Ist Beleidigung eine Frage der Qualität?
490530	493710	3180	Äh ... ja.
493820	496790	2970	Also, meine eigene Partei hat mich beleidigt,
496900	500390	3490	als sie mich zum Rücktritt drängten.
500510	503830	3320	Gut, zuerst nahm ich es als satirische Provokation wahr,
503990	509030	5040	als schlechte Provokation, aber es war ja auch so schlecht.
