start	end	duration	text
3560	7160	3600	Wer es in New York schafft, der schafft es überall.
7320	11440	4120	"Vom Aargau bis an den Broadway in David Lettermans ""Late Show"":"
11540	14720	3180	Die Schweizer Bluegrass-Musiker Jens und Uwe Krüger, die Krüger Brothers -
17880	21880	4000	hier mit ihrem Freund, Schauspieler und Musiker Steve Martin.
22000	24440	2440	Sie haben es geschafft.
24530	26480	1950	* Fröhliche Banjoklänge *
28910	29640	730	Jens ist einer der Top-Banjo-Spieler im Land. Oder sogar auf der Welt.
37520	41120	3600	Mit ihrer Bluegrass-Musik haben sich die Krüger Brothers
41270	44680	3410	in der amerikanischen Folk-Szene einen Namen gemacht.
47000	49840	2840	Aber in der Schweiz kämpften sie viele Jahre
49950	52360	2410	gegen das Image der singenden Cowboys.
54550	57560	3010	Frustriert machten sich die Krüger Brothers 2003
57710	59680	1970	auf zu den Wurzeln des Bluegrass, um in Amerika einen Neuanfang zu wagen.
69030	71560	2530	Wir machen eine Reise durch die Karriere
71680	73840	2160	und das Leben der Krüger Brothers.
74220	74760	540	Es ist die Geschichte von zwei Schweizern,
76990	79080	2090	die alles auf eine Karte setzten,
79230	81680	2450	um im Land der unbegrenzten Möglichkeiten
81830	84360	2530	endlich ihre musikalische Bestimmung zu finden.
84550	87880	3330	Wir wissen nicht, wie lange wir das machen dürfen,
88110	89680	1570	aber wir dürfen doch einmal im Leben das sein, was wir sind.
92590	94050	1460	MIT TELETEXT-UNTERTITELUNG
108710.00000000001	111570	2860	North Carolina an der Ostküste der USA.
112270.00000000001	116690	4420	In der Nähe der Stadt Wilkesboro lebt Jens Krüger mit seiner Familie
116830	119530	2700	auf einer Farm mit 5 ha Land und Wald.
121510	123530	2020	Ich habe die Leine nicht mit.
123610	128770.00000000001	5160	Ich habe Angst, dass ihn jemand umfährt. Nino, komm her!
129910	131850	1940	Geh nach Hause!
135350	139290	3940	Das ist für mich das, wovon ich immer geträumt habe.
139440	141970	2530	Wenn ich nach Hause komme, sehe ich das.
142190	146690	4500	Wenn ich unterwegs bin, ist es das, was ich vermisse.
146829.99999999997	149730	2900	Wenn ich die Auffahrt hochkomme und da steht unser Haus:
150579.99999999997	152610	2030	Da komme ich heim, und es ist Ruhe.
152710	155090	2380	Ich kann mich auf die Veranda setzen
155230	160610	5380	und mal eine Zigarre rauchen und ein Glas Whisky trinken.
160820	164810	3990	Banjo spielen, komponieren und einfach ... Man hat einfach Ruhe.
169950	174570	4620	Die Krüger Brothers leisten sich auf der Farm ein eigenes Musikstudio.
177480	179450	1970	Wenn nicht getourt wird,
179590	179850	260	dann ist hier der tägliche Treffpunkt für Proben, Aufnahmen und alles,
183580	185650	2070	was mit dem Musikbusiness zu tun hat.
186620	188570	1950	* Sanfte Bluegrass-Musik *
191480	194850	3370	Für die Krüger Brothers ist das Studio ihr zweites Wohnzimmer.
198150	202090	3940	Gitarrist Uwe Krüger und der New Yorker Bassist Joel Landsberg,
202300	206450	4150	der lange in der Schweiz lebte, wohnen in direkter Nachbarschaft.
212470	216730	4260	Die Krüger Brothers betreiben seit einigen Jahren ihr eigenes CD-Label
216880	218890	2010	und produzieren sich selbst.
219210	223170.00000000003	3960	Auch das Management, Marketing und das Booking von Auftritten.
223270	224770	1500	Hier kommt alles aus einer Hand.
225790	227730	1940	Alright, I'll do it as good.
227950	231930	3980	Uns kann niemand sagen, was wir aufzunehmen haben,
232130	234770	2640	wie wir es aufzunehmen und zu produzieren haben.
234920.00000000003	237490	2570	Wir können unsere eigenen Termine setzen.
237600	239770	2170	Unser ganzes Artwork, die Verpackung, bestimmen wir selber.
241520	243890	2370	Das ist natürlich sehr befriedigend.
244600	248690	4090	Das ist eigentlich das wichtigste Instrument für mich.
248790	251090	2300	Es ist das Akkordeon meiner Mutter.
251300	254770	3470	Das hat sie sich von ihrem ersten Geld als Kindergärtnerin gekauft.
