start	end	duration	text
770	2360	1590	.
2350	6890	4540	Diese Sendung wird zu Testzwecken untertitelt.
8170	11930	3760	"ich begrüsse Sie zur ""Tagesschau"", mit diesen Themen:"
13540	19290	5750	Die deutsche Bundesregierung will an der Flüchtlingspolitik festhalten.
21440	24570	3130	Die Türkei vermutet radikale Kurden
24540	27490	2950	hinter dem Anschlag mit mind. 37 Toten.
28890	31490	2600	Die Initianten des bedingungslosen Grundeinkommens
31470	33170	1700	starten ihre Kampagne.
34790	39490	4700	Sonnig ist's nur über 1'600 m, im Süden bewölkt.
42910	46370	3460	In Deutschland pflügt die rechtspopulistische AfD
46360	48210	1850	die Parteienlandschaft um.
48180	51330	3150	Bei den gestrigen Wahlen in drei Bundesländern
51290	53810	2520	hat sie weit über 10 % geholt,
53800	56370	2570	in Sachsen-Anhalt sogar fast ein Viertel der Stimmen.
56350	58690	2340	Damit reicht es in keinem der Länder
58650	61090	2440	für eine Neuauflage der bisherigen Koalition.
61060	62970	1910	"""Merkel muss weg"" -"
62960	67090	4130	mit diesem Wahlslogan lockte die AfD v.a. Nichtwähler an die Urnen.
68600	70250	1650	Es ist zum Weinen:
70240	75610	5370	Tränen der Freude bei den AfD-Anhängern.
75600	80690	5090	Ihre Partei machte mit Ressentiments gegen Flüchtlinge Stimmung -
80650	82330	1680	will sich heute aber nun als grosse Demokratiemaschine,
82300	84530	2230	als Volkspartei gar, verkaufen:
84520	89650	5130	Die AfD hat schon lange den Anspruch erhoben,
89640	94009.99999999999	4370	eine Volkspartei zu sein und das haben wir nicht erst
93990.00000000001	96330	2340	von Wahlen abhängig gemacht, sondern haben unsere Unterstützer
96310	97850	1540	und Mitglieder angeschaut.
97830	100289.99999999999	2460	Wir wissen, dass wir eine breite Bevölkerungsschicht repräsentieren.
100259.99999999999	102690	2430	Das Beispiel Baden-Württemberg zeigt: Der grösste Teil der AfD-Wähler
102670	107490.00000000001	4820	wählt sonst nicht. Von einstigen CDU-Wählern kommt
107450	110170	2720	ein grosser Teil der Stimmen. Weitere Wähler macht die AfD
110130	112170	2040	der SPD, den Grünen, der Linken und der FDP abspenstig -
112150	114130	1980	und zahlreichen anderen Parteien. CSU-Chef Seehofer sieht sich
114120	117490.00000000001	3370	in seinem Anti-Merkel-Kurs in der Flüchtlingsfrage bestätigt
117479.99999999999	120570	3090	und fordert einen Richtungswechel:
138050	140690	2640	Die Flüchtlingspolitik ist der zentrale Punkt.
160840	162250	1410	Wir müssen ständig alles erklären.
173470	175270	1800	Die AfD geht also als klare Siegerin aus der gestrigen Wahl hervor.
175329.99999999997	176870	1540	Adrian Arnold in Berlin:
176960	179150	2190	Verdankt die Partei ihren Erfolg tatsächlich nur
179260	181790	2530	der umstrittenen Flüchtlingspolitik von Kanzlerin Merkel?
181850	184350	2500	Wir untertiteln live:
204180	210190	6010	Flüchtlingspolitik war ausschlaggebend.
221120	222350	1230	Nochmals zurück zur Siegerpartei AfD, die nun in der Hälfte
222470	239440	16970	aller Landesparlamente sitzt. Was bedeutet ihr Triumph konkret?
239490	245480	5990	Der Wahlniederlage nicht stürzen.
251210	257079.99999999997	5870	Dazu Druck wird aber zunehmen.
262610	268600	5990	Der Triumph bedeutet die AfD,
277320	281240	3920	dass sie ein grosses Wählerpotenzial hat.
281510	287400	5890	Sie wird sich vermutlich etablieren können.
291240	297120	5880	Sie muss aber beweisen, dass sie auch Probleme lösen
297240	299930	2690	und nicht nur protestieren kann.
300280	301610	1330	Danke nach Berlin, Adrian Arnold.
302730	304690	1960	Nach dem erneuten Anschlag in der Türkei
304810	306490	1680	ist die Zahl der Toten auf 37 gestiegen.
306610	308930	2320	Mehr als 100 weitere Menschen wurden beim Selbstmordanschlag
309010	310410	1400	im Zentrum der Hauptstadt Ankara verletzt.
310480	312130	1650	Die türkischen Sicherheitsbehörden
312210	313940	1730	müssen sich unterdessen auch
314050	316060	2010	warum sie diesen Selbstmordanschlag einmal mehr nicht verhindert haben.
316170	318020	1850	Die Hintergründe sind noch immer unklar.
318070	319540	1470	Die Regierung macht die PKK dafür verantwortlich.
320850	321940	1090	Der Sprengstoff ist - wie schon beim letzten Mal -
323850	326260	2410	in einem Auto auf einem belebten Platz gezündet worden
326250	328380	2130	und löste Panik und Chaos aus.
328360	331220	2860	Aufgrund der Wahl des Anschlagortes kann davon ausgegangen werden,
331210	337380	6170	dass es die Attentäter gezielt auf Zivilisten abgesehen hatten.
339350	341500	2150	Heute, am Morgen danach, beginnt die Spurensuche.
341490	343300	1810	Die Polizei geht von zwei Selbstmordattentätern aus.
343290	345620	2330	Man habe unter den Toten eine PKK-Kämpferin identifiziert.
345580	351580	6000	Die Bewohner Ankaras sind entsetzt und zunehmend verunsichert.
355080	359900	4820	Es gibt keine Garantien mehr, man ist nirgends mehr sicher.
359890	362260	2370	Diese Leute machen, was sie wollen.
362230	364450	2220	Wenn sie sogar im Herzen Ankaras zuschlagen,
364430	369970	5540	wie kann man da noch sicher sein.
371850	375170	3320	Schon in der Nacht auf heute hat die türkische Luftwaffe reagiert
375150	379330	4180	und Angriffe auf PKK-Stellungen im Nordirak geflogen.
379320	382410	3090	Und die Regierung hat - zur Vorbereitung weiterer Einsätze -
382380	387050	4670	in kurdischen Städten in der Südost- Türkei Ausgangsperren verhängt.
387010	389730	2720	Man will mit aller Härte gegen die Terroristen vorgehen,
389710	393850	4140	auch wenn weitere Anschläge damit kaum zu verhindern sind.
395060	396970	1910	Und wir bleiben im Ausland.
396940	399250	2310	In Brasilien haben über 3 Mio. Menschen
399210	401250	2040	gegen Korruption demonstriert.
405430	407730	2300	Allein in Sao Paolo sind mehr als 1,4 Mio. Menschen
407710	409890	2180	auf die Strasse gegangen.
409860	412610	2750	Sie fordern den Rücktritt von Staatspräsidentin Dilma Rousseff,
412590.00000000006	414490	1900	gegen die im Parlament auch
414450	416770	2320	ein Amtsenthebungsverfahren wegen Korruptionsverdachts hängig ist.
416730	418730	2000	Rousseffs Koalitionspartnerin im Parlament -
418710	421010	2300	die rechtsliberale Partei der Demokratischen Bewegung -
420970	423890	2920	will innerhalb eines Monats entscheiden,
423850	426210	2360	ob sie das Bündnis beendet.
427490	429570	2080	Auch wenn sie zerbrechlich ist -
429540	433490	3950	die Waffenruhe in Syrien hält immerhin schon seit zwei Wochen.
433470	438090	4620	Dank ihr ist der Alltag, wie hier in Aleppo, teilweise zurückgekehrt.
438050	440890	2840	Händler verkaufen wieder das nötigste an Ware -
440870	443370	2500	inmitten der zerstörten Stadt.
443340	446770	3430	Doch trotz solcher Lichtblicke:
446760	449090	2330	Von Frieden ist das Land weit entfernt.
449050	452490	3440	Die Konfliktparteien hatten bis jetzt lediglich darüber verhandelt,
452450	456010	3560	ob sie weiter miteinander verhandeln wollen.
456000	458170	2170	immerHeute aber gibt es in Genf
458159.99999999994	460480	2320	einen neuen Versuch von Friedensverhandlungen.
461300	463560	2260	Der UNO-Sondervermittler Staffan de Mistura
463530	466240	2710	eröffnet die Anfang Februar ausgesetzten Verhandlungen
466220	468040	1820	mit einer Ermahnung.
468030	469800	1770	Die Kriegsparteien müssten sich einigen,
469760	473280	3520	eine Alternative gebe es nicht.
473250	476640	3390	Aus meiner Sicht wäre der einzige Plan B,
476620	482360	5740	wieder Krieg zu führen - und zwar noch schlimmer als zuvor.
484400	487680	3280	Um das zu verhindern, verhandelt de Mistura vorerst getrennt
487660	490520	2860	mit den Assad-Anhängern und der Opposition,
490490	492880	2390	weil die Fronten so verhärtet sind.
492840	495680	2840	Die Gespräche sind für zwei Wochen angesetzt.
497200	499120	1920	UNO-Friedensvermittler Staffan de Mistura
499880	502520	2640	versucht das bisher Unmögliche,
502610	505320	2710	nämlich konkret über die politische Zukunft Syriens zu verhandeln.
505400	507960	2560	Alexandra Gubser, werden sich die Konfliktparteien überhaupt
508050	511280	3230	auf dieses Gesprächsthema einlassen? Wir untertiteln live:
519770	524920	5150	momentan sieht es leider nicht danach aus.
525080	527480	2400	Das erklärte Ziel des Westens ist die Bildung einer
527610	530880	3270	Übergangsregierung
531030	537000	5970	und danach freie Wahlen innerhalb von 18 Monaten.
539010	541920	2910	Baschar al-Assad soll in dieser Übergangszeit keinen Platz mehr
542020	544080	2060	haben.
544170	550000	5830	Er ist also dagegen.
550690	556640	5950	Gestern in Paris hat der syrische Aussenminister erklärt,
557210	563080	5870	Baschar al-Assad sei nicht verhandelbar.
565140	568440	3300	Bereits vor zwei Jahren hat sich das syrische Regime in dieser Frage
568530	571360	2830	nicht bewegt.
571530	574880	3350	Dieses Jahr sind sie militärisch am längeren Hebel.
575570	577880	2310	Da besteht also wenig Hoffnung für die Betroffenen im Land -
578000	579880	1880	auch nicht für die vielen Kinder,
579980	583640	3660	die laut einem UNICEF-Bericht offenbar besonders leiden?
590260	590920	660	Das ist.
593170	599080	5910	Das ist so.
600090	603800	3710	Ich ist das Münsterland für die Kinder.
611940	616520	4580	Ich ist das schlimmste Land für die Kinder.
616680	622040	5360	Die Kinder kennen nur Angst und Gewalt.
622180	623920	1740	Jedes dritte Kind ist im Krieg.
627420	628120	700	Vielen Dank für diese erste Einschätzung, Alexandra Gubser.
628970	631320	2350	Die beschleunigten Asylverfahren sind nicht nur schneller,
631450	632600	1150	sondern auch noch gerechter und günstiger.
632730	634600	1870	Zu diesem Schluss kommen die Abschlussberichte
634710	636440	1730	zum Testbetrieb für das beschleunigte Verfahren in Zürich.
637080	639240	2160	An einer Medienkonferenz in Bern
639260	641080	1820	gibt das Staatssekretariat für Migration bekannt:
641140	642880	1740	Die Asylverfahren im Testbetrieb
642970	644400	1430	konnten um knapp 40 % schneller durchgeführt werden.
645280	652320	7040	Die in Zürich getesteten Asylverfahren
656490	658320	1830	Die in Zürich getesteten Asylverfahren
658440	661680	3240	sind Teil der Asylgesetzrevision, die am 5. Juni zur Abstimmung kommt.
661810	665280	3470	Die SVP hat das Referendum gegen das Gesetz ergriffen,
665370	668000	2630	Die Partei kritisiert v.a. die kostenlose Rechtsvertretung
668090	671320	3230	für Asylbewerber im beschleunigten Verfahren.
673840	675920	2080	Ganz egal, ob jemand arbeitet oder nicht:
676090	677840	1750	Mit dem bedingungslosen Grundeinkommen
677940	680560	2620	soll jeder seinen Bedarf zum Leben bekommen,
680690	684200	3510	monatlich einen fixen Beitrag, zur freien Verfügung.
684310	687480	3170	Von den Initianten als Modell für die Zukunft gepriesen,
687570	690080	2510	von den Kritikern als Utopie abgetan.
690250	693560	3310	Am 5. Juni kommt die Vorlage zur Abstimmung.
693680	695360	1680	Heute haben die Initianten sie vorgestellt -
695570	698480	2910	und die Kampagne mit einer Provokation
698620	700440	1820	im morgendlichen Pendlerverkehr gestartet.
700550	702480	1930	Aus Bern, Christoph Nufer.
704480	708160	3680	10er-Noten umgewandelt zu Flyern für ein bedingungsloses Grundeinkommen.
708240	709880	1640	Nicht schlecht staunten die Passanten,
710040	713080	3040	als ihnen heute Morgen im Hauptbahnhof Zürich Bargeld
713110	715040	1930	verteilt wurde.
715140	717080	1940	Ein Denk-Anstoss.
717160	719000	1840	Jeder Erwachsene mit Wohnsitz
719210	721800	2590	soll 2'500 Franken erhalten für seinen Grundbedarf.
721890	723160	1270	Ob er arbeitet oder nicht.
723270	726200	2930	Denn Arbeit werde mit der Robotisierung künftig knapp
726280	727480	1200	sagten die Initianten -
727580	729240	1660	eine Gruppe aus Künstlern, Publizisten und Intellektuellen
729320	732400	3080	- später in Bern.
741130	746960	5830	Es braucht dieses bedingungslose Grundeinkommen.
798900	800320	1420	So utopisch die Idee tönen mag.
800410	809000	8590	Das bedingungslose Grundeinkommen sei jetzt auch im Ausland ein Thema.
809090	815000	5910	In Finnland, Holland und in Kanada
815090	816640	1550	sind solche Versuche geplant.
817710	819120	1410	Ein Einkommen für alle. Bedingungslos.
819230	820760	1530	Parlament und Bundesrat lehnen die Vorlage über die
820870	822120	1250	am 5. Juni abgestimmt wird deutlich ab.
822950	824960	2010	Und hier noch die Wirtschaftsdaten:
825000	828080	3080	Bitte beachten Sie die Grafik.
837220	841320	4100	Noch nie sind die Europäische Raumfahrtorganisation
841280	845520	4240	und ihr russisches Pendant mit einer Sonde erfolgreich
845480	848560	3080	auf dem Mars gelandet. Das soll sich nun ändern.
848560	852160	3600	Seit heute ist die Raumsonde ExoMars mit Schweizer Beteiligung
852130	853960	1830	unterwegs zum roten Planeten.
853960	856160	2200	Vor rund zwei Stunden ist die Trägerrakete
856130	858840	2710	vom russischen Weltraumbahnhof Baikonur in Kasachstan gestartet.
858830	861320	2490	Nach Angaben der Kontrollzentrale im deutschen Darmstadt
861300	865120	3820	sind die bisherigen Phasen des Flugs planmässig verlaufen.
865080	868080	3000	Mithilfe eines Satelliten und eines Landemoduls
868040	872640	4600	will die ExoMars-Mission nach Spuren von Leben auf dem Mars suchen.
872610	876360	3750	Mit dabei ist auch eine Hightech-Kamera der Universität Bern.
876320	880360	4040	Mitte Oktober soll die Mission den Mars erreichen.
882380	885840	3460	Der Nebel macht dem Mittelland vielerorts auch heute zu schaffen -
885810	887560	1750	"mehr zum Wetter gleich in ""Meteo""."
887520	889920	2400	"Die ""Tagesschau"" ist um 18 Uhr zurück."
889890	892520	2630	Machen Sie's gut und auf Wiedersehn.
892490	896560	4070	SWISS TXT / UT-Redaktion Zürich Bettina Hagmann, Tanja Morana
