start	end	duration	text
1500	1610	110	Eine Welt zwischen Tradition und Moderne
1750	1850	100	.
6490	9530	3040	Vom Mittelmeer bis tief ins Herz Asiens.
10200	12010	1810	Ein Netz berühmter Handelswege.
12760	16210	3450	Eine legendären Route, entstanden vor mehr als 2'000 Jahren.
18350	20690	2340	Eine Welt zwischen Tradition und Moderne
21310	22890	1580	Die Seidenstrasse.
23550	25650	2100	MIT TELETEXT-UNTERTITELUNG
29960	32930	2970	Von einem solchen Abenteuer hatte ich stets geträumt.
38510	40490	1980	Venedig, Canal Grande.
41200	43250	2050	Hier beginnt meine fantastische Reise.
44370	46370	2000	* Imposante Klänge *
53840	57010	3170	Auf einer der nördlichen Routen der Seidenstrasse
57680	59410	1730	folge ich den Spuren und dem Mythos
60080	63930	3850	des venezianischen Händlers und Abenteurers Marco Polo.
67290	69250	1960	* Imposante Klänge *
80039.99999999999	83650	3610	Meine Reise führt mich von Venedig nach Istanbul,
84330	86530	2200	quer durch den südlichen Kaukasus,
87240	92090	4850	durch Zentralasien bis ins chinesische Xi'an -
93200	95250	2050	durch eine Welt im Umbruch.
98229.99999999999	100009.99999999999	1780	Zahlreiche Spuren hier
100759.99999999999	103850	3090	zeugen von der venezianischen Handelstradition mit Asien.
104910	106610	1700	Un cammello.
107920	111570	3650	Kamele, Pferde und Schiffe haben schon vor zwei Jahrtausenden
112270.00000000001	115970	3700	Tee, Porzellan oder Seide hierher nach Europa gebracht.
117539.99999999999	121090	3550	Und in der Gegenrichtung sind begehrte europäische Produkte
121710	122650	940	nach Asien gelangt.
123350	125130	1780	Aber auch Philosophien und Religionen
125830	130210.00000000001	4380	wurden über die verschiedenen Routen der Seidenstrasse ausgetauscht.
137000	139690	2690	Am Corte del Milion stand einst
140340	142930	2590	das Haus der venezianischen Händlerfamilie Polo.
143620	147770	4150	Wissenschaftler streiten sich zwar, ob Marco Polo China je erreicht hat.
148390	149850	1460	Unbestritten aber ist:
150520	153690	3170	Der Venezianer, der einst hier hinter diesen Mauern gelebt hat,
154320	156730	2410	er hat wie wohl kein anderer dazu beigetragen,
157480	159410	1930	dass die Seidenstrasse zum Inbegriff
160120	163610	3490	für den jahrhundertealten Handels- und Kulturaustausch
164329.99999999997	166210	1880	zwischen Asien und Europa geworden ist.
167380	169329.99999999997	1950	* Schiffshorn *
170490	174810	4320	Riesige Kreuzfahrtschiffe spucken regelmässig Tausende Tagestouristen
175450	176850	1400	an Land.
177510	179130	1620	Die Passagiere dieser Monsterschiffe
179770	182370	2600	verstopfen die Plätze und Gassen der Lagunenstadt.
182970	185450	2480	Sie sind aber gleichzeitig willkommene Kunden.
187240	189930	2690	Ich mache mich auf zu einem der Venezianer,
190660	193530	2870	der sich bei der Rialtobrücke mit seiner sog. Bancarella
194200	197290	3090	neben den chinesischen Händlern immer noch behaupten kann.
200470	202290	1820	Venezianische Halbmasken
203000	205770	2770	sind die Spezialität von Alessandro Massalongo.
206430	208490	2060	Masken aus italienischer Herstellung.
209160	211810	2650	Er verkauft aber auch preisgünstigere aus China.
212480	216250	3770	Dem wirtschaftlichen Druck aus Fernost kann eben auch Alessandro
216829.99999999997	218329.99999999997	1500	nicht ganz ausweichen.
218920.00000000003	222170.00000000003	3250	Queste qua sono le unice che ho che sono fatte in Cina.
223040	225410	2370	Hier in Venedig dreht sich alles ums Geld.
226120	229010	2890	Leute, die wenig älter sind als ich, haben alles verkauft.
229570	231370	1800	Es genügte ihnen, das Geld zu nehmen,
232079.99999999997	235030	2950	die venezianische Tradition ist ihnen nicht wichtig.
235720	238750	3030	Die Chinesen machen es heute wie die Italiener vor 50 Jahren,
239480	242550	3070	als die Italiener in die ganze Welt reisten, weil es hier nichts gab.
243270	245990	2720	Sie arbeiteten und arbeiteten und legten das Geld beiseite.
246680	248390	1710	So verläuft die Entwicklung weltweit.
248980	250430	1450	Wo bleiben dabei die Stärken,
251080	252950	1870	die eigentlichen Interessen der Italiener?
254200	257670.00000000003	3470	Schöne Frage. Heute, wie es ist, nirgends.
258320	261149.99999999997	2830	Auch die Italiener haben inzwischen Fabriken in China.
261779.99999999997	263510	1730	So bezahlen sie weniger und schaffen es,
264200	266070	1870	mit der chinesischen Konkurrenz mitzuhalten.
266740	270670	3930	Die italienische Stärke? Die List - in Italien.
272380	277470	5090	Der Markusplatz. So kennt man Venedig von den Ansichtskarten.
279440	282830	3390	Seit ein paar Jahren übernehmen hier immer mehr Chinesen
283550	286080	2530	venezianische Geschäfte, Bars oder Restaurants.
286650	290240	3590	An einem der westlichen Endpunkte der Seidenstrasse
290890	293040	2150	werden also nicht nur Waren aus Asien gehandelt,
293690	296520	2830	hier mischen mittlerweile immer mehr Menschen aus Fernost
297150	298840.00000000006	1690	selbst in der Geschäftswelt mit.
301950	306640	4690	Die Unternehmerin Xiao Fei Gao mit dem italienischen Übernamen Laura
307280	309920	2640	stammt aus Wenzhou bei Shanghai.
316230	319440	3210	Ihre Brüder und ihre Schwester leben ebenfalls hier.
320040	323560	3520	Die Tochter Jessica und ihr Bruder sind in Venedig geboren.
324260	326680	2420	Wenn Jessica erwachsen ist, möchte die Mutter nicht,
327260	329200	1940	dass sie einen Italiener heiratet.
331330	333280	1950	Einen Italiener?
333909.99999999994	335760	1850	Wenn's nach mir geht, nein.
336340.00000000006	339840.00000000006	3500	Ich sage nicht, die Italiener seien gut oder schlecht.
340500	344340.00000000006	3840	Aber ich bevorzuge unsere Landsleute.
344970	348540	3570	Es ist einfacher, zusammen zu reden, sich kulturell zu verstehen.
349170	352260	3090	Mit einem Italiener braucht das mehr Zeit, meiner Meinung nach.
352930	356420	3490	In der Calle dei Fabbri, einer Seitengasse zum Markusplatz,
357150	359980	2830	besitzt Laura gleich drei Geschäfte samt der Liegenschaften.
360560	361780	1220	Hier ihre Pizzeria Oasi.
367750	371750	4000	Wenn die Arbeit ohne die Besitzer gemacht wird, geht das nicht gut.
372360	374590	2230	Klar, auch die Angestellten arbeiten tüchtig,
375270	378150	2880	aber es braucht immer ein wachsames Auge.
378830	382190	3360	Der Chef muss da sein, sonst ändert sich alles.
382850	385790	2940	Sonst arbeiten die Angestellten drei Tage in der Woche
386510	388270	1760	und vier bleiben sie zu Hause. Stimmt doch.
388880	392750	3870	Denn ich muss ja den Lohn bezahlen, es ist ja nichts gratis.
394350	396190	1840	Lauras jüngere Schwester Eva
396870	401590.00000000006	4720	verkauft in einem Accessoires-Laden italienische Originalprodukte.
405700	408390	2690	Das chinesische Credo in der Geschäftswelt hier:
409000	411750	2750	Die ganze Familie arbeitet stets mit.
414540	418070	3530	Laura besucht hier den Luxus-Kinderkleiderladen,
418790	420510	1720	den ihr jüngerer Bruder Leon führt.
421170	422910	1740	Die meisten Kunden fragen hier offenbar,
423560	427460	3900	ob all die teuren Kinderartikel echt oder vielleicht gefälscht sind.
428300	430940	2640	Besonders kritisch sind chinesische Kunden.
431540	434580	3040	Sie sehen in China, dass es dort massenhaft Fälschungen gibt.
435240	437460	2220	Dann kommen sie hierher und wollen wissen:
438110	439300	1190	Sind die echt oder gefälscht?
439960	442700	2740	In Venedig trifft man auf viele chinesische Waren,
443410	445820	2410	aber auch auf chinesisches Personal.
446470	447820	1350	Ich reise weiter.
448440	450140	1700	Zuerst nach Istanbul, an den Bosporus,
450760	452460	1700	ans europäische Tor zu Asien.
453100	455260	2160	* Spannende, orientalische Klänge *
457270	460420	3150	Hier tauche ich in eine orientalische Welt ein.
461610	465180	3570	Europa und Asien liegen an der engsten Stelle des Bosporus
465909.99999999994	467820	1910	nur 700 m voneinander entfernt.
468550	472460	3910	Im Austausch zwischen diesen beiden Kontinenten nimmt Istanbul,
473130	477060	3930	das einstige Konstantinopel, seit jeher eine wichtige Stellung ein.
478290	480220	1930	* Orientalische Klänge *
486490	490460	3970	Es ist die besondere Atmosphäre zwischen Orient und Okzident,
491040	493820	2780	die mich in Istanbul in ihren Bann zieht.
495150	497220	2070	Im Grossen Basar der Stadt
497800	500190	2390	wird seit Jahrhunderten geschäftet und gefeilscht.
500860	502830	1970	Hier sind die Geschichte des Handels,
503530	505150	1620	aber auch dessen Veränderungen spürbar.
505810	507270	1460	* Sanfte, orientalische Klänge *
512950.00000000006	517750	4800	Ein Antiquitätenhändler begleitet mich ein Stück weit durch den Basar.
518640	520870	2230	Ich erkläre ihm, was mich persönlich
521480	523990	2510	an mechanischen Qualitätsuhren fasziniert.
524660	525910	1250	Und dass es mich überrascht,
526630	529230	2600	hier so viele Fälschungen von Schweizer Uhren zu sehen.
529840	532830	2990	Für Laien ist auf den ersten Blick kaum erkennbar,
533440	535590	2150	dass es sich hier um Fälschungen handelt.
536240	537550	1310	Yes. - 150 euros.
538150	541350	3200	"""Ja klar, die kommen aus China"", meint der junge Verkäufer."
541940	543590	1650	Die kosten 150 Euro das Stück.
544260	547590	3330	Es sei den Uhren zwar kaum anzusehen, aber es sei doch klar,
548240	549630	1390	dass es Fälschungen seien.
550190	552150	1960	You know and I know. - Yes, of course.
552830	554630	1800	So, that's fine. - Thank you.
555190	557390	2200	* Rhythmische, orientalische Klänge *
559010	561430	2420	Ich verlasse das moderne Istanbul
562080	564350	2270	und begebe mich auf den asiatischen Kontinent,
565000	567150	2150	nach Anatolien, ins türkische Hinterland,
567850	569510	1660	in eine wiederum ganz andere Welt.
570070	571510	1440	* Zughupe *
577190	579430	2240	Weiter geht es mit dem Zug.
580190	582030	1840	* Sanfte, orientalische Klänge *
599440	603800	4360	Ist die Türkei ein europäisches oder ein asiatisches Land?
604380	606680	2300	Ein euro-asiatisches allenfalls?
607510	611760	4250	Immer wieder wird darüber gestritten, ob die Türkei zu Europa gehört.
612430	614480	2050	Die wirtschaftlichen Fakten sprechen dafür.
615190	618040	2850	Gesellschaftlich wird der Graben zwischen westlichen Werten
618640	621600	2960	und jenen, die Präsident Erdogan vertritt, aber immer grösser.
622790	624800	2010	* Sanfte, orientalische Klänge *
627340	629240	1900	* Zughupe *
635770	638640	2870	Dilek Yaja und ihre Schwester Salihanur Ekici
639350	642240	2890	sitzen schon seit Stunden mit mir im selben Waggon.
642900	644640	1740	Zu meiner Überraschung sind sie es,
645310	647880	2570	die das Gespräch, den Kontakt mit mir gesucht haben.
648450	651840	3390	Und wir beschliessen, gemeinsam mit unserer Türkisch-Dolmetscherin
652480	654040	1560	den Speisewagen aufzusuchen.
656490	660040	3550	Dilek ist Mutter einer schulpflichtigen Tochter.
660620	663640	3020	Sie selbst befasst sich in einem Fernkurs mit Psychologie.
664290	668720	4430	Sie versteht sich als Muslimin, die selbstbewusst an ihrer Zukunft baut,
669430	672800	3370	traditionell im Äussern, etwas moderner in den Ideen.
673440	675760	2320	Ich denke nicht in Schablonen.
676400	678440	2040	Niemals. Ich bin offener.
679040	681440	2400	Frau zu sein, heisst zuerst einmal, Mutter zu sein.
682130	683560	1430	Selbstlos zu sein.
684230	687520	3290	Selbstlos zu sein heisst, etwas zu erreichen, indem man teilt.
688230	691880	3650	Dazu muss man arbeiten. Arbeiten heisst, ich brauche eine Ausbildung.
692450	694920	2470	Für eine Ausbildung muss man kämpfen, daran glauben.
695500	699520	4020	Und wenn man all dies fühlt, gibt es nichts, das man nicht schaffen kann.
700160	701840	1680	Weshalb trägt sie das Kopftuch?
702490	704840	2350	Das ist für mich kein Persönlichkeitsvorbild,
705550	708320	2770	sondern meine Meinung aus religiöser Sicht.
708970	711400	2430	Es macht mich stolz, das Kopftuch zu tragen.
712000	714840	2840	Es ist kein Hindernis für mich, meine Ziele zu erreichen.
715530	718880	3350	Es genügt, etwas erreichen zu wollen. Der Wille zählt.
719580	722840	3260	Sie leben also als Frau in einer muslimischen Welt,
723500	727240	3740	kämpfen dabei aber für gewisse Freiheiten?
727910	731650	3740	Natürlich, alles hat seinen Platz, absolut.
732280	734250	1970	Mein Glaube ist meine persönliche Wahl.
735030	737890	2860	Nichts kann mich daran hindern, meinen Glauben auszuüben.
738460	741650	3190	Aber das heisst nicht, dass ich meine Freiheit verlieren will.
742230	743770	1540	Alles hat seine Grenzen.
744320	747250	2930	Wenn es darauf ankommt, kann ich von meiner Freiheit opfern.
747890	750890	3000	Und wenn es darauf ankommt, opfere ich von meinem Glauben.
751730	753850	2120	Thank you very much. - Thank you.
754620	758410	3790	Es sind weniger die restriktiven Kleidervorschriften,
759120	761810	2690	es ist offenbar mehr die zugewiesene Geschlechterrolle,
762450	765210	2760	mit der sich Dilek Yaja immer wieder mal schwertut.
768650	771970	3320	Wir nähern uns den Bergen bei Erzurum.
772650	776050	3400	Die Stadt und das Tal hier liegen auf 1'900 m ü.M.
783360	785410	2050	* Sanfte Klänge *
790510	793130	2620	Am nächsten Tag, kurz nach Sonnenaufgang,
793870	797690	3820	besuchen wir in der Nähe von Erzurum den Hof der Familie Tikici.
798410	801770	3360	Hier tauche ich ein in die bäuerliche Welt Anatoliens.
802400	806570	4170	Die Bauern im kleinen Dorf Orta treiben ihre Kühe zum Dorfausgang
807150	809170	2020	und von dort auf die Weide.
