start	end	duration	text
950	2900	1950	.
3580	6300	2720	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7010	9620	2610	"Die ""Tagesschau"" - meine Damen und Herren, guten Abend."
10250	13100	2850	Der vermisste F/A-18-Kampfjet ist gefunden:
14140	20140	6000	Die F/A-18 ist abgestürzt - nach dem Piloten wird weiter gesucht.
21120	28580	7460	Der Bund rechnet mit 25 % mehr Verkehr bis 2040.
29840	36500	6660	Apple muss 13 Mrd. Euro an Irland nachzahlen.
37860	44220	6360	Das Naturalien-Kabinett im Kloster Einsiedeln wird restauriert.
45380	49980	4600	Lokal kann es auch etwas regnen.
51480	55020	3540	Seit gestern wurde er vermisst - jetzt ist er geortet:
55820	59420	3600	Als sich heute gegen Mittag die Nebeldecke im Sustengebiet lichtete,
60220	63900	3680	kamen Wrackteile des abgestürzten F/A-18-Kampfjets zum Vorschein.
64599.99999999999	67620	3020	Die F/A-18 war gestern in Meiringen im Berner Oberland gestartet.
68340	69700	1360	Vom Militärflugplatz aus
70500	72620	2120	flog sie in einer Zweier-Patrouille Richtung Osten.
73350	75460.00000000001	2110	4 Min. später brach der Kontakt plötzlich ab,
76140	79700	3560	die F/A-18 zerschellte an der Westflanke des Hinter Tierbergs.
80320	82660	2340	Nach dem Piloten wird weiter gesucht.
83920	87860	3940	Eine Archivaufnahme des Hinter Tierbergs von Westen her gesehen.
88640	91310	2670	Wenig unterhalb der Krete ist die F/A-18 zerschellt.
92039.99999999999	95390	3350	Die Absturzstelle liegt in einem relativ grossen Bergkessel,
96110	100950	4840	oberhalb des Gletschers in einer steilen Felswand.
101640	103950	2310	Felix Stoffel, der Chef des Berufsfliegerkorps,
104700	108789.99999999999	4090	konnte sich von der Luft aus ein Bild der Absturzstelle machen:
109509.99999999999	114590	5080	Knapp unter der Krete im Fels war eine geschwärzte Stelle sichtbar,
115310	118830	3520	mit wenigen, sehr kleinen, knapp erkennbaren Trümmerteilen.
119560	122150	2590	In der Richtung, aus der das Flugzeug gekommen ist,
122790	127870	5080	mit wenigen, sehr kleinen, knapp erkennbaren Trümmerteilen.
128539.99999999999	130389.99999999999	1850	In der Richtung, aus der das Flugzeug gekommen ist,
131110	132710	1600	auf der Westseite, etwas mehr,
133520	135270	1750	aber auch sehr kleine, schwer erkennbare Trümmerteile
135990	137430	1440	hinter der Krete, also auf der Ostseite.
138240	139590	1350	Als die F/A-18 gestern am späten Nachmittag
140280	141550	1270	in einer Zweier-Patrouille gestartet war,
142310	143950	1640	lag über dem Übungsgelände südlich des Sustenpasses
144630	145910	1280	eine dicke Wolkendecke.
146640	148870	2230	Die Armee beschreibt das als normale Wetterlage für Flugübungen,
149610	151070	1460	Sichtkontakt hatten die Jets aber nicht.
151770	153990	2220	4 Min. nach dem Start gab es keinen direkten Kontakt mehr zum Jet,
154710	157150	2440	kurz wurde aber noch ein Notsignal empfangen:
157920.00000000003	159870	1950	Die Dauer war aber zu kurz,
160590	166430	5840	um eine genaue Lokalisation oder Identifikation zu ermöglichen,
167170.00000000003	170630	3460	ob das überhaupt von diesem Flugzeug stammte.
171350	175120	3770	Wetterbedingt blieb auch die Suche per Helikopter lange erfolglos.
175720	178000	2280	Erst rund 20 Std. nach dem Kontaktabbruch
178730	181320	2590	wurde die Absturzstelle von der Luft aus gesichtet.
182070	183960	1890	Höchste Priorität hat nun die Bergung des Piloten,
184650	186440	1790	der nach wie vor vermisst wird.
188240	191600	3360	Den ganzen Tag haben die Suchtrupps nach dem Piloten gesucht.
192310	194640	2330	Mirjam Spreiter, was ist im Moment der Stand der Dinge?
195210	197000	1790	Wir untertiteln live:
203690	207079.99999999997	3390	Obwohl heute das Wetter besser ist als gestern,
207640	213040	5400	erschwert es auch heute die Suche.
213770	218720	4950	Bereits vor 18:00 Uhr musste die Suchaktion eingestellt werden.
219460	224880	5420	Die Rettungskräfte sagen, die Sicht sei schlecht.
225480	227440	1960	Zudem herrsche Lawinengefahr.
228130	229960	1830	Gibt es denn noch Hoffnung,
230760	238520	7760	besteht die Möglichkeit, dass der Pilot überlebt hat?
239320	244520	5200	Mit jeder Stunde, die vergeht, schwindet die Hoffnung.
246020	249000	2980	Die grosse Frage ist, ob es sich mit dem Schleudersitz aus dem
249730	251400	1670	Flugzeug retten konnte.
252130	257480.00000000003	5350	Keines der Notsignal hat funktioniert.
258200	261399.99999999997	3200	Eines davon befand sich im Cockpit, das andere am Schleudersitz,
262089.99999999997	266160	4070	ein weiteres am Piloten selber.
266920	268960	2040	Alle scheinen zerstört worden zu sein.
274760	277480	2720	Auch Bundesbern zeigt sich nach dem F/A-18-Unglück bestürzt.
278170	279600	1430	Aber nach dem Absturz kommt auch die Diskussion
280310	282000	1690	um die Beschaffung neuer Kampfflugzeuge wieder in Gang.
282720	284280	1560	Mitglieder der Sicherheitspolitischen Kommissionen
284990	286560	1570	des National- und des Ständerats erklärten heute,
287270	289680	2410	wie es nun mit den Kampfjets der Luftwaffe weitergehen soll:
290510	294080	3570	Wenn jetzt immer weiter Flugzeuge verloren gehen, dann führt das dazu,
294720	296080	1360	dass die heute noch fliegenden Flugzeuge
296770	300000	3230	noch mehr zum Einsatz kommen, also noch intensiver genutzt werden.
300760	303640	2880	Die nächste Flugzeugbeschaffung wird eine Grossbeschaffung sein.
304290	308090	3800	Ich gehe davon aus, dass wir über fünf Staffeln reden müssen.
308840	312090	3250	Das wären dann 55 Kampfflugzeuge, die dann auch den F/A-18 ablösen,
312800	319610	6810	um unsere Luftwaffe für die Zukunft auch wieder richtig aufzustellen.
320350	322530	2180	Die momentane Anzahl Flugzeuge
323330	326410	3080	reicht für die luftpolizeilichen Aufgaben und gewisse Übungen.
327120	330860	3740	Man sollte sich eher in Richtung Kooperationen orientieren,
331530	335500	3970	und nicht aufgrund des Ausfalls einzelner Jets
336230	339620	3390	eine neue Flotte beschaffen.
340360	344060	3700	Ständerat Alex Kuprecht geht davon aus, dass der Evaluationsprozess
344750	350330	5580	für die F/A-18 Nachfolge bis 2021 abgeschlossen ist.
350980	356330	5350	Es muss ein seriöses Prüfungs- verfahren vorgenommen werden,
357060	359010	1950	damit dann auch später die richtigen Entscheidungen
359780	362330	2550	im Bundesrat und im Parlament getroffen werden können.
363040	367410	4370	Eine Beschleunigung wäre meines Erachtens nicht zielführend.
368110	370210	2100	Wir reden ja schon seit längerer Zeit
370880	372810	1930	von der Beschaffung neuer Kampfjets.
373600	376660	3060	Denn wir wissen, dass auch die F/A-18 ältere Flugzeuge sind.
377310	379900	2590	Aus meiner Sicht wird nun die Beschaffung dringender
380590	382330	1740	und sollte möglichst beschleunigt werden.
383600	387390	3790	Politisch ist der vielzitierte Dichtestress
387970	389890	1920	ein höchst emotionales Thema.
390590	394210	3620	Auf den Schweizer Strassen dürfte er bald greifbare Realität werden.
394940	397450	2510	Die zuständigen Bundesbehörden erwarten bis im Jahr 2040
398200	401210	3010	deutlich mehr Autos, mehr Menschen und mehr Waren auf der Strasse -
401870	406610	4740	25 % mehr. Ein Ausbau der Infra- struktur sei deshalb dringend nötig.
407370	409180	1810	Fritz Reimann hat die Details.
410250	414060	3810	Im Bahnhof Bern zeigen Pfeile die Gehrichtung an.
414790	417659.99999999994	2870	Ein Versuch, das immer dichtere Gedränge zu entflechten.
418440	421540	3100	Doch in Zukunft werden die Schweizer noch häufiger unterwegs sein.
422370	427590	5220	Bis 2040 wird der Personenverkehr auf Schiene und Strasse um 25 % zunehmen,
428240	431670	3430	der Güterverkehr um 37 %.
432410	434990	2580	Diese Szenarien unterstellen, dass sich der Trend fortsetzt.
435610	437950	2340	Es sind also keine politischen Massnahmen unterstellt,
