start	end	duration	text
200	3240	3040	Wir Schweizer sind ein bewaffnetes Volk.
3220	5600	2380	Der Nationalheld hat eine Armbrust
5580	8280	2700	und ein richtiger Schweizer Mann hat sein Sturmgewehr zu Hause -
8240	11440	3200	zumindest so lange, bis es die EU nicht verbietet.
11420	13400	1980	Aber wollen wir das wirklich?
13380	15120	1740	Wollen wir so viele Waffen haben
15110	17520	2410	und so viele Waffen in alle Welt verkaufen?
17500	20280	2780	"Das ist die Frage und das ist die ""Arena""."
22100	35880	13780	1:1-Untertitelung
38250	41400	3150	"(Offstimme) Heute in der ""Arena"":"
41380	45200	3820	Werner Salzmann, Schütze und SVP-Nationalrat sagt:
45180	48480	3300	"""Das Sturmgewehr gehört zum Schweizer Soldaten."""
48450	52200	3750	"""Die EU kann uns da überhaupt nichts diktieren""."
52200	55680	3480	Chantal Gallade, Nationalrätin SP, findet:
55650	58880	3230	"""Weniger Waffen, das ist eine gute Idee."""
58850	63440	4590	"""Je weniger Waffen zu Hause sind, desto sicherer ist die Schweiz."""
63420	67640	4220	Jakob Büchler, Schütze und CVP-Nationalrat, sagt:
67610	71000	3390	"""Die Schützen wissen, wie man mit Waffen umgeht."""
70980	75160	4180	"""Ausserdem brauchen wir eine starke Schweizer Rüstungsindustrie."""
75140	78480	3340	Jo Lang, Gruppe für eine Schweiz ohne Armee, sagt:
78470	80400	1930	"""Es ist ein Skandal,"
80380	83320	2940	"dass die Schweiz Waffen in Krisenregionen verkauft."""
83280	86480	3200	"""Das verträgt sich nicht mit der Neutralität""."
86470	88600	2130	Ausserdem im Studio:
88560	92600	4040	Christoph Stückelberger, Ethiker der Universität Basel.
92580	95479.99999999999	2900	Und Fabian Ochsner vom Rüstungskonzern Rheinmetall,
95470	98759.99999999999	3290	der früheren Oerlikon Contraves.
98740.00000000001	102080	3340	"Die ""Arena"", moderiert von Jonas Projer."
102060	103880	1820	Guten Abend miteinander.
103880	106400	2520	Vielen Dank, dass Sie hier sind, verehrte Gäste.
106400	110160	3760	Vielen Dank, liebes Publikum, und danke Ihnen zu Hause,
110150	114320	4170	"liebe Zuschauerinnen und Zuschauer - Willkommen in der ""Arena""."
114280	118160	3880	Werner Salzmann, wie viele Waffen haben Sie zu Hause?
118140	122360	4220	Sechs: ein Sturmgewehr, einen Karabiner, ein Standardgewehr,
122350	125440	3090	ein Luftgewehr, eine Pistole und noch eine kleine Luftpistole.
125420	128240.00000000001	2820	Herr Salzmann, wenn bei Ihnen zu Hause Terroristen einbrechen,
128210.00000000001	130320	2110	dann könnten sie gerade eine ganze Truppe bewaffnen.
130289.99999999999	133120	2830	Das können sie nicht, die Waffen sind in einem Tresor eingeschlossen.
133080	136560	3480	Jo Lang, wie gefährlich ist ein Mann mit sechs Schusswaffen zu Hause?
136540	138920.00000000003	2380	Ich glaube, Herr Salzmann
138890	141680	2790	ist auch mit sechs Schusswaffen nicht gefährlich,
141660	144079.99999999997	2420	aber wir haben in unserem Land das Problem,
144050	146880	2830	dass wir erstens viel zu viele Waffen haben
146840	149360	2520	und dass zweitens nur ein kleiner Teil dieser Waffen
149329.99999999997	151480	2150	in einem Tresor sind.
151460	153360	1900	Stellen Sie sich vor, ein Soldat,
153320	155480	2160	der seine Waffe nach Hause nehmen darf,
155470	158400	2930	müsste noch einen Tresor bauen lassen,
158380	160640	2260	der doch mehr als 1'000 Fr. kostet.
160610	165640	5030	"Dann wäre wahrscheinlich unser Ziel, ""die Ordonnanzwaffe ins Zeughaus"","
165620	167840	2220	leicht erreicht.
167810	169900	2090	(Werner Salzmann) Über dieses Thema haben wir schon oft gesprochen,
169890	172180	2290	Herr Lang, das ist heute kein Thema mehr.
172170.00000000003	174540	2370	Die Schützen bewahren die Waffen separat zu Hause auf
174510	177300	2790	und damit besteht überhaupt keine Gefahr mehr.
177260	179340	2080	Die Sicherheit ist gewährleistet.
179310	182380	3070	Frau Gallade, wie gefährlich ist dieser Mann mit sechs Waffen?
182340	184820	2480	Bei ihm habe ich keine Angst.
184800	187020	2220	Aber es geht grundsätzlich darum, dass wir in der Schweiz
186990	189700	2710	eine der höchsten Schusswaffendichten überhaupt haben.
189680	192420	2740	Dank den genannten Massnahmen
192400	195380	2980	ist zwar die Zahl der Schusswaffentoten gesunken,
195370	197420.00000000003	2050	das war ein Erfolg,
197380	202900	5520	aber trotzdem gab es letztes Jahr in der Schweiz 222 Schusswaffentote.
202860	205220	2360	Das korreliert mit der Waffendichte:
205200	208780	3580	je mehr Waffen, desto mehr Schuss- waffentote, und das ist nicht nötig.
208760	212980	4220	(Jakob Büchler) Aber weil es in der Schweiz Schützen und Soldaten gibt,
212960	216420.00000000003	3460	haben wir zum Glück die richtigen Leute an diesen Waffen.
216400	220380	3980	Für mich als Schütze ist es ohnehin ein Sportgerät und nicht eine Waffe.
220370	224660	4290	Als Soldat war es für mich auch die Waffe, um unser Land verteidigen.
224620	227420.00000000003	2800	Wir wurden als Soldaten ausgebildet.
227400	229980	2580	Wir bilden unsere Jungschützen und Schützen
229960	232579.99999999997	2620	ebenfalls aus an diesem Sportgerät,
232560	235500	2940	ob es eine Pistole oder ein Gewehr ist, spielt keine Rolle.
235490	238900	3410	Wichtig ist: Ein junger Mensch kommt irgendwann in seinem Leben
238860	241420	2560	mit einer Waffe in den Kontakt.
241390	245060	3670	Dann will ich einen Jungschützen, der weiss, dass es Gefahren gibt,
245040	248260	3220	der weiss, wie man mit einem Gewehr umgeht.
248220	249940	1720	Deswegen muss man uns die nicht wegnehmen.
249900	251580	1680	Herr Büchler, ich zweifle nicht daran,
251550	254380	2830	dass die Mehrheit - zum Glück - mit der Waffe richtig umgehen kann.
254360	255620	1260	Trotzdem: In jungen Jahren
255600	257380	1780	bin ich in Wohngemeinschaften ein- und ausgegangen
257360	258899.99999999997	1540	und habe gesehen, dass eine Waffe
258890	261740	2850	auch mal im Schirmständer aufbewahrt wird oder irgendwo.
261730.00000000003	263420	1690	Und das ist ja schlicht nicht notwendig,
263390	265900	2510	denn die Armeewaffe oder andere Waffen
265880	268760	2880	dürfen zu Hause nicht gebraucht werden,
268740	271240	2500	man würde sich strafbar machen.
271220	273200	1980	Also hat die Waffe zu Hause auch nichts verloren.
273170	276280	3110	Denn die Gefahr eines Missbrauchs besteht, sei es durch Affekttaten,
276280	279560	3280	durch ein Kind oder, wie es Herr Projer vorhin sagte,
279540	282600	3060	durch einen Einbruch, bei dem die Waffe entwendet wird.
282560	285920	3360	Die Schusswaffendichte in der Schweiz ist schlicht ein Sicherheitsrisiko.
285880	287560	1680	(Jakob Büchler) Überhaupt nicht!
287540	292159.99999999994	4620	Mit meinem Sportgerät gehe ich in den Schützenstand,
292140	294440	2300	übe dort meinen Sport aus.
294430	297080	2650	Für mich ist völlig klar, dass ich die Waffe zu Hause nicht brauche,
297050	299040	1990	dafür gehe ich in den Schützenstand.
299010	300840	1830	Also ein Sportgerät wie ein Fussball oder ein Tennisschläger -
300820	302440	1620	oder eben ein Sturmgewehr.
302410	304160	1750	Ist das alles dasselbe? - Genau, genau.
304140	306320	2180	(Werner Salzmann) Sie wollen damit sagen, dass ein Soldat,
306290	308840	2550	der im Militär das Vertrauen bekommt, eine Waffe zu tragen,
308820	311840	3020	um im Notfall die Zivilbevölkerung zu verteidigen,
311830	314440	2610	wenn er die Waffe zu Hause hat, plötzlich zu einer Gefahr wird?
314420	317960	3540	Das ist eine Verallgemeinerung und ein Generalsverdacht
317920	320240	2320	über alle Schützen und Wehrmänner.
320210	322480	2270	Wir haben die Traditionen der Schweiz,
322460	324040	1580	dass diese Waffen zu Hause sind.
324010	327080	3070	Das führt zu einer besseren Mobilität und einer besseren Bereitschaft,
327040	329240	2200	das gehört zu unserer Milizarmee.
329230	332600	3370	Und das Prinzip Milizarmee wurde vom Volk unterstützt, mehrfach.
332590.00000000006	335440	2850	Und die Waffen-Initiative wurde auch klar abgelehnt.
335420	337840.00000000006	2420	Ich will lieber Sicherheit als Folklore.
337800	342080	4280	Und es geht hier wirklich nicht gegen die Wehrmänner, es geht darum,
342070	345080	3010	dass es leider immer wieder tragische Fälle gibt.
345070	347280	2210	Der bekannteste ist wahrscheinlich der Fall Rey-Bellet,
347250	350320	3070	als es mit der Armeewaffe einen Familienmord gab.
350280	354530	4250	Es gab die junge Frau vom Hönggerberg, die erschossen wurde,
354500	357250	2750	weil die Armeewaffe mit nach Hause gegeben wurde.
357210	359490	2280	Ich würde gerne sehen, wie Sie diesen Eltern und Angehörigen
359470	361650	2180	in die Augen schauen und sagen können:
