start	end	duration	text
550	2140	1590	.
2340	3900	1560	Guten Abend.
3990	5660	1670	Sie kommen über das Mittelmeer,
5820	7500	1680	sie kommen nach Europa, sie kommen in die Schweiz.
7660	9340	1680	Zehntausende von Flüchtlingen jedes Jahr.
9480	11140	1660	Schaffen wir das als Land, sie aufzunehmen?
11360	13990	2630	"Und wenn ja, wie? Das ist die ""Arena""."
17670	28670	11000	1:1-Untertitelung
30580	34390	3810	"Stimme aus dem Off: In der ""Arena"" diskutieren:"
34600	37790	3190	Lukas Reimann, SVP-Nationalrat sagt:
38020	40270	2250	"""Asylbewerber müssen nicht integriert werden""."
40500	43750	3250	"""Sie müssen das Land möglichst schnell verlassen""."
44150	47790	3640	"""Falsch"", sagt Susanne Hochuli, Aargauer Regierungsrätin der Grünen."
47940	52430	4490	"""Asylbewerber müssen integriert werden, auch in den Arbeitsmarkt""."
52510	55510	3000	"""Sonst landen sie in der Sozialhilfe""."
55720	57750	2030	Gerhard Pfister, Nationalrat der CVP sagt:
57890	60150	2260	"""Wir müssen genauer hinschauen""."
60330	62150	1820	"""Wenn die Heimatländer wieder sicher sind,"
62320	64269.99999999999	1950	"sollten diese Leute auch wirklich gehen""."
64500	66830	2330	Und Cedric Wermuth, Nationalrat der SP sagt:
66940	68870	1930	"""Seien wir doch ehrlich:"
69000	71789.99999999999	2790	"Viele vorläufig Aufgenommene bleiben für immer bei uns""."
71920	74789.99999999999	2870	"""Und das ist auch gar kein Problem""."
74960.00000000001	78270	3310	"Die ""Arena"" moderiert von Jonas Projer."
78430	81190	2760	Vielen Dank, herzlich willkommen, Sie zu Hause.
81350	83550	2200	"Herzlich willkommen, Sie im Studio zur ""Arena""."
83750	89270	5520	Lukas Reimann, haben Sie eine lebendige Fantasie?
92170	94789.99999999999	2620	Ich würde sagen,
94880	98190	3310	dass sich ein sehr realistischer und realitätsnaher Politiker bin.
98350	100390	2040	Stellen Sie sich folgendes Szenario vor:
100530	102430	1900	Sie wären heute am 1. Mai
102590	104750	2160	als Asylbewerber in der Schweiz angekommen.
104870	110150	5280	Was wäre Ihnen zuallererst am wichtigsten?
110320	113509.99999999999	3190	Wenn ich ein echter Asylbewerber wäre,
113600	115950	2350	wäre es für mich das wichtigste, dass sich geschützt bin.
116090	118030	1940	Und ich bin der Meinung,
118080	120510	2430	dass diese echten Asylbewerber hierbleiben können.
120660	123390	2730	Mir wäre wichtig, dass ich nicht mehr an Leib und Leben bedroht bin.
123490	125630	2140	Dann wäre ich der Schweiz dankbar, dass sie mir Schutz bietet.
125800	127950	2150	Wenn ich aber einer wäre - und das wäre ich nicht -,
127990	129750	1760	der die Schweiz ausnützen will und kommt,
129949.99999999999	132110	2160	um hier ein schöneres Leben zu haben,
132290	134510	2220	würde ich vorher im eigenen Land für bessere Verhältnisse kämpfen.
134690	136910	2220	Anstatt einfach in ein anderes Land zu gehen und zu versuchen,
137079.99999999997	140190	3110	mir auf Kosten von diesem ein schöneres Leben zu machen.
140390	143310	2920	Frau Hochuli, wenn Sie an diesem Freitag ankommen würden?
143480	145470	1990	Dann würde ich mir wünschen,
145570	148590	3020	dass sich so schnell wie möglich ein normales Leben führen kann.
148700	151870	3170	Dass ich finanziell unabhängig wäre.
151960	154790	2830	Denn das macht mich auch unabhängig von Leuten,
154950	157950	3000	auf deren Hilfe und Unterstützung ich ständig angewiesen wäre.
158010	160630	2620	Ich hätte gern Sicherheit.
160720	163950	3230	Und ich würde gerne in die Gesellschaft integriert werden.
164040	166070	2030	D.h. auch eine soziale Integration.
166290	169750	3460	Herr Pfister, brauchen Sie Ihre Fantasie?
169840	174790	4950	Wenn ich heute als Flüchtling oder als Asylbewerber
174870	176990	2120	in die Schweiz gekommen wäre, würde ich sehr schnell merken,
177110	180030	2920	dass viele Erwartungen und Versprechungen,
180200	183350	3150	die mir gemacht wurden und auch ein Grund dafür sind,
183520	185670	2150	warum ich in die Schweiz gekommen bin, nicht so sind,
185840	189510	3670	wie es mir dort, wo ich weggereist bin, gesagt wurde.
189730	191750	2020	Oder dort, wo ich den Weg auf mich genommen habe,
191840	193910	2070	um in das selige Land zu kommen.
194030	196990	2960	Die Realität ist auch für diese relativ schnell relativ hart.
197160	199790	2630	Dann wäre das erste Gefühl Enttäuschung?
199950	204550	4600	Wenn ich ausschliesslich Schutz an Leib und Leben brauche,
204720	208230	3510	dann bin ich froh, dass ich in einem sicheren Land wie die Schweiz bin.
208370	212070	3700	Wenn ich auf der Suche nach einer menschenwürdigen Existenz bin,
212110	214310	2200	einer wirtschaftlich guten Existenz,
214430	216430	2000	dann würde ich relativ schnell merken,
216600	218430	1830	dass es in der Schweiz nicht so einfach ist,
218530	220310	1780	wie ich es vielleicht erwartet habe.
220520	224350	3830	Herr Wermuth, was würden Sie erwar- ten, wenn Sie tatsächlich ankämen?
225560	227990	2430	Ich finde es ein bisschen müssig, über Fantasien zu diskutieren.
228030	229829.99999999997	1800	Aber ich kann Ihnen sagen, was die Leute sagen,
