start	end	duration	text
10790	13400	2610	MIT TELETEXT-UNTERTITELUNG
16410	20480	4070	# Dene, wos guet geit, giengs besser,
20700	23360	2660	# giengs dene besser, wos weniger guet geit.
23490	25440	1950	# Was aber nid geit,
25700	28840	3140	# ohni dass's dene besser geit, wos weniger guet geit.
29970	33720	3750	# Drum geit weni, für dass es dene besser geit,
33850	35800	1950	# wos weniger guet geit.
35990	40840	4850	# Und drum geits o dene nid besser, wos guet geit.
42060	44440	2380	Guten Abend, liebe Zuschauerinnen, liebe Zuschauer.
46000	47920	1920	Geht es Ihnen gut?
48150	51240	3090	Ich weiss, es geht nicht allen Schweizern gleich gut,
51360	54120	2760	aber die meisten können sich viel leisten.
54300	57840	3540	Und doch stellt das Lied von Mani Matter Fragen an uns.
58820	59480	660	"""Dene, wos guet geit, giengs besser."""
61420	63520	2100	Es könnte uns also besser gehen.
63620	65640	2020	Und dafür müsste es aber
65730	68600	2870	auch anderen besser gehen, und uns etwas weniger gut?
68720	70880	2160	Ich glaube, diese Aussage hat was.
71050	74440	3390	Ich denke z.B. daran, dass die Schweiz in den letzten Jahren
74860	79039.99999999999	4180	zu einer der wichtigsten Drehscheiben des internationalen Rohstoffhandels
79170	81000	1830	geworden ist.
81150	83280	2130	Obwohl wir kaum Bodenschätze haben,
83460.00000000001	87450	3990	verdienen Bergbau- und Handelsfirmen Milliarden mit diesen Ressourcen.
87539.99999999999	89970	2430	Hingegen bleiben die Förderländer oft arm
90450	94050	3600	und haben mit Korruption, Menschenrechtsverletzungen
94140	96450	2310	und Naturproblemen zu kämpfen.
97300	101970	4670	Der Segen ihrer Bodenschätze wird für diese Länder zum Ressourcenfluch.
103810	104530	720	Haben Sie schon gehört, dass verschiedene Organisationen
107780	110570	2790	und Politiker jetzt darum mehr Transparenz fordern
110720	112650	1930	in diesem Milliardengeschäft?
112810	116490.00000000001	3680	Geldflüsse und Vertragsbedingungen sollen offengelegt werden,
116670	119009.99999999999	2340	damit es weniger zu Veruntreuung kommt.
119180	119490.00000000001	310	Aber nicht nur die Rohstofffirmen stehen in der Pflicht.
123100	126050	2950	Es geht um unsere Kultur und unser Verhalten.
126160	129810	3650	Wir brauchen ja diese Rohstoffe für unseren Lebensstandart.
129900	132370	2470	Und wir profitieren von dem vielen Geld,
132500	134450	1950	das in der Schweiz mit dem Handel vermehrt wird.
136180	139890	3710	Mir scheint, dass eine der wichtigsten Eigenschaften des Geldes
140100	144530	4430	immer mehr verloren geht: mensch- liche Bedürfnisse zu befriedigen.
145650	148170.00000000003	2520	Diese und unsere eigene Bedürftigkeit
148329.99999999997	149490	1160	müssen wieder vermehrt im Zentrum des Lebens und des Wirtschaftens stehen.
153210	155890	2680	Wir sind doch alle aufeinander angewiesen.
156050	159810	3760	Es ist ein Geben und Nehmen. Darin gibt es genug für alle.
159970	163740	3770	Davon ist die jüdisch-christliche Tradition voll überzeugt.
164820	168270	3450	Nach biblischem Verständnis heisst gutes Leben kein Anhäufen,
168540	172310	3770	sondern ein ständiges Fliessen und Verteilen von Ressourcen,
172340	174670.00000000003	2330	Eigenschaften und Möglichkeiten.
174880	177750	2870	Und davon gibt eine unermessliche Fülle,
177860	179470	1610	an der alle teilhaben sollen.
181140	183710	2570	Warum kaufen Sie Brot, das gar keins ist?
183900	188230	4330	Und warum geben Sie Ihr Geld aus für Sachen, die niemanden satt machen?
188330	190270	1940	Warum machen wir das?
191540	194550	3010	Diese Fragen stammen übrigens nicht von mir, nein, sie sind schon uralt.
195770	198320	2550	Der Prophet Jesaja stellte sie seinen Leuten.
198410	200720	2310	Wir können uns wirklich fragen,
200870	204400	3530	ob uns der grosse Verbrauch von Ressourcen zufriedener stellt.
204600	208200	3600	Könnte es nicht sein, dass weniger Material weniger Stress,
208380	209600	1220	weniger unnötigen Ballast und weniger Unruhe bedeuten würde,
212150	214079.99999999997	1930	dafür mehr Gerechtigkeit?
214750	217480	2730	Die Ressourcen würden jenen zur Verfügung stehen,
217670.00000000003	220400	2730	die sie für ihre Entwicklung dringend brauchen.
220590	223400	2810	Ja, weniger könnte für uns wirklich mehr sein
223520	224520	1000	und v.a. viel mehr für alle.
228290	230480	2190	Ich wünsche Ihnen einen gesegneten Sonntag.
232490	236000	3510	SWISS TXT / UT-Redaktion Zürich Jasmin La Micela - 2014
