start	end	duration	text
2430	4220	1790	.
4340	13820	9480	1:1-Untertitelung
16000	17780	1780	(Männerstimme im Off) Meine Damen und Herren,
18020	20780	2760	Viktor Giacobbo und Mike Müller. * Applaus *
20940	23540	2600	Hallo! * Jubel, Applaus *
24840	26420	1580	Was ist los?
27620	30220	2600	Guten Abend miteinander. - Danke schön. Guten Abend.
30400	33260	2860	Wir begrüssen aus Appenzell Ausserrhoden Dani Ziegler.
33420	37220	3800	* Fetzige Musik *
41390	44100	2710	Gestern Abend oder auch während des ganzen Tages
44290	46980	2690	war es unheimlich spannend für die ganze Nation,
47070	52500	5430	weil die neuen Präsidenten zweier Parteien gewählt wurden -
52580	54780	2200	von der CVP und der SVP.
54980	61180	6200	Bis zur Wahl wusste niemand genau, wer das Rennen machen würde.
61330	62260	930	Wahnsinn.
62370	64260.00000000001	1890	Bei der CVP hoffte man,
64420	70100	5680	und am Schluss wurde dann wirklich Gerhard Pfister CVP-Präsident.
70289.99999999999	74020	3730	Gerhard Pfister wurde gewählt? - Ja, klar, gestern.
74130	77460.00000000001	3330	Klar. Sehr erfolgreich und ...
77539.99999999999	79940	2400	Aber in den letzten sechs Monaten las ich so viele Artikel über ihn.
80180	83980	3800	Ich dachte, es seien Nachrufe, und er würde jetzt abtreten.
84170	88420	4250	Nein, er wurde natürlich gewählt. - Hatte er Gegenkandidaten?
88570	93500	4930	Ja, einen sehr starken: Gerhard Pfister.
93700	95060	1360	Aha. * Lachen *
95250	97340	2090	Und gewählt wurde dann ... - ... Gerhard Pfister.
97430	98780	1350	Ja, ja, ja.
98950	103259.99999999999	4310	Und wie war es bei Albert Rösti? Hatte er Gegenkandidaten?
103400	107780	4380	Ja, in der SVP hatte er sehr starke Gegenkandidaten,
107979.99999999999	110500	2520	u.a. Albert Rösti.
110650	113380	2730	Und gewählt wurde ... - ... auch Albert Rösti.
113539.99999999999	115620	2080	... Albert Rösti, ja. - Ja, genau.
115800	118780	2980	Vor einer Woche hat die FDP ... - Es war unglaublich spannend.
118930	121100	2170	... ihre Präsidentin ... - Ja, Petra Gössi wurde gewählt.
121280	122860	1580	Und hatte sie auch Gegenkandidatinnen?
