start	end	duration	text
990	2510	1520	.
2610	6270	3660	1:1-Untertitelung
7240	9470	2230	Guten Abend, meine Damen und Herren.
9650	12030	2380	"Hier ist die ""Tagesschau"", und das sind die Themen heute Freitag."
13050	17990	4940	Nach 3 Jahren Geiselhaft ist der 49-jährige Schweizer wieder zu Hause.
19240	24790	5550	Zehntausende protestieren in Italien gegen die Regierung Renzi.
25730	30310	4580	Die Nachfrage in der Schweiz ist erstaunlicherweise gering.
31070	36030	4960	Ein Fotoband zeigt Schweizer Vorläufer der Farbfotografie.
36580	40430	3850	Morgen Abend kann es dann gebietsweise regnen.
41750	45310	3560	Er hat knapp 3 Jahre lang in Angst und Schrecken gelebt,
45440	47270	1830	musste gar um sein Leben fürchten.
47480	49110	1630	Dabei wollte der Schweizer auf den Philippinen
49250	51190	1940	doch eigentlich nur Tiere beobachten.
51360	53510	2150	Dann aber geriet er in die Gewalt von Terroristen.
53700	56910	3210	Vor einer Woche gelang ihm unter dramatischen Umständen die Flucht.
57130	60790	3660	Heute nun seine Rückkehr in die Schweiz. Marcel Anderwert war dabei.
62200	66190	3990	Kurz nach 6 Uhr früh berührt die Swiss-Maschine Schweizer Boden.
66330	71310	4980	An Bord die freigekommene Geisel.
71460.00000000001	76950	5490	1 Std. später tritt der 49-jährige St. Galler in einem Flughafengebäude
77120	82910	5790	vor die Medien. Er ist geschwächt, aber erleichtert.
83130	85780	2650	Ich bin so froh, hier sein zu dürfen.
85920	88620	2700	Die Familie habe ich schon gesehen.
88850	91430	2580	Wir freuen uns auf ein baldiges Nachhausegehen.
91600	97150	5550	Ich werde zu Hause als Erstes das beste Bild eines Nashornvogels
97270.00000000001	102910	5640	ins Internet stellen und darunter schreiben:
103150	106470	3320	"""Geht nicht hin! Meidet das Gebiet grossräumig!"""
106600	109350	2750	Wegen solcher Nashornvögel
109610	112310	2700	war er vor fast 3 Jahren auf die Philippinen gereist,
112390	114910	2520	zusammen mit einem niederländischen Freund.
115050	116630	1580	Auf einer kleinen Insel
116820	120150	3330	wurden die beiden von islamistischen Abu-Sajaf-Rebellen entführt.
120330	122950	2620	Die Abu Sajaf kidnappen auf den Süd-Philippinen
123050	125190	2140	immer wieder westliche Touristen.
125340	128669.99999999999	3330	Es geht ihnen um Lösegeld in Millionenhöhe.
128820	131200	2380	Nach der Entführung auf der Insel Tawi-Tawi
131370	133440	2070	werden die beiden nach Jolo gebracht.
133610	138320	4710	Letzten Samstag gelingt dem Schweizer in der Nähe von Talipao die Flucht.
138410	142680	4270	Die Abu Sajaf haben eine Hochzeit gefeiert.
142820	148280	5460	Es war Vollmond, der Taifun näherte sich.
148390	152520	4130	"Ich habe Ewald nachts geweckt und sagte: ""Ewald, jetzt!"""
152700	155920.00000000003	3220	"""Sie haben viel gegessen letzte Nacht, es sind Ehefrauen zu Besuch,"
156110	158560	2450	"die Leute hier sind anderweitig beschäftigt."""
158810	161640	2830	Der Niederländer will nicht mit, er fühlt sich zu schwach.
161850	164079.99999999997	2230	Der St. Galler kommt unbemerkt aus dem Camp,
164170.00000000003	166920.00000000003	2750	muss aber mit einem Wachposten der Rebellen kämpfen.
167010	168960	1950	Dann lag er am Boden und ich dachte:
169180	171640	2460	"""Irgendwie ... Wenn ich jetzt weglaufe ..."""
171810	174800	2990	Ich nahm mein Buschmesser, ein bisschen so ...
174890	177490	2600	Eigentlich viel zu langsam, man müsste viel stärker schlagen.
177680	180290	2610	Ich wollte ihm ja nicht wehtun, aber ich sah schon Blut.
180440	182890	2450	"Ich dachte: ""Jetzt muss ich nur noch sein Gewehr nehmen."""
183060	186290	3230	Der Schweizer selbst zieht sich im Kampf eine tiefe Schnittwunde zu
186420	188570	2150	und verliert 3 Zähne.
188730	191930	3200	Er verliert auch viel Blut, kann sich aber am Ende in ein Dorf schleppen,
192190	195210	3020	wo er von der philippinischen Armee geborgen wird.
195350	197370	2020	Und nun braucht er erst einmal Zeit,
197550	200930	3380	um in der Ostschweiz mit seiner Familie zur Ruhe zu kommen.
203870	206810	2940	Der zurückgekehrte Schweizer - wir haben es eben gehört -
207050	210130	3080	rät allen das Gebiet, in dem er entführt worden war, zu meiden.
210270	212090	1820	Auf die Frage, warum er sich denn selber
212160	215490	3330	auf das Risiko dieser Reise eingelassen hatte, ging er nicht ein.
215620	217570	1950	Abgesehen von diesem konkreten Fall
217720	219770	2050	stellt sich diese Frage grundsätzlich:
219960	222930	2970	Warum setzen sich Touristen derartigen Risiken aus?
223040	225530	2490	Z.T. sogar trotz expliziter Warnungen
225770	229050	3280	des Eidgenössischen Departements für auswärtige Angelegenheiten.
229220	230810	1590	Experten denken,
230970	234090	3120	dass sich Schweizer Reisende oft in falscher Sicherheit wiegen.
234240	235490	1250	Monika Schönenberger.
236640	238730	2090	Reisen ist einfacher geworden.
238930	242010	3080	Auch entfernte Ziele sind heute gut erreichbar.
242190	244410	2220	Besteht dabei die Gefahr, leichtsinnig zu werden?
244590	247690	3100	Nein, sagt Monika Bandi, Tourismus-Expertin an der Uni Bern,
247860	251970	4110	aber das Reiseverhalten hat sich dennoch verändert.
252140	255170	3030	Dadurch, dass wir mehr reisen und auch besser ausgebildet sind,
255280	257529.99999999997	2250	ist unsere Reiseerfahrung gewachsen.
257760	261010	3250	Es führt dazu, dass wir auch viel eher die Lust dazu verspüren,
261190	264770	3580	nebst den normalen Tourismuszielen in den entwickelten Ländern
264890	267650	2760	auch in ferne Länder zu reisen.
267850	273050	5200	Und der 2. Trend geht in die Richtung individueller zu reisen.
273200	276810	3610	Früher hat man unbekannte Kulturen und Länder
276940	279170	2230	eher mit Gruppenreisen besucht.
279400	282090.00000000006	2690	Heute macht man das viel mehr auch individuell.
282250	287170	4920	In abgelegenen Gebieten allein unter- wegs - dadurch wächst die Gefahr.
287280	288850	1570	Tatsache ist,
289090.00000000006	292650	3560	dass Terroristen zunehmend versuchen, durch Entführungen Geld zu erpressen.
292850	297930	5080	Beispiele für Länder und Gegenden mit hohem Entführungsrisiko, sind:
298070	301290	3220	Die Sahara und die angrenzenden Gebiete sowie etwa Syrien,
301390	303650	2260	Irak, Afghanistan, Pakistan,
303890	310290	6400	und eben auch der Süden der Philippinen, die Insel Mindanao.
310440	314530	4090	Die Reiseerfahrung sieht Christian Lässer von der Uni St. Gallen
314730	317650	2920	als Risiko, sie verleitet zur Nachlässigkeit.
317800	321490	3690	Aber nicht nur deshalb werden Gefahren unterschätzt.
321630	323450	1820	Schauen Sie 10, 15 Jahre zurück.
323620	325410	1790	Wenn Sie irgendwo in einem fremden Land waren,
325590	329610	4020	war die Kontaktnahme mit Familie und Freunden daheim sehr schwierig.
329690	331690	2000	Heute ist das sehr einfach.
331890	334050	2160	Heute sind Sie, selbst wenn Sie weg sind, eigentlich zu Hause,
334190	336090.00000000006	1900	wenn auch nur virtuell.
336159.99999999994	338090.00000000006	1930	Und das wiegt einem in einer falschen Sicherheit,
338150	340250	2100	weil man glaubt, dass man ein System im Hintergrund hat,
340520	343370	2850	das einem in einer gefährlichen Situation helfen kann.
343480	347170	3690	Rund ein Dutzend Entführungsfälle
347330	350450	3120	hat das Eidgenössische Departement für auswärtige Angelegenheiten
350650	352530	1880	seit 2009 bearbeitet.
352650	355090.00000000006	2440	Im Moment gibt es keinen weiteren Fall.
356640	361730	5090	Der Ölpreis fällt und fällt - wir haben in den letzten Wochen
361820	364330	2510	an dieser Stelle schon mehrfach darüber berichtet.
364500	368730	4230	Der fallende Ölpreis wirkt sich natürlich auch aufs Heizöl aus.
368870	373850	4980	Kosteten Anfang Jahr 100 l Heizöl der Sorte Extra Leicht
373970	376410	2440	noch mehr als 100 Fr.,
376560	378970	2410	so ist der Preis bis heute auf unter 80 Fr. gefallen.
379160	382010	2850	Dieser Preissturz müsste eigentlich einen Run auf das Heizöl auslösen.
382250	384050	1800	Denkt man. Doch Fehlanzeige.
384290	386290	2000	Für den Monat Dezember verläuft das Geschäft
386530	390450	3920	in erstaunlich ruhigen Bahnen. Christian Kolbe weiss, warum.
391650	396730	5080	Eine Lieferung von 8'000 l Heizöl für den Zirkus Salto Natale in Kloten.
396850	398690	1840	Für den Tanklaster der Firma Gerber
398930	401890	2960	ist das die einzige Lieferung an diesem Nachmittag.
402090.00000000006	405530	3440	Der Preissturz beim Heizöl hat in der Branche keinen Boom ausgelöst,
405770	409690	3920	seit Anfang Jahr ist der Absatz um über 1/3 eingebrochen.
409770	413690	3920	Das hat diverse Gründe:
413770	416370	2600	Einerseits verbraucht natürlich heute ein neuer Verbrenner
416500	418690	2190	wesentlich weniger Heizöl.
418860	421010	2150	Um also das gleiche Resultat zu erreichen,
421200	424410	3210	braucht er weniger Rohstoff.
424550	427330	2780	Auf der anderen Seite die Temperaturen -
427450	429690	2240	das sehen wir ja auch heute ganz klar -
429790	433650	3860	sind viel höher als noch vor Jahren im Jahresdurchschnitt.
433800	437170	3370	Dazu kommt, dass die Vorräte letztes Jahr sehr stark aufgestockt wurden
437300	441410	4110	durch die CO2-Abgabe per 1. Januar 2014.
441570	444490	2920	Um die Kunden jederzeit beliefern zu können,
444650	447450	2800	ist Gerber auf Lagerbestände angewiesen.
447530	450730	3200	Auf dieses zu einem höheren Preis eingekauften Heizöl
450860	454170	3310	verliert die Firma Geld.
454159.99999999994	456250	2090	Auch bei der Firma Osterwalder
456430	458450	2020	ist an diesem Freitagnachmittag nicht viel los.
458650	461050	2400	Als eines der grossen in der Branche kann das Unternehmen
461220	465490	4270	flexibler auf die fehlende Nachfrage der Kunden reagieren.
465770	470130	4360	Da passen wir uns auch dem Absatz der Konsumenten an.
470310	474290	3980	D.h., wenn die Konsumenten einkauf- en, decken auch wir unseren Bedarf.
474450	478490	4040	Klar, die gelagerten Mengen verlieren an Wert im Warenlager,
478650	481330	2680	aber das kompensiert sich dann mit der Zeit wieder,
481440	483170	1730	wenn die Preise wieder steigen.
483270	484810	1540	Grundsätzlich decken wir
485050	489890	4840	den Bedarf aber gleichzeitig mit dem Kauf des Kunden.
490090	493690	3600	Mit dieser Gelassenheit sollten auch die Heizöl-Kunden einkaufen -
493890	496970	3080	und sich nicht nur an der Entwicklung der Preise orientieren.
498510	503410	4900	In der Schweiz werden international tätige Firmen steuerlich bevorteilt,
503600	506210	2610	was im Ausland nicht gern gesehen wird.
506370	509250	2880	Der Bundesrat will deshalb mit diesen Privilegien aufräumen.
509370	511610	2240	Mit der sog. Unternehmenssteuerreform III
511730	513610	1880	sollen die Steuersysteme der Kantone
513799.99999999994	516530	2730	internationalen Standards angepasst werden.
516620	520169.99999999994	3550	Heute haben die Finanzdirektoren der Kantone verlauten lassen,
520240	522090.00000000006	1850	was sie davon halten.
523330.00000000006	527170	3840	Die Hotspots der Schweizer Wirtschaft wie hier Zürich, Zug, Basel
527280	529010	1730	oder hier Genf -
529150	532210	3060	sie alle sind durch die vorgesehenen Massnahmen massiv betroffen.
532410	534810	2400	Es drohen Steuerausfälle in Milliardenhöhe.
534950	538610	3660	Trotzdem unterstützen die Kantone die Unternehmenssteuerreform:
538690	540410	1720	Wenn man nichts macht, muss man damit rechnen,
540600	544770	4170	dass grosse internationale oder auch kleinere Gesellschaften wegziehen,
544920	547690	2770	weil die Rechtssicherheit nicht mehr gewährleistet ist.
547810	549810	2000	Es könnte vorkommen,
550010	554650	4640	dass wir bei der OECD oder der EU nicht mehr akzeptiert wären.
554780	556530	1750	Dass es schwarze Listen gibt,
556700	559130	2430	dass Gegenmassnahmen gegen die Schweiz ergriffen werden.
559260	561730	2470	Die fehlenden Einnahmen seien für die Kantone,
