start	end	duration	text
2270	4750	2480	.
4840	9910	5070	Guten Abend meine Damen und Herren -
10140	12910	2770	herzlich willkommen zur Sendung. Diese Themen beschäftigen uns heute:
15100	19510	4410	Der Bundesrat verschärft die Regeln für arbeitsuchende EU-Bürger.
19700	26270	6570	Die Dumping-Tarife des Internet- Taxidienstens Ubers sind legal.
30550	35790	5240	Warum auch in der Schweiz viele Menschen Not und Mangel litten.
38350	41910	3560	Und: Was bleibt vom Wir-Gefühl der Fans nach dem Ausscheiden
42020	44350	2330	der Schweizer Nati.
44550	53190	8640	1:1-Untertitelung. Livepassagen können Fehler enthalten.
53160	58990	5830	Vor 1 1/2 Std., zur besten Sendezeit, präsentierte sich
59200	62750	3550	Frankreichs Ex-Präsident Nicolas Sarkosy am Fernsehen.
62840	68910	6070	Die Nation war gespannt, was er zu sagen hatte -
69000	70990	1990	darüber, dass gegen ihn seite heute
71170	72789.99999999999	1620	offiziell Ermittlungen wegen Korruption laufen.
72980	74030	1050	Sarkosy war gestern festgenommen und 15 Std. befragt worden. Der Vorworf:
74230	76070	1840	Er soll versucht haben, einen Richter zu bestechen.
76270	77910	1640	Trifft dies zu, droht Gefängnis bis zu 10 Jahren.
78130	82350	4220	Allerdings gilt auch hier erstmal die Unschuldsvermutung.
82539.99999999999	84470	1930	Nicolas Sarkosy bestreitet die Vorwüfe:
88600	91550	2950	Denen, die uns zuschauen, möchte ich eines sagen:
91730	96390	4660	Niemals habe ich ihr Vertrauen verraten.
96490.00000000001	99150	2660	Niemals habe ich etwas getan,
99340	102190	2850	das die republikanischen Prinzipien oder den Rechtsstaat verletzt hat.
102259.99999999999	105190	2930	Ich frage die, die uns zuschauen:
105340	108910	3570	Wer möchte einem Richter gegenübersitzen,
109050	112670	3620	dessen politische Obsession es ist, die Person zu zerstören,
112840	119229.99999999999	6390	über dessen Schuld oder Unschuld er sich ein Bild machen muss?
119350	122590	3240	War es wirklich zwingend,
122750	126550	3800	dass ich von 5 Polizisten und einem Polizeiauto abgeholt wurde,
126760	130750	3990	um nachts um 2 Uhr 2 Richter zu treffen?
130840	135030	4190	Es ist ein Skandal.
135170	138190	3020	Dies alles wurde mit dem einzigen Ziel gemacht, mich zu demütigen,
138270	146829.99999999997	8560	unter Druck zu setzen, zu behindern und mich zu diffamieren.
148460	149829.99999999997	1370	Wir schalten nach Paris zu Michael Gerber, guten Abend.
149920.00000000003	151610	1690	Was war das?
151820	154329.99999999997	2510	Welche Strategie hat Nicolas Sarcozy bei seinem Auftritt gewählt?
154420.00000000003	157410	2990	Wir untertiteln live:
159960	161940	1980	Angriff ist die beste Verteidigung,
162840	164800	1960	das scheint er sich heute gesagt zu haben.
167270	169440	2170	Tatsächlich holt er zum Rundumschlag aus gegen Politik,
169550	171480	1930	Medien und die Justiz.
