start	end	duration	text
1010	2260	1250	.
2350	6500	4150	1:1-Untertitelung
8020	11020	3000	Es ist 10 vor 10, guten Abend, meine Damen und Herren.
11120	13140	2020	Mit einem Jubiläum
13250	16140	2890	ist die Schweizer Politik in eine weitere Runde gestartet.
16400	23860	7460	Die 50. Legislatur ist eröffnet mit einem Parlament,
24040	30380	6340	das sich immer weiter vom Milizgedanken entfernt.
30540	34540	4000	Nur noch jeder und jede Fünfte hier
34760	39060	4300	geht einer Erwerbstätigkeit mit 70 und mehr Stellenprozenten nach.
39260	42740	3480	Die Schweiz wird gestaltet von Berufspolitikern -
42910	46380	3470	das Bundeshaus ist heute bei uns im Fokus. Die weiteren Themen:
48240	51420	3180	Die UNO rechnet in den nächsten Jahrzehnten
51520	54780	3260	mit 350 Mio. Klimaflüchtlingen.
56680	60300	3620	Gemeinden könnten bei der Unterbringung von Sozialhilfebezügern
60320	63190	2870	40 Mio. Fr. sparen.
65379.99999999999	70030	4650	St. Gallen und Graubünden wollen Wölfe abschiessen,
70160	71670	1510	die Dörfern zu nahe kommen.
73920	77910	3990	Es war ein bisschen wie am ersten Schultag,
78060	84070	6010	als die über 60 neugewählten National- und Ständeräte
84270	87789.99999999999	3520	heute Nachmittag mit den wieder- gewählten Kolleginnen und Kollegen
87930	90550	2620	die neue Legislatur eröffneten. Mit dabei:
90710.00000000001	92870	2160	zwei Politikerinnen, die einiges verbindet und vieles trennt.
93120	95310	2190	Beide gehören zu den jungen Parlamentarierinnen,
95500	97670	2170	beide sind gut ausgebildet und eher überraschend gewählt worden.
97880	100630	2750	Politisch allerdings könnten sie kaum weiter auseinanderliegen -
100729.99999999999	103030	2300	die grün-alternative Sibel Arslan
103170	106430	3260	und Unternehmerin Magdalena Martullo-Blocher von der SVP.
106590	108870	2280	Letztere Tochter eines früheren Bundesrates
108960.00000000001	113150	4190	und die andere Juristin und Tochter von kurdischen Einwanderern.
113330	115950	2620	Der Bericht aus dem Bundeshaus von Gion-Duri Vincenz.
117970	121150	3180	Sibel Arslan, ganz rechts, auf dem Weg zum Bundeshaus,
121280	123230	1950	begleitet von ihrer Familie.
123480	127430	3950	Darunter die Eltern, mit denen sie in die Schweiz kam, als sie elf war.
127590	130550.00000000001	2960	Arslan ist die erste Kurdin im Nationalrat.
130639.99999999999	132550	1910	Zur Freude von Mutter und Vater.
132780	135950	3170	Sie sind sehr stolz. Wir sprachen heute darüber.
136050	138230	2180	Am ersten Tag, als ich in der Schweiz war,
138400	141310	2910	"sagte mein Vater zu mir: ""Jetzt bist du jemand von hier."""
141420.00000000003	143510	2090	"""Du wirst die Sprache schnell lernen."""
143660	145670.00000000003	2010	Heute hat er mir das wieder erzählt.
145880	150870	4990	Ich bin froh, konnte ich meinen politischen Weg gehen.
150990	152910	1920	Ich bin ein Teil dieser Gesellschaft
153079.99999999997	156190	3110	und engagiere mich dementsprechend. Das ist selbstverständlich.
156440	158950	2510	Ihr Vater hat sie heute nicht begleitet.
159140	163870	4730	Auf der Tribüne sitzen Mann und die drei Kinder von Magdalena Martullo.
164079.99999999997	167150	3070	Dass Christoph Blocher trotzdem immer präsent ist, wenn es um sie geht,
167210	171350	4140	und sie unter spezieller Beobachtung steht, nimmt sie gelassen.
171430	173910	2480	Sie können mich schon besonders beobachten,
