start	end	duration	text
1200	2540	1340	.
2690	7340	4650	1:1-Untertitelung
7500	10340	2840	"Guten Abend, herzlich willkommen zu ""10vor10""."
10440	13140	2700	Heute haben wir diese Themen für Sie:
14750	18260	3510	Die Luzerner Behörden erklären Asylbewerbern,
18390	20740	2350	was man darf und was nicht.
22740	27420	4680	Die medizinische Forschung an Primaten erhitzt die Gemüter.
28980	32100	3120	Muss King Roger die Krone
32360	35940	3580	morgen definitiv an Kronprinz Djokovic abgeben?
38590	42100	3510	Angela Merkels Willkommenskultur
42260	45460	3200	stellt die Koalition auf eine harte Probe.
45670	48540	2870	Lautstarke Kritik kommt von CSU-Chef Horst Seehofer.
48720	50860	2140	Gestern hat der Ministerpräsident Bayerns
51020	53060	2040	die Kanzlerin in einem Brief aufgefordert,
53270	55220	1950	die Zahl der Flüchtlinge zu begrenzen.
55390	57940	2550	Auch morgen werden die Fetzen fliegen,
58140	60380	2240	die grosse Flüchtlingsdebatte steht an.
60530	62540	2010	Die Regierung Merkel macht Zugeständnisse:
62710	65019.99999999999	2310	Heute hat sie ein neues Gesetz verabschiedet,
65180.00000000001	67820	2640	mit dem straffällige Ausländer und Asylbewerber
67910	71060	3150	künftig schneller abgeschoben werden.
71230	73820	2590	Kriminelle müssen konsequent zur Rechenschaft gezogen werden,
73980	76180	2200	und wenn es sich um kriminelle Ausländer handelt,
76350	78580	2230	dann ist die Ausweisung eine dieser Konsequenzen.
78720	81140	2420	Am grundlegenden Konflikt in der Koalition
81280	83980	2700	ändert das allerdings nichts.
84200	87300	3100	"Die CSU hat genug vom ""Wir schaffen das""-Kurs der Kanzlerin"
87390	90180	2790	und drängt auf eine schärfere Flüchtlingspolitik.
90330	93300	2970	Welches sind die Gründe für diese harte Gangart?
93410	95060	1650	Auf der Suche nach Antworten
95160	98900	3740	ist Adrian Arnold in die Heimat der CSU, nach Bayern, gereist.
100710.00000000001	105180	4470	So vieles haben sie schon geschafft, die Senioren von der CSU Schwandorf.
105310	107580	2270	Den Wiederaufbau nach dem Krieg,
107750	110900	3150	die Aufnahme der deutschen Vertriebenen, die Wende.
111000	113900	2900	Und jetzt? Ist Flüchtlingskrise.
114000	116020.00000000001	2020	Diese Krise sei anders,
116180	119300	3120	klagen sie ihrem Abgeordneten, der aus Berlin zu Besuch ist.
119520.00000000001	124940	5420	Diese Krise, so viele Flüchtlinge. Das schaffen sie nicht mehr.
125130	130820	5690	So ein Zulauf! Warum ist unsere Bundesregierung nicht fähig,
130919.99999999999	135100	4180	eine andere Politik zu machen?
135360	138579.99999999997	3220	Ich bin schon so lange bei der Christlich-Sozialen Union,
138710	140220	1510	aber ich kann nicht mehr zuschauen.
140430	142620	2190	Wir haben schon Probleme mit 1,3 Mio.,
142750	145900	3150	jetzt lassen wir noch mal 1,3 Mio. dazukommen.
146070	150060	3990	Wie sollen denn die verteilt werden, nur in Deutschland?
150190	152780	2590	Wenn der Schnee sich über Bayern legt,
153000	156020	3020	dann ruht es noch mehr in sich selbst, das Bundesland.
156190	160540	4350	Seit 1946 CSU-regiert, wirtschaftlich erfolgreich
160710	165340	4630	und mit 55 % Katholiken ein Ort, an dem christliche Traditionen
165440	169620	4180	noch eine Rolle spielen im öffentlichen Leben.
169750	173100	3350	Mehr als 1 Mio. neue Menschen aus anderen Kulturkreisen,
173300	177620	4320	das seien viele für Deutschland, sagt der CSU-Abgeordnete.
177790	180860	3070	Und weil die Kanzlerin immer noch die Türen offenhalte,
181010	184980	3970	müsse die CSU sie eben zu einer Kursänderung bringen.
185080	188340	3260	Es kann nicht sein, dass plötzlich Scharia, rechtsfreie Räume
188450	190180	1730	eine Rolle spielen.
190440	193140	2700	Die Menschen müssen sich nach unseren Werten richten.
193270	196740	3470	Und deshalb wird eine Diskussion über eine Leitkultur beginnen -
196829.99999999997	198740	1910	die läuft ja bereits.
198850	200460	1610	Wir müssen alles dafür tun,
200680	203100	2420	dass wir unsere Werte nach dem christlichen Bild halten.
203200	206660	3460	Leitkultur schliesst Willkommenskultur aber nicht aus.
206880	210460	3580	Die Bayern haben die Flüchtlinge so warmherzig empfangen,
210630	214820	4190	nachdem Merkel die Grenze zu Ungarn geöffnet hatte.
215040	216620	1580	Von München aus
216800	219820	3020	schwappte die Willkommenseuphorie über ganz Deutschland.
219970	223500	3530	Und noch immer helfen sie unermüdlich.
223650	226140	2490	Wir sind in der Erstaufnahmeeinrichtung
226270	228420.00000000003	2150	im bayerischen Landkreis Cham.
228550	232420.00000000003	3870	1'300 Freiwillige gibt es für 1'300 Flüchtlinge.
232630	236140	3510	Helfer parteiübergreifend - CSU inklusive.
236190	239220	3030	Für viele eine humanitäre Pflicht,
239360	243020	3660	erzählt uns der Koordinator der Freiwilligenhilfe.
243210	245900	2690	Wir haben naturgemäss viele Christen,
246000	248500	2500	die sich in diesem Bereich engagieren.
248600	253180	4580	Aber wir haben auch Muslime, die sich als Freiwillige engagieren.
253330	255700	2370	Es ist die Mentalität der Bayern,
255860	258500	2640	dass sie nicht viel reden, sondern einfach machen.
258640	263300	4660	Während die Basis anpackt, hecken die CSU-Parteispitzen
263450	267580	4130	in langen Nächten in Wildbad Kreuth ihre Strategien aus.
267700	270140	2440	Nicht den Kanzlersturz wollen sie,
270340	273740	3400	aber eine Wende von Merkel in der Flüchtlingspolitik,
273830	277740	3910	mit einer Obergrenze von 200'000 Flüchtlingen jährlich.
