start	end	duration	text
1710	2920	1210	.
3440	7360	3920	1:1-Untertitelung
8039.999999999999	11840	3800	Wir blicken hinter die Schlagzeilen um 10 vor 10, guten Abend.
12500	15080	2580	Eine grosse Mauer, eine schöne Mauer, eine mächtige Mauer
15670	18600	2930	hat Donald Trump versprochen - und heute hat er sie angeordnet.
21690	24920	3230	Der US-Präsident und seine Drohgebärden gegen Mexico.
28170	29800	1630	Novartis startet die Versuchsphase
30450	32560.000000000004	2110	für ein Mittel mit Milliardenpotenzial.
35700	40200	4500	Für ihre Romane probiert Autorin Petra Ivanov so einiges selber aus.
43270	45760	2490	"Und unser Fokus-Thema: ""Arbeit statt IV-Rente"" -"
46390	48720	2330	das ist das erklärte Ziel der Schweizer Politik.
49370	51000	1630	Tatsächlich beziehen weniger Menschen IV,
51660	52920	1260	im Arbeitsleben aber sind sie nicht.
53550	54600	1050	Wir zeigen, wo es hakt -
55270	57320	2050	und wo es trotz Schwierigkeiten klappt mit dem Job.
58300	60440	2140	Hans Marti macht Nägel mit Köpfen:
61150	63040	1890	Jeder fünfte Mitarbeiter bei ihm hat eine Behinderung.
63560	66640	3080	Was sie trotzdem für den Erfolg der Firma tun, sagt der Chef bei uns.
71070	73080	2010	Zuerst aber in die USA.
73660	75680	2020	Dort zeigt sich der neue Präsident Donald Trump betont aktiv
76350	78360	2010	in seiner ersten Woche im Amt.
78990	81280	2290	Er unterzeichnet eine Verordnung nach der anderen,
81930	84200	2270	heute zu einem seiner zentralen Wahlversprechen:
84860	88120	3260	die Mauer an der Grenze zu Mexiko. Gesagt - getan?
88880	90880	2000	Was Trumps Tatendrang tatsächlich bewirkt,
91440	94600	3160	wollten Pirmin Roos und Anita Bünter wissen.
96400	98759.99999999999	2360	Die Grenze zwischen den USA und Mexiko.
99460.00000000001	101240.00000000001	1780	Bereits ist ein grosser Teil der Grenze dicht.
101890	104479.99999999999	2590	Doch das genügt US-Präsident Donald Trump nicht.
106050	110800	4750	In seinem ersten Fernsehinterview als US-Präsident mit ABC News
111430	113920	2490	von heute wird Trump deutlich.
114740.00000000001	117800	3060	Werden die amerikanischen Steuerzahlen die Mauer bezahlen?
118360	120560	2200	Es wird sich zeigen, was mit Mexiko passiert.
121240	122920	1680	Wir werden diese Verhandlungen relativ bald beginnen.
123530	126520	2990	Wir werden in einer Form von Mexiko rückvergütet werden.
127180	130160	2980	Sie werden das Geld zurückzahlen? - Absolut. 100 %.
130669.99999999999	132360	1690	Wann werden die Bauarbeiten beginnen?
133000	135240	2240	So bald wie möglich. So bald wir das machen können.
135840	136680	840	Innerhalb von Monaten?
137350	138920.00000000003	1570	Ich würde sagen innerhalb von Monaten.
139560	141360	1800	Die Planung startet sofort.
141980	143440	1460	Später hat Donald Trump das präsidiale Dekret im Ministerium
144079.99999999997	146040	1960	für innere Sicherheit unterschrieben.
146680	148360	1680	Sein Ziel sei es,
149020	150520	1500	den grenzüberschreitenden Handel mit illegalen Drogen
151200	153720	2520	sowie den Übertritt von Menschen ohne Aufenthaltsgenehmigung zu verhindern.
154510	156720	2210	Widerstand von Mexiko ist vorprogrammiert.
157380	158930	1550	Sie werden nicht für den Mauerbau bezahlen,
159570	161810	2240	sagte der mexikanische Aussenminister im Vorfeld.
163390	165770	2380	Kurz vor der Sendung trat Donald Trump schlussendlich
166329.99999999997	168690	2360	an die Öffentlichkeit.
171380	174410	3030	Eine Nation ohne Grenzen ist keine Nation.
175090	178250	3160	Mit dem heutigen Tag gewinnen die USA ihre Kontrolle
178880	184250	5370	über ihre Grenzen zurück.
184800	189090	4290	Die Grenze zwischen den USA und Mexiko.
189780	194090	4310	Trump will aufrüsten, doch eigentlich ist sie schon ziemlich verbaut.
197150	199810	2660	Die Grenze ist 3'200 km lang.
200460	203810	3350	Auf rund einem Drittel steht bereits ein Hochsicherheitszaun.
206260	209490	3230	Wo vor Jahrzehnten einfache Poller den Grenzverlauf markierten,
210200	212170.00000000003	1970	prangt heute ein mächtiger Zaun.
212810	217690	4880	Überwacht von 21'000 Grenzpolizisten. Unter Trump werden es wohl noch mehr.
220200	222370	2170	Hier hat man versucht, den Zaun zu durchbrechen.
222990	224450	1460	Jeden Tag haben wir das.
225060	226210	1150	Wenn der Nebel vom Meer aufzieht
226829.99999999997	230640	3810	und die Kameras sie nicht mehr sehen können, kommen sie.
231310	235560	4250	Die Aufrüstung entlang der Grenze mit Kameras und Sensortechnik wirkt.
236150	239160	3010	Die Zahl der illegalen Grenzübertritte fällt.
239880	242920	3040	Auch die Zahl illegal lebender Mexikaner in den USA sinkt.
243550	246320	2770	Bis 2007 ist diese Zahl stetig angestiegen,
246910	250760	3850	bis auf 6,9 Mio. Mexikaner ohne Aufenthaltserlaubnis.
251400	255320	3920	Danach nahm die Zahl wieder ab auf schliesslich 5,6 Mio.
255960	258720.00000000003	2760	Präsident Trump will, dass es noch weniger werden.
259290.00000000003	261480.00000000003	2190	Hierfür hat er heute das Dekret erlassen.
262120	264400	2280	Was aber nicht heisst, dass die Mauer auch zeitnah gebaut wird,
265040	267520	2480	sagt SRF-Korrespondent Peter Düggeli.
269270	271160	1890	Trumps Dekret hat nicht zu Folge,
271880	274960	3080	dass morgen die Bagger auffahren an der US-mexikanischen Grenze.
275640	278760	3120	Aber sie ist eben auch mehr als eine symbolische Geste, denn sie zeigt,
279420	280920	1500	dass Präsident Trump schnell handeln will.
281580	283680	2100	Doch weil Mexiko wohl nicht für die Mauer bezahlen wird,
284330	287440	3110	muss Trump die Finanzierung vom US-Kongress absegnen lassen,
288000	290920	2920	und selbst wenn ihm das gelingt, hätte das Projekt noch
291490	294320	2830	zahlreiche Hürden zu meistern, z.B. im Bereich Umweltschutz,
294960	297280	2320	was den Mauerbau noch weiter verzögern könnte.
297870	300680	2810	Die Grenze zwischen den USA und Mexiko.
301280	305200	3920	Trump hält an seinem Wahlversprechen fest und will sie aufrüsten,
305860	307680	1820	koste es was es wolle.
310490	312690	2200	Zudem will Trump gegen Städte vorgehen,
313330	315690	2360	die Menschen ohne Aufenthaltsbewilligung Schutz bieten.
316330	318890	2560	Angekündigt sind auch Massnahmen, um die Zahl der Flüchtlinge
319510	322930	3420	aus bestimmten muslimischen Staaten nahe an Null zu drücken.
324960	328170	3210	In die Schweiz, genauer gesagt nach Basel.
