start	end	duration	text
960	7920	6960	.
8010	12160	4150	Obviously, republicans had a good night.
13850	17480	3630	Die Republikaner hatten offensichtlich einen guten Abend.
17700	20280	2580	Und der US-Präsident hat offensicht- lich seinen Humor nicht verloren -
20390	22400	2010	trotz der schweren Schlappe heute.
22660	25240	2580	Was bedeutet dieser Denkzettel für Obamas letzte Regierungszeit?
25360	27480	2120	Und wie wirkt sich das
27610	29480	1870	auf die Präsidentschaftswahlen in 2 Jahren aus?
29700	31360	1660	Dies unser Focus heute. Guten Abend.
33650	36360	2710	Wie Demokratin Hillary Clinton
36570	39840	3270	doch noch die erste Präsidentin der USA werden könnte.
43220	46080	2860	Wie Europa-Freunde am EU-Rütli in Bern
46180	48640	2460	die bilateralen Verträge retten wollen.
50680	53800	3120	Wie sich DDR-Bürger nach dem Mauerfall
53950	62400	8450	auf exotische Früchte und Stereo-Anlagen stürzten.
62500	64800	2300	1:1-Untertielung. Live-Passagen können Fehler enthalten.
65990	68440	2450	Den Sieg der Republikaner haben alle vorausgesagt,
68610	71280	2670	aber dass er so deutlich ausfallen würde, hat dann doch überrascht.
71410	73320	1910	So auch der Sieg der Republikaner in Iowa,
73480	75480	2000	wo eine schillernde Figur die politische Bühne betrat:
75600	77560	1960	Joni Ernst, eine Farmerstochter,
77780	79920	2140	die mit einer einfachen und klaren Botschaft antrat.
80100	82600	2500	Als Mädchen hab ich Schweine kastriert,
82789.99999999999	86440	3650	in Washington geben sie zu viel aus, lassen wir sie quietschen!
86560	89880	3320	Und diese Botschaft ist angekommen:
90100	94320	4220	Als erste Frau überhaupt zieht Joni Ernst für Iowa in den Senat ein.
96200	99800	3600	Sie ist der neue Star am Republikaner-Himmel: Joni Ernst.
99990.00000000001	105600	5610	Eine radikale Tea-Party-Frau zum Anfassen.
105860	108720	2860	Das beste am Wahlkampf war die Messe in Iowa.
108860	113080	4220	Glaubt mir: Ich habe dort alle Leute umarmt!
113229.99999999999	118560	5330	Unter den glücklichen Zuhörern: Will Rogers.
118720	122280	3560	Das ist der Lohn für meine harte Arbeit,
122380	126840	4460	die vielen Stunden und das Geld.
126940	131120	4180	12 Std. vorher: Will Rogers ist Parteipräsident der Republikaner
131290	133760	2470	in Iowas Hauptstadt Des Moines.
133910	137600	3690	Wir sind im Liberty Office, dem republikanischen Strategiezentrum.
137690	140720	3030	Diese Telefone wählen die Nummern
140880	143240	2360	von republikanischen Wählern automatisch.
143320	145760	2440	Bis die Urnen schliessen,
145870	148040	2170	sollten wir rund 20'000 Anrufe gemacht haben.
148280	150440	2160	Wir fahren durch Gemeinden, in denen Obama 2-mal gewonnen hat.
150610	153400	2790	Nun aber sind seine Umfragewerte im Keller -
153550	159480	5930	und auch 60 % der republikanischen Wähler haben genug von ihrer Partei.
159570	164240	4670	Wir müssen sie überzeugen, dass sie wählen gehen,
164340	169600	5260	damit wir den Senat gewinnen.
169770	173440	3670	Warum sollten sie? Das führt doch zur totalen Blockade.
173540	175680	2140	Das glaube ich nicht.
175810	177880	2070	Will Rogers ist Überzeugungstäter.
178040	180160	2120	2'000 Std. Gratisarbeit, 2 Jahre Wahlkampf.
180270	184840	4570	Auch Kirchen sind Wahllokale.
185100	187520	2420	Und hier notiert sich ein republikanischer Wahlhelfer
187620	189640	2020	die Namen aller Bürger, die abgestimmt haben.
192320	195280	2960	Und was ist mit dem Datenschutz?
195400	198680	3280	Es sind nur Namen, wir wissen nicht, wie sie gestimmt haben.
198780	201240	2460	Das stimmt so nicht.
201460	203440	1980	Will Rogers' Sektion
203700	206280	2580	hat Datensammlungen über Wähler und ihre politische Gesinnung gekauft.
206430	208880	2450	Wer z.B eine US-Flagge vor dem Haus aufgehängt hat,
208990	210960	1970	wählt eher republikanisch.
213760	217400	3640	Leute mit Hunden sind eher Republikaner,
217480	220400	2920	Katzenbesitzer eher Demokraten.
220600	223320	2720	Aufgrund seiner Daten und den Wählerlisten weiss Will,
223530	226600	3070	wo Republikaner wohnen, die noch nicht gewählt haben.
226710	230079.99999999997	3370	Und diese sucht er gezielt auf.
230300	232440	2140	Unsere Daten zeigen,
232540	234880	2340	dass jemand in diesem Haushalt noch nicht gewählt hat.
235100	237160	2060	Wir wählen, ich warte auf meinen Mann.
237300	240680	3380	Wissen Sie, wo die Urne steht?
240810	243160	2350	Das alles für Joni Ernst,
243330	246200	2870	Bauerstochter mit Tea-Party-Gesinnung.
246380	249880	3500	Sie hat nicht nur Lippenstift in der Handtasche.
250040	254880	4840	Wenn Joni Ernst ObamaCare ins Visier nimmt, schiesst sie scharf.
255040	259519.99999999997	4480	Ich mag das Inserat. Es ist lustig und unbeschwert.
259779.99999999997	264210	4430	Unterdessen 2 Fahrtstunden weiter: Waterloo, die Heimatstadt
264420	269210	4790	des demokratischen Senatskandidaten Bruce Braley.
269320	274210	4890	Der Rechtsanwalt ist weniger durch politische Inhalte als
274220	277570	3350	durch peinliche Fehler aufgefallen.
277710	279409.99999999994	1700	Er wollte seine Nachbarin verklagen,
279610	283050	3440	weil ihre Hühner auf seinem Rasen spazierten.
283230	286330	3100	Und in Waterloo wohnt auch die Latina Monica Reyes.
286580	289210	2630	Die Latinos haben Obama vor 2 Jahren zur Wiederwahl verholfen.
289370	291650	2280	Diesmal aber wollten weniger als 1/5 von ihnen wählen gehen.
295220	297530	2310	Es ist frustrierend.
297720	299610	1890	Präsident Obama hat viele Versprechen gemacht,
299750	302370	2620	aber er setzt sie nicht um.
302450	305010	2560	Der Kongress ist total blockiert, darum gehe ich nicht wählen.
305240	309770	4530	Es war die Schwäche der Demokraten,
310020	313770	3750	die den Republikanern zum Sieg verholfen hat.
313960	316570	2610	Dass das im blockierten Washington zu Kompromissen führen soll,
316800	320010	3210	wie Will Rogers hofft, scheint aber bloss frommer Wunsch zu sein.
321420	323570	2150	Nicht nur in Iowa
323760	325930	2170	jagten die Republikaner den Demokraten einen Sitz ab.
326110	328210	2100	Hier das vorläufige Gesamtresultat der Kongresswahlen in der Übersicht:
328310	331010	2700	Im Senat - quasi dem Ständerat -
331220	333850	2630	dürften die Demokraten auf 45 Sitze kommen.
334020	337850	3830	Die Republikaner kommen gemäss den vorliegenden Resultaten auf 52 Sitze.
338020	342010	3990	Im komplett neu gewählten Repräsentantenhaus -
342150	345210	3060	sozusagen dem Nationalrat -
345270	348090.00000000006	2820	haben die Demokraten 179 Sitze auf sicher.
348180	351130	2950	Die Republikaner können mit mind. 243 Mandaten rechnen.
351300	353610	2310	So viel hatten sie seit dem Zweiten Weltkrieg nicht mehr.
355980	358250	2270	Es ist für die Republikaner ein Sieg auf der ganzen Linie.
358409.99999999994	360970	2560	Sie haben künftig in beiden Kammern des Kongresses die Mehrheit.
361110	363850	2740	Rot: Die Farbe des Tages.
363940	366130	2190	Sogar das Empire State Building
366300	368930	2630	leuchtete in der Farbe der Grand Old Party.
369020	371410	2390	Die Republikaner kommen aus dem Jubeln gar nicht mehr heraus.
371500	374930	3430	Sie haben jetzt im Kapitol definitiv das Sagen.
375060	378410	3350	Präsident Obama steht jetzt quasi allein im Regen.
378570	381370	2800	Vor einer knappen Stunde ist er vor die Medien getreten.
381540	384250	2710	Er will das Beste aus der Situation machen.
384420	387770	3350	Ich bin begierig darauf,
387950	390450	2500	die kommenden 2 Jahre so produktiv wie möglich zu machen.
392140	394210	2070	Obama reicht also seinen Gegnern die Hand.
394300	396409.99999999994	2110	Arthur Honegger in Washington,
396580	399050	2470	trotzdem: Schon in den letzten Jahren gabs immer wieder Blockaden,
399200	401250	2050	muss man jetzt damit rechnen, dass gar nichts mehr läuft?
401370	410970	9600	Wir untertiteln live:
411100	413010	1910	diese Gefahr besteht.
416100	418770	2670	Heute haben wir von beiden Seiten Konzil Erntetöne gehört.
418909.99999999994	420930	2020	Aber das ist meine 4. Wahl.
