start	end	duration	text
3050	5670	2620	.
5760	13830	8070	1:1-Untertitelung
13950	16350.000000000002	2400	Buna sera.
16440	19230	2790	"Schön, dass Sie bei ""Schweiz aktuell"" dabei sind -"
19320	20910	1590	heute mit folgenden Geschichten:
20870	23670	2800	V.a. im Kanton Aargau haben heftige Gewitter
23730	26270	2540	heute deutliche Spuren hinterlassen.
26400	29710	3310	Die Feuerwehr hat schon rund 250-mal ausrücken müssen.
31760	35910	4150	Für eine Wohnungsbesichtigung in Zürich stehen Tausende Schlange.
36030	38590	2560	V.a. grosse und günstige Familienwohnungen
38770	41230	2460	sind ein absoluter Mangel in der Stadt.
43940	47110	3170	Die ETH Lausanne arbeitet an der Entwicklung einer Schutzbrille,
47240	49390	2150	mit der Feuerwehrleute
49540	52950	3410	sogar in düsteren, verrauchten Räumen noch klare Sicht haben.
55840	58350	2510	Heute Nachmittag gab es in der Schweiz heftige Gewitter.
58560	62350	3790	V.a. die Kantone Basel, Solothurn, Bern und Aargau sind betroffen.
62440	67150	4710	Aber auch in Genf gab's ein Gewitter. Dort stürzte ein Baum auf ein Tram.
67380	70470	3090	Auf der betroffenen Linie ist ein Ersatzbus unterwegs.
70620	73830	3210	Starke Gewitter sind auch über Teile des Kantons Aargau gezogen.
74000	78310	4310	In mehreren Ortschaften stand die Feuerwehr im Grosseinsatz.
79990	82030	2040	"""Land unter"" hiess es heute"
82240	84390	2150	in der Aargauer Gemeinde Othmarsingen bei Lenzburg.
84600	87750	3150	Strassen und Wiesen wurden zu bis zu 150 m breiten Bächen.
87910	91150	3240	Mehrere Strassen in der Region waren heute Nachmittag gesperrt.
91330	95830	4500	Und das Wasser machte auch vor Häusern nicht halt.
95990.00000000001	100310	4320	Bei Urs Werder steht das ganze Wohnzimmer unter Wasser.
100400	104590	4190	Das heute ist schon das dritte Mal, dass ihn das Hochwasser erwischt.
104740.00000000001	107750	3010	Es kam einfach wie ein Bach über den Garten hinein,
107900	112350	4450	lief unter der Tür durch, hinten in die Scheune, durch den Keller
112450	116229.99999999999	3780	und füllte die Zimmer.
116440	119470	3030	Die Sandsäcke, mit denen wir uns verbarrikadiert hatten,
119660	123310	3650	nützten nichts mehr. Einfach nur zuschauen und fluchen.
123470	126670	3200	Das Unwetter richtete auch in Oftringen Verwüstung an.
126920	129630	2710	Ein Blitz schlug in einen Bauernhof ein.
129840	132350	2510	Die Scheune brannte trotz des starken Regens ab.
132440	134630	2190	Laut Polizei wurden beim Vollbrand
134840	137630	2790	aber weder Tiere noch Menschen verletzt.
137730	142070	4340	Rund 250 Schadensmeldungen aus dem ganzen Kanton
142210	145270	3060	gingen bei der Kantonspolizei bis zum späten Nachmittag ein.
145380	149230	3850	Besonders die Gemeinde Othmarsingen war betroffen.
149360	152150	2790	Die Feuerwehr stand im Dauereinsatz - wie hier im Keller des Coop.
152270	154630	2360	Wie viele Keller müssen Sie auspumpen?
154730	157710	2980	Wir haben etwa 150 Schadensmeldungen,
