start	end	duration	text
10820	12780	1960	MIT TELETEXT-UNTERTITELUNG
15340	18540	3200	Liebe Zuschauerin, lieber Zuschauer, gerade jetzt,
18730	22540	3810	wo für einige von uns die Ferien schon wieder zu Ende gehen,
22700	25340	2640	spüren wir wieder vermehrt den Zeitdruck.
25470	29020	3550	Sehnsüchtig denken wir an die Ferientage zurück.
29140	29300	160	Wir hatten Zeit für Familie und Freunde
32140	34740	2600	und v.a. auch Zeit für uns selber.
35420	38980	3560	"""Alles hat seine Zeit"", können wir in der Bibel lesen."
39240	42820	3580	"""Ferien haben ihre Zeit, und Arbeit hat ihre Zeit"","
43020	44300	1280	würde der Prediger wohl heute schreiben.
46370	49620	3250	In der Praxis ist es leider oft ganz anders.
49730	51780	2050	Unsere Welt ist schnelllebig.
51900	55900	4000	Die Entwicklungen in wirtschaftlichen und technischen Bereichen
56020	58140	2120	vollziehen sich immer rasanter.
58290	59260	970	"Der Vorsatz ""alles hat seine Zeit"" ist arg in Bedrängnis."
63150	65140	1990	Und doch denke ich,
65250	68940	3690	dass die biblischen Worte heute aktueller sind denn je.
69020	70950	1930	Sie können uns helfen,
71110	74350	3240	ausgeglichen zu leben und innerlich gesund zu bleiben.
77060	81640	4580	Jesus ist für mich ein Mensch, der in dieser Harmonie gelebt hat.
82460.00000000001	87080	4620	Ich kann mir Jesus nicht mit einem vollen Terminkalender vorstellen,
87180	89320	2140	wie er von Termin zu Termin hetzt,
89660	93600	3940	um sein Projekt der Befreiung der Menschheit zu realisieren.
93810	97000	3190	Nein, Jesus wird als einer beschrieben,
97140	100039.99999999999	2900	der eine grosse Ruhe ausgestrahlt hat.
100539.99999999999	104400	3860	Obwohl er sich jeden Abend darüber hätte aufregen können,
104729.99999999999	108920	4190	dass er nicht alle Kranken geheilt, nicht alle Traurigen getröstet
109100	112039.99999999999	2940	und nicht allen Bedürftigen geholfen hat.
112470	115520.00000000001	3050	Stattdessen hatte Jesus immer Zeit.
115700	118680	2980	Er hat niemals nur mit einem Ohr zugehört
118780	119320	540	und war mit seinen Gedanken schon woanders.
122340	127360	5020	Jesus war die Gelassenheit, die Ruhe, der Friede selbst.
128009.99999999999	131280	3270	Jesus wusste: Alles hat seine Zeit.
132020	134320	2300	Auf unseren Alltag übertragen,
134510	139040	4530	können diese Worte und die Lebens- weise Jesu Verschiedenes bedeuten.
139500	143440	3940	Zuallererst, dass wir mit aller Kraft in der Gegenwart leben.
143900	148160	4260	Der wichtigste Moment in unserem Leben ist immer der gegenwärtige.
148300	149320	1020	Die Vergangenheit ist vorbei, an ihr ist nichts mehr zu ändern.
153060	156000	2940	Dazu gehört auch, loslassen zu können,
156150	159040	2890	wenn ein Lebensabschnitt zu Ende geht.
159460	162280	2820	Es gilt, die Gegenwart bewusst zu leben.
162700	164320	1620	"Zum anderen sehe ich in den Worten ""alles hat seine Zeit"","
167140	170040	2900	dass wir uns nicht hetzen lassen sollten.
170270	172560	2290	Weder durch technische Hilfsmittel,
172710	176040	3330	noch durch die Erwartungen unserer Mitmenschen.
176190	179360	3170	Wir sollten uns Zeit lassen dürfen für Entscheidungen.
180520	182920	2400	Zeitdruck ist kontraproduktiv.
183380	185920	2540	Viele Probleme lösen sich wie von selbst,
186030	188320	2290	wenn man sie ein wenig ruhen lässt.
189410	192960	3550	Wer sich die Zeit nimmt, einen klaren Kopf zu bekommen
193100	194360	1260	und den richtigen Augenblick abzuwarten,
196060	198920.00000000003	2860	wird oft bessere Entscheidungen treffen.
199640	203560	3920	"Mit diesem ""Wort zum Sonntag"" verabschiede ich mich von Ihnen."
203770	205720	1950	"Ja, ""alles hat seine Zeit."""
205810	209160	3350	Ich wünsche Ihnen noch einen guten Abend
209290	209480	190	und einen schönen Sonntag.
211480	214960	3480	SWISS TXT / UT-Redaktion Zürich Claudia Burri
