start	end	duration	text
38340	40360	2020	MIT TELETEXT-UNTERTITELUNG
47970	51080	3110	Der Gotthard im Winter, ein stiller Ort -
52150	56200	4050	wenn nicht gerade ein Schneesturm tobt, wie in den Tagen zuvor,
56350	58560	2210	weshalb die zwei Talsperrenwärter ihren Kontrollgang
59790	61840	2050	mehrmals verschieben mussten.
72150	73640	1490	Der Lago della Sella ist einer der zwei grossen Gotthard-Stauseen.
76550	81320	4770	330 m breit ist die Talsperre, 32 m hoch,
81960.00000000001	85920	3960	erbaut ab 1945, als der Krieg entschieden war
86070	88560	2490	und das Militär hier oben Entwarnung geben konnte.
97110	100440	3330	Die zwei Männer des Tessiner Elektrizitätswerkes AET
100560	103000	2440	verschwinden im Innern der Staumauer.
112090	114720	2630	Ein unverrückbares Bauwerk, wie es scheint
114950	118640	3690	und doch bewegen sich die Betonmassen je nach Seevolumen und Temperatur
119320	122080	2760	im Millimeterbereich.
123800	126600	2800	Michel Beffa und Gianluca Mufatti kontrollieren,
126710	130000	3290	ob diese Veränderungen im akzeptablen Rahmen liegen
130110.00000000001	132840	2730	oder ob sie Alarm schlagen müssen.
154000	158079.99999999997	4080	Nach dem Lago della Sella traversie- ren die Männer einige heikle Hänge,
158230	161880	3650	bei denen Kenntnisse über Lawinengefahren angezeigt sind.
162560	163600	1040	Der Winter hier mit seinen verwehten Schneemassen ist tückisch.
167000	171340	4340	Auch deshalb ziehen die Männer nur zu zweit auf ihren Kontrollgang.
172190	176820	4630	Mehr Sorgen als die Betonbauten be- reiten im Winter die Stromleitungen,
176990	178620	1630	die immer wieder durch Eis und Schnee beschädigt werden.
187870	190020	2150	Die Passhöhe liegt in Sichtweite.
196440	198940	2500	Einige Anlagen des Gotthard-Kraftwerkes
199050	202220	3170	sind in unscheinbaren Gebäuden geradezu versteckt.
203240	207020	3780	Dieses Steinhaus, einer Alphütte ähnlich, ist ein Pumpwerk:
207780	208620	840	Hier wird das Wasser vom Sella- in den Lucendrosee hochgepumpt.
222600	223620	1020	Testweise schalten die Männer die Pumpe ein,
225630	228620	2990	bevor sie in lange, feuchte Stollen eintauchen.
239050	241580	2530	Gotthard heisst das Innerste der Schweiz,
241750	244580	2830	im Winter ein entrückter, menschenleerer Ort.
245760	249420	3660	Gelegentlich kommen hier ein paar Skitourengänger vorbei,
249520	251540	2020	ein Trupp Soldaten
251740	253700	1960	oder eben die Talsperrenwärter vom Elektrizitätswerk.
256350.00000000003	258820	2470	Wie ein Findling aus einer anderen Welt:
258920.00000000003	262460	3540	der rote Container, im Sommer ein Grillstand.
264850	268340	3490	Bald wird es hier oben mit der Ruhe wieder vorbei sein.
274510	277220	2710	Der April ist bereits weit fortgeschritten.
277670	282140	4470	Und auch im urnerischen Hospental, am Fuss des Gotthardpasses gelegen,
282230	283740	1510	wird es allmählich Zeit für den Frühling.
285500	288580	3080	In vier Wochen soll die Barriere geöffnet werden.
289230	292540	3310	Dann wird es für Fussgänger auf der Gotthardstrasse
292620	294540	1920	keinen Platz mehr haben.
295190	297700	2510	Die Passöffnung, das ist seine Aufgabe.
298870	301460	2590	Werner Gnos, der Gotthardstrassenmeister,
301630	305220	3590	und seine Männer arbeiten unter schwierigen Bedingungen.
305390	308620	3230	Die Lawinenreste überall in der Strasse zeigen es.
309740	313660	3920	Am Wochenende bekamen wir etwa 80 cm Schnee.
314950	317540	2590	Eigentlich hatten wir hier schon geräumt.
317720	323140	5420	Die Lawinen, die man hier sieht, sind alle von diesem Neuschnee.
323330	327820	4490	Im Prinzip konnten wir am Montag praktisch unten wieder beginnen.
328870	332900	4030	Zwei Teams kämpfen sich durch den Schnee der Passhöhe entgegen,
333090.00000000006	337260	4170	eines von Norden her, dieses hier ist auf der Südseite am Werk.
337780	339780	2000	Eine Arbeit am gleichen Berg,
339980	343700	3720	doch oft unter äusserst unter- schiedlichen Wetterverhältnissen.
344050	347100	3050	Sonne auf der Nordseite, Nebel hier im Süden.
348390	352300	3910	So ist der Gotthard eben: ein Berg der Unwägbarkeiten.
355300	357700	2400	Das Schlimmste hier oben ist der Nebel.
359350	361700	2350	Die Schneehöhe ist nicht so schlimm.
361970	365220	3250	Wenn es 10 m Schnee hat, fräsen wir halt 10 m raus.
365270	368700	3430	Wenn es nur 5 m hat, fräsen wir nur 5 m raus.
368880	371180	2300	Man kann die Gefahr in etwa beurteilen.
371420	373780	2360	Aber bei Nebel sieht man einfach nichts mehr.
374340	378340	4000	Man sieht die Hänge nicht mehr. Der Nebel ist hier der grösste Feind.
379020	381100	2080	Vor sieben Tagen haben die Männer
381320	383900	2580	unten in Airolo und Hospental angefangen.
384020	386580	2560	Noch fast vier Wochen haben sie Zeit,
386660	388740	2080	die Passstrasse zu räumen und für den Verkehr instand zu stellen.
390780	393350	2570	Genügend Zeit, so scheint's,
393510	398110	4600	da kann auch der Neuschnee der letz- ten Tage keine Unruhe verursachen.
400030	403150	3120	Aufgeregt ist hier oben einzig dieses Murmeltier.
404150	408350	4200	Nach dem Durchgang der Fräse findet es offenbar seine Höhle nicht mehr.
408560	412110	3550	Das Tier hätte wohl besser noch etwas länger geschlafen.
414580	416550	1970	Auf der Nordseite
416780	418750	1970	ist Louis Baumann unterwegs, der Chef der Unterhaltsequipen.
420730	424550	3820	Er ist zuständig für den Gotthardtunnel und die Passstrasse.
424820	428150	3330	Die Fahrt führt entlang zahlreicher, frischer Lawinen.
430100	432030	1930	Auf der Nordseite
432240	433750	1510	sind die Fräsen bereits weit in die Höhe vorangekommen.
435420	438150	2730	Wo und wann es die Maschinen wagen können,
438300	441830	3530	in den Tiefschnee vorzudringen, muss Brosi Müller entscheiden.
443710	445670	1960	Er, der Verantwortliche
445830	448790	2960	für die Sicherheit auf dieser Seite des Passes,
449140	451990	2850	kommt eben von einer Erkundung der Lage zurück.
452659.99999999994	455670	3010	Er berichtet Baumann über die Lawinensituation.
457180	461790	4610	Gestern und vorgestern kamen sehr viele Lawinen.
462380	463750	1370	Ist das nicht gefährlich für euch?
464820	468710	3890	Wir müssen halt schauen, dass wir nicht in der Zeit arbeiten,
468870	471510	2640	wenn sie kommen, sondern früher am Morgen.
472500	475830	3330	Am Abend muss man halt aufpassen wegen des Rückwegs.
475970	477909.99999999994	1940	Dass er klappt.
479659.99999999994	482270	2610	Für die nächsten Tage ist Regen angesagt.
482980	485470	2490	Das könnte die Situation verschärfen.
487290	491310	4020	Je mehr Regen reinkommt, je mehr Wasser drin ist,
491460	493760	2300	desto instabiler ist die Schneedecke.
493970	496560	2590	Dann rutscht sie halt in Gottes Namen ab.
496700	501200	4500	Aber in zwei Tagen sind wir auf der sicheren Seite zum Arbeiten.
501430	505000	3570	Es ist trotzdem gefährlich. - Richtig.
507680	508760	1080	Einen Tag später. Noch hält sich das sonnige Wetter.
512620	514799.99999999994	2180	Brosi Müller nutzt die gute Sicht,
515020	518240	3220	um mit Toni Niffeler die Schneesituation zu prüfen.
518799.99999999994	520760	1960	Niffeler, ein Bergführer,
520860	523840.00000000006	2980	arbeitet für das Lawinenzentrum der Armee in Andermatt
524290	526680	2390	und berät die Schneeräumer am Gotthard.
528420	531600	3180	Da hinten waren auch wieder ca. 150 m Lawine drin.
532220	536320	4100	Im hinteren Teil waren ca. 80 m der Strasse verschüttet.
542420	547610	5190	Ja. Eine rechte Menge Schnee. - Ja.
547780	550290	2510	Es ist auch schon viel runtergekommen.
550340	553250	2910	Ich denke ... In einem Monat öffnet der Pass.
553340	553850	510	Und jetzt wurde schon ziemlich viel gesprengt.
556420	560050	3630	Ich weiss nicht ... Es müsste schon recht gesättigt sein,
560270	562490	2220	damit wir etwas machen können.
563580	567170	3590	Nassschnee zu sprengen ist halt schon ... eher negativ.
567690	568810	1120	Die Schneewehe da oben ist schon recht zusammengeschmolzen.
571700	575060	3360	"Am Anfang dachte ich: ""Wenn das Zeug runterkommt"
575180	578260	3080	"und unten noch eine Lawine mitreisst ..."""
578390	581380	2990	Ja, sie ist 3-4 m hoch. - Fast noch mehr.
582540	583820	1280	Ich würde nicht darunter stehen wollen -
