start	end	duration	text
1700	3640	1940	.
4650	7160	2510	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7310	11240	3930	Willkommen zum Blick hinter die Schlagzeilen - es ist 10 vor 10.
11360	13760	2400	Wer wird der nächste Schweizer Bundesrat?
13950	17000	3050	Neun Kandidaten haben die SVP-Kantonalparteien bisher
17210	19680	2470	auf den Schild gehoben. Doch eins enttäuscht
19900	23120	3220	altgediente Parteigrössen wie Ulrich Giezendanner:
23290	25080	1790	Ich habe natürlich keine Freude,
25180	26960	1780	dass die SVP keinen Unternehmer präsentieren kann.
27140	29000	1860	Es ist auch schade für den Bundesrat.
29110	31000	1890	In den Bundesrat gehört dringend ein Unternehmer,
31150	33640	2490	der auch richtig unternehmerisch denkt.
34050	36480	2430	Kein Unternehmer bei der Unternehmerpartei?
36700	39480	2780	"Da fragen wir nach. Ausserdem heute bei ""10vor10"":"
41140	44440	3300	Die Löhne steigen - aber längst nicht für alle.
45590	49800	4210	China baut an der grössten Metropole der Welt.
51380	59720	8340	Schock-Rocker Marilyn Manson hat auch eine zarte Seite.
61960	66680	4720	So, heute beginnen wir die Sendung mal mit einer guten Nachricht:
66770	69400	2630	Wie das Bundesamt für Statistik heute mitteilt,
69539.99999999999	73080	3540	steigen die Löhne von Angestellten mit Gesamtarbeitsvertrag GAV
73250	75720	2470	real um 1,9 %.
75940	78810	2870	Doch bevor Sie jetzt den Champagner aus dem Kühlschrank holen:
78970	81370	2400	So einfach-automatisch gibt es nicht mehr Geld.
81539.99999999999	83289.99999999999	1750	Bei wem der Lohn steigt und bei wem nicht,
83480	85890	2410	entscheidet sich beim Gespräch mit dem Chef -
86000	88250	2250	das ist zunehmend auch in GAV-Branchen so.
88450	92170	3720	Daniel Däster über den Trend zum Leistungslohn trotz Kollektivvertrag.
93539.99999999999	96970	3430	Auch hier gibt es mehr Geld, wenn die Leistung stimmt.
97140	100610	3470	Paolo Salvagno ist Chef von rund 50 Ingenieuren.
100700	103970	3270	Er setzt voll auf Leistungslöhne.
104120	106729.99999999999	2610	Wir führen alle Jahre Mitarbeitergespräche,
106950	111690	4740	beurteilen jeden individuell und belohnen ihn entsprechend.
111860	115410	3550	Wir scheren nicht alle über denselben Kamm
115630	120050	4420	und erhöhen den Lohn bei allen um 0,5 oder 1 %,
120270	122050	1780	sondern wir handhaben das individuell.
122200	124650	2450	Steigt die Leistung, steigt der Lohn.
124740	126610	1870	So auch bei Valentin Vogt,
126770	129570	2800	Miteigentümer eines grossen Industrieunternehmens
129740.00000000001	131850	2110	und Präsident des Arbeitgeberverbandes.
132050	134090	2040	Mit Leistungslohn könne er die wichtigen Fachkräfte
134300	136490	2190	im Unternehmen halten.
136590	140300	3710	Das ist überall so, bei Mitarbeitern, Kader usw.
140590	142340	1750	Auch in diesen schwierigen Zeiten schauen wir,
142490	145940	3450	dass man jenen, die das Unternehmen tragen und nach vorne bringen,
146150	147900	1750	auch etwas geben kann.
148110	149980	1870	Der Lohn nach Leistung liegt im Trend,
150130	152460	2330	gerade in Branchen mit Gesamtarbeitsvertrag.
152590	155820	3230	Das zeigen auch die neusten Zahlen des Bundesamtes für Statistik.
155930	158579.99999999997	2650	2012 waren nur rund ein Drittel aller Lohnerhöhungen
158760	161220	2460	von der Leistung der Mitarbeiter abhängig.
161410	166100	4690	Dann der Sprung auf über 60 %, als die Teuerung gegen null sank.
166270	171820	5550	Und seither ein Anstieg auf zuletzt 65 % Leistungslöhne.
172110	173900	1790	Kritik an diesem Trend kommt von den Gewerkschaften.
174050	175340	1290	Sie möchten,
175590	179900	4310	dass alle Arbeitnehmer gleichermassen von einer Lohnrunde profitieren.
180060	183100	3040	Diese Entwicklung zu individuellen Lohnerhöhungen
183290	185820	2530	ist für uns eine ungute Entwicklung.
186000	188300	2300	Grundsätzlich leistet das ganze Personal
188470	192060	3590	zu einer positiven Entwicklung im Betrieb seinen Beitrag.
192320	196220	3900	Deshalb müssten auch alle eine generelle Lohnerhöhung erhalten.
196280	198460	2180	Generelle Lohnerhöhungen sind auch besser,
198550	200790	2240	weil sie mehr Transparenz schaffen,
200960	204030	3070	man weiss, wie viel jeder effektiv erhält.
204200	207750	3550	Das ist auch gut für das Betriebsklima.
207890	212950	5060	Mehr Lohn bei mehr Leistung. Ein Konzept, das allen zugute komme,
213120	218870	5750	"sagt Bundesrat Schneider-Ammann heute gegenüber ""10vor10""."
219030	221670.00000000003	2640	Alle Lohnfragen sind sozialpartnerschaftliche Fragen.
221770	223950	2180	Ich weiss aus der Vergangenheit,
224100	226190	2090	dass man den Grundlohn bei allen gleich ansetzt
226350	230829.99999999997	4480	und Individuallöhne etwas differenzierter angeht.
230990	234670.00000000003	3680	Wenn einzelne Leistungsträger etwas besser bezahlt werden,
234750	237470	2720	helfen diese auch mit, dass die Unternehmung besser im Markt bleibt,
237579.99999999997	239390	1810	dass sie wettbewerbsfähiger bleibt.
239480	241430	1950	Das kommt wieder allen Arbeitsplätzen zugute.
241660	243670	2010	So kommt es indirekt auch jenen zugute,
243870	246870	3000	die vielleicht nur den allgemeinen Beitrag erhalten.
247050	250310	3260	Wer viel arbeitet und leistet, soll auch viel bekommen,
250510	252830	2320	darüber ist sich die Wirtschaft einig.
254590	256910.00000000003	2320	Zu unserem Fokusthema:
257140	260470.00000000003	3330	Die SVP schreibt sich das Unternehmertum gern auf die Fahne
260579.99999999997	263110	2530	und schiesst scharf gegen die Bürokratie.
263210	264790	1580	Schaut man sich allerdings an,
264990	267390	2400	welche Kandidaten bisher von ihren Kantonalparteien
267510	270550	3040	ins Rennen für den Bundesrat geschickt wurden, fällt auf:
270740	273190	2450	Da ist kein einziger Unternehmer dabei.
273350	275350	2000	Auch die drei heute nominierten Herren
275520	278670	3150	Thomas Aeschi, Heinz Brand und Res Schmid sind keine Patrons.
