start	end	duration	text
0	4760	4760	.
4840	12560	7720	1:1-Untertitelung. Livepassagen können Fehler enthalten.
12690	14640	1950	"Hallo und guten Abend zu ""Schweiz aktuell"" am Donnerstag,"
14690	16560	1870	und das sind unsere Schwerpunkte:
18550	21120	2570	Das schwere Unglück im Kohlebergwerk in der Türkei
21330	25080	3750	beschäftigt auch die Arbeiter im Waadtländer Salzbergwerk in Bex.
27480	29320	1840	Das Luzerner Stadtparlament
29480	32640	3160	unterstützt deutlich eine Initiative zur Rettung der Zentralbibliothek.
36850	39160	2310	Unser Partnerteam vom welschen Fernsehen will wissen,
39250	41160	1910	warum gewisse Schaffhauser Politiker
41370	44440	3070	keine 2. Fremdsprache in der Primarschule wollen.
46120	48200	2080	Heute Abend kann der FC Basel zum 5. Mal in Serie
48350	50480	2130	Schweizer Fussballmeister werden,
50630	53840	3210	und zwar, wenn er auswärts in Aarau gewinnt.
53920	56320	2400	Logisch, dass der Match ausverkauft ist.
56560	58920	2360	Und in diesen Minuten ist der erste Fanzug aus Basel
59130	61520	2390	im Aarauer Bahnhof angekommen.
61680	64480.00000000001	2800	Eine hochmotivierte Fanschar in blau-rot macht sich von dort auf
64610	69800	5190	durchs Aarauer Süd-Quartier zum Stadion Brügglifeld.
70030	72960.00000000001	2930	Jetzt ist es friedlich, aber was nach dem Match ist,
73130	76160	3030	wenn die Fans zurück durchs Wohnquartier zum Bahnhof drängen -
76370	79840	3470	ob mit oder ohne Meistertitel - das ist eine ganz andere Frage.
80039.99999999999	83160	3120	Deshalb gibt es für das Spiel auch erhöhte Sicherheitsvorkehrungen,
83300	85320	2020	wie der Bericht von Noemi Ackermann zeigt.
86660	88600	1940	Das ist das Spielfeld, an dem sich entscheidet,
88740	90800	2060	ob der FCB heute Abend Schweizer Meister wird.
91000	94039.99999999999	3040	In diesem Teil stehen auch die FCB-Fans.
94240.00000000001	97039.99999999999	2800	"Der Sicherheitsbeauftragte des FC Aaraus zeigt ""Schweiz aktuell"","
97250	100400	3150	was sie heute Abend alles speziell für das Spiel gebaut haben.
100490.00000000001	104560	4070	Er hätte keine Angst vor dem Spiel, aber Respekt, sagt Leo Locher:
