start	end	duration	text
2430	3050	620	.
3170	6770	3600	1:1-Untertitelung
6910	10050	3140	Guten Abend, herzlich willkommen.
10150	12250	2100	Ziemlich genau ein Monat ist es her,
12470	14770	2300	seit die Auflösung des Euro-Franken-Mindestkurses
14940	18090	3150	die Schweizer Wirtschaft wie ein Donnerschlag traf.
18270	20650	2380	Jetzt haben sich die dunkelsten Wolken verzogen.
20770	22530	1760	Das Verhältnis Euro-Franken
22640	25010	2370	hat heute erstmals wieder die 1.07-Grenze geknackt.
25140	28330	3190	"""Ist damit das Schlimmste überstanden?"", fragen wir und zeigen,"
28480	32890	4410	dass die Exportindustrie noch lange nicht aufatmet. Das in unserem Fokus.
32990	35250	2260	Und hier die weiteren Themen:
38440	42170	3730	Der Kampf um Debalzewe stellt das Waffenruheabkommen infrage.
45420	50450	5030	Der Bundesrat will Lifestyle-Gentests gesetzlich reglementieren.
54160	56210	2050	Wie Schriftsteller Linus Reichlin
56360	59010	2650	seine Vergangenheit literarisch verarbeitet.
62110	65310	3200	Die Panzer der ukrainischen Armee rollen stadtauswärt.
65459.99999999999	68990	3530	Die Schlacht um Debalzewe, die seit Wochen tobt, ist verloren.
69070	71830	2760	Jetzt haben die pro-russischen Separatisten
71990	74150	2160	wieder die Herrschaft übernommen über die kleine,
74340	76950	2610	aber verkehrstechnisch wichtige Stadt in der Ost-Ukraine.
77039.99999999999	80350	3310	Bis heute war Debalzewe heftig umkämpft,
80500	82670	2170	die Waffenruhe von Minsk, die seit Sonntag gilt,
82789.99999999999	84789.99999999999	2000	wurde nicht eingehalten.
84950	87160	2210	Sind die diplomatischen Bemühungen gescheitert?
87330	90640	3310	Der Friedensplan längst Makulatur? Nicole Vögele berichtet.
92490.00000000001	94880	2390	Seit den frühen Morgenstunden sind sie auf dem Abzug,
94979.99999999999	97320	2340	die Soldaten der ukrainischen Armee.
97479.99999999999	100880	3400	Davor waren Tausende von ihnen in der Stadt eingeschlossen.
101050	105920	4870	Heute endlich wieder ein erster Tee, ein erstes heisses Getränk.
109250	111360	2110	Es war sehr, sehr hart.
111500	113560	2060	Wir konnten nicht mal Essen oder Wasser holen.
113680	115640	1960	Wir haben die ganze Zeit gebetet
115840	118120	2280	und uns Hunderte Male von unserem Leben verabschiedet.
118340	122480	4140	Die anderen hatten wirklich starke Artillerie.
122940	126320	3380	Andere sind zu Fuss auf dem Weg aus der Stadt.
126550	128759.99999999999	2210	Sie sind erschöpft aber auch erleichtert.
128900	132350	3450	Manche sagen, man hätte sich früher aus der Stadt zurück ziehen sollen.
132460	134310	1850	Es war chancenlos.
134480	138070	3590	Wohin wir gehen? Wir können nirgendwo hin.
138220	141870	3650	Den Abzug der Truppen bestätigt
142010	144590	2580	hat inzwischen auch der ukrainische Präsident Poroschenko.
144790	146710	1920	Er gab damit erstmals zu,
146870	149270	2400	die Schlacht um Debalzewe verloren zu haben.
149380	153990	4610	Heute haben wir uns hinter neue Fronlinien zurückgezogen.
154140	157750	3610	Und in meinen Gesprächen mit den USA und der EU
157900	161829.99999999997	3930	haben wir harte Antworten von der Welt gefordert
161910	168510	6600	auf diese brutale Verletzung des Minsker Abkommens.
168640	172240	3600	Debalzewe gehört jetzt vorerst
172329.99999999997	174880	2550	jedenfalls den pro-russischen Separatisten.
174960	177720	2760	Für sie eine verkehrstechnisch wichtige Eroberung.
177800	180920	3120	Die kleine Stadt liegt in der Mitte der beiden Separatistenhochburgen
181050	183040	1990	Donezk und Luhansk.
183200	185960	2760	Die Rebellen markieren die eingenommene Stadt mit ihrer Flagge.
186160	190480	4320	Für ihren Gewinn haben sie die letzten Tage hart weitergekämpft -
190590	193800	3210	trotz unterzeichneter Waffenruhe.
193960	196840	2880	SRF-Russland-Korrespondent Christof Franzen
196920.00000000003	199720	2800	"arbeitet gerade an der Vertonung seines ""DOK""-Films"
199820	202160	2340	über den Ukraine-Konflikt.
203000	204840	1840	Er findet es zu früh,
204980	207079.99999999997	2100	den Waffenstillstand für gescheitert zu erklären.
207160	210960	3800	Es gibt die Hoffnung, dass man sagt, die Separatisten wollten einfach
211070	213840	2770	diese strategisch sehr wichtige Stadt, Debalzewe -
213990	217240	3250	nachher geben sie Ruhe. Ich selber glaube aber nicht daran.
