start	end	duration	text
2140	3850	1710	.
3940	7090	3150	1:1-Untertitelung
7160	8770	1610	Guten Abend, meine Damen und Herren.
9020	11490	2470	"Hier ist die ""Tagesschau"", und das sind die Themen heute Donnerstag."
13110	16770	3660	Nach dem Frankenschock macht die Schweizerische Nationalbank
16870	18490	1620	einen Riesenverlust.
19970	23690	3720	In Nepal wird ein 15-jähriges Erdbebenopfer gerettet.
26130	30610	4480	Vor 40 Jahren verloren die USA den Vietnam-Krieg.
32479.999999999996	35930	3450	Wolkenverhangen und gebietsweise intensiver Regen.
37670	40050	2380	Es ist nichts für schwache Nerven:
40210	43130	2920	Mal schreibt die Schweizerische Nationalbank Milliardengewinne,
43250	45650	2400	dann wieder Verlust.
45740	49450	3710	Seit 2011 ging es bei der SNB von Jahr zu Jahr auf und ab.
49530	54850	5320	Bis es jetzt im ersten Quartal 2015 so weit runterging wie noch nie.
54940	57490	2550	Auf minus 30 Mrd. Fr.
57670	61130	3460	Eine Folge des Entscheids, den die SNB selber gefällt hat.
61290	65890	4600	Die Aufhebung des Euro-Mindestkurses. Daniel Däster und Bettina Ramseier.
68180	70410	2230	Die Schweizerische Nationalbank in Zürich.
70580	74590	4010	Draussen strahlendes Frühlingswetter, drinnen tiefrote Zahlen.
74700	77990	3290	Hatte der Euro vor der Aufgabe des Mindestkurses
78180	83230	5050	noch einen Wert von 1.20 Fr., ist er heute nur noch gut 1.05 Fr. wert.
83380	85670	2290	Deshalb hat die SNB bei den Fremdwährungen
85780	89190	3410	nun 29 Mrd. weniger in ihren Büchern.
89460.00000000001	93270.00000000001	3810	Noch nie habe die Nationalbank so viel Geld in einem Quartal verloren,
93500	97070	3570	sagt UBS Chefökonom Daniel Kalt. Aber:
97220	100390	3170	Ich denke nicht, dass das bereits gefährlich ist.
100600	103830	3230	Die Nationalbank hat ein Eigen- kapitalpolster von knapp 60 Mrd. Fr.
103940	106110	2170	Nun hat dieser Verlust im ersten Quartal
106280	109509.99999999999	3230	etwa die Hälfte des Polsters aufgefressen, wenn man so will,
109660	114110	4450	es müssten also nochmals massiv negative Quartale folgen,
114180	118830	4650	damit die SNB ihr Eigenkapital aufgebraucht hätte.
118890	124190	5300	Mit weiteren, vergleichbaren Einbrüchen rechnet Kalt aber nicht.
124340	128669.99999999999	4330	Vom Verlust könnten dereinst auch der Bund und die Kantone betroffen sein.
128820	130990.00000000001	2170	Sie werden jährlich mit einem Milliardenbetrag
131110	133110	2000	am Gewinn der SNB beteiligt.
133270	135790	2520	Die Zahlungen fürs laufende Jahr sind nicht in Gefahr.
136020	139110	3090	Im nächsten Jahr könnte es aber eng werden.
140170.00000000003	144150	3980	Momentan hat die SNB Ausschüttungs- reserven von ca. 27,5 Mrd. Fr.
144320	147470	3150	Die würden zur Verfügung stehen.
147600	149150	1550	Allerdings werden die potenziell
149220	154120	4900	vom Quartals- oder dann Jahres- verlust in diesem laufenden Jahr
154220	156000	1780	dann weggefressen sein.
156100	159760	3660	Für das Gesamtergebnis 2015 dürfte es bei einem Verlust bleiben.
159860	163079.99999999997	3220	Die Frage ist, wie hoch dieser ausfällt.
163260	166040	2780	Entscheidend ist nun, wie es für die SNB in diesem Jahr weiterläuft.
166200	169920.00000000003	3720	Und das hängt v.a. vom Dollar- und vom Eurokurs ab.
170120	171880	1760	Der grösste Abschreiber dürfte gemacht sein.
172050	175120	3070	Es wird schwierig für die Nationalbank,
175310	178120	2810	diesen enormen Verlust aus dem ersten Quartal wieder aufzuholen.
178240	180080	1840	Bund und Kantone sollten deshalb
180340	183080	2740	besser nicht mit einer Ausschüttung rechnen im nächsten Jahr.
185190	188840	3650	Mit Hochspannungsleitungen ist es wie mit Handy-Masten:
189000	192080	3080	Jeder braucht sie, keiner will sie.
192160	194520	2360	Wem die umstrittenen Strommasten nicht gefallen,
194730	196640	1910	für den gibt es heute eine gute Nachricht:
196820	200079.99999999997	3260	Die nationale Netzbetreiberin Swiss- grid will in den nächsten 10 Jahren
200140	203000	2860	deutlich weniger solche Metallkonstruktionen
203130	206600	3470	in die Landschaft stellen als ge- plant. Claudia Badertscher berichtet.
208550	210000	1450	Die Schweizer Netzbetreiberin Swissgrid
210160	212400	2240	schaltet einen Gang herunter: In der Schweiz
212590	216579.99999999997	3990	sind nur noch 13 statt 21 neue Hochspannungsleitungen geplant.
216740	220540	3800	Die Kosten belaufen sich auf 2,5 Mrd.
220780	223940	3160	Laut Swissgrid haben sich seit der alten Planung
224110	226740	2630	die Rahmenbedingungen grundlegend geändert.
226900	229780	2880	Und man hat heute viel genauere Rechenmodelle:
229860	234300	4440	Der Ausbau wird teilweise reduziert, das hängt damit zusammen,
234440	238180	3740	dass wir zum ersten Mal schweizweit 3 Dinge gemacht haben:
239420.00000000003	241220	1800	Wir haben erstens eine schweizweite Rechnung gemacht,
241460	244780	3320	zweitens volkswirtschaftlich gerechnet und drittens fokussiert.
244930	248300	3370	8 Projekte sollen laut Swissgrid nicht weiter verfolgt werden.
248480	251060	2580	Verzichtet wird u.a. auf den Boucle Sud,
251200	254820	3620	die seit Jahrzehnten geplante Leitung südlich des Neuenburgersees.
255020	258060	3040	Auch die Leitung Wattenwil-Mühleberg sei nicht nötig,
258209.99999999997	261579.99999999997	3370	ebenso wenig das Projekt Obfelden-Grynau.
261779.99999999997	267180	5400	Wind, Wasser- und Sonnenenergie statt Atomstrom: Das will der Bundesrat.
267380	269980	2600	Die neuen Berechnungen zeigen nun auch:
270060	273380	3320	Das Hochspannungsnetz hält der Energiewende stand,
273570	277620	4050	diese erzeugt kaum Mehrinvestitionen. Das begrüssen die Umweltverbände.
277750	280180	2430	Und dennoch:
280350	284260	3910	Bei genauer Betrachtung setze auch der neue Plan falsche Schwerpunkte,
284420	287380	2960	kritisiert die Schweizerische Energie-Stiftung:
287550	289900	2350	Der Ausbau wurde nur sehr minim reduziert.
290100	293580	3480	Die Begründung für den Ausbau liegt nicht bei der Energiewende,
293670	295900	2230	sondern wenn man die Modelle studiert,
295980	298900	2920	ist es der Ausbau der Grosskraftwerksinfrastruktur
298980	301900	2920	und der Ausbau des Stromhandels.
301980	303460	1480	Wir haben ein Jahr lang
303620	306580	2960	mit der Umweltallianz und allen Umweltverbänden zusammengearbeitet.
306730	308660	1930	Die Energie-Stiftung vertritt eine Meinung,
308780	310860	2080	die nicht überall getragen wird.
311100	313340	2240	Das Thema ist politisch höchst aufgeladen.
313560	316580	3020	Auch um die verbleibenden neuen Leitungen wird gekämpft werden.
316820	318740	1920	Die Swissgrid bekräftigt wohl auch deshalb,
318900	321820	2920	dass sie kein Netz auf Reserve bauen will.
324090	327340	3250	Nach Holcim und Sika plant ein 3. Schweizer Traditionsunternehmen
327460	330550	3090	eine grosse Fusion:
330730	333510	2780	Der Schlüssel- und Schliesstechnik-Konzern Kaba
333670	336990	3320	will sich mit der deutschen DORMA-Gruppe zusammenschliessen.
337120	338470	1350	Es würde ein Unternehmen entstehen,
338630	341550	2920	das weltweit zu den Top 3 der Branche gehört.
341650	343030	1380	Monika Schönenberger.
344790	347110	2320	Es soll der Schlüssel zu noch mehr Erfolg sein:
347270	349550	2280	die Fusion von 2 etwa gleich starken Unternehmen
349650	352310	2660	mit viel Potenzial für Synergien.
352480	356870	4390	DORMA und Kaba arbeiten zwar beide mit Schliesssystemen,
357040	358990	1950	aber mit unterschiedlichen Produkten -
359140	362950	3810	einfach erklärt an der Tür dieses Konferenzsaals.
364230	367350	3120	Sie sehen hier einen Zylinder und ein Schloss.
367460	369590	2130	Das kommt von der Kaba.
369770	373230	3460	Sie sehen hier oben in diesem Fall einen integrierten Türschliesser,
373340	375310	1970	der kommt von der DORMA.
375500	377950	2450	D.h., wir können alles, was an dieser Tür Metall ist,
378080	380190	2110	aus einer Hand anbieten.
380360	383310	2950	Kaba ist Schweizer Tradition, gegründet 1862.
383550	387470	3920	Aber auch DORMA feierte längst das 100-jährige Jubiläum.
387670	390070	2400	Beide Firmen haben starke Familienaktionäre,
390170	394790	4620	und diese haben nun eine langjährige Zusammenarbeit vereinbart.
394890	398230	3340	So öffnen sie sich gegenseitig Türen.
398370	402710	4340	Kaba ist in den USA stark, DORMA in der Region Asien-Pazifik.
