start	end	duration	text
2009.9999999999998	3880	1870	.
4140	6400	2260	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7800	10320	2520	"Die ""Tagesschau"" - meine Damen und Herren, guten Abend!"
10450	12440	1990	Das Volks-Nein zum Gripen
12620	15280	2660	hat jetzt finanzielle Konsequenzen für die Schweizer Armee:
17060	21000	3940	Nach dem Gripen-Nein geht das Geld an andere Departemente.
22720	27360	4640	Neue Mieter sollen über Vormieten informiert werden.
28790	33880	5090	Bei globalen Krisen will Barack Obama keine Alleingänge mehr.
35590	38640	3050	Gegen Abend ein paar Regenschauer, 17 °C.
40610	43600	2990	Das Geld, das für den Kauf des Gripen reserviert war, soll nun -
43770	47880	4110	da der Gripen eben nicht kommt - anderen Departementen zugute kommen.
48000	49930	1930	Konkret heisst das:
50150	54970	4820	Der Bundesrat kürzt der Armee das Budget bis 2016 um 800 Mio. Fr.
55110	57010	1900	Es sei leider nicht möglich,
57200	60170	2970	das geplante Geld so kurzfristig für andere Armeezwecke einzusetzen,
60350	62210	1860	heisst es beim Verteidigungsdepartement.
64099.99999999999	67730	3630	Nach dem Nein zum Gripen hat sich kurzfristig v.a. eine Frage gestellt:
67940	71730	3790	Soll das für das Flugzeug reservierte Geld bei der Armee bleiben
71870	73850	1980	oder für andere Bundesaufgaben verwendet werden?
74010	76490	2480	Nun hat der Bundesrat entschieden.
76660	80770	4110	Bis 2016 soll die Armee insgesamt 800 Mio. Fr. weniger erhalten.
80970	84330	3360	Die Rechte protestiert. Die Linke freut sich.
84520	87610	3090	Ich bin zufrieden, dass man für die nächsten wenigen Jahre
87820	89370	1550	das Armeebudget senkt.
89530	91650	2120	Gleichzeitig ist der Bundesrat auch einigermassen mutlos,
91830	95050	3220	dass er nicht übers Jahr 2016 hinaus bereit ist,
95250	98130	2880	schon heute die Konsequenzen aus dem Gripen-Nein zu ziehen.
98289.99999999999	102090	3800	Ich bin sehr enttäuscht vom Gesamtbundesrat,
102240.00000000001	105770.00000000001	3530	weil der Armee einmal mehr Finanzen weggenommen werden.
105960.00000000001	108450	2490	Das Parlament hat 5 Mrd. beschlossen,
108610	111810	3200	und nun nimmt der Bundesrat der Armee wieder Geld weg,
112020.00000000001	115210.00000000001	3190	obschon gewisse Ausrüstungslücken bestehen,
115370	118410	3040	die eigentlich schnellstens geschlossen werden müssten.
118500	121170	2670	Doch solche Projekte für die Armee
121250	123650	2400	sind laut Bundesrat kurzfristig gar nicht vorhanden,
123810	126370	2560	für die das freiwerdende Geld eingesetzt werden könnte.
126540	129610.00000000001	3070	Es würden Kreditreste entstehen, die man vermeiden will.
129820	132010	2190	Wie viel Geld die Armee ab 2016 braucht,
132130	134170	2040	wird das Parlament entscheiden.
135640	137530	1890	Schon kurz nach der Abstimmung wurde gemutmasst,
137740	140890	3150	was mit dem Geld passiert, das für den Gripenkauf reserviert war:
141100	143410	2310	Hanspeter Trütsch, dann kam dieser Entscheid des Bunderates
143500	149690	6190	nun nicht ganz unerwartet? Wir untertiteln live:
149810	151740	1930	nein.
153070	155140	2070	Der Entscheid ist vernünftig.
155740	157700	1960	Man hat immer gesagt,
159300	161260	1960	wenn der Gripen nicht kommt,
162990	164900	1910	kann man diese Gelder anders einsetzen.
165750	167700	1950	Es geht um 800 Millionen,
168940	170900	1960	zerstückelt auf drei Jahre.
173520	175500	1980	Das ist insgesamt zu verschmerzen.
177829.99999999997	179780	1950	Vor allem ist es auch mehrheitsfähig,
181530	183540	2010	auch seitens der bürgerlichen.
187990	189860	1870	Man hat im Abstimmungskampf dem Volk
189950	191900	1950	versprochen,
192370	194340	1970	dass das Geld umgeleitet wird.
201230	203100	1870	Der Bundesrat hat den Auftrag gefasst,
207190	209140	1950	im Kontext des Nein
212579.99999999997	214820	2240	das ganze Konzept der Armee noch einmal zu überarbeiten.
217990	220020	2030	Dann wird man sehen, wie viel die Armee kosten darf.
223970	226500	2530	Wir haben die unterschiedlichen Positionen der Parteien gesehen.
230560	233060	2500	Die bürgerlichen wollen natürlich bei der teuren Armee bleiben,
235150	237140	1990	wenn ich so sagen darf, die Linke will abspecken.
243260	245220	1960	In diesem Kontext wird sich die Diskussion abwickeln.
251540	253820	2280	In diesem Spannungsfeld wird sich die künftige Diskussion
254820	256779.99999999997	1960	um die Armee und ihre Kosten bewegen.
263100	264980	1880	Die Freude über eine neue Wohnung mag gross sein -
265070	267500	2430	ebenso gross ist häufig die Überraschung, wenn klar wird,
267680	270980	3300	wie viel höher die Miete ausfällt im Vergleich zum Vormieter.
271180	273260	2080	Diese Mietzinserhöhungen bei Mieterwechseln
273420	275780	2360	will der Bundesrat jetzt eindämmen - mit mehr Transparenz.
275990	278260	2270	So sollen Vermieter künftig den vorherigen Zins angeben
278420	280420	2000	und allfällige Erhöhungen begründen müssen.
280680	283100	2420	Die entsprechenden Gesetzesänderungen gingen heute in die Vernehmlassung.
284550	286780	2230	Besichtigungstermin für eine freie Wohnung in Zürich.
286970	290460	3490	V.a. in den Ballungsräumen ist die Nachfrage ungebrochen gross.
290670	294540	3870	Manche Vermieter nützen dies aus und erhöhen die Zinsen nach Belieben.
294650	298470	3820	Die Offenlegung von Zinserhöhungen sollen dem entgegenwirken.
298620	301830	3210	Felicitas Huggenberger vom Mieterverband
301930	304110	2180	unterstützt das Ansinnen des Bundesrats.
304210	306750	2540	Ich begrüsse diesen Vorschlag sehr.
306990	310270	3280	Er schafft Transparenz, weil die Mieter so wissen,
310470	314790	4320	ob ihr Mietzins bei der Neuvermie- tung extrem erhöht wurde oder nicht.
314900	319870	4970	Ansgar Gmür vom Hauseigentümerverband hält nichts von der Neuregelung.
320070	324590	4520	Ein Mietvertrag würde dadurch unnötig verkompliziert.
324790	332870	8080	Man hat jetzt das Gefühl, alle Vermieter seien kleine Gauner.
333030	334990	1960	Die meisten sind ehrlich - und machen das auch ehrlich.
