start	end	duration	text
10660	10930	270	Vier Menschen, die sich ihren grössten Traum erfüllen wollen.
11140	11410	270	.
12590	16170.000000000002	3580	MIT TELETEXT-UNTERTITELUNG
16740	18780	2040	* Packende Musik *
19360	22820	3460	Vier Menschen, die sich ihren grössten Traum erfüllen wollen.
23480	26300	2820	Dafür gehen sie Risiken ein, überwinden Hindernisse
26860	28580	1720	und geben bis zum Schluss nie auf.
29300	31980	2680	Jeder von ihnen hat seinen ganz persönlichen Traum.
32630.000000000004	35900	3270	Lukas Achermann wagt mit seinem umgebauten Lastwagen
36540	38740	2200	eine grosse Reise durch Sibirien.
41830	42900	1070	Yes!
45460	47620	2160	Annina Dähler will ganz hoch hinaus -
48340	51940	3600	auf dem gleichen Weg wie ihr Urgrossvater vor 95 Jahren.
54470	59380	4910	Hier abzurutschen ... Da ging der Puls schon schnell.
60280	64580	4300	Die Aufnahmeprüfung des bekanntesten Zirkus der Welt bestehen -
65230.00000000001	66940	1710	das ist das Ziel von Nora Zoller.
67590	71260	3670	Ich bin sehr nervös. Es entscheidet sich alles in 4 Min. und 16 Sek.
74670	79220	4550	Und Willi - Baldi - sucht mit 70 nach der Liebe fürs Leben.
79910	81300	1390	Auf unser Abenteuer!
81960.00000000001	84740	2780	Und die Frau muss auch seinem Hund Sweety zusagen.
85330	90980	5650	Hört gut zu, Frauen! Eines muss klar sein: Sweety schläft im Bett.
94190	97500	3310	Vier Menschen, vier Träume und ein Motto:
98140	99300	1160	# Jetzt oder nie.
113870	116180	2310	Grüezi miteinander und herzlich willkommen
116720	118300	1580	"zu ""Jetzt oder nie - Lebe deinen Traum""."
119020.00000000001	122020	3000	In dieser Sendung geht es um vier Menschen, die alles daran setzen,
122620	124380	1760	ihren Lebenstraum zu verwirklichen.
125010	126260	1250	Eine davon ist Annina Dähler.
126830	128900	2070	Ihr grosser Traum ist es, den Eiger zu besteigen,
129460.00000000001	130900	1440	und zwar über den Mittellegigrat.
131440	133780	2340	Eine gefährliche Tour, die einem einiges abverlangt.
134350	136420.00000000003	2070	Warum sie sich für diese Mutprobe entschieden hat,
137060	138180	1120	möchte ich von ihr erfahren.
143000	146500	3500	Annina verbrachte schon als Kind viel Zeit in Grindelwald.
