start	end	duration	text
1100	2500	1400	.
2620	7300	4680	"""10vor10"" mit Stephan Klapproth."
7410	9820	2410	Frühfranzösisch, non merci!
10060	12980	2920	Der neue Schweizer Sprachenstreit heute im Fokus dieser Sendung.
13170	15540	2370	Meine Damen und Herren, mesdames, messieurs, guten Abend.
15660	17620	1960	Die Schlagzeilen:
18950	21100	2150	So tönt es aus der Romandie,
21320	23460	2140	wenn Frühfranzösisch vom Stundeplan gestrichen wird.
27980	30660	2680	Auf der Alp, in der Schule, im Gefängnis:
30860	33300	2440	Zivildienstleistende springen in die Bresche.
36270	39100	2830	Die Malediven versinken in Müllbergen.
41210	44380	3170	Volker Schlöndorff verfilmt die heldenhafte Rettung von Paris
44540	46980	2440	vor 70 Jahren.
47160	51700	4540	1:1-Untertitelung. Livepassagen können Fehler enthalten.
53530	57220	3690	Offen gestanden: Bei mir begann es mit einem Flop.
57380	60860	3480	Auf unserer ersten Velotour, mit 12, fuhren wir in Bulle ein
61080	64580	3500	und waren so durstig und ausge- hungert, dass ich mir ein Herz fasste
64680.00000000001	66980	2300	und den nächstbesten Welschen ansprach mit der Frage:
67120	69100	1980	Ou est  l e  Migros?
69300	71340	2040	Der erste Grammatikfehler nach 6 Buchstaben -
71520	73460.00000000001	1940	dank eines verständigen Compatriotes
73700	76539.99999999999	2840	haben wir  l a  Migros dann doch gefunden.
76710.00000000001	80140	3430	"Mittlerweile weiss ich, dass z.B. ""ca va pas la tete"""
80330	82820	2490	"""gehts noch?"" bedeutet, und ahne unschwer,"
83020	86260	3240	dass in der Romandie viele genau das heute wieder gedacht haben
86380	88300	1920	bei der Nachricht:
88480	90740	2260	Nach den Parlamenten in Schaffhausen und Thurgau
90820	92780	1960	hat sich heute erstmals eine Kantonsregierung
92930	97140	4210	gegen den Französischunterricht in der Primarschule ausgesprochen,
97240.00000000001	99259.99999999999	2020	nämlich die von Nidwalden.
99390	103180	3790	Anna Gossenreiter und Mirjam Mathis über den Aufschrei chez les Welsch:
104380	108180	3800	Catastrophique - so viel Französisch versteht auch die Deutschschweiz.
108340	111220	2880	Georges Pasquier vom Lehrerverband SER glaubt,
111400	113420	2020	dass immer mehr Deutschschweizer Kantone
113580	116259.99999999999	2680	in Sachen Frühfranzösisch kippen werden.
116380	119580	3200	Es ist ein wenig der Beginn des Endes.
119670	125460	5790	Zuerst war es im Thurgau, jetzt in Nidwalden. Wie viele Kantone noch?
125660	129380	3720	Die Bildungsdirektorinnen und -direktoren der Romandie
129479.99999999999	132260	2780	sind sich einig: So geht es nicht.
132390	134420	2030	Die Genfer Regierungsrätin Anne Emery
134640	136980	2340	hat sich vor 10 Tagen bereits deutlich geäussert:
137180	140980	3800	Es gehe um nichts weniger als den nationalen Zusammenhalt.
141060	144340	3280	Wir finden es sehr schockierend,
144440	147540	3100	dass einige Deutschschweizer Kantone nun wieder diskutieren
147720	150260	2540	und dem Englischen den Vorzug geben wollen.
150480	153820	3340	Wollen Sie, dass wir alle Englisch miteinander sprechen?
153920.00000000003	157380	3460	Das wäre sehr schädlich für die Schweiz.
157470	161860	4390	"""Frühfranzösisch gescheitert"", ""der Sprachenstreit geht wieder los"":"
162040	165820	3780	Das war heute grosses Thema in den Tageszeitungen der Romandie.
165960	169420.00000000003	3460	"""Französisch nützt nur einer Minder- heit der Deutschschweizer"" oder"
169560	173460	3900	"""Man will eine Monokultur in der Deutschschweiz"", so die Schlagzeilen."
