start	end	duration	text
1470	3180	1710	.
3910	7500	3590	1:1-Untertitelung
8180	14500	6320	Gestern ist im Irak ein Selbstmordattentat vereitelt worden.
15200	17900	2700	Der Täter: ein etwa 14-jähriger Junge.
18660	21260	2600	Beim verheerenden Anschlag auf eine Hochzeitsgesellschaft in der Türkei
21970	25700	3730	hiess es erst, der Täter sei noch jünger, noch ein halbes Kind gewesen.
26420	29330	2910	Ein vor dem IS geflohener Jugendlicher erzählt.
30050	40650	10600	"Wenn ein Kind diese Szenen sieht, denkt es: ""Ich möchte das auch tun."""
41380	49290	7910	Wie alt war der jüngste, der ein Selbstmordattentäter werden wollte?
50110	55010	4900	Der Jüngste Attentäter, den ich je gesehen habe, war acht Jahre alt.
55740	59970	4230	Opfer und Täter - Kinder sind in diesem grausamen Krieg oft beides.
60730	62290	1560	Unser Fokus heute. Die weiteren Themen:
65700	69570	3870	Der Spardruck verlängert die Schulwege von immer mehr Kindern.
72780	73950	1170	Am Bahnhof in Como
74700	78150	3450	wissen die Flüchtlinge buchstäblich nicht mehr weiter.
80280	82550	2270	Das Eidgenössische setzt mehr Geld um
83250	86070	2820	als jeder andere Sportanlass hierzulande.
90180	93310	3130	Bei der Terrororganisation IS heiligt der Krieg alle Mittel.
94060	94789.99999999999	730	Wirklich alle.
95539.99999999999	99390	3850	Auch die, dass keiner zu klein ist, als Märtyrer in den Himmel zu kommen.
100110	102229.99999999999	2120	Beobachter melden, der IS habe in den letzten Monaten
102990.00000000001	105710.00000000001	2720	die Rekrutierung von Kindersoldaten intensiviert.
106430	107830	1400	Dazu würde auch die Meldung
108530	111789.99999999999	3260	über einen Selbstmordattentäter im Teenageralter im Irak passen.
113650	115990.00000000001	2340	In letzter Sekunde gestoppt.
116710.00000000001	118950	2240	Bilder eines kurdischen Fernsehsenders aus Kirkuk im Irak.
119539.99999999999	122150	2610	Nach 20 Min. erst können die Beamten
122850	124990	2140	den Sprengstoffgürtel am Jungen entschärfen.
125700	128350	2650	Dieser trug die Bombe unter einem Fussballtrikot.
128979.99999999999	131830	2850	Er sagte später aus, maskierte Männer hätten ihn entführt
132550	134870	2320	und zum Anschlag auf eine Moschee gezwungen.
135590	137110	1520	Verdächtigt wird der IS.
140670.00000000003	143270	2600	Selbstmordanschläge verübt von Kindern.
143970	146110	2140	Auch nach dem Anschlag auf eine Hochzeitsgesellschaft
146820	150390	3570	in Gaziantep im Südosten der Türkei erklärte der türkische Präsident,
150980	153590	2610	ein Kind soll diesen verübt haben.
154290	157470	3180	Heute trauern die Menschen dort um die 54 Opfer,
158190	160310	2120	die meisten davon Kinder und Jugendliche.
160900	162670.00000000003	1770	Die türkische Regierung bekräftigte,
163430	165350	1920	den IS bis zum Ende bekämpfen zu wollen.
166120	168350	2230	Doch ob die Terrormilz überhaupt hinter dem Anschlag steckt,
169020	170150	1130	bleibt unklar.
173550	174840	1290	Auch über den Attentäter
175620	177880	2260	erhalten die Trauernden bisher keine gesicherten Angaben.
178710	180320	1610	Der türkische Premier erklärt am Abend,
181020	183680	2660	ob es sich um einen Minderjährigen handle, sei nicht klar,
184280	185840	1560	spricht von einem Gerücht.
187180	189000	1820	Wie bringt man Kinder dazu,
189720	191760	2040	schier unvorstellbare Gräueltaten zu begehen,
192460	194240	1780	sich mit einer Bombe um den Körper
194990	196320	1330	mitten in eine Menschenmenge zu stellen?
197020	200079.99999999997	3060	Indem man jede Empathie ablegt
200760	201400	640	und die Kinder einer Gehirnwäsche unterzieht,
202120	203440	1320	und indem man jeden Widerspruch
204160	205800	1640	mit öffentlich zelebrierter Bestrafung erstickt.
206579.99999999997	209320	2740	So macht man aus einem Kind einen Terroristen.
210120	211880	1760	Einem britischen Journalistenteam ist es gelungen,
212540	215560	3020	die IS-Methoden zur Indoktrination von Kindern zu rekonstruieren.
216240	220320	4080	Im Grenzgebiet zu Syrien hörten sie Kindern und Aussteigern zu,
221040	224600	3560	die den Fängen der Terrororganisation entkommen konnten.
226870	231840	4970	Über 1'000 Kinder kämpfen laut Schätzungen beim Islamischen Staat.
232590	236920.00000000003	4330	Die Terrormiliz rekrutiert immer mehr Minderjährige.
237700	240680	2980	Dieser Zehnjährige war einer von ihnen.
241300	242120	820	Sie haben uns gezeigt,
242910	244880	1970	wie man Gewehre auseinander- und zusammenbaut,
245580	247600	2020	wie man sie lädt und wie man damit schiesst.
248180	250400	2220	Also haben wir das gemacht.
251120	252800	1680	In türkischen Städten an der Grenze zu Syrien
253480	255600	2120	leben viele Flüchtlinge aus dem Nachbarland.
256250	257800	1550	Auch die Terrorgruppe IS ist hier,
258570	260320	1750	deshalb fürchten sich viele, offen zu sprechen.
260959.99999999997	263120	2160	Interviews sind nur anonym möglich.
263750	265200	1450	Dieser Junge, nennen wir ihn Ibrahim,
265990	268010	2020	trat mit 14 Jahren der Terrormiliz bei.
268740	272010	3270	Ich habe alles für den Sieg des Islamischen Staates gegeben,
272740	275130	2390	weil ich dachte, dass er von allen unterdrückt werde.
275810	280210	4400	Sie sagen, man soll für sie alles geben, sich sogar opfern.
280940	286490	5550	Aber Ibrahim verlor sein Vertrauen in den IS, als die Männer drohten,
287220	288930	1710	seinen Bruder zu töten. Ibrahim konnte fliehen.
289580	292010	2430	Auf Propagandavideos sieht man Kinder,
292750	294010	1260	die ein hartes Training absolvieren.
294700	297530	2830	Ibrahim erzählt, wie die Kinder dabei
298260	299530	1270	noch etwas viel Gefährlicheres lernen.
300310	304160	3850	In diesem religiösen Militärlager lernt man etwas,
304760	306320	1560	"das ""Hören und gehorchen"" heisst."
307050	309600	2550	"Du sagst: ""Ich muss zuhören und gehorchen,"
310200	311320	1120	"auch wenn ich deshalb sterbe."""
