start	end	duration	text
2930	3190	260	.
3220	6710	3490	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6900	10430	3530	"Die ""Tagesschau"", meine Damen und Herren. Guten Abend."
10590	14510	3920	Der Euro-Mindestkurs von 1.20 Fr. ist seit heute Geschichte.
14670	18270	3600	Nationalbank-Präsident Thomas Jordan stellt heute klar:
19470	22110	2640	Die komplexe internationale Situation führt dazu,
22190	26030	3840	dass man nicht in einem geldpolitischen Paradies lebt,
26180	31190	5010	wo man alles ohne irgendwelche Kosten erreichen kann.
32570	34750	2180	Der SNB-Entscheid kommt überraschend
34990	36990	2000	und sorgt entsprechend für Schlagzeilen:
38340	41390	3050	Nationalbank-Präsident Jordan
41550	44030	2480	verteidigt die Aufgabe des Mindestkurses.
45940	49990	4050	Der SMI verliert bis 13 %, einige Banken stellen den Euroverkauf ein.
51900	53670	1770	Wirtschaftsverbände
53840	56750	2910	bangen um die Wettbewerbsfähigkeit der Exportwirtschaft.
59150	62910	3760	Die Überfälle der islamistischen Terrorgruppe Boko Haram
63020	64910	1890	werden immer brutaler.
67250	70750	3500	Im Westen und Süden Regen und ab rund 1'000 m Schnee,
70850	72710.00000000001	1860	sonst noch trocken.
73670	76710.00000000001	3040	3 Jahre lang
76789.99999999999	78990	2200	hat die Schweizerische Nationalbank sehr viel investiert,
79210.00000000001	81600	2390	um den Eurokurs nicht unter 1.20 Fr. fallen zu lassen.
81680	84560	2880	Völlig unerwartet gibt die SNB jetzt diese Mindestkurs-Strategie auf.
84800	88160	3360	Die Aktien- und Devisenmärkte reagierten schnell und massiv:
88270	94120	5850	Der SMI stürzte ab - zeitweise um über 13 %,
94220	96720	2500	im Laufe des Tages hat er sich etwas erholt,
96820	100520.00000000001	3700	geschlossen hat er aber immer noch tiefrot: -8,7 %.
100700	110560	9860	Auch dem Euro setzte der SNB-Entscheid zu:
110670	112000	1330	Er kostet aktuell 1,0230 Fr.
112220	114080	1860	Beim Dollar siehts nicht besser aus:
114160	118560	4400	Gestern musste man für 1 $ noch mehr als 1 Fr. zahlen.
121270	123360	2090	Im Moment kostet er noch 0.8802 Fr.
123440	125480	2040	Dieser Mindestkurs schien bis vor Kurzem noch unantastbar,
125710	127560	1850	nun aber wird er aufgegeben.
128460.00000000001	130520.00000000001	2060	Die Schweizerische Nationalbank hat beschlossen,
130680	134120	3440	den Mindestkurs von 1.20 Fr. pro Euro per sofort aufzuheben,
134300	138440	4140	und ihn nicht mehr mit Devisenkäufen durchzusetzen.
138670.00000000003	142360	3690	Der Grund: Der Mindestkurs hat ausgedient.
142470	146600	4130	Das hat mit den grossen Währungs- räumen - Euro und Dollar - zu tun.
146790	150280	3490	Die Wirtschaft in den USA erholt sich,
150390	152079.99999999997	1690	der Dollar wird stärker, der Euroraum hingegen kriselt noch.
152180	154520	2340	Der Euro wird schwächer.
154800	158400	3600	Den Franken an den Euro anzubinden, mache keinen Sinn mehr,
158630	162240	3610	zudem habe sich das Umfeld auch in der Schweiz verändert.
162350	166120	3770	In Bezug auf die Unternehmen hat sich einiges geändert.
166260	168440	2180	Damals hatten wir eine massive Überbewertung.
168660	171040	2380	Auch ganz schwierige, internationale Verhältnisse,
171170.00000000003	174040	2870	was die Konjunktur angeht.
174240	176840	2600	Die Einführung des Mindestkurses hat dazu beigetragen,
176940	179920.00000000003	2980	dass es nicht zu einem Kollaps
180130	181960	1830	der Schweizerischen Wirtschaft gekommen ist.
182130	183880	1750	In der Zwischenzeit hat sich die Situation entspannt.
184060	185920	1860	Wir haben wieder besseres Wachstum in der Schweiz.
186060	188840	2780	Und die Unternehmen konnten sich an die neuen Verhältnisse anpassen.
188940	190960	2020	Es kommt überraschend,
191190	193760	2570	aber das soll bei solchen Ent- scheidungen auch so sein, hiess es.
193950	196320	2370	Das habe nichts damit zu tun, dass sich die Nationalbank
196490	198600	2110	den Mindestkurs nicht mehr leisten könnte,
198840	202360	3520	es also ein Akt der Verzweiflung wäre.
204390	207320	2930	Das war nicht in dem Sinne eine Panikreaktion,
207560	209840	2280	sondern es war eine wohlüberlegte Reaktion,
210040	212960	2920	Dass es Erschütterungen am Markt gibt, ist selbstverständlich,
213150	217640	4490	wenn es einen Ausstieg aus einer solchen Politik gibt.
219190	221480	2290	Der Ausstieg war eine Frage der Zeit.
221650	224000	2350	Doch der Schock sass heute dennoch tief:
224090	226880	2790	Es gab eine Achterbahnfahrt an Börsen und Märkten.
227160	229520	2360	Die Auswirkungen auf die Schweizer Konjunktur,
229620	234400	4780	den Schweizer Franken und die Export- wirtschaft sind noch nicht absehbar.
236240	238079.99999999997	1840	Es war tatsächlich eine Frage der Zeit,
238240	240760	2520	bis dieser Entscheid der Nationalbank kommt.
240980	244200	3220	Christian Kolbe, aber warum gerade jetzt?
244290	249480	5190	Wir untertiteln live:
249670	253920	4250	Das weiss eigentlich niemand so genau.
254130	256920.00000000003	2790	Diese Frage wurde auch an der Medienkonferenz heute bei der
257029.99999999997	259120	2090	Nationalbank
259240	260560	1320	nicht wirklich beantwortet.
260800	264040	3240	Ich kann mir aber vorstellen, dass die Nationalbank realisiert hat,
264130	270040	5910	dass sie die Untergrenze sowieso nicht mehr lange wird halten können,
271110	274000	2890	dass es immer teurer wird, den Mindestkurs zu verteidigen.
274200	276880	2680	Dies auch deshalb, weil sich die Gerüchte verdichten,
277080	280280	3200	dass die Europäische Zentralbank in einer Woche noch mehr Euros
280520	284200	3680	in den Markt pumpen wird, um den Euro zu stärken.
284370	287840.00000000006	3470	Deshalb hat jetzt den Mindestkurs aufgegeben.
288020	291440	3420	Wir haben es vorher auf der Grafik gesehen - die Devisen sind regelrecht
291560	296640	5080	abgestürzt: Ist das nur erste Schock?
296790	300480	3690	Das hat schon sehr viel mit einer schockartigen Reaktion zu tun.
300590	306560	5970	Kann es mit dem Bild einer Flasche erklären,
309720	315080	5360	einer Flasche, die durch diese Untergrenze eingesperrt war.
315270	318760	3490	Der Zapfen ist weg, der Fr., der eingesperrt war, schiesst heraus.
318880	323280	4400	Er überschiesst,
323360	324760	1400	wie es auf den Märkten heisst.
324930	327760	2830	Ich denke, dass sich die Aktienmärkte in den nächsten Tagen
327900	329080	1180	etwas erholen werden.
330300	332680	2380	Der SNB-Entscheid kam für alle überraschend heute.
332860	333880	1020	Vonseiten der Wirtschaft kommen darauf gemischte Reaktionen.
335510	337880	2370	Während die einen dem Entscheid Verständnis entgegenbringen,
337970	339720	1750	ihn sogar für längst überfällig halten,
339800	341560	1760	befürchten andere nun schmerzhafte Folgen.
342530	344440	1910	Das ist jetzt natürlich ein schlimmer Entscheid
344570	346440	1870	für die Arbeitnehmer in der Schweiz.
346610	348400	1790	Der Franken ist viel zu stark bewertet.
348540	350560	2020	Wir werden sehen: Es gibt nun Druck auf die Löhne,
350680	352600	1920	auf die Arbeitsplätze.
352680	355240	2560	Die Arbeitnehmenden müssen das ausbaden.
355350	357640	2290	Wir stellen uns auf schwerwiegende Monate ein.
357720	361200	3480	Mit einem starken Schweizer Franken kann die Wirtschaft leben,
361310	363240	1930	das hat sie immer wieder bewiesen.
363410	365840	2430	Aber mit einer sehr raschen Aufwertung,
365990	370320	4330	wie sie derzeit erfolgt ist, wird es grosse Mühe geben,
370400	373040	2640	damit Schritt halten zu können.
373190	375440	2250	Denn die Schweiz ist eine Exportnation.
375610	378360	2750	Mehr als die Hälfte der Ausfuhren werden in EU-Länder geliefert.
378510	380600	2090	Ein gegenüber dem Euro starker Franken
380740	382840	2100	wird diese Güter massiv verteuern.
382950	386240	3290	Wir fakturieren ca. 60 % in Euro.
386380	390760	4380	Wenn sich nun der Franken gegenüber dem Euro nochmals aufwertet,
390940	393720	2780	dann schlägt das direkt auf die Wettbewerbsfähigkeit.
393900	396280	2380	D.h., unsere Margen in den Unternehmen
396290	398680	2390	gehen um diesen Aspekt zurück.
398850	402440	3590	Die Margen, die schon knapp sind, schmelzen dahin.
402540	405080	2540	D.h., man verliert einfach Geld.
405159.99999999994	408560	3400	Dem Schweizer Tourismus setzt der starke Franken seit Jahren zu.
408800	411960	3160	Für Gäste aus dem Ausland dürfte der Aufenthalt in der Schweiz
412170	415090.00000000006	2920	nun noch teurer und entsprechend unattraktiver werden.
415200	419210	4010	Wir profitieren nicht von Importvergünstigungen.
419370	421850	2480	Wir können nicht, dank dem starken Franken, günstiger einkaufen.
422000	425130	3130	Und zweitens können wir Produktionsprozesse
425270	427210	1940	nicht ins Ausland verlagern.
427340	429250	1910	Der Tourismus ist darum, die mit Abstand
429450	432770	3320	am deutlichsten betroffene Branche von Währungsveränderungen.
432880	435970	3090	Verständnis für die Aufhebung des Euro-Mindestkurses
436110	438810	2700	äussert Hans-Ulrich Bigler vom Schweizerischen Gewerbeverband.
438930	441450	2520	Jetzt sei die Politik gefordert.
441630	445810	4180	Die Politik kann selbstverständlich diesen Entscheid abfedern
446010	449930	3920	indem insbesondere die immensen Regulierungskosten reduziert werden.
450110	452450	2340	Das hilft eben auch, Wachstum zu generieren.
452560	454850	2290	Hier muss die Politik eingreifen.
455050	457570	2520	Die Geldpolitik ist Sache der Nationalbank.
457680	459490	1810	Die Schweizer Wirtschaft
459610	462810	3200	verliert mit der Aufgabe des Mindestkurses ihren Schutzschirm.
462980	465650	2670	Jetzt muss sie zeigen, ob sie sich in den letzten Jahren
465820	468130	2310	gut genug auf diesen Moment vorbereitet hat.
469950	472090.00000000006	2140	Die Tragweite des Entscheides der Nationalbank
472210	474610	2400	geht tief in die Strukturen der Schweiz -
474690	476690	2000	aber auch weit darüber hinaus.
476770	479250	2480	Umso gespannter war man auf die Reaktion des Bundesrates.
479330	480650	1320	Am Nachmittag
480810	483730	2920	sass der Wirtschaftsausschuss des Rates zusammen.
483920	485690	1770	Das sind die Bundesräte Eveline Widmer-Schlumpf,
485870	488170	2300	Doris Leuthard und Johann Schneider-Ammann.
489130	491450	2320	Und nach dem Treffen zeigt sich Wirtschaftsminister
491650	493450	1800	Johann Schneider-Ammann zuversichtlich
493530	495730	2200	und nimmt die Politik in die Pflicht:
495840	498010	2170	Es wird nun umso wichtiger sein,
498220	500850	2630	dass wir z.B. die bilateralen Verträge
501040	503610	2570	und damit den Marktzugang zu Europa sichern können.
503690	505810	2120	Es wird ganz wichtig sein,
506010	509490	3480	dass wir den Arbeitsmarkt flexibel behalten können.
509670	513890	4220	Es wird wichtig sein, dass wir den Unternehmungen rasch
514059.99999999994	519090.00000000006	5030	einen attraktiven Steuerstandort bieten können.
519289.99999999994	521610	2320	Die Politik wird also mithelfen,
521799.99999999994	525170	3370	die Rahmenbedingungen so rasch wie möglich zusätzlich zu verbessern.
525320	528330	3010	Das muss die Antwort sein auf den Entscheid.
528600	531730	3130	Bereits am Mittag hatte Finanz- ministerin Eveline Widmer-Schlumpf
531970	534850	2880	der Nationalbank ihr Vertrauen ausgesprochen.
534940	537730	2790	Wir sind auch der Meinung - und wir wissen das auch -
537930	540930	3000	dass die Nationalbank auch in Zukunft - das ist ihr Auftrag -
541040	543970	2930	für monetäre Bedingungen sorgen wird,
544210	548610	4400	die in der Schweiz Inflation und Deflation verhindern
548760	551930	3170	und die eine ausgeglichene, stabile Entwicklung der Wirtschaft
552060	554370	2310	auch weiterhin gewährleisten.
555430	557210	1780	Auch bei den Parteien
557370	559930	2560	sorgt der Entscheid der Nationalbank natürlich für viel Gesprächsstoff.
560130	562370	2240	Dass der Tag kommt, an dem der Mindestkurs aufgehoben wird,
562520	566450	3930	war allen klar. Dass es heute sein würde, allerdings weniger.
567820	570770	2950	Zuerst einmal sind wir überrascht. Ich sehe doch gewisse Risiken.
570930	572690	1760	Ich denke, der Entscheid ist richtig
572790	575250	2460	und er spricht für die Unabhängigkeit der Nationalbank.
575410	577050	1640	Es ist nur bedingt überraschend.
577280	578930	1650	Die Nationalbank ist unabhängig
579160	581130	1970	und so unabhängig hat sie jetzt auch gehandelt -
581380	583290	1910	und sie wird ihre Gründe dafür haben.
583480	586370	2890	In ersten Reaktionen ist die Sorge um den Schweizer Arbeitsmarkt
586480	589210	2730	grosses Thema für die Politik.
589350	594410	5060	Falls sich der Euro-Wechselkurs rund um die Parität, rund um 1 Fr.,
594500	598690	4190	einfinden sollte, bedeutet das,
598870	603370	4500	dass Zehntausende Arbeitsplätze in der Schweiz in Gefahr sind.
603540	605850	2310	Es ist klar, dass das jetzt unvermittelt
605970	610570	4600	durchaus auf dem Arbeitsmarkt eine gewisse Beeinflussung haben kann.
610660	612930	2270	Es ist aber ebenso klar,
613110	616250	3140	dass sich das mit der Zeit auch einpendeln wird.
616430	620250	3820	Weiter gilt das politische Augenmerk der Schweizer Wirtschaft -
620260	622770	2510	für sie sieht man Risiken:
622850	626490	3640	V.a. für unsere Exportwirtschaft - man wird sehen, ob es reicht,
626670	629330	2660	dass gleichzeitig die Zinsen gesenkt wurden,
629450	631650	2200	ob das das Ganze abfedern wird oder nicht.
631890	634250	2360	Aber ich sehe ein grosses Risiko.
634450	637130	2680	Die Wirtschaft hat jetzt genug Zeit, sich darauf einzurichten,
637210	640290	3080	dass dieser Kurs nicht immer so stabil sein kann -
640570	643450	2880	und ich denke, unsere Wirtschaft ist stark genug,
643610	645770	2160	sich darauf einzurichten.
646000	648130	2130	Trotz Bedenken: Es gibt auch Zustimmung.
648420	651090	2670	Es war eigentlich von Anfang an klar,
651270	654250	2980	dass die Verteidigung der Untergrenze
654390	656290	1900	nur für eine bestimmte Zeit gehen kann.
656430	658250	1820	Es war auch das kommunizierte Ziel,
658420	660170	1750	der Wirtschaft genügend Zeit zu geben,
660330	662170	1840	sich auf die tieferen Kurse einzustellen -
662240	665490	3250	und seither ist die Kaufkraftparität eigentlich stetig gesunken.
665620	668330	2710	Insofern ist der Zeitpunkt möglicherweise tatsächlich gekommen,
668440	670690	2250	jetzt diese Untergrenze aufzugeben.
670850	673210	2360	Der Entscheid der Nationalbank
673380	676010	2630	wird noch breite politische Diskussionen nach sich ziehen.
677910	680290	2380	Die Meinungen sind gemacht.
680440	685650	5210	Hanspeter Trütsch in Bern, dann ist die Politik
685760	691010	5250	auch bei einem Entscheid solchen Ausmasses wie heute nur Zaungast?
691130	697650	6520	Wir untertiteln live:
697890	698690	800	Ja, so ist es eben.
698770	704570	5800	Die Politik ist Zaungast.
704750	708170	3420	Und sie wissen, neben mir ist auf der einen Seite das Bundeshaus, auf
708180	709890	1710	der anderen Seite die Nationalbank.
710000	711850	1850	Die Versuchung wäre gross,
712040	714930	2890	das man sich ins Tagesgeschäft einmischen würde des anderen.
715010	718370	3360	Die Nationalbank ist unabhängig,
718460	719890	1430	und das hatte heute bewiesen.
720010	722450	2440	Das passt nicht allen.
722590	725090	2500	Aber die Politik soll die Nationalbank jetzt durchaus
725260	726490	1230	kritisieren.
726690	728570	1880	Haben einige Stimmen gehört.
728810	734650	5840	Bei aller Kritik soll sie aber nicht nervös überreagieren,
736010	740970	4960	das wäre gefährlich.
741060	743730	2670	Es wurde auch gesagt, dass es für die Exportwirtschaft,
743820	746530	2710	für den Tourismus und für die Sicherung der Arbeitsplätze
746730	752610	5880	Folgen haben könnte, dass man da nicht einfach nachkalkulieren kann.
752840	757170	4330	Noch ein Gedanke: In diesem Jahr stehen Wahlen an.
757260	760450	3190	Im Herbst wird dieses Thema auch mit einfliessen in den Wahlkampf.
760550	763170	2620	Es ist mir heute aufgefallen,
763290	769130	5840	dass es nicht primär eine Frage von Links und Recht ist,
769210	771850	2640	wie man über den Entscheid einer Zimmerwand beurteilt -
772080	776450	4370	man ist sich einig, dass es für die Wirtschaft härter werden wird.
776550	779250	2700	Es geht jetzt um Rezepte.
779430	781890	2460	Und dann wird auch das grosse Hickhack losgehen.
782760	785130	2370	Die SNB sagt sich vom Euro los - das sei nicht weniger
785310	785490	180	als ein Tsunami für den Export, den Tourismus und die ganze Schweiz.
788010	790130	2120	Mit diesem drastischen Kommentar
790280	793170	2890	reagiert Swatch-Patron Nick Hayek auf den Entscheid der Nationalbank.
793400	796210	2810	Aber auch in der internationalen Presse fallen heftig Urteile:
796370	800530	4160	"Da ist die Rede von ""Bombenzündung"", ""Paukenschlag"" oder ""Erdbeben""."
805600	808130	2530	"... schreibt in Deutschland ""Die Welt"". Und weiter:"
824210	826570	2360	"Und die ""Frankfurter Allgemeine"" legt nach:"
839930	844490	4560	"Die britische ""BBC"" stellt fest:"
861230	864010	2780	Die US-Nachrichtenagentur Bloomberg verkündet:
882320	884730	2410	"Und für den ""Spiegel"" ist die Bilanz klar:"
892340	894010	1670	Und weiter:
897010	899650	2640	3 Jahre lang hat die Schweizerische Nationalbank dafür gesorgt,
899890	902610	2720	dass man für einen Euro möglichst viele Franken bekam.
902750	904530	1780	So sah man das im Euroraum.
904680	906890	2210	Sebastian Ramspeck,
907090	909810	2720	wie hat die EU heute auf den Abschied von 1.20 Fr. reagiert?
909890	920690	10800	Wir untertiteln live:
920890	923930	3040	Offiziell gibt es keinen Kommentar in Brüssel von der EU zu diesem
924130	925930	1800	Entscheid, aber inoffiziell heisst es,
926010	929290	3280	die Überraschung sei riesig, auch bei der europäischen Zentralbank in
929490	930010	520	Frankfurt.
930210	932850	2640	Am Sonntag gab es noch ein vertrauliches Treffen hinter
932930	936330	3400	verschlossenen
936600	939170	2570	Türen mit Spitzenvertretern aus der Schweiz und der EZB,
939390	942250	2860	da war der Entscheid noch kein Thema.
942310	947530	5220	Und wie beurteilt die EU den Schweizer Entscheid?
947610	951090	3480	Die EU wertet diesen Entscheid grundsätzlich positiv,
951210	957130	5920	denn es spricht alles dafür, dass der Euro immer schwächer wird -
958920	963490	4570	und ein schwacher Euro bedeutet, dass Produkte aus dem Euroraum
963730	966650	2920	günstiger werden und besser verkaufen lassen in der Schweiz und
966810	969170	2360	auf den Weltmärkten.
969320	972450	3130	Das ist eine gute Nachricht für die krisengeschüttelte Export Industrie
973510	973810	300	im Euro Raum.
973980	976090	2110	Schon seit Jahren hält der starke Franken
976210	978010	1800	die Schweizer Wirtschaftshüter auf Trab.
978190	978930	740	Schon 2008 - im Zuge der weltweiten Finanzkrise -
979960	981890	1930	begann der Kampf dagegen.
982120	983570	1450	Wirklich dramatisch wurde er dann 2010
983710	985530	1820	mit der Schuldenkrise einiger Eurostaaten:
986560	988410	1850	Frühjahr 2010: Nicht nur die Akropolis bröckelt,
988580	990370	1790	auch Griechenland steht vor dem Bankrott.
