start	end	duration	text
1630	6720	5090	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6850	9480	2630	Guten Abend, meine Damen und Herren.
9600	13120	3520	"Hier ist die ""Tagesschau"" und das sind die Themen heute Sonntag:"
14280	16480	2200	Bei den Wahlen in der Türkei
16660	19640	2980	erringt Präsident Erdogans AKP die Mehrheit zurück.
20800	26000	5200	Das Wallis wird im Ständerat wie in den letzten 152 Jahren
26140	29560	3420	von zwei CVP-Politikern vertreten.
30770	35240	4470	Russland meldet erste Ermittlungsergebnisse
35380	37520	2140	zum Flugzeugabsturz im Sinai.
38680	43800	5120	Roger Federer gewinnt den Traumfinal gegen Rafael Nadal.
45260	50440	5180	Im Flachland anfangs neblig, dann wieder sonnig und mild.
52030	57200	5170	Die Rechnung ist für den türkischen Präsidenten Erdogan aufgegangen.
57310	60320	3010	Er konnte mit seiner islamisch-konservativen AKP
60530	62960	2430	die Mehrheit im Parlament zurückerobern.
63070	65400.00000000001	2330	Laut inoffizieller Resultate
65540	68960.00000000001	3420	hat die AKP mit Abstand die meisten Sitze geholt.
69070	71480	2410	Sie hält neu 316 Sitze.
71650	76560	4910	Die Mitte-links-Partei CHP gewinnt beim jetzigen Stand 134 Sitze.
76740	81320	4580	Für die ultrarechte MHP ziehen 41 Abgeordnete ins Parlament.
81480	85280	3800	Und die prokurdische HDP bestätigt ihren Erfolg
85430	88160	2730	und schafft die 10-%-Hürde ein weiteres Mal -
88310	90840	2530	59 Sitze hat sie damit gewonnen.
90980	94440	3460	Erdogans Strategie vor diesen Neuwahlen war klar.
94610	98080	3470	Er wollte wettmachen, was ihm vor fünf Monaten misslungen war:
98190	100400	2210	allein regieren.
101390	103479.99999999999	2090	Nach Auszählung fast aller Stimmen
103650	105960.00000000001	2310	meldet die staatliche Nachrichtenagentur Anadolu,
106120	109600	3480	dass die AKP die absolute Mehrheit zurückerobert hat.
109710.00000000001	111920	2210	316 Sitze im Parlament,
112020.00000000001	115600	3580	das sind deutlich mehr, als Umfragen vorhergesagt hatten,
115770.00000000001	116960.00000000001	1190	und deutlich mehr,
117120	119720	2600	als für eine absolute Mehrheit nötig gewesen wären.
119940	122280	2340	Die AKP feiert bereits den Wahlsieg.
122430	125600	3170	Ministerpräsident und AKP-Vorsitzender Ahmet Davutoglu
125830	128960.00000000001	3130	freut sich über die wiedergewonnene Mehrheit im Parlament.
129070	132280	3210	Noch sind es inoffizielle Zahlen,
132540	136640	4100	aber es ist ein grosser Erfolg für Erdogan,
136740	141040	4300	hier in einem Wahlbüro heute Morgen.
141190	143520	2330	Erdogan will seine Befugnisse per Verfassungsreform ausweiten.
143700	146600	2900	Kurzer Rückblick: Vergangenen Juni verlor die AKP die Mehrheit,
146800	150840	4040	nachdem sie über zwölf Jahre allein regierende Partei war.
150970	152920.00000000003	1950	Koalitionsgespräche scheiterten.
153020	155000	1980	Die Opposition warf Erdogan vor,
155230	157840	2610	er habe die Verhandlungen absichtlich scheitern lassen,
157960	160880	2920	um Neuwahlen ansetzen zu können.
161050	167520	6470	Eine Sensation war im Juni der Erfolg der prokurdischen HDP -
167700	170840	3140	sie hatte erstmals die 10-%-Hürde geschafft
170950	173160	2210	und zog damit ins Parlament ein.
173270	175800	2530	Nach ersten inoffiziellen Zahlen von heute ist klar,
175900	179600	3700	dass die HDP schlechter abschneidet als bei den Wahlen im Juni.
179720	183920	4200	Der türkische öffentlich-rechtliche Sender TRT aktualisiert laufend.
184130	185840	1710	Klar ist aber auch,
185950	189400	3450	dass die HDP wieder über 10 % der Stimmen erhält.
189510	192320	2810	Freude deshalb bei den Kurden in Diyarbakir,
192590	196320	3730	denn die HDP verbleibt damit im Parlament,
196430	199120	2690	wenn auch mit weniger Abgeordneten.
199280	200880	1600	Das meldet die staatliche Nachrichtenagentur Anadolu
201170.00000000003	203320	2150	am Sonntagabend nach Auszählung von mehr als 95 % der Stimmen.
204850	207000	2150	Offizielle Endresultate gibt es noch nicht,
207160	208720	1560	aber die inoffiziellen sind erfahrungsgemäss recht zuverlässig.
208890	210640	1750	Und diese zeigen also, dass Erdogans AKP das geschafft hat,
210770	212160	1390	was man ihr kaum zugetraut hätte,
212430	213960	1530	nämlich die Mehrheit zurückzugewinnen.
214050	216240	2190	Ruth Bossart, was könnten die Gründe sein?
216390	229730	13340	Wir untertiteln live:
229829.99999999997	232970	3140	Ich vermute, Erdogan und der AKP haben die Instabilität der letzten
233079.99999999997	235770	2690	Wochen in die Hände gespielt.
235860	239890	4030	Dann auch der Kurdenkonflikt und der Bombenanschlag in Ankara.
240060	245930	5870	Die Wähler haben sich für mehr Stabilität entschieden.
251720	254850	3130	Es scheint auch, dass das Kalkül aufgegangen ist mit dem eskalieren
255020	257370	2350	des Kurden-Konflikts stimmen zu holen.
257459.99999999997	263370	5910	Die nationalistische HP musste ziemlich Federn lassen.
264780	268090	3310	Und auch die prokurdische HDP.
268270	271490	3220	Die Opposition hatte vor einer Diktatur gewarnt, falls die AKP und
271600	274850	3250	Erdogan alleine regieren könnten. Ist das nur den Teufel an die Wand
274960	280930	5970	gemalt?
292909.99999999994	298620	5710	man muss sagen, mit dem Sitzgewinn von heute immer
298730	302020	3290	dass die Partei von Erdogan nicht über genügend Stimmen im Parlament
302200	305060	2860	verfügt,
305230	307620	2390	um eigenmächtiges präsidiale System durchzubringen,
307780	313740	5960	dass ihm mehr Macht verschaffen würde.
315300	318540	3240	Es ist dennoch so, dass in Zukunft die Regierung Erdogan sich bemühen
318660	318860	200	muss,
319030	324940	5910	die politischen Gräben im Land zu überbrücken.
327710	329980	2270	Man muss einen Schritt auf die Kurden zu machen.
330200	332380	2180	Sonst gibt es keine längerfristige Stabilität.
335530	338460	2930	In die Schweiz - ins Wallis, wo die Erfolgsgeschichte der CVP weitergeht.
338570	340659.99999999994	2090	Über 150 Jahre dauert die Dominanz nun schon,
340810	343180	2370	was die Walliser Vertretung im Ständerat betrifft.
343400	345060	1660	Jetzt kommen vier weitere Jahre hinzu.
345159.99999999994	346900	1740	Denn die CVP kann im zweiten Wahlgang der Ständeratswahlen
346990	348940	1950	ihre beiden Sitze verteidigen.
349090.00000000006	352540	3450	Gewählt sind der bisherige Jean-Rene Fournier von der CVP Unterwallis
352810	356700	3890	und auf Platz 2 neu Beat Rieder von der CVP Oberwallis
356850	359980	3130	mit noch etwas mehr als 46'000 Stimmen.
360200	364460	4260	Er hat das Nachsehen: Pierre-Alain Grichting von der FDP.
364690	367660	2970	Er war aber mit nur 1'481 Stimmen Unterschied
367820	370420	2600	Rieder dicht auf den Fersen. Roger Brunner berichtet.
372000	376220	4220	Der zweite Wahlgang fiel knapper aus,
376440	377900	1460	als sich das die CVP wohl erhofft hatte.
378120	380460	2340	Doch am Ende setzten sich ihre beiden Kandidaten durch.
380650	384540	3890	Für den bisherigen Ständerat Jean-Rene Fournier
384700	387260	2560	war die Wiederwahl eher Formsache. Zittern musste dafür Beat Rieder.
387390	391740	4350	Der hatte die Resultate zuvor
391870	393940	2070	bei sich zu Hause im Lötschental mitverfolgt,
394080	396820	2740	und kurz vor 14 Uhr war es offiziell.
397080	399020	1940	Bravo! - Merci!
399280	401659.99999999994	2380	Mit Beat Rieder zieht ein Mann in den Ständerat,
401800	404620	2820	der die kantonale Politik als Fraktionschef der Oberwalliser CVP
