start	end	duration	text
1140	3380	2240	Knapper gehts nicht mehr.
3560	7220	3660	Per Stichentscheid seines Präsidenten hat der Nationalrat heute
7320	9620	2300	die Waffenexportbestimmungen gelockert.
9790	13460	3670	94 Ja- stehen danach 93 Nein-Stimmen gegenüber.
13610	17020	3410	Erst 2008 hatte der Bund die Bestimmungen verschärft.
17130	19540	2410	Seither liefert die Schweiz keine Waffen mehr in Länder,
19660	23700	4040	"die ""systematisch und schwerwiegend"" die Menschenrechte verletzen."
23780	25500	1720	Jetzt sollen auch solche Staaten
25740	27980	2240	wieder Rüstungsgüter made in Switzerland erhalten.
28060	30380	2320	Es geht hier v.a. um Saudi-Arabien,
30490	33180	2690	das als Wachstumsmarkt für Waffenschmieden gilt.
33260	35940	2680	Das Zünglein an der Waage spielte heute die CVP - die Partei,
36140	40300	4160	die das christlich im Namen trägt, ist in dieser Frage tief gespalten.
40530	42580	2050	Georg Humbel berichtet.
43830	49500	5670	Schüsse gegen Demonstranten. Tote auf dem Majdan. Diese Bilder beweisen:
49700	54420	4720	In der Ukraine waren Ende Februar Präzisionsgewehre
54540	57740	3200	der Thuner Firma B&T im Einsatz.
57910	59900	1990	Die Firma betont, dass bei der Ausfuhr
60050	63700	3650	die Schweizer Gesetze stets eingehalten worden seien.
63850	68980	5130	CVP-Ständerat Paul Niederberger sagt, die Schweizer Rüstungs-Exportregeln
69110	72539.99999999999	3430	seien heute besonders streng.
72710.00000000001	75220	2510	Er hat die Motion eingereicht, die den Export
75300	79500	4200	jetzt wieder erleichtern soll:
80000	82700	2700	Ich möchte, dass wir die gleich langen Spiesse haben
82900	85980	3080	wie die anderen europäischen Länder. Das ist heute nicht der Fall.
86050	88860	2810	Ich setze mich dafür ein, dass wir die Rüstungsindustrie,
89050	91660	2610	die wir in der Schweiz haben, erhalten können,
91890	94940	3050	sowie das Know-how und die Arbeitsplätze.
95090	98020.00000000001	2930	Der Vorstoss hat die CVP tief gespalten.
98100	100380	2280	Hinter den Kulissen wurde bis heute heftig gerungen.
100550	105060	4510	"""10vor10"" liegt dieser Brief der CVP Frauen an die Fraktion vor:"
115479.99999999999	117380	1900	Ich bin absolut nicht gegen die Rüstungsindustrie,
117490.00000000001	119380	1890	denn wir brauchen sie.
119539.99999999999	121500	1960	Aber ich glaube, es geht ihr doch nicht ganz so schlecht.
121700	127900	6200	Deshalb sind für mich die ethischen und moralischen Aspekte wichtig.
128120	135340	7220	Für mich ist es wichtig, dass wir als unabhängiges Land
135490	139140	3650	und auch neutrales Land immer eine Rüstungsindustrie,
139270	142020	2750	die überleben kann, behalten können.
142100	144780	2680	Für ein paar hypothetische Arbeitsplätze
145010	147740	2730	bin ich nicht bereit meine christlichen
147900	150060	2160	und menschlichen Werte preiszugeben.
150260	152940	2680	Die Schweiz exportiert heute grundsätzlich kein Kriegsmaterial
153100	156300	3200	in Länder, die schwerwiegende Menschenrechtsverletzungen begehen.
156579.99999999997	161260	4680	Jetzt soll dieses Verbot nur noch eingeschränkt gelten.
161300	166460	5160	Dabei geht es v.a. um Saudi-Arabien. Die Menschenrechtslage ist schlecht.
166660	170260	3600	Aber die Emire geben viel Geld für Rüstung aus.
170470	172900	2430	Mit der Lockerung sind Lieferungen an die Saudis
173010	176620	3610	jetzt nicht mehr ausgeschlossen.
176850	179380	2530	Sehen Sie hier keine Gewissenskon- flikte mit ihren christlichen Werten?
179520	181350	1830	Es wird auch differenziert.
181540	185710	4170	Die Verordnung soll nicht so verändert werden,
185820	190110	4290	dass man blind in problematische Länder liefert.
190230	193030	2800	Das ist absolut nicht so.
193140	198520	5380	Anders sieht das die Schweizer Bischofskonferenz.
198710	200800	2090	"Sie kritisiert den Entscheid gegenüber ""10vor10""."
201000	204200	3200	Wenn das jetzt gelockert wird, dann tut mir das sehr leid.
204410	210079.99999999997	5670	Wenn ich das aus christlicher, ethischer Sicht urteile,
210160	215440	5280	dann hätte das nicht passieren dürfen.
215579.99999999997	218280	2700	Arbeitsplätze oder Moral: 11 CVP Nationalräte
218430	222120	3690	stimmen der Exporterleichterung zu. 16 sind dagegen.
222370	226200	3830	Damit herrscht heute genau eine Pattsituation.
226300	229840	3540	Er hat per Stichentscheid entscheiden:
230030	232720	2690	CVP-Nationalratspräsident Ruedi Lustenberger drückte Ja.
232900	237000	4100	Und Sie haben entschieden?
237230	239960	2730	Nein, alle 93 anderen haben auch entschieden,
240150	243960	3810	weil alle anderen 39 Stimmen haben genau gleich viel Gewicht.
244060	247840	3780	Ich habe meine nur am Schluss abgegeben.
247930	250120	2190	Drücken Sie sich ein wenig?
250280	253920	3640	Nein, das ist eine saubere Auslegung des Parlamentrechts.
254030	256880	2850	Meine Stimme zählt nicht doppelt,
257140	258800	1660	sondern genau gleich wie die anderen auch.
259060	260680	1620	Mir tut es leid, dass genau aus der Reihe der CVP
260920.00000000003	263280	2360	der Stichentscheid kam.
263350	266160	2810	Wir müssen das jetzt so annehmen.
266340	268760	2420	Schweizer Rüstungsgüter für die Emire:
268920	271760	2840	Den eidgenössischen Waffenschmieden soll die Arabische Halbinsel
