start	end	duration	text
7880	11370	3490	1:1-Untertitelung. Livepassagen können Fehler enthalten.
11550	13610	2060	"Guten Abend und herzlich willkommen zu ""Schweiz aktuell""."
13790	17610	3820	Dies hat am 10. Februar Schlagzeilen gemacht:
19200	21050	1850	Der Pfarrer der Urner Gemeinde Bürglen,
21280	24810	3530	der ein lesbisches Paar gesegnet hat, weigert sich, das Dorf zu verlassen -
24920	26570	1650	gegen den Willen des Bischofs.
29680	31090	1410	In 4 Jahren schon sollen Schnellzüge
31200	33570	2370	durch den Basistunnel am Monte Ceneri fahren.
33670	37650	3980	Aber der Plan wankt. Ein Gerichtsfall hat viel Zeit gekostet.
39600	42450	2850	18 Jahre lang musste die Schweiz warten,
42570	45260	2690	bis sie wieder einen Abfahrtsweltmeister hatte.
45440	48060	2620	Heute wird Patrick Küng in seiner Glarner Heimat zünftig gefeiert.
48230	52540	4310	Michael Weinmann ist in Näfels an der Party.
52670	54550	1880	Wir untertiteln live:
62720	68510	5790	Eine Party, die erst um 19:30 Uhr beginnen sollte.
68590	74510	5920	Wir sehen hier sehr viele Einheimische Fans.
74870	76590	1720	Diese Party wurde spontan organisiert.
76780	82630	5850	Man hat vieles auf die Beine gestellt,
82789.99999999999	85270	2480	die Leute sind und Patrick Küng fehlt noch.
85260	87550	2290	Der Fall sorgt weit über die Innerschweiz hinaus für Aufregung:
87610	89070	1460	Der Pfarrer von Bürglen
89250	91110	1860	hat die Verbindung eines lesbischen Paars gesegnet.
91190	92990.00000000001	1800	Darum haben ihm die Bischöfe von Chur und Lausanne nahegelegt,
93100	94550	1450	seinen Posten zu räumen.
94789.99999999999	96390	1600	Aber die Bürgler wehren sich und haben heute offiziell mitgeteilt,
96530	98190	1660	dass ihr Pfarrer bleibt.
99920	101430	1510	Der Widerstand in Bürglen bleibt stark.
101600	104110	2510	Das ganze Dorf, die katholische Kirchgemeinde,
104229.99999999999	105590	1360	steht hinter Pfarrer Wendelin Bucheli.
105780	108750	2970	Auch er hat gestern an der gemeinsamen Sitzung
108910	111150	2240	mit dem Pfarrei- und Kirchenrat bestätigt,
111289.99999999999	113270.00000000001	1980	dass er nicht vorhat, zu demissionieren.
113470	115789.99999999999	2320	Auch heute wollte er vor der Kamera nichts sagen.
115940	117550	1610	Dafür spricht wieder
117670	121070	3400	der Vizepräsident des Kirchenrats von Bürglen, Peter Vorwerk.
121250	125350	4100	Er hat bekräftigt, dass er in Bürglen bleiben will,
125550	127790	2240	und wir haben den Beschluss,
127970	130870	2900	dass wir ihn unbedingt als Pfarrer in Bürglen behalten wollen,
130970	133110	2140	noch einmal frisch gefasst.
133220	136710	3490	Man hoffe und setze aber immer noch auf den Dialog mit dem Bischof.
136880	139030	2150	Der direkte Vorgesetzte des Pfarrers
139230	141910	2680	könnte zwischen ihm und dem Bistum Chur vermitteln:
142090	144310	2220	Martin Kopp, der Generalvikar der Urschweiz.
144460	147990	3530	Bislang hat ihn aber keine der beiden Seiten gefragt.
148110	150630	2520	Martin Kopp kritisiert beide Parteien -
150770	152430	1660	zum einen der Pfarrer,
152520	155150	2630	der im letzten Herbst eine lesbische Beziehung gesegnet hat ...
155240	157550	2310	Ich hätte das sicher nicht getan.
157710	160950	3240	Wenn er mich im Vorfeld irgendwann mal gefragt hätte,
161120	164910	3790	hätte ich ihm auch davon abgeraten, die Segnung so vorzunehmen.
165110	170670.00000000003	5560	... andererseits vermisst der Generalvikar beim Bischof
170829.99999999997	173590	2760	das nötige Fingerspitzengefühl gegenüber dem Pfarrer.
173670.00000000003	176110	2440	Ihn unter Druck zu setzen, findet er nicht angemessen.
176220	178230	2010	Statt eine Demission nahezulegen,
178440	181150	2710	wäre auch eine Rüge des Bischofs ausreichend.
181320	185150	3830	Er erlitt kurz nach der Segnung
185360	188990	3630	einen Zusammenbruch wegen eines Hirnschlags.
189190	191750	2560	Davon hat er sich jetzt noch nicht erholt.
191840	194630	2790	Dem muss man bei diesem Vorgang Rechnung tragen.
194740	198870	4130	Auch der Generalvikar will den Pfarrer von Bürglen behalten.
198960	200270	1310	Er brauche ihn unbedingt.
200480	204110	3630	Der Pfarrer sei einsatzfreudig, sozial engagiert und sehr fromm.
204200	206630	2430	Im Moment scheint es, als wären die Fronten verhärtet:
206750	209110	2360	Auf der einen Seite ein Dorf,
209270	211550	2280	das seinen Pfarrer nicht gehen lassen will,
211610	213470	1860	auf der anderen die beiden Bischöfe von Chur und der Romandie,
213680	215790	2110	die den Pfarrer wegen seiner Segnung eines lesbischen Paars
215880	217030	1150	versetzen wollen.
217120	218870	1750	Pfarrer Bucheli wurde nämlich nur ans Bistum Chur ausgeliehen.
219079.99999999997	221510	2430	Er schuldet dem Bischof von Genf, Fribourg und Lausanne Gehorsam,
221570	224670.00000000003	3100	weil er in Fribourg zum Priester geweiht wurde.
224829.99999999997	227829.99999999997	3000	Wir haben beim Bistum Chur, zu dem Bürglen gehört,
227970	229829.99999999997	1860	nachgefragt, wie es weitergehen soll.
