start	end	duration	text
2029.9999999999998	3290	1260	.
3490	6090	2600	1:1-Untertitelung. Livepassagen können Fehler enthalten.
16309.999999999998	19130	2820	Das ist die Fratze der vermeintlich Zukurzgekommenen,
19160	21170	2010	der Auftritt der Wutbürger,
21320	24010	2690	wie ihn Deutschland in immer kürzeren Abständen erlebt,
24110	26450	2340	begleitet von Anschlägen
26620	29370	2750	auf Flüchtlingsunterkünfte und Pöbeleien gegen Fremde.
29540	32090.000000000004	2550	Guten Abend, meine Damen und Herren. Was geschieht da in Deutschland?
32270.000000000004	34330	2060	Und schwelt der Rassismus auch in der Schweiz?
34470	38130	3660	Wir gehen den Fragen in unserem Fokus nach. Die weiteren Themen:
39910	44090	4180	Immer mehr Leute finden ihren Job bei der öffentlichen Hand.
45710	50490	4780	Vier Monate nach dem Erdbeben in Nepal liegt noch viel im Argen.
53570	59570	6000	Hip-Hop-Mogul Dr. Dre arbeitete sich mit satten Beats aus der Armut.
63070	66050	2980	Und wieder hat es gebrannt in Deutschland,
66120	69650	3530	diesmal in Nauen, ehemals Ostdeutschland.
69850	72210.00000000001	2360	Die Turnhalle ist völlig niedergebrannt.
72450	76170	3720	Hier hätten in den nächsten Tagen 100 Flüchtlinge einziehen sollen,
76380	78410	2030	befristet bis Ende Jahr.
78560	81050	2490	Die Polizei geht von Brandstiftung aus.
81170	84170	3000	Zuvor war es in Nauen
84320	86570	2250	zu lautstarken Protesten von Rechtsradikalen gekommen.
86750	88530	1780	In der sächsischen Kleinstadt Heidenau,
88610	90330	1720	ebenfalls ehemals Ostdeutschland,
90480	92170	1690	haben am Wochenende zwei Nächte hintereinander
92300	94170	1870	gut organisierte Rechtsradikale
94340	96970	2630	zusammen mit Einwohnern der Stadt randaliert -
97050	99530	2480	vor einer provisorischen Unterkunft für Asylbewerber.
99729.99999999999	103289.99999999999	3560	Das widerspiegelt nicht die Meinung der meisten Deutschen,
103460.00000000001	105729.99999999999	2270	aber der Fremdenhass bricht immer ungehemmter auf.
105840	107810	1970	Stefanie Schunke und Adrian Arnold.
109479.99999999999	112289.99999999999	2810	* Unverständliches Brüllen *
