start	end	duration	text
39980	41880	1900	Das geschichtsträchtige Hotel La Petite Gilberte
42270	44080	1810	wurde heute zwangsversteigert.
45310	48120	2810	Die IV-Revisionen der vergangenen Jahre haben zahlreiche Verschärfungen
49680	54240	4560	und höheren Hürden bei der Invalidenversicherung eingebaut.
54410	58240	3830	Dies, so beklagen Kritiker, führe bloss dazu,
58500	61960	3460	dass Menschen, statt eine IV-Rente zu erhalten, bei der Sozialhilfe landen.
62140	65560	3420	Jetzt liegen erstmals druckfrische Zahlen vor.
65760	70720	4960	Der Kanton Schwyz hat die Frage untersucht und stellt fest:
70960.00000000001	76160	5200	Eine namhafte Umverlagerung aus der IV in die Sozialhilfe
76320	78440	2120	findet nicht statt.
78520	80120	1600	"""Stimmt das wirklich?"","
80289.99999999999	83880	3590	fragen in ihrem Bericht Sarah Weber und Mirjam Spreiter:
85600	87960.00000000001	2360	Früher konstruierte er Messestände.
88090	90120	2030	Zuerst erlitt er einen Herzinfarkt,
90289.99999999999	92440	2150	dann änderte ein Hirnschlag sein Leben.
92660	94759.99999999999	2100	Markus F. erholte sich nie ganz davon.
94920	98720	3800	Deshalb bezog er sechs Jahre lang eine IV-Rente.
98880	101160	2280	Doch bei der letzen Überprüfung entschied der Gutachter:
101310	103240.00000000001	1930	Er erhält keine Rente mehr.
103479.99999999999	105520.00000000001	2040	Für den 57-Jährigen eine Katastrophe.
105660	107600	1940	Ich fühle mich nicht mehr wert.
107759.99999999999	111280	3520	Ich habe Aggressionen, weil ich mich betrogen fühle.
111400	116120	4720	Ich weiss weder ein noch aus.
116280	120240	3960	Er hat keine Arbeit, keine IV mehr, und nun droht die Sozialhilfe.
120500	123880	3380	Nicht nur ich versuche das zu verhindern,
124070	127720	3650	sondern meine ganze Familie und Verwandtschaft versuchen,
127820	129520.00000000001	1700	das zu verhindern.
129720	133040	3320	Meine Tochter unterstützt mich jetzt ein Jahr nach dem Studium
133170	137240	4070	mit monatlichen 2'000 Fr., damit wir nicht bankrott gehen.
137450	141440	3990	Doch wie viele ehemalige IV-Bezüger landen eigentlich in der Sozialhilfe?
141540	144640	3100	Der Kanton Schwyz hat dies erstmals untersucht.
144860	148720	3860	Die Behörden kürzten oder strichen zwischen 2009 und 2013
148829.99999999997	152480	3650	bei 261 Fällen die IV-Rente.
152579.99999999997	155400	2820	Nur in zehn Fällen bezog die Person nachher Sozialhilfe.
155510	158360	2850	Das sind gerade mal 4 %.
158560	161560	3000	Der Grossteil habe wieder Fuss gefasst, sagt Andreas Dummermuth,
161710	165400	3690	Leiter der IV-Stelle in Schwyz.
165560	168960	3400	Ein Teil der Personen, die die Rente nicht mehr erhalten,
169090	171040	1950	sind heute erwerbstätig.
171280	172920.00000000003	1640	Sie haben durch Umschulungsmassnahmen
173100	176120	3020	und beruflichen Massnahmen wieder Fuss gefasst
176320	178240	1920	und einen Platz im Arbeitsmarkt gefunden.
178390	181280	2890	Ein Teil lebt innerhalb der familiären Solidarität,
181540	183840	2300	wird also in der Familie aufgefangen.
184040	188880	4840	Ein Teil verfügt über derart hohe Einkommen und Vermögen,
188980	191480	2500	dass sie offensichtlich nicht von der Sozialhilfe
191590	193640	2050	unterstützt werden müssen.
193740	196520	2780	Findet die befürchtete Verlagerung von der IV in die Sozialhilfe
196620	198360	1740	also kaum statt?
198510	200320	1810	Gesamtschweizerische Zahlen gibt es nicht.
200490	204240	3750	Doch eine grosse Verlagerung finde nicht statt, sagt Stefan Ritler,
204350	208160	3810	Vizedirektor des Bundesamtes für Sozialversicherungen.
208420.00000000003	212040	3620	Die IV wird grundsätzlich immer wieder mit dem Vorwurf konfrontiert,
212230	215760	3530	dass sie Rentenfälle in die Sozialhilfe abschiebe.
215860	217840	1980	Ist das so? Was sagen Sie zu diesem Vorwurf?
217960	220560	2600	Das ist grundsätzlich nicht so.
220730	223680	2950	In Einzelfällen können solche Härtefall-Situationen auftreten.
223840	227640	3800	Aber das passiert nicht im grossen Stil.
227810	230600	2790	Wer einen Gesundheitsschaden erleidet und nicht mehr arbeiten kann,
230710	233000	2290	der hat Anspruch auf eine IV-Rente.
233100	235600	2500	Die Höhe der Invalidenrente hängt nicht davon ab,
235730	237560	1830	ob jemand vermögend ist.
237770	240480	2710	Sondern wie gross der Gesundheitsschaden ist.
240730	243200	2470	Anspruch auf Sozialhilfe hingegen hat man nur,
243360	245760	2400	wenn man kein Vermögen hat und niemanden hat,
245890	248360	2470	der für einen aufkommen kann.
250780	252760	1980	Doch längerfristig würden viele der Betroffenen
253000	256519.99999999997	3520	doch wieder in der Sozialhilfe landen, kritisiert Felix Wolffers,
256690	260480.00000000003	3790	Co-Präsident der kantonalen Konferenz für Sozialhilfe.
260690	263480	2790	Denn die Verlagerung finde sehr wohl statt.
263700	265640	1940	Findet diese Umlagerung gar nicht statt?
265840	269040	3200	Wir sprechen hier nur von den aufgehobenen IV-Renten.
269140	272040	2900	Das ist nur ein kleiner Teil der Verlagerung.
272210	276720	4510	4 % - das ist erstaunlich viel, wie der Kanton Schwyz ausgerechnet hat,
276890	279920	3030	werden in die Sozialhilfe abgeschoben.
280010	281960	1950	Im Kanton Schwyz
282120	284520	2400	gibt es hervorragende wirtschaftliche Rahmenbedingungen.
284780	286920	2140	Ich gehe davon aus, dass in anderen Kantonen
287060	290000	2940	die Zahl wesentlich höher sein wird.
290100	292400	2300	Von der IV zur Sozialhilfe.
292580	296880	4300	Noch lebt Markus F. vom Ersparten, von der Hilfe der Familie.
297040	298680	1640	Wir wollen auf jeden Fall versuchen,
298840.00000000006	301080	2240	nicht in die Sozialhilfe zu rutschen.
301280	305280	4000	Es wäre für unsere Familie sehr schlimm,
305530	309240	3710	wenn wir nicht mehr selber bestimmen könnten.
309370	311240	1870	Und hat die Hoffnung,
311430	314840	3410	dass er über eine Klage doch wieder eine IV-Rente bekommt.
316740	320280	3540	In der griechischen und europäischen Schuldentragödie
320460	322920	2460	kam vor weniger als einer Stunde eine Meldung,
323040	325720	2680	die noch nicht so richtig nachhallt, aber dies noch tun könnte:
325890	327840	1950	Christine Lagarde, die Chefin des IMF,
328040	330840	2800	gab in einer Rede in Washington den Griechen sozusagen gleichzeitig
330950	335280	4330	die Peitsche und das Zuckerbrot.
335430	341600	6170	Wir sind der Meinung, dass das Programm zwei Beine hat,
341670	346480	4810	die Peitsche und das Zuckerbrot.
354350	361080	6730	Ein Bein steht für bedeutende Reformen,
361240	364880	3640	das andere für eine Restrukturierung der griechischen Schulden.
365090	371560	6470	Und wir glauben, dass das im Fall von Griechenland angebracht ist.
373410	374960	1550	Mit stoischer Geduld hat Alexis Tsipras die Debatte im EU-Parlament
391130	394520	3390	Mit stoischer Geduld hat Alexis Tsipras die Debatte im EU-Parlament
394680	397280	2600	über sich ergehen lassen. Tsipras im Hexenkessel.
397440	405320	7880	Zuerst wurde der griechische Premierminister mit Beifall
405400	408920	3520	seiner Anhänger empfangen.
411190	415080	3890	Einige Parlamentarier unterstützten ihn mit Nein-Schilder.
415140	418720	3580	Der Start in die dreistündige Debatte durfte Alexis Tsipras
418860	422400	3540	gleich selbst machen.
422500	424920	2420	Wir wollen ein nachhaltiges Programm,
425120	427360	2240	damit wir unsere Schulden zurückzahlen können.
427430	429720	2290	Wir wollen aber nicht immer wieder gezwungen werden,
430050	433440	3390	Schulden machen zu müssen, nur um alte zu begleichen.
433830	436400	2570	Tsipras zeigte sich überzeugt,
436610	439320	2710	die Forderungen der internationalen Gläubiger fristgerecht zu erfüllen.
439420	442840	3420	Die Reaktionen im Hexenkessel folgten zugleich
442970	447240	4270	Guy Verhofstadt von den Liberalen etwa sagte,
447390	449040	1650	die Geduld sei aufgebraucht.
449220	451440	2220	Die Griechen reden ständig von Reformen,
451590	455720	4130	aber wir sehen nie auch nur einen Vorschlag.
457360	459840.00000000006	2480	Sie, Herr Tsipras, müssen nun zeigen,
460090.00000000006	464000	3910	dass sie ein echter Leader sind und nicht ein falscher Prophet.
465490	467520	2030	Tsipras nimmt es gelassen.
467659.99999999994	470280	2620	Auch als er direkt attackiert wird von Manfred Weber,
470400	473480	3080	Chef der Christdemokraten.
474090.00000000006	476480	2390	Sie, Herr Tsipras, lieben die Provokation,
476650	478840.00000000006	2190	wir lieben den Kompromiss.
478990	482040	3050	Sie lieben das Scheitern, wir lieben den Erfolg.
482220	486600	4380	Sie spalten Europa und wir lieben Europa.
486690	488400	1710	Ich hoffe,
488610	491160	2550	dass Sie vernünftig werden und endlich ein Programm vorlegen.
491340	496640	5300	Die Linken um Gabi Zimmer greifen ihrerseits den Vorredner an.
496870	501720	4850	Um hier in alter deutscher Manier Arroganz, Schulmeisterlichkeit
501910	506240	4330	und Antikommunismus zu predigen, das können Sie stecken lassen,
506350	509960	3610	weil das niemandem helfen wird.
510100	516880	6780	von Marine Le Pen.
517020	519039.99999999994	2020	Griechenland kann seine Schulden nicht begleichen,
519220	522039.99999999994	2820	sie sind nicht tragbar und müssen jetzt neu verhandelt werden.
522220	529800	7580	Keine ersichtliche Reaktion bei Tsipras.
533430	535560	2130	Am Ende der Debatte war v.a. eines klar:
535740	539160	3420	Welch tiefe Risse und heftige Emotionen
539270	541240	1970	die Griechenland-Krise hervorruft.
541390	544440	3050	Nun hat Tsipras zwei Tage Zeit, um seine Reformen zu präsentieren.
548160	552120	3960	Besteht bei einem ungeborenen Kind das Risiko eines Chromosomenfehlers,
552190	558560	6370	darf in der Schweiz seit drei Jahren per Bluttests ermittelt werden,
558690	560520	1830	ob sich dieser Verdacht bestätigt.
560670	562360	1690	Ab Mitte des Monats werden solche Bluttests
562490	564160	1670	von der Grundversicherung bezahlt -
564380	565920	1540	vorausgesetzt das Risiko eines Chromosomenfehlers
566030	567800	1770	wurde in einem vorangehenden Ersttrimestertest
567930	570960	3030	als positiv beurteilt.
571110	574080	2970	Solche pränatalen Bluttests sind umstritten, erst recht,
574240	577760	3520	da sie von der Krankenversicherung bezahlt werden sollen.
577970	580760	2790	Ethische Bedenken bestehen etwa darin, dass damit die Hemmschwelle,
580970	584000	3030	ein behindertes Kind abzutreiben, drastisch sinke.
584100	587760	3660	Nina Blaser mit einer Debatte der Gegner und Befürworter.
589030	591000	1970	Nur ein kleiner Stich.
591170	593240	2070	Ein einfacher Bluttest der Mutter kann zeigen,
593410	596760	3350	ob das ungeborene Kind einen Gendefekt aufweist -
596890	600680	3790	z.B. Trisomie 21.
604440	609080	4640	Denn im Blut der Mutter zirkulieren DNA-Fragmente des ungeborenen Kindes.
609200	611200	2000	Zirkuliert zu viel dieser DNA,
611380	614320	2940	ist das ein Zeichen auf ein überschüssiges Chromosom.
614460	617160	2700	Das bedeutet Trisomie 21.
617270	619440	2170	Daniel Surbek, der Chefarzt der Frauenklinik
619600	623400	3800	des Inselspitals Bern begrüsst, dass solche Bluttests in Risikofällen
