start	end	duration	text
11890	13810	1920	MIT TELETEXT-UNTERTITELUNG
15570	17290	1720	Mehr als 1 Mio. Kinder und Jugendliche
18160	21130	2970	drücken in der Schweiz die Schulbank.
21340	25810	4470	Im Rahmen des Lehrplans 21 erhalten viele von ihnen neue Lehrmittel.
25980	28690	2710	Der Lehrplan 21 hat gigantische Kostenfolgen,
28900	31250	2350	deren sich viele noch gar nicht bewusst sind.
31450	32290	840	In Afrika haben staatliche Schulen einen schlechten Ruf.
35210	38170	2960	Eltern schicken ihre Kinder lieber auf Privatschulen.
38320	42050	3730	Für ausländische Investoren ein vielversprechendes Geschäft.
42770	45810	3040	Und: Schweizer Internate verdienten lange gutes Geld
45940	47330	1390	mit privater Bildung.
47890	50370	2480	Inzwischen haben aber auch globale Konzerne
50470	52530	2060	das immense Potenzial erkannt:
52730	57010	4280	Der globale Bildungsmarkt wird auf 5,6 Billionen Dollars geschätzt.
58580	60530	1950	Ein gigantischer Markt.
60700	62290	1590	"Bildung als Geschäft - ein ""ECO""-Spezial""."
65379.99999999999	69930	4550	"Guten Abend und herzlich willkommen zur ersten ""ECO""-Sendung des Jahres."
70890	74210.00000000001	3320	US-Aussenminister John Kerry hat's getan.
74360	77289.99999999999	2930	Der langjährige deutsche VW-Chef Ferdinand Piech ebenso.
78400	81370	2970	Und auch der Schweizer Regisseur Marc Forster.
81450	83530	2080	Der Besuch eines Schweizer Internats
83700	86530	2830	gilt als Start für eine lukrative Karriere.
86630	90330	3700	Aber es ist gleichzeitig die wohl teuerste Investition,
90480	92410	1930	die Eltern für die Ausbildung ihrer Kinder tätigen können.
93670	96770.00000000001	3100	Bis zu 130'000 Fr. kostet ein Jahr.
96960.00000000001	100610	3650	Privatschulen machen, was in der Schweiz verpönt ist:
100840	103210.00000000001	2370	Sie verdienen Geld mit Bildung.
103380	105490.00000000001	2110	Bildung wird zum Business.
105580	107330	1750	Was das heisst, zeigt Manuela Siegert.
110360	114330	3970	Ein Unternehmen mit einer besonders schönen Fassade. Kein Wunder.
114620	120210	5590	Geht es hier ja ums Denken, ums Werden, um das ganze Leben.
121310	122330	1020	So, this is your iodine solution, broming water, chlorine water.
128470	131490	3020	200 Internatsschüler aus 35 Ländern
131670	135570	3900	mischen sich im Lyceum Alpinum in Zuoz.
135650	137329.99999999997	1680	Wohin der Weg aus den Bündner Bergen sie einst führen soll,
139840	143410	3570	wissen einige unter ihnen schon sehr genau.
144870	147210	2340	Mein Wunschberuf wäre Portfolio-Manager.
147400	151329.99999999997	3930	Und zuerst will ich nach St. Gallen gehen,
151420.00000000003	152370	950	zur dortigen Universität.
153810	158890	5080	Und von dort zur Credit Suisse oder zur UBS.
159110	162370	3260	Ich will Wissenschaft oder Mathematik studieren.
162560	166650	4090	Und ich werde zurückgehen nach Mexiko und da studieren.
