start	end	duration	text
960	2930	1970	.
3050	12570	9520	1:1-Untertitelung
12720	15010	2290	"Guten Abend. Das ist ""Schweiz aktuell""."
15220	18450	3230	Und das sind am heutigen 2. Dezember unsere Themen:
20380	24810	4430	In Schwanden/GL, wo früher die Electrolux-Werke standen,
24900	28250	3350	sollen Seniorenwohnungen, ein Ärztezentrum
28390	30290	1900	und eine Wellnessoase entstehen.
30540	32970	2430	"Das hat der Investor heute ""Schweiz aktuell"" verraten."
34070	37930	3860	Die Zahl minderjähriger Asylsuchender,
38140	41530	3390	die alleine in die Schweiz reisen, hat sich mehr als verdoppelt.
41730	43730	2000	Ihre Betreuung ist eine Herausforderung,
43830	46210	2380	wie unsere Reportage aus dem Kanton St. Gallen zeigt.
47720	50610	2890	Die meisten Kinder des Luzerner Schulhauses Fluhmühle
50680	53170	2490	haben einen Migrationshintergrund.
53250	55570	2320	Weil sie besonders gut gefördert werden,
55690	58010	2320	hat die Schule einen Preis erhalten.
59740	61650	1910	Das neue Polizeireglement
61860	64849.99999999999	2990	sorgte in den letzten Wochen in Zermatt für viel Gesprächsstoff.
65060	68330	3270	Der Gemeinderat wollte eine Anzahl von Verboten einführen,
68440	71970	3530	z.B. ein Alkoholverbot in der Öffentlichkeit nach Mitternacht.
72120	75330	3210	Das ging der Bevölkerung aber zu weit.
75520	77860	2340	Die Gemeindeversammlung hat gestern Abend nach stundenlanger Debatte
78020	80740	2720	das neue Polizeireglement zwar angenommen,
80890	83420	2530	jedoch die umstrittensten Artikel gestrichen.
85030	87740	2710	Wenn sich die Nacht langsam über Zermatt legt,
87970	90020	2050	machen sich die Nachtschwärmer auf in den Ausgang.
90180	92180	2000	Über 160 Restaurants, Bars und Nachtlokale
92340	95100	2760	buhlen im Kurort um die Gunst der Gäste.
95200	96979.99999999999	1780	Aber seit ein paar Jahren
97180	99979.99999999999	2800	verschiebt sich das Nachtleben immer mehr nach aussen in die Gassen.
100200	102700	2500	Das ist nicht im Sinne des Zermatter Gemeinderats.
102880	105060	2180	Es seien viele Reklamationen eingegangen,
105259.99999999999	107900	2640	sagte Gemeindepräsident Christoph Bürgin
108020.00000000001	110020.00000000001	2000	gestern Abend an der Urversammlung.
110180	112940	2760	Das Problem in Zermatt ist, dass wir keinen Autoverkehr haben
113039.99999999999	115180	2140	und alle zu Fuss unterwegs sind.
115400	117860	2460	Deshalb haben wir immer wieder Probleme mit Leuten,
118020.00000000001	120180	2160	die in den Strassen johlen oder singen.
120380	124620	4240	Es gibt Reklamationen von Betrieben oder Wohnungen,
124640	126580	1940	die nicht schlafen können.
126680	128460.00000000001	1780	Im neuen Polizeireglement
128650	131660	3010	hat der Gemeinderat deshalb in Artikel 11, Absatz 4 festgehalten:
133950	136420.00000000003	2470	"""Der Alkoholkonsum im öffentlichen Raum"
136500	139240	2740	(Strassen, Plätzen, öffentlich zugängliche Terrassen usw.)
139340	141360	2020	"ist ab 24 Uhr verboten."""
143420.00000000003	146880	3460	Die Debatte über das Polizeireglement durften wir nicht filmen.
147060	149560	2500	Doch das Verbot ist bei der Mehrheit der BürgerInnen nicht gut angekommen.
149660	151320	1660	Ein Tourismusort wie Zermatt
151540	153800	2260	dürfe sich solche restriktiven Massnahmen nicht leisten.
154010	157440	3430	Wir haben viele internationale Gäste und auch Schweizer.
157660	160760	3100	Die wollen einfach etwas erleben und auch ausgehen.
160860	164280	3420	Wenn jetzt einer draussen eine Zigarette raucht
164490	168360	3870	und eine Flasche Bier oder ein Bier im Plastikbecher trinkt
168610	169920.00000000003	1310	und man ihn dann bestrafen muss, dann geht das einfach nicht.
170120	174040	3920	Die Urversammlung hat deshalb Artikel 11 Absatz 4 ersatzlos gestrichen.
174200	180000	5800	Genauso stark umstritten war der sog. Jugendschutzartikel:
181790	184400	2610	"""Jugendlichen unter 16 Jahren ist es untersagt,"
