start	end	duration	text
27750	29720	1970	MIT TELETEXT-UNTERTITELUNG
32310.000000000004	34280	1970	* Rasante Musik und Schreie *
53150	55080	1930	Fünf Millionen Besucher
55270	58520	3250	zieht es jährlich hier in den Europa-Park nach Rust.
58670	61280	2610	Eine Million davon kommt aus der Schweiz.
61430	65880	4450	Das ist somit eines der beliebtesten Ausflugsziele für die Schweizer.
66000	66240	240	Und das in Deutschland.
68130	71530	3400	Guten Abend und herzlich willkommen in der Welt des Temporauschs.
71730	74490	2760	Viele Leute haben hier eigentlich nur eines im Sinn:
74620	76970	2350	So schnell wie möglich, von 0 auf 100.
77160	79930	2770	Und das bekommen sie z.B. auf der Blue Fire,
80039.99999999999	81250	1210	einer der spektakulärsten Achterbahnen Europas.
84350	86300	1950	* Schreie *
95350	96259.99999999999	910	Ich bin alles andere als ein Achterbahnfan.
97920	100259.99999999999	2340	Ich fürchte mich schon beim Zuschauen.
100560	102220	1660	Trotzdem wagen alleine hier
102400	104820	2420	täglich bis zu 20'000 Leute diesen Höllenritt.
104920	106860	1940	Aber warum eigentlich?
107080	109500	2420	Was steckt hinter der Lust an der Angst?
109620	111259.99999999999	1640	Wir suchen heute Antworten.
112330	114259.99999999999	1930	Abenteuer Beschleunigung:
114700	118300	3600	Was passiert, wenn der Mensch mit der Fliehkraft experimentiert -
118430	120380	1950	und dabei an Grenzen geht?
121230	123140	1910	Man staunt immer wieder,
123340	126260	2920	was der Körper wirklich effektiv aushalten kann.
127520	129460.00000000001	1940	Extreme Bauchgefühle:
129630	132420	2790	Wieso wir Temporausch mal als pures Vergnügen,
134840	136980	2140	mal als kleinen Alptraum erleben?
141950	146300	4350	Wenn die Realität nicht mehr genügt: Wie Ingenieure und Informatiker
146560	149180	2620	auf der Achterbahn neue Emotionen schaffen.
154230	156180	1950	Heute ist nicht viel los,
156560	159980	3420	und trotzdem wartet man 30 Min. auf eine Fahrt mit der Blue Fire.
160170.00000000003	162540	2370	Der Reiz muss riesig sein. Was ist der Reiz?
162720	166020	3300	Die Beschleunigung. Wie die Kräfte auf den Körper wirken.
166200	171260	5060	Wenn man durch den Looping fährt ... Das ist echt krass, aber geht.
171550	175500	3950	Die Geschwindigkeit, der Looping - einfach alles ist mega cool.
177050	179579.99999999997	2530	Also mit einer Beschleunigung von 3,8 G,
179720	183820	4100	d.h. man wird fast mit dem vierfachen des eigenen Körpergewichts
184080	186300	2220	in den Sitz gedrückt und dazu kommen Geschwindigkeiten von ca. 100 km/h.
189980	191900	1920	Macht es süchtig?
192390	196780	4390	Die Wirkung lässt irgendwann etwas nach, aber es ist trotzdem geil.
196880	199460	2580	Ist das die erste Fahrt auf dieser Bahn?
199560	201300	1740	Nein, heute schon die dritte. - Die dritte Fahrt?
202260	204860	2600	Dann erübrigt sich die Frage, ob es süchtig macht.
205000	207140	2140	Ein wenig macht es schon süchtig.
215480	216380	900	Jetzt muss ich auf die Bahn. Wenigstens ohne anzustehen.
218870	221380	2510	Begleitet werde ich vom Chef persönlich.
225110	227060	1950	So, nun geht es bald los.
227800	230100	2300	Muss ich das selber schliessen? - Ja.
231710	234700	2990	Ich muss schauen, wie das mit dem Mikrofon geht.
234870	238060	3190	Es kann nichts passieren. - Danke. Hält das jetzt?
242450	244300	1850	Hier wird der Puls gemessen.
244430	246380	1950	92 geht ja noch.
250440	252500	2060	Nervös? - Ja, sehr.
253830	255740	1910	Jetzt gehts los. * Alarm *
259899.99999999997	261339.99999999997	1440	Jetzt sind wir auf über 100 km/h.
264190	266540	2350	Jetzt sind wir dann 30 m hoch.
266800	270540	3740	Jetzt geht es runter. Wir haben 3,8 G in der Beschleunigung.
270760	274500	3740	Bevor wir in den Looping kommen, sind wir fast schwerelos.
274600	276340.00000000006	1740	Hier gehen wir auf 3,5 G.
278070	281900	3830	Bevor wir dann auf 0,7 G abnehmende Kräfte haben.
282030	284900	2870	Hier habe ich meiner Frau den Heiratsantrag gemacht.
285100	287980	2880	Was für einen Heiratsantrag? - An Weihnachten.
292150	296340.00000000006	4190	Jetzt geht es noch einmal in eine Über-Kopf-Passage.
296520	299380	2860	Hier haben wir gleich noch einmal abwirkende Kräfte.
299520	301140	1620	Juhu!
301310	304020	2710	Jetzt geht es gleich in die Heartline-Roll.
304210	306420	2210	Im Mittelpunkt sind wir fast schwerelos.
306830	308780	1950	* Schreien *
308950	311260	2310	So, nun haben wir es schon geschafft.
311430	314640	3210	Jetzt kommt die Schlussbremse - und das wars dann.
314800	316720	1920	Oh, Gott!
320430	321360	930	Wissen Sie was? Was Sie hier machen, ist organisiertes Verbrechen.
325350	327320	1970	Oh, ist das schlimm!
327540	330600	3060	Hat doch Spass gemacht, oder? - Nein, nein, nein!
330750	333640	2890	Ich würde es gerne sagen, aber es ist ah ...
334440	336360	1920	Zwischendurch einmal, aber bei der Drehung ist es: Hu!
