start	end	duration	text
7160	11280	4120	1:1-Untertitelung. Livepassagen können Fehler enthalten.
11390	14920	3530	"Guten Abend. Das ist ""Schweiz aktuell"" und dies sind unsere Themen:"
16430	19800	3370	Die Sparvorschläge der Luzerner Regierung
20030	22800	2770	sind heute im Parlament nicht gut angekommen -
22900	26680	3780	und auch bei Menschen mit Behinderung und ihren Betreuern nicht.
28220	31400	3180	Weil die Zuger Gemeinde Oberägeri immer weiter wächst,
31540	33200	1660	müssen Schüler im öffentlichen Verkehr stehen
33430	35000	1570	und können sich kaum festhalten.
35110	37440	2330	Die Eltern sorgen sich um die Sicherheit.
39270	42720	3450	Die Witterung und Schädlinge setzen den Maroni zu.
42890	44840	1950	Das wirkt sich auch auf die Verkäufer aus.
45070	47240	2170	Wir sind live in einem Häuschen in Bern.
49280	51520	2240	Im Basler Breite-Quartier wurden gestern Nachmittag
51650	53160	1510	2 Frauen in ihren Wohnungen getötet
53310	55960	2650	und ein Mann auf der Strasse lebensgefährlich verletzt.
56070	58800	2730	Heute gab die Staatsanwaltschaft Details zu den betroffenen Personen
58950	61970	3020	und zum Tathergang bekannt.
62060	63690	1630	Das grosse Rätsel bleibt aber,
63790	65970	2180	was den mutmasslichen Täter zu seiner Tat bewog,
66070	66330	260	und ob er die Opfer überhaupt kannte.
71990	74970	2980	Auch heute, einen Tag nach den Taten,
75130	77730	2600	ermittelt die Kriminalpolizei weiter an den verschiedenen Tatorten.
77890	80970	3080	Noch ist offenbar vieles unklar.
81150	84090	2940	Die Staatsanwaltschaft sagt heute aber,
84210.00000000001	86850	2640	wer der mutmassliche Täter ist,
86950	88530	1580	den sie noch gestern Abend festgenommen hat.
88700	90490	1790	Wir haben einen 22-jährigen Schweizer festgenommen.
90650	92570	1920	Er wird heute einvernommen, und wir werden schauen,
92830	94450	1620	ob er etwas zu dieser Tat sagen wird.
94630	96009.99999999999	1380	D.h., Sie haben noch kein Geständnis?
96250	97650	1400	Das können wir im Moment noch nicht sagen.
97750	101210.00000000001	3460	Die Taten spielten sich gestern alle im Breite-Quartier ab.
101340	104610	3270	Der erste Tatort ist der Nasenweg.
104729.99999999999	107130	2400	Hier ersticht der mutmassliche Täter in einem Mehrfamilienhaus
107229.99999999999	109410	2180	eine 46-jährige Deutsche.
109590	115250	5660	Nur ein paar Strassen weiter, an der Wildensteinerstrasse, der 2. Tatort:
115460.00000000001	117330	1870	Hier tötet vermutlich derselbe Mann
117460.00000000001	120530	3070	kurze Zeit später eine 76-jährige Schweizerin -
120700	123650	2950	ebenfalls in einem Mehrfamilienhaus und ebenfalls mit einer Stichwaffe.
123910	127850	3940	Vor dem Haus verletzt er einen 87-jährigen Mann lebensgefährlich.
128020.00000000001	130770.00000000001	2750	Dieser wollte offenbar seiner Nachbarin helfen.
130960.00000000001	134210	3250	Um die Ecke, an der Farnsburgerstrasse,
134460	136770	2310	umstellen später Sondereinheiten der Polizei
136960	140970	4010	das Wohnhaus des mutmasslichen Täters und nehmen ihn schliesslich fest.
141070	143690	2620	Wir haben noch kein Motiv,
143900	146810	2910	aber wir gehen nicht von einem Beziehungsdelikt aus,
146930	149730	2800	denn in einer Beziehung müssen sich die Menschen näher kennen.
149910	152050	2140	Das ist in diesem Fall nicht so?
152220	153930	1710	Wir gehen nicht davon aus, dass das der Fall ist.
154010	155850	1840	Vielleicht hat man sich bereits einmal gesehen,
155950	158050	2100	aber ein wichtiger Punkt ist für uns im Moment die Frage,
