start	end	duration	text
1530	6020	4490	1:1-Untertitelung
6720	9860	3140	"Die ""Tagesschau"", meine Damen und Herren, guten Abend."
10620	13580	2960	Und mit diesen Themen starten wir in die neue Woche:
14820	17380	2560	Nach der Attacke von Salez
18010	21700	3690	soll aber das Sicherheitsdispositiv überprüft werden.
23090	28140	5050	Vereint will man die Initiative AHVplus bekämpfen.
29720	34620	4900	In Hongkong muss der Anführer der Regenschirmrevolution
35330	37460	2130	Sozialdienst leisten.
40340	41950	1610	Bürgerliche Politiker
42620	44990	2370	wollen die Zinsobergrenze für Konsumkredite wieder erhöhen.
46660	49710	3050	Viel Sonne und v.a. in den Bergen gewitterhaft.
51600	54470	2870	Die Attacke vom Samstag in einem Zug bei Salez
55170	56790	1620	hat die Schweiz aufgeschreckt.
57450	59990	2540	Jetzt allerdings gibt es eine erste positive Nachricht:
60690	63230	2540	Das sechsjährige Mädchen und die 43-jährige Frau,
63950	66510	2560	die nach wie vor schwer verletzt im Spital liegen,
67210	69470	2260	sind ausser Lebensgefahr.
70289.99999999999	73270	2980	Jedoch befindet sich eine 17-jährige Frau weiterhin in kritischem Zustand.
74060	77670	3610	Die betroffene Südostbahn überprüft im Moment ihr Sicherheitsdispositiv.
78420	80430	2010	Die Polizei tappt nach wie vor im Dunkeln.
81710.00000000001	84870	3160	Wir haben gar kein Anzeichen auf irgendein Motiv.
85570	87789.99999999999	2220	Wir sehen im Moment kein Motiv, und alle Gerüchte,
88450	91000	2550	die auch in den Medien verbreitet wurden, stimmen nicht.
91770	96280	4510	Wir haben auch keine Hinweise auf eine politisch motivierte Tat,
97020.00000000001	99039.99999999999	2020	auf eine rassistische Tat.
99690	102960.00000000001	3270	Auch auf ein Beziehungsdelikt haben wir keine Hinweise.
103660	105479.99999999999	1820	Die Ermittlungen laufen seit Samstag.
106160	109120	2960	Auch eine Hausdurchsuchung beim Täter wurde durchgeführt.
109690	111000	1310	Als wichtigste Grundlage
111680	113640	1960	dient der Polizei aber ein Überwachungsvideo der Südostbahn,
114330	116880	2550	auf dem die Tat im Zug aufgenommen wurde.
117530	119160	1630	Was da zu sehen ist, wird nicht öffentlich.
119820	121480	1660	Nachahmer könnten animiert werden.
122250	124920	2670	Wir möchten das nicht kommunizieren, weil das unserer Meinung nach
125700	128120	2420	die Öffentlichkeit nicht interessieren darf.
128880	131560	2680	Es reicht, wenn wir von der Polizei dieses -
132370	135120	2750	das kann ich wirklich sagen - schreckliche Video gesehen haben.
135850	138440	2590	In diesem Zug - heute im Depot in Herisau -
