start	end	duration	text
1700	6150	4450	1:1-Untertitelung
7680	10750	3070	"Guten Abend, herzlich willkommen zu ""10vor10""."
11480	13190	1710	Heute haben wir diese Themen für Sie:
15460	19870	4410	Jean-Paul Clozel und die unglaubliche Geschichte seiner Firma Actelion.
21850	25470	3620	Zum chinesischen Neujahrsfest verheiraten sich Homosexuelle
26130	28870	2740	mit Scheinpartnern zur Täuschung der Eltern.
32310.000000000004	36190	3880	Immer mehr Schweizer Filmemacher begehren Fördergelder des Bundes.
38760	41150	2390	Selbst gestandene Experten
41880	44790	2910	staunen über das gloriose Comeback des Maestro.
48760	52710	3950	Eine Braut, die sich ziert, spornt die Buhlenden umso mehr an.
53360	56150	2790	Dass diese Strategie aufgeht, zeigt der spektakuläre Deal,
56800	58950	2150	den Actelion heute bekannt gibt:
59610	61590	1980	Der amerikanische Weltkonzern Johnson & Johnson
62270	66670	4400	blättert für die Baselbieter Biotech-Firma 30 Mrd. $ hin.
67290	69270	1980	Verantwortlich für den rasanten Erfolg Actelions
69880	72110	2230	ist CEO Jean-Paul Clozel.
72740	74470	1730	Er hat die Firma vor 20 Jahren gegründet
75120	78870	3750	und aus dem kleinen Roche-Ableger ein hochprofitables Unternehmen geformt.
79470	82030	2560	Wer ist der Mann, der das geschafft hat?
82650	85430	2780	Ein Porträt von Fabian von Allmen und Andreas Kohli.
87300	91110	3810	Jean-Paul Clozel: Arzt, Unternehmer, Milliardenmacher.
91840	93310	1470	Heute ist wohl der Tag seines Lebens.
93920	97870	3950	Der 61-Jährige verkauft seine Firma, doch er bleibt im Geschäft:
98600	101350	2750	Johnson & Johnson finanziert ihm gleichzeitig ein Spin-off.
101960.00000000001	104110	2150	Mit diesem will er sich wieder voll seiner Leidenschaft,
104750	105870	1120	der Forschung widmen.
107380	109550	2170	Forschung ist meine Leidenschaft.
110229.99999999999	113150	2920	Es gibt nichts Aufregenderes, als ein neues Medikament zu entwickeln
113759.99999999999	121190	7430	und so den Menschen das Leben etwas zu erleichtern.
121850	127750	5900	Die Erfolgsgeschichte beginnt 1997 mit Clozel, seiner Frau und Partnern.
128320	130389.99999999999	2070	Die Firma - ein Spin-off von Roche -
131009.99999999999	133030	2020	entwickelt ein Medikament gegen Lungenbluthochdruck.
133720	136630	2910	Nach einer langen Forschungsphase 2001 der Durchbruch:
137340	139670.00000000003	2330	Das Medikament Tracleer wird zum Blockbuster
140260	142550	2290	und ist bis heute Basis der Erfolgsgeschichte.
143200	145990	2790	Clozels Werk wächst explosionsartig,
146579.99999999997	148430	1850	2011 weiht Actelion mit viel Prominenz
149130	151110	1980	den neuen Firmensitz in Allschwil ein.
151690	154750	3060	Ein Prachtsbau von Herzog und de Meuron.
155440	157550	2110	Dort einziehen will der Firmenchef aber nicht.
158270	160230	1960	Lieber bleibt er in seinem Büro, gleich neben den Forschern.
161540	163430	1890	Doch der Erfolg weckt Begehrlichkeiten.
164130	167910	3780	2011 droht eine feindliche Übernahme, Clozels Sitz wackelt.
168640	171829.99999999997	3190	Doch er kämpft, will sein Lebenswerk nicht Spekulanten überlassen.
175400	177190	1790	Das Ziel ist: Gewinn für alle.
177840	179790	1950	Für Investoren, Patienten und die Angestellten.
180450	184870	4420	Aber am besten können wir das, indem wir unabhängig bleiben.
185510	189710	4200	Biochemikerin und ZKB-Analystin Sybille Bischofberger
190350	192590	2240	kennt Clozel seit 15 Jahren.
193270	200160	6890	Sie sagt, ihm sei es immer mehr um Forschung, denn um Profit gegangen.
200890	202280	1390	In schwierigen Phasen hat er
203260	205680	2420	seine Gesellschaft verteidigt,
206250	208400	2150	ist wie ein Löwe vor sie gestanden und wollte nicht,
209050	210400	1350	dass sie verkauft wird.
211130	212640	1510	Er hat alles daran gesetzt,
213300	215600	2300	dass Actelion im Markt weiterbestehen kann.
216220	218520	2300	Nun hat Clozel den Kampf gewonnen,
219090	221040	1950	ein kaum schlagbares Angebot verhandelt.
221579.99999999997	223320	1740	Er lässt seine Firma ziehen.
224010	225160	1150	Johnson & Johnson wird Actelion
225760	228680	2920	weiterhin als unabhängige Firma führen.
229420.00000000003	232160	2740	Somit ändert sich wenig. Für mich ist es schon emotional.
232760	235200	2440	Wie wenn ein Kind plötzlich erwachsen wird.
235930	238360	2430	Man muss es einfach ziehen lassen.
239000	241200	2200	Johnson & Johnson zahlt einen hohen Preis
241840	244000	2160	und gibt Clozel grosse Autonomie.
244530	247160	2630	Das Resultat ist Ergebnis seines Verhandlungsgeschicks.
249780	252760	2980	Er weiss, was er will und er ist sehr zielstrebig.
253400	255040	1640	Das Resultat ist aber kein Kompromiss,
255610	258680	3070	sondern wir maximieren so das Potenzial von Actelion.
259329.99999999997	262160	2830	Jean-Paul Clozel: Arzt, Unternehmer, Dealmaker -
262700	265120	2420	und ab sofort auch wieder Forscher.
267900	270760	2860	Die Nettozuwanderung in die Schweiz nimmt weiter ab -
271490	272880	1390	zum dritten Mal in Folge.
273500	277520	4020	Im letzten Jahr wanderten netto 60'262 Personen ein,
278170	280880	2710	das sind 15 % weniger als noch 2015.
284840.00000000006	286760	1920	Der Ruf der Schweiz.
287340.00000000006	288480	1140	Er lockte vergangenes Jahr
289140	291480	2340	erneut weniger Ausländerinnen und Ausländer an.
292170	295000	2830	2016 kamen 143'100 Einwanderer.
295650	298920	3270	Das sind 5 % weniger als im Vorjahr.
299610	302160	2550	Gleichzeitig verliessen viele das Land wieder.
302850	307880	5030	77'590 Personen ohne Schweizer Pass wanderten ab.
308520	312560	4040	5,6 %  mehr als noch 2015.
313140	315800	2660	Der Grund liegt für Arbeitsmarktspezialist George Sheldon
316460	318840	2380	von der Universität Basel auf der Hand.
320230	325160	4930	Als Ursache kommt für mich in erster Linie die Arbeitsmarktlage infrage.
325890	327120	1230	Wir stellen fest,
327790	333520	5730	dass seit 2011 die Arbeitslosenquote in der Schweiz zunimmt.
334090.00000000006	338240	4150	D.h. die Arbeitsmarktlage ist aus Sicht der Arbeitnehmer
338850	341880	3030	immer weniger attraktiv.
342550	344840.00000000006	2290	Das hat zur Folge, das weniger zugewandert wird
345480	347159.99999999994	1680	und gleichzeitig vermehrt ausgewandert wird.
347730	349000	1270	Die Konjunkturprognosen
349640	351600	1960	sagen jedoch eine Erholung auf dem Arbeitsmarkt voraus.
352240	356440	4200	Das könnte auch die Schweizer Anziehungskraft wieder erhöhen.
359240	363920	4680	Im Abstimmungskampf um die Unternehmenssteuerreform III
364560	367560	3000	war heute die Reihe an den kantonalen Finanzdirektoren,
368250	369960	1710	sie plädieren für ein Ja.
370680	373280	2600	Doch was passiert, wenn die Reform angenommen wird -
373890	375440	1550	da herrscht Unsicherheit, die Meinungen gehen weit auseinander.
376140	378720	2580	Das zeigt sich exemplarisch an den beiden Protagonisten
379340	382520	3180	des folgenden Beitrags:
383090	389160	6070	Finanzdirektorin Silvia Steidle aus Biel
389700	393000	3300	und Volkswirtschaftsdirektor Christoph Brutschin aus Basel.
393690	397280	3590	Beide treten für ihre Städte, aber gegen ihre Partei an.
397970	401640	3670	Sie ist als Bürgerliche gegen die Reform, er als Linker dafür.
402300	403560	1260	Claudia Badertscher berichtet.
407180	409320	2140	Ich kämpfe dafür, damit wir Arbeits- plätze in Basel erhalten können.
409970	411280	1310	Ich kämpfe dagegen,
411920	413560	1640	denn schlussendlich werden Bielerinnen und Bieler
414170	415640	1470	die Rechnung bezahlen müssen.
416320	417960	1640	Silvia Steidle rechnet damit,
418550	420840	2290	dass Biel bei einem Ja 15 Mio. Einnahmen verliert.
421440	423800	2360	Die bilinguale Bürgerliche sagt, sie müsste die Steuern erhöhen -
424530	427360	2830	und den Rotstift auch bei den Schulen ansetzen.
428080	429640	1560	Bonjour. - Bonjour.
430300	431080	780	Trotz herzlicher Begrüssung:
431650	433320	1670	Eine schlechte Nachricht für die Schulleiterinnen.
433980	435480	1500	Man müsste die Schulklassen vergrössern -
436170	437640	1470	vier Kinder mehr pro Klasse.
438590	440320	1730	In Biel haben wir in den letzten zwei Jahren bereits viel gespart.
440970	443360	2390	Wir mussten ein grosses Sparpaket über die Bühne bringen
443950	445450	1500	und Steuern erhöhen.
446100	448930	2830	Jetzt geht es einfach weiter, z.B. Schulklassenvergrösserung,
449510	453930	4420	das sind Extremmassnahmen, die wir werden treffen müssen.
454480	457890	3410	Ganz andere Befürchtungen treiben Christoph Brutschin um.
458420	462090.00000000006	3670	Er besucht die erfolgreiche Medtech- Firma Straumann mitten in Basel.
462670	465010	2340	Den Firmen und Jobs gilt die Sorge des Linken.
465650	467650	2000	Denn: Viele forschen und produzieren in Basel.
468220	469490	1270	Der Volkswirtschaftsdirektor sagt,
470140	473610	3470	solche Firmen könne er langfristig nur mit tiefen Steuern halten:
474710	477130	2420	Wenn die Reform angenommen wird, wird dieses Unternehmen
477790	480010	2220	seine Erfolgsgeschichte hier weiterschreiben.
480700	483770	3070	Das ist von grosser Bedeutung, denn wir wollen die Beschäftigung hier,
484410	486170	1760	in der Region, aber auch im ganzen Land sichern.
486900	488970	2070	Basel, Stadt am Rheinknie.
489530	490810	1280	Hier sind neben den Pharma-Multis
491450	493450	2000	auch viele weitere Holding-Firmen ansässig.
494180	496370	2190	Alle profitieren von einem steuerlichen Sonderstatus.
497060	500010	2950	Den muss die Schweiz auf Druck aus dem Ausland aufheben.
500690	502970	2280	Basel sagt, ohne die USR III müsste es
503540	506410	2870	die Steuern dieser Firmen viel zu stark anheben.
507290	509530	2240	Wieso soll Basel Ihrer Meinung nach Nein sagen,
510160	513049.99999999994	2890	wenn dann Pharmaunternehmen abzuwan- dern drohen und Jobs verloren gehen?
513679.99999999994	515330.00000000006	1650	Wenn das Volk am 12. Februar Nein sagt,
515950.00000000006	518370	2420	wird der Bund eine neue und viel ausgewogenere Vorlage
519059.99999999994	521250	2190	unterbreiten müssen.
521900	525290	3390	Das heisst noch nicht, dass Firmen in Basel abwandern würden.
525970	528010	2040	Biel, Stadt am Jurasüdfuss.
528690	530450	1760	Sie verfügt kaum über Holding-Gesellschaften,
531140	532770	1630	aber über viel Industrie.
533440	535370	1930	Im Zuge der USR III
535990	538170	2180	können die Kantone nun die Steuern für alle Unternehmen senken.
538800	541010	2210	Biel sagt, das wäre fatal: Man brauche die Einnahmen,
541560	543650	2090	um eine Grundinfrastruktur zu gewährleisten.
545800	546970	1170	Macht das Ihnen keine Sorgen,
547580	549450	1870	wenn eine Stadt die Schulklassen vergrössern muss?
550140	552090	1950	Es wird sich zeigen, ob das wirklich geschehen wird.
552820	554690	1870	Schwarzmalerei finde ich nicht gut.
555330	557570	2240	Biel muss jetzt mit Energie das Gespräch mit dem Kanton suchen.
558160	560250	2090	Der Bund zahlt Ausgleichszahlungen an die Kantone -
560880	564570	3690	es ist durchaus so, dass ein Teil davon an die Kommunen gehen soll.
565210	566130	920	Es wird dann auch darum gehen,
566760	568930	2170	die Ausgestaltung der kantonalen Vorlage in Bern zu beeinflussen,
569590	571410	1820	um diese möglichst verträglich zu gestalten.
572140	575610	3470	Als FDPlerin verficht die Bielerin Silvia Steidle
576270	577810	1540	zwar einen schlanken Staat.
578440	579690	1250	Aber dass sie jetzt das lokale Hallenbad -
580340	583170	2830	Kostenpunkt 700'000 Fr. jährlich - schliessen müsste,
583810	586610	2800	das gehe ihr schlicht zu weit.
587290	589930	2640	Sie malen doch hier in Biel einfach schwarz!
590580	593250	2670	Unser Land basiert auf Solidarität.
593930	596330	2400	Solidarität muss auch zwischen den Regionen spielen.
596970	600170	3200	Hier in Biel werden wir sparen müssen, das Hallenbad schliessen.
600810	604450	3640	Es geht wirklich um die Existenz unserer Stadt,
605030	606890	1860	denn wir wollen keine Abwärtsspirale
607490	608930	1440	und uns zu Tode sparen.
609540	611130	1590	Wir müssen einen Service public bieten können.
611760	615330	3570	Deshalb ist diese Reform nicht mehr tragbar, sie wird uns verletzen.
616020	618890	2870	In Basel brummt der Wirtschaftsmotor.
619540	623250	3710	60 % der Firmensteuern zahlen hier Holding-Firmen.
623890	625170	1280	SPler Christoph Brutschin sagt,
625900	628250	2350	die Firmen brauchten nun Planungssicherheit.
628830	632450	3620	Sonst drohe das Steuersubstrat auf lange Sicht abzufliessen.
634370	636250	1880	Ist das nicht etwas dramatisiert?
636890	639170	2280	Nein, überhaupt nicht, niemand wird so seine Zelte abbrechen.
639830	642330	2500	Ein schleichender Abbau ist möglich, dass einzelne Funktionen
642940	645100	2160	an einen anderen Ort verlagert werden.
645740	649340	3600	Und die noch grössere Gefahr: Projekte, die die Zukunft betreffen,
649990	652700	2710	auch die Zukunft der Beschäftigung, werden nicht hier,
653400	655020	1620	sondern an einem anderen Ort auf der Welt stattfinden.
655610	657780	2170	Zwei Kontrahenten, die etwas eint:
658500	661980	3480	Sie setzen sich für ihre Stadt ein - und damit gegen ihre Partei.
662610	664140	1530	Und: Für beide ist die kommende Abstimmung
664710	667020	2310	die wohl wichtigste für lange Zeit.
670000	673140	3140	Wenn übermorgen in China das Jahr des Hahns beginnt,
673790	676700	2910	dann beginnt auch die wichtigste Ferienzeit im Reich der Mitte.
677420	680380	2960	Die meisten Chinesinnen und Chinesen reisen über die Feiertage nach Hause,
681100	682860	1760	um ihre Familien zu besuchen.
683430	686940	3510	Die grösste Völkerwanderung des Jahres ist bereits in vollem Gang.
687600	690340	2740	Hunderte Millionen sind unterwegs, nehmen tagelange Reisen auf sich,
690980	693860	2880	um das Neujahrsfest mit ihren Angehörigen zu verbringen.
695260	698350	3090	Nicht allen ist in diesen Tagen zum Feiern zumute.
698920	700430	1510	Für Schwule und Lesben ist das Neujahr
701110	703030	1920	die schlimmste Zeit des Jahres.
703560	705470	1910	Warum, zeigt der Beitrag von Pascal Nufer.
707580	711590	4010	Die Adam's Bar in Peking. Hier fühlt sich Ou Xiaobai zu Hause.
712240	714110	1870	Während andere über Neujahr zu ihren Eltern fahren,
714760	717910	3150	trifft sie hier Menschen, die ihre Situation verstehen:
718510	721910	3400	In diesem Lokal trifft sich Pekings Schwulen- und Lesbenszene.
722630	723630	1000	Das grösste Fest der Chinesen
724270	727270	3000	ist für Ou Xiaobai die traurigste Zeit im Jahr.
727870	729270	1400	How are you?
729840	732670	2830	Die Zeit um Neujahr ist für viele Junge sehr schwierig:
733380	735430	2050	Sie müssen heimreisen.
736110	739270	3160	Viele stehen deshalb unter riesigem Druck von Eltern und Verwandten.
739910	740910	1000	Alle wollen nur eines wissen:
741560	743270	1710	"""Wann bringst du endlich einen Freund nach Hause?"""
743910	745310	1400	"""Wann heiratest du endlich?"""
745930	748190	2260	Für Ou Xiaobai ist die Lage noch verzwickter:
748870	751910	3040	Sie ist lesbisch und kann das ihren Eltern nicht sagen.
752490	753950	1460	Um weitere Fragen zu vermeiden.
754610	757430	2820	hat sie sich zur grössten Lüge ihres Lebens entschlossen:
758110	760590	2480	Sie hat einen schwulen Mann geheiratet.
761150	764630	3480	Eine Scheinheirat auf dem Papier, nur um die Eltern zu beruhigen.
765980	769750	3770	Wir haben uns 2012 getroffen und geheiratet,
770390	773270	2880	weil wir dachten, es wäre das Einfachste.
773890	775990	2100	Wir sind danach zu unseren Eltern gefahren für Neujahr -
776650	781990	5340	und dann waren zum ersten Mal alle glücklich. Es war es wert.
782620	788670	6050	Aus ihrer Not hat Ou Xiaobai jetzt eine Tugend gemacht:
789300	792270	2970	Sie hat eine App kreiert, um Schwule und Lesben zusammenzuführen -
792910	794830	1920	für eine Scheinheirat.
796810	799190	2380	Ich habe diese iHomo-App kreiert,
799910	802630	2720	um Leuten in dieser Situation zu helfen.
803300	806190	2890	Die Hauptfunktion ist, einen Partner zu finden für eine Scheinheirat.
806820	809790	2970	Aber einfach auch, um die Leute zu unterstützen.
810470	813990	3520	Jetzt, kurz vor Neujahr, explodieren die Downloadzahlen.
814660	816870	2210	Das zeigt, wie schwer sich Chinas Gesellschaft
817540	819630	2090	mit dem Thema Homosexualität immer noch tut.
820300	822230	1930	Offizielle wurde die gleichgeschlechtliche Liebe
822950	825870	2920	vor Kurzem von der Liste der Geisteskrankheiten gestrichen -
826500	830390	3890	in den Köpfen vieler Chinesen ist das noch lange nicht angekommen.
832140	834990	2850	Die grösste Diskriminierung erleben die meisten Homosexuellen
835630	837630	2000	innerhalb ihrer eigenen Familie.
839350	842150	2800	Es gibt drei Punkte, die den Leuten in China
842790	845630	2840	zum Thema Homosexualität spontan einfallen:
846190	849310	3120	Der erste ist Geisteskrankheit, dann Abnormalität,
849910	855510	5600	und als Drittes: Die sind alle HIV-positiv und haben Aids.
856170	860270	4100	Gegen diese Klischees kämpfen auch Sun Wenling und Hu Mingliang.
860870	862870	2000	Hier dreht das berühmteste Schwulenpaar Chinas
863520	865670	2150	einen Werbefilm für mehr Gay-Rechte.
866450	868230	1780	Die beiden haben letztes Jahr vor Gericht
868890	870910	2020	um die Anerkennung ihrer Partnerschaft gekämpft.
871460	873390	1930	Sie haben dann allerdings verloren.
874030	875270	1240	* Applaus *
875930	877750	1820	Ihre Geschichte machte landesweit Schlagzeilen.
878410	879990	1580	Die Szene sieht es aber schon als Erfolg,
880640	883670	3030	dass die beiden überhaupt noch öffentlich auftreten dürfen,
884330	887670	3340	um ihre Erfahrungen mit Gleichgesinnten zu teilen.
888230	891270	3040	Wie z.B. hier in Shanghai, an einem Forum für betroffene Eltern,
891990	895150	3160	wo Sun Wenling zusammen mit seiner Mutter auf einem Podium
895770	897670	1900	vor Hunderten über sein Coming-out spricht.
902230	904230	2000	Ich hatte mein Coming-out schon lange.
904940	907710	2770	Ich weiss eigentlich nicht mehr, was mich damals dazu bewegte.
908270	909590	1320	Ich hab's einfach irgendwann gesagt
910260	912030	1770	und niemand hat mich damals verstanden.
912750	913910	1160	Ich weiss deshalb sehr gut, wie wichtig
914550	918240	3690	die Unterstützung der Familie ist im Moment des Coming-outs.
918870	921120	2250	Die meisten Homosexuellen verstecken ihre Neigung.
921830	924400	2570	Nur 5 % stehen offen dazu.
925000	928760	3760	Apps wie iHomo von Ou Xiaobai sind nur Lösungen auf Zeit.
929370	933040	3670	Chinas Gesellschaft sei einfach noch nicht reif für mehr Offenheit.
933940	937680	3740	Das dauert wohl noch mind. zehn Jahre und bis dann
938320	941440	3120	sind Scheinehen wahrscheinlich immer noch die beste Lösung.
942090	944240	2150	Danach werde vielleicht sogar ich
944820	950810	5990	ganz natürlich ein volles Coming-out haben.
951480	954170	2690	Und so schluckt Ou Xiaobai auch an diesem Neujahr
954810	957170	2360	wieder die bittere Pille ihrer Lebenslüge.
962040	964650	2610	Die Solothurner Filmtage, die heute Abend zu Ende gehen,
965360	967410	2050	haben wohl wieder einige Jungtalente animiert,
968030	969850	1820	ins Filmgeschäft einzusteigen.
970510	973850	3340	Wer allerdings hier Kinofilme dreht, wird kaum reich damit.
974460	976650	2190	Praktisch jeder Schweizer Streifen ist ein Verlustgeschäft
977350	979930	2580	und kommt nur dank Subventionen zustande.
980550	984050	3500	Der Geldtopf für die Filmförderung ist seit Jahren fast gleich gross.
984710	986490	1780	Zugenommen hat allerdings die Zahl derjenigen,
987120	989570	2450	die von diesem Topf profitieren möchten.
990210	992370	2160	Die Anträge haben sich in den letzten Jahren verdreifacht.
992990	996010	3020	Fritz Muri über den harten Verteilkampf im Filmgeschäft.
998960	1002610	3650	Einen Film zu drehen ist teuer, sehr teuer:
1003230	1005450	2220	Kameras, Ton, Licht, Techniker, Schauspieler.
1006100	1010010	3910	Ein durchschnittlicher Schweizer Film kostet zwischen 2 und 6 Mio. Fr.
1010610	1012330	1720	Dass ein Film, der nicht fürs Fernsehen produziert wird,
1013020	1014090	1070	dieses Geld wieder einspielt, kommt selten vor.
1014820	1017130	2310	Wer in der Schweiz einen Film drehen will,
1017770	1020650	2880	stellt in der Regel einen Antrag auf Filmförderung.
1021280	1022370	1090	Über diesen wird dann
1023000	1025410.0000000001	2410	in einem Sitzungszimmer im Bundesamt für Kultur entschieden,
1026020	1029690	3670	wo jährlich 30 Mio. Fr. Filmsubventionen verteilt werden.
1030390.0000000001	1032369.9999999999	1980	Ivo Kummer wacht als Chef der Filmförderung
1033079.9999999999	1034770	1690	über die Verteilung der Gelder.
1035440	1038010	2570	In den letzten Jahren hat sich die Zahl der Gesuche vervielfacht.
1039160.0000000001	1041970	2810	Das ist ein sog. Gesuch für einen langen Spielfilm.
1042630.0000000001	1046329.9999999999	3700	Einige hundert Seiten müssen eingegeben werden,
1046950	1049010	2060	um einen Förderbeitrag zu erhalten.
1049600	1050490	890	Wir müssen uns da durcharbeiten,
1051200	1052770	1570	aber auch unsere Expertinnen und Experten.
1053410	1055130	1720	Wie viele solcher Dossiers erhalten Sie pro Jahr?
1055780	1058170	2390	Insgesamt - über alle Förderungsinstrumente gesehen -
1058800	1060930	2130	sind es etwa 680 Gesuche pro Jahr.
1061680	1066850	5170	Hinter jedem dieser 680 Dossiers steht monatelange Arbeit:
1067520	1069570	2050	Drehbuch, Budget, Verträge.
1070270	1071330	1060	Die Geldsumme bleibt gleich,
1072000	1074290	2290	aber immer mehr Filmemacher bewerben sich darum.
1076200	1080610	4410	In den letzten fünf Jahren gab es eine Verdreifachung der Filmgesuche.
1081250	1083890	2640	In allen Disziplinen, aber v.a. bei den attraktiven Disziplinen
1084530	1086010	1480	wie Spielfilme, also lange Spielfilme,
1086640	1088730	2090	aber auch Kurzfilme oder Drehbücher.
1089350	1094050	4700	Warum möchte in der Schweiz plötzlich jeder Filme drehen?
1097110	1099050	1940	Ein Grund ist sicher der enorme Anstieg
1099690	1102530	2840	von Absolventinnen und Absolventen an Filmschulen,
1103120	1105730	2610	die auf den Markt kommen,
1106380	1108210	1830	die eine lange und teure Ausbildung hinter sich haben
1108880	1110810	1930	und von ihrem Beruf leben wollen.
1111540	1114850	3310	Zudem sind auch die bestehenden Filmschaffenden noch auf dem Markt.
1115560	1119090	3530	In Zürich können Studenten heute das Filmhandwerk
1119720	1121890	2170	an der Hochschule der Künste lernen.
1122520	1124610	2090	Sie ist eine von vier Ausbildungsstätten,
1125200	1127530	2330	die in den letzten Jahren in der Schweiz entstanden sind.
1128120	1131130	3010	An der Hochschule der Künste erklärt man den Ansturm auf das Metier
1131720	1134810	3090	mit der steigenden Bedeutung der audiovisuellen Kommunikation.
1137750	1139570	1820	Ich glaube sogar, es ist gut, dass es mehr geworden sind.
1140220	1142130	1910	Ich finde es auch gut, dass es mehr Gesuche gibt.
1142880	1144410	1530	Auch im Sport wollen die Junioren gefördert werden.
1145120	1146570	1450	Stellen Sie sich Roger Federer vor, der sich dafür einsetzt,
1147270	1148930	1660	dass möglichst wenig Junge Tennis spielen.
1149560	1152570	3010	Oder der FCZ, der nur elf Leute ausbildet, weil es nur elf braucht.
1153310	1155570	2260	Man braucht viele, damit die Besten weiterkommen.
