start	end	duration	text
910	2480	1570	.
2600	6880	4280	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7010	9360	2350	"Guten Abend, willkommen zu ""10vor10""."
9510	12040	2530	Wie sollen Rechtsstreitigkeiten
12200	15160	2960	zwischen der Schweiz und der EU gelöst werden?
15250	19000	3750	Zu dieser Frage gibt es heute ernüchternde Signale aus Luxemburg.
19160	21960	2800	Der Präsident des Europäischen Gerichtshofs
22070	25480	3410	sagt im Interview mit unserem Korrespondenten klipp und klar:
25710	29080	3370	Unverbindliche Gutachten kommen nicht infrage.
29300	32439.999999999996	3140	Der Plan von Aussenminister Burk- halter scheint also nicht aufzugehen.
32600	36320	3720	"""Was nun?"", fragen wir in unserem Fokus. Und hier die weiteren Themen:"
37390	41160	3770	Wie gross sind die Chancen
41350	43920	2570	für die moderaten SVPler Thomas Hurter und Hannes Germann?
47700	53480	5780	PostFinance und Coop lancieren eine Bezahl-App fürs Smartphone.
55360	61080	5720	Menschrechtsorganisationen werfen Shell Lügen vor.
63480	69000	5520	Es dreht sich und dreht sich, das Kandidatenkarussell der SVP.
69160	72880	3720	Für den frei werdenden Bundesratssitz von Eveline Widmer-Schlumpf
72990	75720	2730	melden weitere Kandidaten ihr Interesse an.
75870	79480	3610	Ständerat Hannes Germann und Nationalrat Thomas Hurter
79710.00000000001	82600	2890	sind beide von der SVP Schaffhausen nominiert worden.
82770	85840	3070	Beide gelten als eher moderate SVP-Mitglieder,
86000	88560	2560	die nicht stramm auf der Parteilinie politisieren,
88670	92160	3490	sondern auch mal abweichen, etwa in Europafragen.
92390	94880	2490	Haben solche Abweichler überhaupt Chancen,
95030	99320	4290	aufs SVP-Ticket zu kommen und fürs höchste Amt nominiert zu werden?
99550	101520.00000000001	1970	Andre Ruch hat sich umgehört.
102550	106840	4290	Das Kandidatenkarussell der SVP-Bundesratsanwärter füllt sich.
106979.99999999999	110720	3740	Jetzt sind auch Hannes Germann und Thomas Hurter aufgestiegen.
110930	114200	3270	Beide gelten als eher moderate SVPler,
114380	117479.99999999999	3100	die auch mal zu Kompromissen bereit sind.
117660	120040	2380	Ich glaube, das Interessante an so einem Amt ist,
120140	122440	2300	dass man Führung übernehmen kann.
122620	125320	2700	Natürlich die Herausforderung des Amtes.
125410	127320	1910	Die Schweiz zu repräsentieren
127460	129919.99999999999	2460	und an vorderster Front mitgestalten zu können.
130100	132960	2860	Ihre Nominationen landen nun auf dem Tisch von Ernst Hasler,
133190	135720	2530	dem Präsidenten der SVP-Findungskommission.
135900	141440	5540	Diese prüft alle Kandidaten auf ihre Eignung als Bundesrat.
141550	145240	3690	Die Frage der Wählbarkeit und die Frage der Parteilinie
145310	147840	2530	sind natürlich wichtige Kriterien.
148000	150520	2520	Selbstverständlich wollen wir jemanden,
150690	155880	5190	der die SVP-Ziele zu 100 % unterstützen kann.
156079.99999999997	159480	3400	Es werde für die moderaten SVPler schwer,
159620	161840	2220	in den Bundesrat zu kommen,
162050	164400	2350	sagt Politologieprofessor Adrian Vatter.
164560	169000	4440	Für die SVP seien sie wahrscheinlich zu weit von der Parteilinie entfernt.
169160	171880	2720	Es sind tatsächlich beide Kandidaten,
171980	174079.99999999997	2100	die nicht voll auf der Parteilinie sind.
174240	177560	3320	Deswegen werden sie es parteiintern umso schwerer haben,
177780	180240	2460	weil die Chance gross ist, wenn sie nominiert werden,
180370	182440	2070	dass sie von der Bundesversammlung gewählt werden.
182580	184800	2220	Ist er zu nahe bei den anderen Parteien?
184960	187760	2800	Thomas Hurter trat heute zum Rüstungsprogramm vor die Medien.
188020	193160	5140	Als Mann der Wirtschaft gilt er als liberaler als die meisten in der SVP.
193260	197079.99999999997	3820	Es ist sicher so, dass ich das Gedankengut der SVP
197190	199120	1930	grossmehrheitlich trage.
199260	201400	2140	Ich komme aus einem internationalen Unternehmen,
201510	203760	2250	aus der Privatwirtschaft.
203860	206040	2180	Ich habe da in gewissen Bereichen
206220	208040	1820	vielleicht eine etwas andere Ansicht.
208160	210120	1960	Dieses Spider-Diagramm von smartvote
210260	212480	2220	zeigt die durchschnittlichen politischen Positionen
212630	215040	2410	der SVP-Fraktion in verschiedenen Themenbereichen.
215230	217400	2170	Thomas Hurters politisches Profil in gelb
217570	220240	2670	deckt sich in grossen Teilen mit jenem seiner Partei.
220420.00000000003	223760	3340	Allerdings ist er in der Aussen- politik offener als andere SVPler,
224000	227640	3640	würde etwa die Bilateralen nicht aufs Spiel setzen wollen.
227810	230280	2470	Selbstverständlich sind die Bilateralen
230390	232920.00000000003	2530	in gewissen Bereichen wichtig -
233079.99999999997	235000	1920	nicht in allen Bereichen gleich wichtig,
235110	237320	2210	das muss ich ehrlicherweise sagen.
237579.99999999997	241280	3700	Es ist so, dass wir irgendwo auch die Zusammenarbeit suchen
241470	243480	2010	und weiterhin schauen müssen, wie das geht.
243720	247040	3320	Auch Hannes Germann stimmt oft anders als seine Parteikollegen.
247240	250720	3480	Im Gegensatz zu den durchschnittlichen SVP-Positionen
250860	253640	2780	ist Germann laut smartvote-Profil
253800	256720.00000000003	2920	aber nicht nur für eine offenere Aussenpolitik,
256920.00000000003	260360	3440	sondern auch für einen stärker ausgebauten Sozialstaat.
260459.99999999997	261760	1300	Und in der Migrationspolitik
261980.00000000003	264840	2860	ist er weniger restriktiv als seine Kollegen.
265080	269720	4640	Gerade auch deshalb ist der Ständerat aus Schaffhausen überzeugt,
269880	272760	2880	dass er sich durchaus Chancen ausrechnen kann,
272880	275560	2680	in den Bundesrat gewählt zu werden.
275760	279480	3720	Ich meine, dass ich die Voraussetzungen erfülle,
279700	282720	3020	die die Findungskommission aufgestellt hat.
282940	285960	3020	Ich sollte also auch für die Fraktion wählbar sein -
286190	287640	1450	fürs Parlament sowieso.
287850	289440	1590	Auch andere SVP-Kandidaten,
289659.99999999994	292280	2620	die öffentlich ihr Interesse am Bundesratsamt bekunden,
292450	295640	3190	politisieren nicht immer auf der Parteilinie.
295860	299680	3820	Etwa Oskar Freysinger oder der Waadtländer Guy Parmelin.
299800	302280	2480	Ob die SVP sie wirklich ins Rennen schickt,
302400	304680	2280	hängt von der Parteitaktik ab.
