start	end	duration	text
680	3430	2750	.
15430	17510	2080	MIT TELETEXT-UNTERTITELUNG
18370	20270	1900	* Kirchenglocken *
50970	56630	5660	"""Wir vertrauen darauf, dass all das Gute, das Josi gewirkt hat,"
57280	62390	5110	"in Simbabwe und in der Schweiz, hundertfältig Frucht bringt."""
63680	67670	3990	"""Dafür danken wir dir durch Jesus Christus,"
68330	72270	3940	"der uns Bruder ist und Herr, Amen."""
74970	77350	2380	* Ruhige, nachdenkliche Klaviermusik *
113820	115910	2090	* Leises Stimmengewirr *
118620	122790	4170	Ernst Wildi ist der Generalobere der Immenseer Missionare.
123350	125270	1920	Begeistert war er nicht,
125990	129110.00000000001	3120	als er 2013 in dieses Leitungsamt gewählt wurde,
129759.99999999999	133230	3470	denn nur ungern verliess er sein geliebtes Sambia,
133950	136910	2960	wo er 26 Jahre gelebt und gewirkt hatte.
137579.99999999997	139950	2370	Die Rückkehr in die Schweiz war schmerzlich.
140520	142390	1870	Er verlor einiges an Gewicht und Lebenslust,
143110	146270	3160	und noch heute träumt er gelegentlich auf Afrikanisch.
146800	150230	3430	Ich hatte immer gern Kontakt mit Leuten.
151150	153470	2320	Jetzt bin ich hier z.T. allein.
154190	158030	3840	Man hört nichts, man sieht nichts, man hört kein Kinderlachen.
158750	162630	3880	Das ist alles so weit weg. Es ist so ruhig.
163190	165150	1960	Es ist wie in einem Altersheim.
165829.99999999997	166950	1120	Und ...
167690	170350	2660	Das vermisse ich natürlich. Da denke ich manchmal:
170970	174870	3900	"""Oh, wenn ich jetzt in Afrika wäre, wäre ich von jungen Leuten umgeben."""
175510	177030	1520	Und so weiter und so fort.
177620	179230	1610	Aber eben, ich musste dann sagen:
179880	182750	2870	"""Ich kann dem nicht nostalgisch nachtrauern,"
183420	186030	2610	ich muss schauen, dass ich mit dem zurechtkomme,
186630	190630	4000	was mir jetzt aufgetragen ist, und versuchen,
191350	194190	2840	"das so gut wie möglich zu machen - mit all meinen Begrenzungen."""
194810	196720	1910	Das eine kann ich, das andere halt nicht.
198079.99999999997	200240	2160	Das Missionshaus Bethlehem
200920.00000000003	203400	2480	liegt zwischen Vierwaldstätter- und Zugersee
203960	205640	1680	auf historisch durchtränktem Boden:
206300	209560	3260	bei Immensee, gleich am Ausgang der Hohlen Gasse,
210120	213240	3120	wo Wilhelm Tell den Tyrannen Gessler ermordet haben soll.
213930	217200	3270	Die Schweizerische Missionsgesellschaft Bethlehem,
217920.00000000003	222280	4360	kurz SMB genannt, war im Jahr 1921 gegründet worden
222990	225880	2890	und gedieh in den folgenden Jahrzehnten
226540	229800	3260	zum grössten katholischen Missionsunternehmen der Schweiz.
233410	238880	5470	Bruder Alois Arnold musiziert auf der Dachterrasse für einige Mitbrüder.
239540	245080	5540	27 Jahre wirkte er in Kolumbien als Schreiner auf einer Missionsstation,
245650	250720	5070	bis der Bürgerkrieg zu grausam wurde und er das Land verlassen musste.
251330	254120	2790	Auch sein Leben böte Stoff für ein dickes Buch.
254780	256880	2100	Manchmal mag er daraus erzählen,
257529.99999999997	263040	5510	manchmal lässt er bloss das Örgeli sprechen, doch meist schweigt er.
265200	268840	3640	Aus der Innerschweiz zogen die Missionare in die entlegensten,
