start	end	duration	text
2140	3070	930	.
3210	4950	1740	"Die ""Rundschau"" mit Susanne Wille."
5120	7950	2830	Mittwochabend. Zeit für das Politmagazin.
8090	10710	2620	Ich freue mich, dass Sie mit dabei sind.
10940	12750	1810	1:1-Untertitelung. Livepassagen können Fehler enthalten.
18020	23190	5170	Deutsche Rechtspartei nimmt sich die Schweiz zum Vorbild.
23350	26830	3480	Meine geschätzten Damen und Herren. Wir bürgern Frau Petry ein,
26990	33230	6240	in die Schweiz und dann wählen wir sie in den Bundesrat.
33360	39910	6550	Misshandelte Heimkinder warten auf eine Entschuldigung.
40140	47300	7160	Die Journalistin Safa Al Ahmad über den vergessenen Krieg im Jemen.
48730	52420	3690	Die Partei kam aus dem Nichts und schart die Wähler hinter sich.
52620	57100	4480	An vorderster Front bei der AfD, Alternative für Deutschland:
57290	59860	2570	der neue Politstar Frauke Petry.
60030	62460	2430	Freundlich im Ton, knallhart in der Sache.
62620	67580	4960	Sie will jetzt mit der Partei einen klaren Anti-Islam-Kurs fahren und
67660	73180	5520	schreibt im AfD-Grundsatzprogramm die Schweiz explizit als Vorbild fest.
73250	77580	4330	Über dieses Parteiprogramm stimmt die AfD diesen Samstag ab.
77820	81020	3200	Am letzten Samstag war Frauke Petry erstmals
81180	85660	4480	als Parteichefin in der Schweiz und besuchte eine AUNS-Versammlung.
85740	88860	3120	Es wurde klar: Sie hat hier eine Fangemeinde.
89020	93180	4160	Wer ist sie, die Frau, die Europas Rechte aufmischen will?
93250	96100	2850	Thomas Vogel mit einer Annäherung.
99310	101860	2550	Ein Samstagmorgen, nass und kalt -
102030	105700	3670	und trotzdem pilgern Hunderte hierher, ins Berner Oberland.
105870	108539.99999999999	2670	Wegen Bombendrohungen musste die AUNS ihre Tagung
108680	111780	3100	in den ehemaligen Mystery Park verlegen.
111950	113740.00000000001	1790	Linke Gruppierungen hatten angekündigt,
113940	116979.99999999999	3040	den Auftritt des Gastes aus Deutschland zu verhindern.
117060	121700	4640	Ein enormes Aufgebot soll die Sicher- heit der AfD-Frontfrau garantieren.
121900	126220	4320	Frauke Petry, eskortiert von Bodyguards und Staatsschützern.
126370	131180	4810	Frau Petry, eine Frage: So viele Sicherheitsmassnahmen
131310	134620	3310	für Ihren Besuch in der Schweiz, die Sie ja eigentlich so lieben.
134800	138380	3580	Erstaunt Sie das? - Es ist leider kein Einzelfall,
138530	141140	2610	dass in Deutschland für derartige Sicherheit
141329.99999999997	144020	2690	gesorgt werden muss und offenbar inzwischen auch in der Schweiz.
144250	146380	2130	Wir hoffen, dass es wieder besser wird
146520	149420.00000000003	2900	und wir versuchen, dazu etwas beizutragen.
149530	153540	4010	* Aufgestellte Blasmusik *
153780	157860	4080	Die AfD, ursprünglich eine Partei, die die D-Mark wieder einführen will,
158100	161420.00000000003	3320	hat sich unter der netten Frauke Petry radikalisiert.
161590	165260	3670	Die Rechtsaussenpartei will die Grenzen für Flüchtlinge schliessen,
165410	169590	4180	lehnt Minarette ab und ist gegen Kopftücher im öffentlichen Dienst.
169710	174350	4640	Verlockend, dieses Gedankengut aus Deutschland, tönt es in der AUNS.
174510	176310	1800	Meine geschätzten Damen und Herren.
176520	179990	3470	Wir bürgern Frau Petry in der Schweiz ein
180100	183630	3530	und dann wählen wir sie in den Bundesrat.
183730	188270	4540	* Lachen, Klatschen *
188320	190510	2190	Doch Frau Petry ist nicht nur nett.
190650	192630	1980	Sie will die AUNS für ihre Ziele nutzen.
192760	194350	1590	Was sie anstrebt,
194450	197110	2660	ist ein Schulterschluss der rechten Parteien in Europa.
197270	200030	2760	In dieser Hinsicht sei die SVP zu zögerlich.
200300	203230	2930	Es gibt diverse Kontakte der AfD zu Schweizer Parteien,
