start	end	duration	text
4470	7820	3350	.
8050.000000000001	14540	6490	1:1-Untertitelung.
17370	18980	1610	Guten Abend miteinander.
19150	21140	1990	"Das ist ""Schweiz aktuell"" und das sind heute unsere Themen:"
23260	26380	3120	In letzter Sekunde rettet der deut- sche Milliardär Klaus-Michael Kühne
26520	28660	2140	die Höhenklinik Davos-Wolfgang.
31160	33860	2700	Enthüllungen über fragwürdige Methoden bei der Weinproduktion
34050	36220	2170	sorgen im Weinkanton Wallis für Aufregung.
39680	43230	3550	Eine Ausstellung in St. Gallen von der Stickerei in der Ostschweiz
43490	48550	5060	und ihre Verbindung zu Japan und China.
49280	52950	3670	Der deutsche Unternehmer und Milliardär Klaus-Michael Kühne
53140	57470	4330	springt als Retter für die Hoch- gebirgsklinik Davos-Wolfgang ein.
57590	61230	3640	Die deutsche Klinik ist überschuldet
61440	63070	1630	und wäre deshalb fast geschlossen worden.
63280	65310	2030	Der Geldsegen ist auch eine gute Nachricht für Davos selber.
65410	67470	2060	In den letzten 10 Jahren gingen mehrere Kliniken zu
67680	69440	1760	und Davos hat als Kurort deutlich an Bedeutung verloren.
69590	71080	1490	Harry Stitzel.
71750	73760	2010	Klaus-Michael Kühne zusammen mit seiner Frau,
73970	76560	2590	bevor er die gute Nachricht verkündet.
76730	80440	3710	Der 76-Jährige ist Chef des Logistikunternehmens Kühne & Nagel.
80640	82640	2000	Der Deutsche wohnt seit 40 Jahren in der Schweiz
82750	85760	3010	und hat ein geschätztes Vermögen von 9 Mrd. Fr.
85850	87880	2030	Etwas davon geht jetzt nach Davos.
88020	90000	1980	Warum, sagt er an einer Medienkonferenz.
90190	96880	6690	Mit seiner Stiftung will er die Hochgebirgsklinik neu auszurichten
97120	98960.00000000001	1840	Aufgrund der guten Luft und der Tradition von Davos
99050	102280	3230	war das ein vorgegebener Standort
102530	105280	2750	und man hat uns da auch immer gut unterstützt
105340	107560	2220	von Seiten der Gemeinde.
107720	110520.00000000001	2800	Das war die richtige Entscheidung dort unsere Aktivitäten anzusiedeln.
110650	112400	1750	Allergien seien die Pest der Neuzeit
112530	114360	1830	und deshalb wolle seine Stiftung in Davos
114470	116360	1890	noch mehr in diese Richtung forschen.
116570	118920	2350	Ein nicht unbeträchtlicher Teil der Gesamtbevölkerung
119050	121200	2150	ist davon betroffen.
121340	123240	1900	Da waren wir der Meinung, dass das ein Feld ist,
123480	128720	5240	wo noch Arbeit geleistet werden kann um die Therapien zu verbessern.
128930	131360	2430	50 Mio. Fr. lässt sich der Unternehmer das Gebäude
131520	134440	2920	und einen Ausbau in ein Forschungscampus kosten.
134530	137160	2630	Und für die Forschung zahlt seine Stiftung in den nächsten Jahren
137290	139880	2590	nochmal 25 Mio. Fr.
139960	143600	3640	Das freut den Stiftungspräsidenten der Klinik:
143810	146800	2990	Man konnte eine Klinik, die wirklich einen Sinn hat
146890	149240	2350	und eine Zukunft hat,
149510	152520	3010	von den gemachten Altfehlern entlasten.
152700	155200	2500	Und jetzt gibt es für die Klinik, die Patienten,
155280	160800	5520	aber auch für die MitarbeiterInnen einen Neustart. Ein schöner Tag.
160980	163120	2140	Ein schöner Tag auch für die Angestellten.
