start	end	duration	text
11000	11080	80	.
27960	30200	2240	MIT TELETEXT-UNTERTITELUNG
32229.999999999996	36560	4330	Heute lassen wir es krachen - und machen das Unsichtbare sichtbar.
37280	39360	2080	Z.B. die Druckwelle einer Explosion.
40490	43760	3270	Als ich das erste Mal auf einer Hochgeschwindigkeitsaufnahme
44390	45960	1570	die Machwelle sah, dachte ich mir:
46540	48920	2380	"""Wow, das kann man ja nicht mit freiem Auge sehen."""
49630	52640	3010	Das ist ein Effekt, der nur durch diese Technik möglich wurde.
53340	56560	3220	Heute entdecken wir die Geheimnisse der Superzeitlupe.
61450	65519.99999999999	4070	Sie erschliesst der Wissenschaft eine bislang unentdeckte Welt.
66200	68800	2600	Sei es beim Vogelflug
69440	72440	3000	oder der Entwicklung der menschlichen Bewegungsabläufe.
73160	75840	2680	Wie schaffen wir es vom unsicheren Watscheln
76500	78280	1780	hin zur totalen Körperbeherrschung?
87700	91440	3740	"""Einstein"" sieht, was unsere Augen nicht sehen"
92090	98080	5990	und blickt mit Ihnen in die faszinierende Welt der Superzeitlupe.
104750	107920	3170	"Guten Tag und herzlich willkommen zu ""Einstein"""
108550	109840	1290	in der Welt der Superzeitlupe.
137870	139920.00000000003	2050	Nein, damit warten wir noch.
140570	142680	2110	Aber die Aufnahmen, die Sie gerade sahen,
143310	146240	2930	hat diese Spezialkamera an einem Roboterarm gemacht.
146780	149960	3180	Sie macht Superzeitlupe, nimmt 1'000 Bilder pro Sek. auf.
150600	153880	3280	Wir sind heute bei einem Spezialisten für solche Aufnahmen
154520	156960	2440	und wollen natürlich das eine oder andere ausprobieren.
157640	159570	1930	In der heutigen Sendung machen wir sichtbar,
160160	161930	1770	was unserem Auge sonst verborgen bleibt
162620	166090	3470	und zeigen, wie die Superzeitlupe auch die Wissenschaft beflügelt.
168390	171250	2860	Das ist Sky, ein gezähmter Steinadler.
173240	175650	2410	Treuer Gefährte des Falkners Paul Klima
176310	178810	2500	und heimlicher Star vieler Naturfilme.
183930	187170	3240	Wenn Sky sich majestätisch in den Himmel erhebt,
187800	191170	3370	ist Klima mit seinem Gleitschirm oft in seiner Nähe.
195870	199260	3390	Der Traum, wie ein Vogel durch die Lüfte zu fliegen,
200000	201340	1340	ist so alt wie die Menschheit.
202350	204500	2150	Doch bis heute ist es nicht gelungen,
205200	208100	2900	das Wunder des Fliegens ganz und gar zu entschlüsseln.
209600	211890	2290	Das erste Mal, als ich mit Sky zusammen flog
212540	216530	3990	und spürte, wie er wirklich auf mich schaut und mit mir geflogen ist,
217230	219890	2660	das ist natürlich absolut unbeschreiblich -
220590	221850	1260	es ist wohl das Erhabenste,
222550	224370	1820	das man sich überhaupt vorstellen kann:
225020	228170.00000000003	3150	Sich mit dem König der Lüfte den Luftraum teilen zu dürfen,
228800	231130	2330	ist ein Geschenk, es ist unglaublich.
234230	237890	3660	Die Superzeitlupe erlaubt einen völlig neuen Blick
238520	240290	1770	auf die Herrscher der Lüfte.
240990	242370	1380	Sie enthüllt Zusammenhänge,
243070	246330	3260	die die Menschheit seit Jahrhunderten zu begreifen versucht.
257910.00000000003	260209.99999999997	2300	Leonardo da Vinci wollte als Erster
260970.00000000003	263330	2360	dem Rätsel des Vogelflugs auf die Spur kommen.
263940	266210	2270	Er baute erstaunliche Schwingenflugapparate -
266780	270610	3830	fest überzeugt, der Mensch könne mit Flügeln den Luftraum erobern.
272170	274170	2000	Doch es war Otto Lilienthal,
274820	278409.99999999994	3590	dem mit seinem Hängegleiter der erste erfolgreiche Flug gelang.
279020	282930	3910	"""Vom Schritt zum Sprung, vom Sprung zum Flug"", lautete seine Devise."
283820	287370	3550	Das Prinzip des Gleitens schaute er von den Vögeln ab,
288060	289409.99999999994	1350	"seine ""Lehrmeister im Fluge""."
290540	293730	3190	Was ich vielleicht noch sehr gerne wissen möchte
294290	295610	1320	über dieses Fliegen der Vögel,
296260	299970	3710	ist, wie die ganzen Strömungen am Körper im Detail funktionieren.
300640	303450	2810	Denn ein Vogelprofil ist etwas unglaublich Variables,
304190	306730	2540	und sie können derartig wunderbar mit dem Wind spielen.
307380	309370	1990	Ein Verständnis zu gewinnen, wie es funktioniert,
310070	311090	1020	wäre ganz toll für mich.
312180	315570	3390	Mit dem Wind spielen: Genau das macht die Forschung.
316220	319490	3270	In einem Windkanal der Superlative stellt Klima einen Falken
320140	323290	3150	für Flugaufnahmen in Superzeitlupe zur Verfügung.
327070	329530	2460	Zuerst aber muss er sich sicher sein:
330180	332250	2070	Den Vögeln kann dabei nichts passieren.
336990	339970	2980	Countdown und letzter Check für den Flug.
349730	351730	2000	Wird Sokrates, der Wanderfalke,
352380	355210	2830	den Flug gegen den Starkwind in dem fremden Szenario wagen?
