start	end	duration	text
2290	3250	960	.
3350	4930	1580	Guten Abend.
5170	7010	1840	Zur Masseneinwanderungs-Initiative
7130	9090	1960	hat der Bundesrat heute die Karten auf den Tisch gelegt.
9240	10530	1290	Er will eine Schutzklausel.
10770	12330	1560	Zu den Bundesratswahlen haben die Parteien ihre Karte noch verdeckt
12440	14210	1770	und behalten ihre Trümpfe.
14320	15530	1210	Beides diskutieren wir heute
15730	17490	1760	mit den Chefs der sieben Bundeshausfraktionen.
17690	19770	2080	Die Bundesratswahlen, die uns in den nächsten Tagen beschäftigt,
19920	22570	2650	und die Europafrage, die uns die nächsten Jahre begleitet:
22770	24650	1880	"Das ist die ""Arena""."
39480	41330	1850	1:1-Untertitelung
43450	45450	2000	"(Offstimme) Heute in der ""Arena"":"
45530	48970	3440	Roger Nordmann, neuer Präsident der SP-Fraktion.
50070	54090	4020	Ignazio Cassis, neuer Präsident der FDP-Fraktion.
55370	59330	3960	Viola Amherd, Vizechefin der CVP-Fraktion.
60400	63850	3450	Und Adrian Amstutz, Fraktionschef der SVP.
65410	70130	4720	Ausserdem in der Sendung: Balthasar Glättli, Fraktionschef der Grünen.
70190	73330	3140	Tiana Moser, Fraktionschefin GLP.
73460.00000000001	76770	3310	Lorenz Hess, Vizepräsident BDP.
76940	81570	4630	Als Experten im Studio: Michael Hermann, Politikwissenschaftler.
81730	85690	3960	Und Dieter Freiburghaus, EU-Experte.
85780	89090	3310	"Die ""Arena"" moderiert von Jonas Projer."
89230	93170	3940	Guten Abend miteinander, vielen Dank.
93310	97370	4060	Herzlich willkommen, sehr geehrte Gäste.
97520.00000000001	98890	1370	Herzlich willkommen, liebes Publikum.
99090	100810	1720	Und herzlich willkommen, liebe Zuschauerinnen und Zuschauer
100940	102490.00000000001	1550	"in der ""Arena""."
102720	104690	1970	Wie soll man die Zuwanderung begrenzen
104860	108130	3270	und gleichzeitig die Bilateralen retten?
108320	110370	2050	Fast zwei Jahre lang hat die Schweiz darüber gesprochen,
110570	112690	2120	diskutiert, gestritten und spekuliert.
112840	114810	1970	Viele sind fast verzweifelt.
114900	117970	3070	Heute stand die Bundespräsidentin vor die Medien und sagte:
118070	120330	2260	Doch, es gäbe eine Lösung.
120510	125210	4700	Wir sind zum Schluss gekommen, dass es eine technische Lösung gibt,
125410	129770.00000000001	4360	die konform ist, und zwar sowohl mit dem Freizügigkeitsabkommen
129870	133670	3800	wie auch mit der neuen Verfassungsbestimmung.
133780	136870	3090	Roger Nordmann, es gibt eine Lösung.
137010	140470	3460	Ist das der grosse Durchbruch, auf den wir so lange gewartet haben?
140480	142150	1670	Ich glaube nicht.
142410	145350	2940	Es wird von einer einseitigen Schutzklausel gesprochen,
145510	149550	4040	die vielleicht später einvernehmlich wird mit der EU.
149670.00000000003	152310	2640	Ich bin da sehr skeptisch.
152430	154710	2280	Es löst keines der Probleme im Inland
154810	159990	5180	und es stellt die Bilateralen auf eine harte Probe.
160160	162670.00000000003	2510	Es könnte gut sein, dass dadurch die Bilateralen wegfallen.
162850	165790	2940	Das wäre für die Schweiz eine Katastrophe,
165960	168470	2510	für die Wirtschaft und auch für die Arbeitsplätze.
168730	172950	4220	Ich stehe dem präsentierten Ergebnis sehr skeptisch gegenüber.
173180	174550	1370	Um das klarzustellen:
174720	176630	1910	Das ist Ihre Bundesrätin, die dahin gestanden ist.
176890	178630	1740	Wenn Sie ihr schon in den Rücken fallen,
178780	180590	1810	was sollen dann die anderen sagen?
180760	183110	2350	Ist ein Vorschlag vom Gesamtbundesrat.
183270	185950	2680	Es war nicht die Meinung unserer Bundesrätin,
186080	188950	2870	diesen Artikel ursprünglich anzunehmen.
189200	192070	2870	Jetzt ist er aber in der Verfassung. Und sie hat nun diese Aufgabe.
192170	194710	2540	Und versucht das bestens lösen.
194810	198110	3300	Aber wir finden, die bundesrätliche Lösung ist noch nicht ausgereift
198270	203430	5160	und sehr riskant, weil sie die Beziehung zu den Nachbarländern
203560	205910	2350	und der EU auf das Spiel setzt.
206050	207870	1820	Nicht ausgereift, sehr riskant.
208050	209670.00000000003	1620	Ich versuche es auf der anderen Seite.
209880	211829.99999999997	1950	Es ist alter Wein in neuen Schläuchen.
212060	214710	2650	Es ist eine andere technische Möglichkeit, um ans Ziel zu kommen.
214870	219870	5000	Aber die matchentscheidende Frage hat der Bundesrat nicht geliefert.
220020	223350	3330	Nämlich das Zahlengerüst, das Auskunft gibt,
223450	227310	3860	dass die Wirkung im Ziel, die das Volk beschlossen hat,
227450	230590	3140	nämlich eine massive Reduktion der Nettozuwanderung,
230690	232950	2260	realisiert und erreicht werden kann.
233150	235510	2360	Alter Wein in neuen Schläuchen.
235610	241230	5620	Alter Wein in neuen Schläuchen, wenn ich Adrian Amstutz zuhöre.
