start	end	duration	text
1260	2530	1270	.
2500	12330	9830	1:1-Untertitelung
14790	16890	2100	Guten Abend und herzlich willkommen.
16880	20650	3770	Seit 1992 hat die italienische Staatsanwaltschaft
20640	26650	6010	Mafiavermögenswerte von 19 Mrd. Euro beschlagnahmt.
26630	31610	4980	Vielleicht sind es sogar 30 Mrd. Oder auch nur 10 Mrd.
31580	33850	2270	So genau wissen es die Behörden nicht.
33840	37650	3810	Zu den konfiszierten Vermögenswerten gehören auch Firmen.
37620	41300	3680	Von diesen überlebt aber nicht einmal ein Fünftel
41280	44460	3180	die Beschlagnahmung durch den Staat.
47130	51140	4010	Im Kampf gegen die Mafia feiern die italienischen Behörden Erfolge.
51130	54060	2930	Beim Verwalten der beschlagnahmten Vermögenswerte jedoch
54050	55980	1930	läuft einiges schief.
57900	62380	4480	Nächstes Wochenende eröffnet die FIFA in Zürich ihr neues Museum.
62350	65780	3430	Kostenpunkt: 10'000 Fr. pro Quadratmeter.
67800	73060	5260	"Eine ""ECO""-Umfrage zeigt: Pensions- kassen reduzieren ihre Leistungen."
73050	76740	3690	Für die Versicherten bedeutet dies Einbussen in Milliardenhöhe.
80470	85180	4710	In diesen Wochen werden wieder die Pensionskassenausweise verschickt.
85150	87220	2070	Darauf steht jeweils,
87210.00000000001	91020	3810	mit welcher Rente im Pensionsalter zu rechnen ist.
90980	93259.99999999999	2280	Doch niemand kann sicher sein,
93240.00000000001	95740.00000000001	2500	dass er die im Ausweis prognostizierte Rente
95729.99999999999	98780	3050	nach der Pensionierung wirklich bekommt.
98770.00000000001	101500	2730	Viele Kassen müssen ihre Umwandlungssätze senken
101479.99999999999	104700	3220	und damit auch die Renten massiv reduzieren.
104690	107500	2810	Das macht vielen Versicherten Sorgen. Alexandra Stühff.
109420	111660	2240	Die Frage ist einfach: In zehn Jahren
111630	114340	2710	habe ich das Pensionsalter erreicht. Was ist dann noch übrig?
114320	115979.99999999999	1660	Und kann ich überhaupt die Lebenshaltungskosten
115960.00000000001	119060	3100	von dem, was ich bekomme, decken? Das macht mir schon Sorgen.
119030	121620	2590	Ich glaube, es ist wichtig, dass man noch mehr auf die Seite legt,
121600	124140	2540	weil man davon ausgehen muss,
124100	126580	2480	dass die Leute älter werden und der Umwandlungssatz sinkt.
126560	129259.99999999999	2700	Ich habe nicht das Gefühl, dass es so weit reichen wird,
129240.00000000001	131980	2740	dass man bis 65 noch eine Rente bekommt,
131970	134260	2290	wie man sie heute bekommt in diesem System.
134240	138220	3980	Sorgen sich diese 30- bis 55-Jährigen zurecht?
138200	140860	2660	Werden sie deutlich weniger aus ihrer Pensionskasse erhalten
140840	142860	2020	als heutige Rentner?
142840	146340	3500	Im Moment findet eine massive Umverteilung statt
146320	149860	3540	zwischen den Aktiv-Versicherten und den Neu-Pensionierten.
149829.99999999997	152180	2350	Die, die jetzt neu in Pension gehen,
152170.00000000003	155140	2970	haben eigentlich eine viel zu hohe Rente.
155130	159740	4610	Der Grund: Die meisten Pensionskassen können die hohen Leistungen,
159730	164500	4770	die sie versprechen, am Kapitalmarkt gar nicht mehr erwirtschaften.
165170.00000000003	167860	2690	Doch nur für einen Teil der Pensionskassengelder
167840	171620	3780	dürfen sie die Verzinsung und die Höhe der Renten anpassen,
171600	174020	2420	genauer: reduzieren.
174010	178340	4330	Nach der Pensionierung bezieht jeder
178320	181900	3580	aus seinem angesparten Kapital eine Rente.
181860	186630	4770	Die Höhe dieser Rente wird mit dem sog. Umwandlungssatz berechnet.
186600	190550	3950	Das angesparte Kapital wird derzeit im obligatorischen Bereich
190530	193710	3180	mit 6,8 % in eine Rente umgewandelt.
193680	202590	8910	Bei 100'000 Fr. ergibt das z.B. jährlich 6'800 Fr. Rente. Lebenslang.
202570	206710	4140	Der Umwandlungssatz von 6,8 % im Obligatorium
206680	211550	4870	ist gesetzlich vorgeschrieben. Er gilt für alle Versicherten.
212440	218070	5630	Für Versicherte, deren Lohn 84'600 Fr. übersteigt, sieht es anders aus.
218050	222670.00000000003	4620	Auf das im sog. Überobligatorium angesparte Kapital
222670.00000000003	228150	5480	dürfen Pensionskassen einen tieferen Umwandlungssatz anwenden.
228130	231110	2980	Gemäss Vorsorgedienstleister Swisscanto
231090	235910	4820	sind es derzeit durchschnittlich 5,7 %.
235880	238190	2310	Wegen der tiefen Renditen am Kapitalmarkt
238170.00000000003	240750	2580	wird dieser Umwandlungssatz sinken.
243130	246470	3340	Die anhaltend tiefen Zinsen machen es Pensionskassen praktisch unmöglich,
246450	248390	1940	mit wenig Risiko
248360	252990	4630	die erforderliche Rendite am Kapitalmarkt zu erwirtschaften.
252960	255670	2710	Gleichzeitig leben wir immer länger.
255640	257670.00000000003	2030	Das System der betrieblichen Altersvorsorge
257660.00000000003	260790.00000000003	3130	gerät immer mehr in Schieflage.
260779.99999999997	264030	3250	Im Moment sind die Umwandlungssätze so hoch,
264000	267350	3350	dass man eine deutlich höhere Rendite haben müsste,
267340	270090	2750	als man realistisch in Zukunft erzielen kann.
270050	274010	3960	Das heisst, wir versprechen Geld, von dem wir ziemlich sicher sind,
273980	276130	2150	dass wir es nicht haben werden.
276120	280570	4450	2015 erzielte die Mehrheit der Schweizer Pensionskassen
280530	283330	2800	magere Renditen.
283320	288690	5370	Rund 45 % erreichten zwischen 0,5 und knapp 2 %.
288670	293850	5180	Etwa 12 % kamen auf 0,5 % Rendite.
293840.00000000006	300090	6250	38 % der Kassen schlossen gar mit einem Verlust von bis zu 1 % ab.
300080	304330	4250	Der kleine Rest war noch schlechter oder überdurchschnittlich gut.
304310	307850	3540	Und die tiefen Zinsen bleiben ein Problem.
307810	310810	3000	Der Umwandlungssatz ist vom technischen Zinssatz abhängig.
314390	317130	2740	Hansruedi Scherer berät Pensionskassen dabei,
317090	321090	4000	wie diese das Geld der Versicherten am Kapitalmarkt anlegen.
321080	324530	3450	Er zeigt, warum ein Umwandlungssatz von 5,7 %
324510	327090	2580	immer noch viel zu hoch ist.
327070	329250	2180	Wenn das Zinsniveau tiefer ist
329220	332170	2950	und der technische Zins darum auch tiefer sein muss,
332159.99999999994	335370	3210	gibt das leider auch tiefere Umwandlungssätze.
335330	339850	4520	Bei einem technischen Zinssatz von 2,5 %
339810	346690	6880	ist der korrekte Umwandlungssatz nur noch 5,25 %.
346659.99999999994	351890	5230	Oder wenn der technische Zinssatz sogar nur 1,5 %  ist,
351860	357890	6030	dann gibt das einen Umwandlungssatz von 4,62 %.
357870	360370	2500	Oder wenn wir ein Zinsniveau wie jetzt gerade haben -
360370	362610	2240	das ist in der Nähe von 0 % -
362570	368130	5560	dann gibt das einen furchtbar tiefen Umwandlungssatz von etwa 3,73 %.
368090	372330	4240	Die meisten Pensionskassen müssen jetzt
372320	377810	5490	ihre Leistungen im Überobligatorium drastisch kürzen.
377770	379890	2120	Dass dies derart geballt geschieht,
379860	383570	3710	dafür seien nicht nur die Stiftungsräte verantwortlich.
385000	388570	3570	Man hoffte lange, dass sich die Zin- sen wieder auf das Niveau bewegen,
388530	392210	3680	das man lange Jahre gewöhnt war. Das ist nicht passiert.
392190	394090.00000000006	1900	Heute ist der Schritt eigentlich schon zu spät.
394050	397050	3000	Nachträglich muss man sagen,
397030	399850	2820	man hätte viel früher mit den Massnahmen beginnen müssen,
399810	401570	1760	bei den allermeisten Kassen.
401530	403730	2200	Wer ist schuld daran?
403720	406490	2770	Die Stiftungsräte entscheiden über die Massnahmen,
406460	409330	2870	aber es sind natürlich die Experten, die sie beraten.
409320	412090.00000000006	2770	Und viele Experten haben die Situation unterschätzt.
412050	414930	2880	Pensionskassen müssen per Gesetz
414890	418930	4040	einen sog. Pensionskassenexperten beiziehen.
418920	421170	2250	Der Verbandssprecher
421130	424290	3160	sieht die Verantwortung indes nicht bei der eigenen Zunft.
424280	428850	4570	Die Situation, wie wir sie heute haben, mit dem tiefen Zinsumfeld,
428840	431770	2930	hat niemand voraussehen können.
431730	436610	4880	Dort sind auch die Pensionskassen- experten überrascht worden,
436570	441050	4480	obwohl sie den Pensionskassen immer den Spiegel vorgehalten
441030	442850	1820	und gesagt haben:
442810	445890	3080	"""Wir müssen die technischen Parameter weiter reduzieren."""
445860	449690	3830	Jetzt geht es Schlag auf Schlag: Die ersten grossen Pensionskassen
449650	454210	4560	haben ihren Umwandlungssatz im Überobligatorium reduziert.
454190	456450	2260	Die Pensionskasse des Kantons Zürich
456440	462490	6050	senkt ihren Umwandlungssatz bereits ab 2017 auf 4,8 %.
462450	465810	3360	Kürzlich kündigte auch die Pensions- kasse der Grossbank Credit Suisse an,
465800	473450	7650	den Umwandlungssatz schrittweise bis 2025 auf rund 4,8 % zu senken.
473440	477210	3770	Weitere werden folgen.
477170	479170	2000	"Das zeigt die ""ECO""-Umfrage"
479159.99999999994	482850	3690	unter den Pensionskassen der grössten Schweizer Arbeitgeber.
482830	485490	2660	Von 16 befragten Kassen gibt die Hälfte an,
485480	488650	3170	sie wolle ihren Umwandlungssatz senken.
491450	496850	5400	Rund 200 Mrd. Fr. verwalten Pensionskassen im Überobligatorium.
496820	499810	2990	Wenn die Mehrheit der Kassen den Umwandlungssatz
499790	502410	2620	nun auf bis zu 4,8 % senkt,
502370	507210	4840	bedeutet das geringere Rentenzahlungen in Milliardenhöhe.
509970	513330.00000000006	3360	Für die Versicherten ist wichtig, dass sie heute schon realisieren,
513320.00000000006	518169.99999999994	4850	dass die Renten in Zukunft, also immer die Neu-Rente,
518130	521530	3400	vermutlich tiefer sein werden,
521520	524010	2490	als wir das aus der Vergangenheit gewohnt sind,
523970	526330	2360	und dass sie entsprechend die dritte Säule,
526300	531650	5350	also das private Sparen, ausbauen.
531640	535970	4330	Gesenkt wird derzeit allein im Überobligatorium.
535960	538970	3010	Doch auch im obligatorischen Teil der Pensionskasse
538940	542660	3720	steht der heutige Umwandlungssatz zur Diskussion.
545060	548540	3480	Bundesrat Berset plant nämlich im Rahmen seiner Rentenreform
548500	553620	5120	auch im obligatorischen Bereich eine Reduktion der Umwandlungssätze.
553580	560300	6720	Im Internet finden Sie die detail- lierten Resultate unserer Umfrage.
562670	564940	2270	Schätzungen zufolge erwirtschaftet die Mafia in Italien
564930	569380	4450	jährlich rund 25 Mrd. Euro.
569340	572140	2800	In ihrem Kampf gegen die organisierte Kriminalität
572130	575020	2890	beschlagnahmen die italienischen Behörden immer wieder
574980	580660	5680	Sachwerte und ganze Unternehmen, die sie in den Händen der Mafia wähnen.
580620	584300	3680	Vermögen, die man gut den klammen Haushaltskassen zuführen könnte,
584270	587500	3230	wenn man denn einen Überblick hätte.
587460	589900	2440	Die Realität ist allerdings eine andere,
589880	592620	2740	wie unsere Reportage aus Sizilien zeigt.
597470	599420	1950	Jede Einweihung hat ihre Tücken:
599400	602740	3340	Der Bürgermeister und die Stadträtin geben sich redlich Mühe,
602700	606120	3420	der Begleitschutz wird unruhig, bis endlich das Band fallen will.
608220	610040	1820	Die Gemeinde Cinisi bei Palermo
610010	614280	4270	erhält vom italienischen Staat eine Villa zur kostenlosen Nutzung.
614250	618400	4150	Noch vor vier Monaten wohnten hier Angehörige eines Mafiabosses.
618380	623120	4740	Jetzt dient die Liegenschaft als Abfallsammelstelle für die Gemeinde.
624490	626280	1790	Die Menschen werden sicher nicht vergessen,
626250	628680	2430	wer hier einmal gewohnt hat.
628660	631040	2380	Wenn sie jetzt ihren Sperrmüll abliefern, wissen sie aber:
631000	636850	5850	Die Mafia wird hier nicht mehr ihr Unwesen treiben.
636810	639770	2960	Umberto Postiglione kümmert sich in ganz Italien
639730	643050	3320	um konfisziertes Mafiavermögen.
643020	646490	3470	Auch wenn der gebürtige Neapolitaner nicht leicht zu beeindrucken ist,
646450	650090	3640	neugierig ist er doch, wie der Boss gelebt hat.
658040	660770	2730	In seinem Büro in Palermo hat er heute die örtlichen Kommandanten
660750	664930	4180	von Finanzpolizei und Carabinieri einberufen.
664890	669450	4560	Sie erhalten 73 Häuser, Wohnungen, Werkshallen und Garagen
669420	671730	2310	zur neuen Nutzung -
671720	676330	4610	alles Objekte, die Angehörigen der Mafia enteignet wurden.
676330	678730	2400	Der italienische Staat will Mietausgaben sparen
678700	680770	2070	und nutzt diese Immobilien,
680750	684810	4060	die auf dem Wohnungsmarkt nicht immer einfach zu veräussern sind.
686890	689890	3000	Denn wenn bekannt wird,
689850	693050	3200	dass das Haus oder die Wohnung einem Mafioso gehört hat,
693020	695770	2750	dann wird es schwierig sein, über- haupt einen Käufer dafür zu finden.
695750	698570	2820	Die Menschen haben Angst vor Vergeltungsaktionen
698530	705370	6840	oder anderen Drohungen von Seiten des Clans.
706500	709330	2830	Ein Drittel aller Enteignungen in Italien wegen Mafiamachenschaften
709300	712450	3150	geschehen hier in Palermo.
712450	716050	3600	6'000 Vermögenswerte, die verwaltet werden müssen:
716030	721330	5300	Immobilien, Firmen, Bargeld oder einfach nur schnelle Autos.
721310	723950	2640	Was exakt ihr Wert ist, weiss niemand.
723920	725990	2070	Es ist eine lange Liste,
725980	729430	3450	für die sich auch Bürgermeister Leoluca Orlando interessiert.
729420	734030	4610	Seit zwei Jahrzehnten ist er bekannt für seinen Einsatz gegen die Mafia.
734020	737710	3690	Im Büro von Umberto Postiglione ist er Dauergast.
737690	741470	3780	Wir müssen diese Herausforderung gewinnen.
741450	744350	2900	Wir müssen nicht nur beweisen können,
744330	747750	3420	dass es richtig ist, den Mafiosi ihr Eigentum wegzunehmen,
747740	752430	4690	wir müssen auch den Nutzen für die Allgemeinheit deutlich machen.
752400	755240	2840	Denn wenn diese konfiszierten Liegenschaften verkommen,
755220	757960	2740	passiert es leicht, dass die Mafia die Meinung streut:
757940	762320	4380	Früher war es besser, als die Bosse noch das Sagen hatten.
762290	766000	3710	Genau das aber passiert in Palermo immer noch viel zu oft.
765980	769560	3580	Diesen beiden Cousins wurde letzten Sommer
769530	772480	2950	ein ganzes Firmengeflecht konfisziert:
772470	776120	3650	ein Zementwerk mit zugehörigem Steinbruch, eine Baufirma
776100	780040	3940	und eine Anlage zur Asphaltherstellung.
780000	782040	2040	Das Geschäft blühte, laut Staatsanwaltschaft,
782020	786400	4380	wegen bester Verbindungen zu einem Mafiaclan.
788820	793480	4660	Das Auto, das Haus, das Haus am Meer, das Motorboot, das Motorrad -
793460	795880	2420	alles konfisziert!
795870	798960	3090	Das haben wir uns doch alles mit viel Mühe erarbeitet.
798940	801400	2460	Das hat doch keinen Sinn.
