start	end	duration	text
330	1860	1530	.
2530	5900	3370	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7620	10020	2400	Es ist 10 vor 10, guten Abend, meine Damen und Herren.
10690	12100	1410	Die Gefahr ist noch nicht vorüber:
12810	15020	2210	Mittelitalien wird von weiteren Nachbeben erschüttert:
27620	30340	2720	Retten und bergen, aufräumen und trösten.
31080	33340	2260	Der Rot-Kreuz-Spezialist zur Hilfe vor Ort,
34050	35820	1770	heute bei uns im Fokusgespräch im Studio.
36510	37060	550	Und weiter:
39240	42100	2860	Wie sich Basel für ein mögliches Erdbeben rüstet.
44970	48980	4010	Trotz Wohnsitz in der Schweiz werden manche kaum je gesehen.
52030	57340	5310	Wie sog. Smartphone-Zombies im Verkehr ihr Leben riskieren.
60580	64099.99999999999	3520	Jetzt arbeiten die Bergungs- und Rettungsfachleute teilweise
64810	69250	4440	auch mit schwerem Gerät, etwa Baggern, in der Region um Amatrice.
69920	71850	1930	Vor rund 25 Std. wurde die letzte Person
72620	74250	1630	lebend aus den Trümmern geborgen.
74940	77770	2830	Es besteht nur noch wenig Hoffnung auf weitere Überlebende.
78410	82260	3850	250 Menschenleben hat das Erdbeben vom frühen Mittwochmorgen gefordert,
83060	85260	2200	aus der wild-romantischen Gegend in Mittelitalien
85940	89220	3280	ist ein trauriger Ort aus Schutt und Leid geworden. Pirmin Roos.
92500	94700	2200	Nichts ist mehr, wie es war.
95470	97500	2030	Ortschaften wie Amatrice oder hier Pescara del Tronto -
98250	100220	1970	nicht wiederzuerkennen.
102009.99999999999	104820	2810	Die Chance, noch jemanden lebend in den Trümmern zu bergen,
105570	107460.00000000001	1890	sie ist klein.
108820	111700	2880	Wir müssen hoffen und arbeiten -
112440	115020.00000000001	2580	und wir müssen daran glauben, noch jemanden zu retten.
115630	119100	3470	Wir arbeiten gegen die Zeit.
119910	124380	4470	Verzweiflung - macht sich unter den Rettungskräften breit.
125080	127140	2060	(Mann) Zitti! Zitti!
127840	130220	2380	Das sehnlichst erhoffte Wunder - es geschah gestern Abend.
130930	134500	3570	(Mann) Pietro! - Zitti!
135220	137340	2120	Retter ziehen ein zehnjähriges Mädchen aus den Trümmern,
137980	139340	1360	16 Std. nach dem Erdbeben.
139950	141380	1430	* Applaus *
142190	144340	2150	Sraiamola! Sdraiamola! - Dai, ragazzi, dai!
145040	147020	1980	Eccola. Lasciala cosi, dai.
147820	151500	3680	Che bella ragazza! * Applaus *
152220	157100	4880	Dann kam die kalte Nacht.
157810	161060	3250	Einige Bewohner fanden Unterschlupf in der Turnhalle.
161740	164620	2880	Viele aber mussten draussen in Zelten übernachten.
166140	169100	2960	In den kommenden Tagen erwarten wir ein hartes Leben in den Zelten.
169820	171620	1800	Es wird immer kälter.
172350	175660	3310	Aber andererseits sind die Häuser unbewohnbar.
176270	181820	5550	Hilflosigkeit - die Einsatzkräfte fahren schweres Gerät auf.
182470	187660	5190	Unermüdlich auch der Einsatz der Suchhunde.
191480	195140	3660	Einsturzgefährdete Häuser werden abgerissen.
201780	206660	4880	Der nächste Morgen, ein kurzer Moment der Normalität.
207870	210140	2270	Doch die Verzweiflung unter den Betroffenen
210770	212060	1290	nicht in Worte zu fassen.
212780	220020	7240	Wir haben nichts mehr, das Dorf existiert nicht mehr.
220660	226100	5440	All die Toten ... Kinder, Familien. Nichts existiert mehr.
226890	230380	3490	Auch der Boden um Amatrice kommt nicht zur Ruhe.
231070	233460	2390	Nachbeben erschweren die Arbeiten.
235260	238500	3240	(Mann) Levati! Levati! - (Mann) Signori, fuori!
239190	241860	2670	Die Vorher-Nachher-Bilder
242600	247260	4660	führen das ganze Ausmass der Katastrophe gnadenlos vor Augen.
247970	255700	7730	Weil zum Zeitpunkt der Tragödie viele Touristen vor Ort waren,
256350.00000000003	260140	3790	ist nach wie vor ungewiss, wie viele Menschen noch vermisst werden.
262670	264980	2310	Bei mir im Studio begrüsse ich jetzt Thomas Büeler,
265700	268740	3040	Nothilfe-Logistiker beim Schweizerischen Roten Kreuz.
269440	273260	3820	Sie sind bei grossen Erdbeben vor Ort,
274040	276500	2460	so z.B. auch beim Beben von L'Aquila 2009.
277280	279620	2340	Weshalb sind Sie dieses Mal nicht vor Ort?
280320	283340.00000000006	3020	Wir untertiteln live:
287980	291100	3120	Das italienische Rote Kreuz ist eigentlich immer gut vorbereitet
291720	293340.00000000006	1620	auf Katastrophen,
293970	298940	4970	so auch dieses Mal.
299720	301820	2100	Sie haben ihre Ressourcen schnell vor Ort bringen können.
302530	304940	2410	Deshalb sind sie Moment nicht auf Hilfe von aussen angewiesen.
305660	307060	1400	Wenn der Hilferuf käme, wären Sie bereit?
307730	309860	2130	Ja.
310270	312940	2670	Schauen wir uns an, wie Amatrice vor dem Erdbeben aussah:
313620	316020	2400	Man sieht einen pittoresken Ort in einer Hügellandschaft
316690	318500	1810	mit vielen schönen, alten Häusern, auch alten Turmbauten.
319280	321060	1780	Alles sieht sorgfältig restauriert und gut erhalten aus.
321770	324740	2970	Herr Büeler, welche Rolle spielt das Alter von Häusern bei einem Erdbeben?
329180	335020	5840	Ich denke, die alten Gebäude sind vor allem mit Backsteinen,
336770	339820	3050	natürlichen Steinen gebaut wurden, die nur mit Zement oder Mörtel
340490	345659.99999999994	5170	zusammenhalten.
346310	348500	2190	Neubauten sind stärker, zum Beispiel mit Armierung Eisen.
349210	351940	2730	Bei einem Erdbeben sind sie besser gerüstet.
352330	354820	2490	Die Menschen stehen verständlicher- weise unter Schock nach dem Erdbeben.
355510	357540	2030	Wie äusserst sich das?
361970	365180	3210	Ich denke, die Menschen sind vor allem nach einem solchen Ereignis
365820	367260	1440	häufig orientierungslos.
367900	369300	1400	Man muss sich neu zurechtfinden.
369920	372660	2740	In der Umgebung ist alles neu.
373390	375340	1950	Der Bäcker, den es davor gab, den gibt es nicht mehr.
376130	378340	2210	Auch alltägliche Sachen wie Toiletten oder Wasser fehlen.
379100	381660	2560	Man muss sich fast die aus der Steinzeit neu finden.
381980	385340	3360	Wie reagieren Kinder?
