start	end	duration	text
4760	7700	2940	Es ist 10 vor 10, guten Abend, meine Damen und Herren.
7920	9940	2020	In Brüssel ist heute der Vorhang
10090	13660	3570	für einen weiteren Akt in der griechischen Tragödie aufgegangen.
13820	16860	3040	Es wird, so wie es heute aussieht, nicht der Schlussakt sein.
16960	19340	2380	Dies der Fokus unserer Sendung. Und dies sind die weiteren Themen:
20680	25100	4420	Die Schweiz sucht nach Mitteln gegen den Flüchtlingsansturm.
26610	31260	4650	Weshalb sich viele Männer nach Gewaltakten nicht helfen lassen.
33000	37380	4380	Wie sich der Schnurri der Nation auf die Pension vorbereitet.
39210	42940	3730	Bricht Griechenland doch noch weg aus dem Euroraum?
43080	46700	3620	Genau dies sollte heute in Brüssel beim grossen Griechenlandgipfel
46800	48460	1660	verhindert werden.
48540	50420	1880	Am Morgen ist bekannt geworden,
50570	53940	3370	dass die Europäische Zentralbank weitere Notkredite gesprochen hat,
54070	57540	3470	um die griechischen Geldinstitute vor dem Kollaps zu retten.
57710	60220	2510	Doch so richtig weitergekommen ist man nicht,
60330	62900	2570	denn die Reformvorschläge aus Athen
63000	66060	3060	trafen erst in der Nacht und heute Vormittag in Brüssel ein.
66340	68940	2600	Andre Ruch fasst die Ereignisse des Tages zusammen.
70800	72580	1780	10.30 Uhr morgens.
72789.99999999999	75260	2470	Alexis Tsipras, Premierminister Griechenlands, trifft in Brüssel
75410	80539.99999999999	5130	den EU-Kommissionspräsidenten Jean-Claude Juncker.
80750	83460.00000000001	2710	Es ist Zeit für eine echte und brauchbare Lösung,
83610	86700	3090	die Griechenland erlaubt, zum Wachstum zurückzufinden.
86840	91740	4900	12.30 Uhr.
91860	96340	4480	Der griechische Finanzminister trifft ein, leger mit Rucksack unterwegs.
96570	99100	2530	Im Gepäck hat er die neuesten Sparvorschläge,
99280	102259.99999999999	2980	die die Finanzminister der Eurogruppe beraten sollen.
102440	105180	2740	Wahrscheinlich geht es um eine Erhöhung der Mehrwertsteuer
105320	107220	1900	und eine Rentenreform.
107390	109900	2510	Doch die Finanzminister hatten kaum Vorlaufzeit.
110000	112940	2940	Sie fühlen sich überrumpelt.
113100	117820	4720	Heute morgen trafen neue Vorschläge von der griechischen Regierung ein.
117960.00000000001	121460	3500	Das heissen wir willkommen. Es ist ein positiver Schritt.
121620	124980	3360	Aber weil unsere Institutionen nur sehr wenig Zeit hatten,
125130	131700	6570	um sie zu prüfen, können wir diese nicht abschliessend einschätzen.
135660	140540	4880	18.30 Uhr. EU-Ratspräsident Donald Tusk empfängt die Griechen.
140670.00000000003	145060	4390	Ihre Sparangebote seien die ersten ernsthaften Vorschläge seit Wochen.
145170.00000000003	150500	5330	Doch er mahnt, dass der politische Poker nun enden müsse.
150600	154260	3660	Es bleibt uns nur eine Woche, bis das Finanzierungsprogramm ausläuft.
154480	163020	8540	D.h., dass das Spiel von Abwarten und Hinauszögern jetzt enden muss.
165660	167579.99999999997	1920	18.40 Uhr.
167790	169780	1990	Die Staats- und Regierungschefs treffen ein,
169960	172540	2580	obwohl sie ohne einen Entscheid ihrer Finanzminister
172720	176460	3740	nichts beschliessen können. Der Unmut ist deutlich spürbar.
176660	179540	2880	Nach der Eurogruppe liegt keine Entscheidungsgrundlage vor,
179710	182900	3190	deshalb kann dies heute nur ein Beratungsgipfel sein.
182990	185540	2550	Danke schön.
185760	188020	2260	19 Uhr, Athen.
188180	191980	3800	Mehrere 1'000 Menschen demonstrieren für einen Verbleib im Euroland.
192080	197020	4940	Sie wollen den Euro als Währung behalten, koste es, was es wolle.
199110	200740	1630	Wie weiter?
200840	202460	1620	Wir fragen im Studio den Wirtschaftshistoriker
202700	204540	1840	der Universität Zürich Tobias Straumann
204720	210420.00000000003	5700	und Sebastian Ramspeck in Brüssel, guten Abend, meine Herren.
210490	213500	3010	Zuerst in die EU-Zentrale - Sebastian Ramspeck,
213650	216540	2890	Bundeskanzlerin Merkel hat schon vor dem Treffen gesagt:
216780	220540	3760	"""Heute darf keine Entscheidung erwartet werden."""
220640	223579.99999999997	2940	Worum geht es denn zur Stunde bei den Staats- und Regierungschefs?
223720	234980	11260	Wir untertiteln live:
235070	238060	2990	Bis jetzt ist noch nicht aus diesem Gipfel an die Öffentlichkeit
238140	241100	2960	gedrungen.
241290	244380	3090	Aber ich könnte mir vorstellen, dass Alexis Tsipras sich heute im
244570	246300	1730	Kreise der Staats- und Regierungschefs
246560	250500	3940	die eine oder andere Standpauke anhören muss.
250720	254980	4260	Die litauische Präsidentin sagte bei ihrer Ankunft in Brüssel,
255140	261019.99999999997	5880	sinngemäss und in Anspielung an das griechische Rentensystem:
261769.99999999997	264500	2730	Wir sehen einen Staat, der schlemmen möchte und der alle
264580	266260	1680	anderen dafür zahlen lassen möchte.
266370	270060	3690	Das ist sehr drastisch formuliert.
270220	273140	2920	Das ist auch Polemik, aber es zeigt die Befindlichkeit vieler
273270	275140	1870	osteuropäischen Staaten.
275310	281300	5990	Aus ärmeren Ländern, die sich die Frage stellen,
283730	287780	4050	warum wir weitere Hilfskredite stemmen sollen,
287880	292100	4220	ohne dass Griechenland Sparmassnahmen umsetzt.
292220	295180	2960	Es gibt Vorschläge Griechenlands, die sind sehr spät gekommen.
295320	300700	5380	Was sind die ersten Reaktionen?
300920	303500	2580	Ich konnte noch kurz vor der Sendung mit einem Gläubiger
303610	304020	410	sprechen.
304180	308420	4240	Der Einblick hat in die Verhandlungen und meinte,
308520	314020	5500	dass die Vorschläge, die heute eingetroffen sind,
314160	316060	1900	zum ersten Mal umfassend und solide sind.
316180	321940	5760	Im Sinne der Gläubiger.
322140	324740	2600	Zu den grossen Fragen, Rentensystem, Mehrwertsteuer und
324860	325460	600	Arbeitsmarkt.
325630	328620	2990	Man habe jetzt das Gefühl, dass Griechenland sich bewusst ist,
328750	331300	2550	in welche Richtung es gehen sollte.
331440	337380	5940	Es gebe aber noch einen grossen Schwachpunkt, den man ausmache.
339290	342420	3130	Insgesamt habe Athen vor allem auf mehr Einnahmen gepocht und sei
342530	344100	1570	zögerlich,
344280	348060	3780	wenn es darum geht, weitere Sparmassnahmen zu beschliessen.
348200	354140	5940	Auch dort, wo es kein Problem sei.
356140	360900	4760	Nun ist Studium, zu Tobias Straumann.
361040	363740	2700	Das scheint System zu haben, immer auf die letzte Minute.
363890	369900	6010	Das kann man davon halten?
372470	378380	5910	Es ist eine Chaotentruppe, aber das ist nicht der wesentliche Punkt.
379520	382300	2780	Griechenland hat jahrelang gespart und ist jetzt ruiniert.
382450	384180	1730	Im Januar hat die Bevölkerung gesagt,
384290	388260	3970	dass es nicht so weitergehen kann.
388520	391700	3180	Die EU kann damit nicht umgehen, dass eine Regierung nicht nachgibt.
391880	395180	3300	Deshalb kommt man in diese Sackgasse.
395350	400060	4710	Ich sehe keine Lösung, nur einen faulen Kompromiss,
400130	401980	1850	dass man einige Monate überbrücken kann.
402140	405420	3280	Aber es ist ein Interessenkonflikt.
405659.99999999994	407620	1960	Sie haben meine zweite Frage vorweggenommen.
407760	411740	3980	Es kann also keinen Ausweg geben?
411850	414820	2970	Griechenland will aus dem Euro raus, die EU will das aber gar
414920	416060	1140	nicht.
416240	418940	2700	Die EU hat Angst, dass das eine riesige Finanzkrise gibt.
419060	425020	5960	Das weiss man auch.
425920	428460	2540	Zweitens, wenn der Europa gilt, dann könnten auch andere
428680	430860	2180	südeuropäische Länder,
431020	436980	5960	die in Schwierigkeiten stecken, die Schulden senken müssen.
437170	440340	3170	Das kostet viel, die Banken müssten stark gemacht werden, auch das
440490	440900	410	kostet.
441040	443500	2460	Und man muss zu einer Wachstumspolitik finden.
443640	447860	4220	Das verlangte Investitionen.
448020	453940	5920	Dass sich die Regierung von Tsipras auch.
454560	457620	3060	Man müsste eigentlich das Projekt abbrechen, man kann nicht fünf
457830	459020	1190	Jahre lang so weitermachen.
459240	463300	4060	Dass wir zu politischem Aufstand in Griechenland hat es angefangen.
463490	465940	2450	Glauben Sie, dass dieser Lernprozess einsetzen wird?
466050	469700	3650	Das weiss niemand.
469870	472900	3030	Schaue ich die letzten fünf Jahre an, hat man immer nur so viel
473000	475380	2380	getan,
475550	477180	1630	dass der Euro nicht zusammenbrach.
477420	480940	3520	Aber man hat nicht zu einer stärkeren Integration gefunden.
481060	485460	4400	Das ganze wurde auch jetzt diskutiert in Brüssel.
485700	489980	4280	Vielen Dank für die Einschätzungen und den Besuch.
491630	491740	110	Die linke Regierung Griechenlands hatte im Wahlkampf versprochen,
494800	497660	2860	die reichen Reeder des Landes mit höheren Steuern zur Kasse zu bitten.
497860	499620	1760	Die Schiffsunternehmer
499770	501620	1850	bezahlen trotz der desolaten Lage des Landes kaum Steuern.
501880	504220	2340	Doch sie denken nicht daran, ihre Steuerprivilegien aufzugeben.
505680	508420	2740	In solchen Jachthäfen liegen ihre Boote.
