start	end	duration	text
260	1740	1480	.
1950	4980	3030	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6120	8140.000000000001	2020	Guten Abend, meine Damen und Herren,
8330	10100	1770	"das ist die ""Tagesschau""-Hauptausgabe und das sind unsere Themen:"
11350	15220	3870	Der Nationalrat legt den Fahrplan zum Ausstieg aus der Kernenergie fest.
17360	21820	4460	Die Chefetage wehrt sich gegen einen Verkauf ins Ausland -
21920	23860	1940	die Aktie im freien Fall.
27920	30100	2180	Das Internationale Olympische Komitee
30300	32369.999999999996	2070	will Bewerbungen für Spiele massiv vereinfachen.
34320	38220	3900	Am Morgen nur stellenweise Schnee, dann sonnige Abschnitte.
41200	44500	3300	Noch vor 4 Jahren hat das Schweizer Traditionsunternehmen Sika
44630	46860	2230	sein 100-jähriges Bestehen gefeiert.
47010	49820	2810	Nun ziehen sich die Erben des Firmengründers Kaspar Winkler
49990	53700	3710	aus dem Unternehmen zurück und verkaufen ihre Stimmenmehrheit
53880	56220	2340	an den französischen Bauriesen Saint-Gobain.
56480	59260	2780	Das aber sorgt für unerwartet viel Zoff,
59400	62140	2740	denn die Führung von Sika wusste von nichts
62300	64090	1790	und droht nun geschlossen mit Rücktritt.
64319.99999999999	66750	2430	Monika Schönenberger und Marianne Fassbind mit den Hintergründen.
68190	69789.99999999999	1600	Ärger liegt in der Luft.
69960.00000000001	72470	2510	Die Schweizer Sika soll neu
72680	74830	2150	vom französischen Industriekonzern Saint-Gobain kontrolliert werden.
75080	77590	2510	An der kurzfristig einberufenen Pressekonferenz wird klar:
77800	81230	3430	Die Chefetage wusste nichts von diesem Geschäft.
81450	84390	2940	Offensichtlich konnte es die Familie geheim halten
84480	87430	2950	und auch selbstständig abwickeln.
87500	91950	4450	Wir haben regulär Kontakte mit der Schenker-Winkler Holding,
92140	94590	2450	der Hauptaktionärin - Investorenkontakte.
94770.00000000001	98229.99999999999	3460	Bisher gab es keine Zeichen für einen bevorstehenden Verkauf.
98390	102110	3720	Die Schenker-Winkler Holding: Dahinter steht die Familie Burkard,
102360	107870	5510	die 4. Generation an der Spitze des Unternehmens - heute nicht anwesend.
108020.00000000001	112270.00000000001	4250	Sie will nun ihren Anteil, über 16 % des Aktienkapitals, verkaufen.
112450	117270.00000000001	4820	Es sind Stimmrechtsaktien, Aktien also mit einer hohen Stimmkraft.
117440	120910	3470	Saint-Gobain würde sich damit über 52 % der Stimmrechte sichern
121030	124670	3640	und gewänne so die Kontrolle über den Schweizer Konzern.
124870	127750	2880	Sika stellt Produkte her zum Kleben, Dichten und Verstärken -
127930	131910	3980	zum einen in der Bau-, zum anderen in der Fahrzeugindustrie.
132120	136070	3950	Familie Burkard geht es um eine Nachfolgeregelung. Sie schreibt:
148420.00000000003	150230	1810	Die Teilübernahme der Sika
150400	155590	5190	lässt sich der Saint-Gobain-Konzern 2,75 Mrd. Fr. kosten.
155800	159550	3750	Sika ist eine grossartige Gesellschaft,
159660	162070	2410	die wir seit Langem kennen.
162220	165190	2970	Wir unterhalten seit Jahren Geschäftsbeziehungen mit Sika.
165390	168790	3400	Das ist wirklich eine Perle der Schweizer Industrie.
168970	172950	3980	Die Konzernleitung und Teile des Verwaltungsrats
173160	174910	1750	wollen geschlossen zurücktreten,
175070	177550	2480	sollte die Transaktion so vonstatten gehen wie geplant.
179520	181150	1630	Eine solche Übernahme ist in der Schweiz beispiellos.
181350	183790	2440	Marianne Fassbind, warum ist der Verwaltungsrat denn dermassen wütend?
183880	192150	8270	Wir untertiteln live:
192270	196030	3760	Sie sind konsterniert.
196200	201190	4990	Sie haben das Unternehmen sehr erfolgreich geführt.
201300	204990	3690	Sie haben der Sika eine Wachstumsstrategie einverleibt.
205220	208550	3330	Heute ist es ein vorzeige Unternehmen.
208740	214150	5410	Von daher gesehen ist es verständlich,
214350	220150	5800	dass sie Angst haben, dass die Erfolgsgeschichte zu Ende ist.
220350	226230	5880	Denn die französische Firma ist ein riesiges Konglomerat.
229820	233950	4130	Ihre Zahlen waren nicht brillant in den letzten Jahren.
234090	240030	5940	Von daher bestehen einfach Befürchtungen.
243200	246270	3070	Die Sika-Aktie ist seit dem Bekanntwerden der Übernahme im freien
246470	248990	2520	Fall, wie wir hier auf der Grafik sehen - das ist bei
249080	252630	3550	Fusionsangelegenheiten eher unüblich. Warum reagieren die Märkte denn nun
252720	253910	1190	ausgerechnet bei Sika so?
254080	259990	5910	Das Problem sind die Stimmrechtsaktien bei der Familie.
260649.99999999997	266590	5940	Eine Aktie hat sechsmal mehr Stimmkraft als eine andere Aktie.
268010	272590.00000000006	4580	Und die Übernahmefirma bezahlte dafür eben einen Aufpreis.
272680	278670	5990	Und sie wird nicht allen Aktionären
279280	282750	3470	eine Übernahme-Offerte unterbreiten,
282930	287390	4460	sie hat das nicht unterbreiten müssen.
287470	290150	2680	Darum all die Unsicherheit.
290360	293670	3310	Was heisst nun die Übernahme durch die Franzosen, wird das Unternehmen
293780	297790	4010	seine Unabhängigkeit verlieren?
297920	302790	4870	Das ist wohl so.
302870	306510	3640	Es könnte höchstens noch sein, dass ein weisser Ritter auftaucht,
306680	308990	2310	der noch mehr für die Übernahme bietet.
309220	311630	2410	Das ist wahrscheinlich kaum der Fall.
311780	315070	3290	Denn der Preis ist schon sehr hoch.
316340	317710	1370	Der Sika-Konzern ist vielen Menschen kaum bekannt,
318190	320470	2280	obwohl viele tagtäglich mit den Sika-Produkten in Kontakt kommen.
320590	323510	2920	Das liegt v.a. daran, dass die Sika-Produkte kaum sichtbar sind.
323620	326830	3210	Sie werden in der Bauwirtschaft
326910	329190	2280	und in der Automobilindustrie beim Kleben, Dichten, Dämpfen
329370	332190	2820	sowie Verstärken verwendet, verstecken sich also in Fassaden,
332270	334350	2080	Belägen sowie Fugen.
334550	337950	3400	Und das anscheinend Unsichtbare ist national wie international
338070	339909.99999999994	1840	äusserst erfolgreich.
340060	342630	2570	Das Unternehmen macht 5 Mrd. Fr. Umsatz
342770	345510	2740	und beschäftigt 16'000 Mitarbeiterinnen und Mitarbeiter.
347590.00000000006	350310	2720	Alles beginnt vor über 100 Jahren mit viel Unternehmergeist.
350480	353110	2630	In Zürich entwickelt Kaspar Winkler ein Mittel,
353220	355470	2250	das Mörtel wasserdicht macht.
355650	358670	3020	Er nennt es Sika und legt damit Tunnels trocken.
358830	362070	3240	Für Wirtschaftshistoriker Manuel Hiestand ist klar:
362200	364230	2030	Mit dieser Erfindung
364360	367950	3590	hat Kaspar Winkler damals ins Schwarze getroffen.
368190	370030	1840	Bei der Elektrifizierung des Gotthard-Tunnels
370230	373150	2920	war es eminent wichtig, dass man diese Produkte hatte.
373340	376550	3210	Sonst hätte es laufend auf die elektrischen Kabel getropft.
376730	381310	4580	Eine Elektrifizierung des Gotthard-Tunnels ohne Sika-Produkte:
381380	383110	1730	unmöglich.
383210	385670	2460	Nach dem Durchbruch 1918 expandiert Sika schnell.
385850	388670	2820	1974 gehören bereits 29 Unternehmen zum Konzern.
388820	393909.99999999994	5090	Im Kanton Freiburg betreibt Sika eine hochautomatisierte Fabrik.
394070	399510	5440	Prägend für das Unternehmen sind auch die Töchter der Firmengründer.
399590.00000000006	402750	3160	In der 3. Generation ist es Franziska Burkard,
402830	406590.00000000006	3760	die mit ihrem Mann Romuald die Geschicke der Firma steuert.
406780	411390	4610	Und noch vor 4 Jahren, beim 100-Jahr-Jubiläum von Sika,
411560	414630	3070	gibt Franziska Burkard den Kurs der Besitzerfamilie vor:
414710	422270	7560	Ich glaube, alle wissen: Eine Über- nahme ist praktisch nicht möglich.
422390	425070	2680	Ausser es geht über die Familie.
425290	429070	3780	Und die Familie ist nicht bereit für eine Übernahme.
429250	431710	2460	Nun haben ihre Kinder Sika doch verkauft.
431890	436470	4580	Ein Unternehmen, das sich weltweit an vielen Orten verewigt hat.
436550	441430	4880	Ohne diese Sika-Produkte wäre es z.B. auch nicht möglich,
441550	443550	2000	einen Burj Khalifa zu bauen -
443750	446230	2480	also Hochhäuser, die wirklich sehr hoch sind.
446460	448990	2530	Auch eine NEAT wäre nicht möglich gewesen.
449260	452790	3530	Die Zusatzmittel sind überall drin bei unserem heute verwendeten Beton.
453070	456670	3600	Auch heute noch müssen die Tunnelwände wasserdicht sein.
456870	459950	3080	Und so hat das Unternehmen für die NEAT-Röhre am Gotthard
460190	463590.00000000006	3400	den mit 200 Mio. Fr. grössten Einzelauftrag
463720	465950	2230	der Firmengeschichte ausgeführt.
468090.00000000006	471590.00000000006	3500	Dass die Schweiz aus der Atomenergie aussteigt,
471760	474030	2270	ist längst beschlossene Sache. Die Frage aber ist immer noch: Wann?
474130	476230	2100	Über den Zeitpunkt des Ausstieges
476350	480080	3730	hat der Nationalrat nun über 3 Std. debattiert.
480300	482240	1940	Es war der letzte und zugleich umstrittenste Teil
482420	484760	2340	der Marathondebatte zur Energiestrategie.
486550	488640	2090	5 AKWs sind zurzeit in der Schweiz am Netz.
488810	491720	2910	Sie produzieren rund 40 % des gesamten Strombedarfs.
491880	495680	3800	Das erste Werk, Beznau I, ist seit 1969 in Betrieb.
495770	498360	2590	Wie lange soll man die Werke am Netz lassen?
498590	500320	1730	Das ist die zentrale Frage heute im Nationalrat.
500480	503320	2840	Wir sind der Meinung, dass es in erster Linie aus Sicherheitsgründen,
503540	506960	3420	aber auch aus Gründern der Planbarkeit der Energiewende
507070	510290	3220	klare Betriebszeiten braucht.
511490	513370	1880	Die Vorlage ist eine zwingende Notwendigkeit
513480	515250	1770	aus dem Ausstiegsentscheid,
515390	518210.00000000006	2820	da die alten Meiler so länger weiterlaufen werden
518320.00000000006	520490	2170	als vor Fukushima geplant.
520669.99999999994	522210.00000000006	1540	Die Kommission schlägt vor:
522350	524169.99999999994	1820	Nach 40 Jahren muss der Aufsichtsbehörde
524390	526490	2100	ein umfassendes Betriebskonzept eingereicht werden.
526710	529210	2500	Sind die Auflagen erfüllt, darf der Betrieb weitergeführt werden,
529280	531130	1850	und zwar für 10 Jahre.
531340	535170	3830	Die AKWs in der Schweiz seien sicher. Es brauche keine zusätzlichen Hürden.
535380	538450	3070	Was wir nun in der Thematik der Kernenergie-Gesetzgebung
538610	542370	3760	beabsichtigen, ist aber jenseits der Vernunft, weit weg vom Vertrauen
542460	545770	3310	in unsere Forschung und unsere technische Entwicklung.
545890	548330	2440	Es macht keinen Sinn,
548470	551520	3050	ohne Not das bestehende und bewährte System zu ersetzen.
551680	555800	4120	Energiewende, Atomausstieg: Ja. Aber alles nicht zu schnell.
555920	558560	2640	Für die CVP ist klar:
558680	562600	3920	Die Sicherheit steht in jedem Fall zuoberst.
564300	565960	1660	Die Energiewende im Nationalrat -
566090	568000	1910	ganz so schnell soll es also doch nicht gehen.
570190	572440	2250	Und Christoph Nufer hat die Debatte für uns verfolgt.
572620	575360	2740	Zeichnet sich denn ein Datum ab für die Abschaltung?
575460	585520	10060	Wie hat der Nationalrat entschieden? Wir untertiteln live:
585690	590520	4830	Der Nationalrat hat sich für einen Kompromiss entschieden.
590730	594200	3470	Für die AKW der Alten Generation,
594320	599120	4800	die heute bereits über 40 Jahre alt sind,
599370	605280	5910	heisst es, sie müssen nach 60 Jahren abschalten.
608980	613880	4900	bei den jüngeren AKW
613990	617960	3970	die 30 und 35 Jahre alt sind,
618080	621400	3320	gibt es kein fixes Datum.
621490	626320	4830	Sie dürfen so lange laufen, wie Sie sicher sind.
626540	630130	3590	Nach 40 Jahren brauchen Sie ein Langzeitbetriebskonzept.
