start	end	duration	text
17340	19290	1950	MIT TELETEXT-UNTERTITELUNG
19730	26170	6440	Im Januar 1936 wurde ich für die Pilotenschule aufgeboten.
26340	27490	1150	Dann lernten wir mit diesem Flugzeug das Fliegen.
31060	33370	2310	Als Hans Giger vor fast 80 Jahren
33550	37330	3780	bei der Schweizer Armee das Pilotenhandwerk lernte,
37530	40690	3160	waren die Flugzeuge noch aus Holz und Stoff gebaut.
42930	47050	4120	Die Holzpropeller wurden von knatternden Motoren angetrieben.
50940	53370	2430	100 Jahre alt ist Hans Giger heute
53470	56250	2780	und er ist einer der letzten Zeitzeugen,
56530	57530	1000	die den Zweiten Weltkrieg als Erwachsene erlebt haben.
60030	61970	1940	Woran erinnert er sich?
62050	64129.99999999999	2080	Und decken sich seine Erinnerungen
64310	67250	2940	mit dem gängigen Geschichtsbild von jener Zeit?
67370	69410	2040	Davon handelt dieser Film.
85610	87530	1920	Hans Giger hat Weltgeschichte erlebt,
88280	91450	3170	aber auch die unglaubliche Entwicklung der Technik.
92509.99999999999	96250	3740	Der Faszination des Fliegens erlag er schon als kleiner Bub.
96500	100410	3910	Ich war ein Bauernjunge aus dem St. Galler Oberland.
101180	102530	1350	Wir waren viel mit dem Vieh auf der Weide.
105680	115250	9570	Damals flogen die ersten Piloten von Dübendorf nach Maienfeld oder Chur.
115450	117650	2200	Ich sah sie dann jeweils bei uns vorbeifliegen.
120310	123410	3100	Das faszinierte mich natürlich damals.
125310	129169.99999999999	3860	Bei der Burg Wartau setzten sich Hans Giger und seine Schulfreunde
129289.99999999999	131770	2480	zum ersten Mal der Aerodynamik aus.
131860	132530	670	Wir gingen natürlich immer auf die Burg,
134490	137250	2760	das war ein Spielplatz für uns.
137480	140170.00000000003	2690	Vor der Burg hatte es eine Felswand.
140340	143130	2790	Immer wenn Föhn herrschte, windete es stark.
143390	147090	3700	Wir versuchten dann, die Jacken zu öffnen
147290	147530	240	und auf den Rand der Felswand zu stehen.
150620	154530	3910	Wir lehnten uns schräg hinaus - gegen den Föhn.
156230	158090	1860	Heute muss ich sagen:
158260	161810	3550	Wenn der Föhn nachgelassen hätte, wären wir runtergefallen.
161990	162570	580	In der Sekundarschule wollten dann die meisten Lokomotivführer werden.
170400	175690	5290	"Ich fand: ""Das ist nichts für mich, ich möchte Pilot werden."""
176890	177570	680	Hans Giger wurde Militärpilot
179260	182290	3030	und besuchte später auch das Technikum.
186020	188290	2270	Die Technik begeistert ihn noch immer.
188470	192570	4100	Heute schreibt er auf dem Computer Chroniken der Schweizer Luftfahrt
193010	195490	2480	und gestaltet Powerpoint-Präsentationen.
195670	198610	2940	Auch mit seiner Umwelt kommuniziert er digital.
198760	200810	2050	Das ist etwas Wunderbares,
200890	204250	3360	wie man mittels E-Mail mit den Leuten verkehren kann.
206530	207690	1160	Und ins Internet gehen Sie auch, um etwas nachzusehen?
210020	213690	3670	Ja, ja, immer, wenn ich etwas nicht weiss.
225140	228930	3790	Seit 2 Jahren verzichtet der 100-Jährige aufs Autofahren.
229010	230930	1920	Nicht ganz freiwillig.
232200	235170.00000000003	2970	Herr Giger, wann haben Sie dieses Auto gekauft?
235390	237250	1860	Ich kaufte es vor 4 Jahren.
237880	243850	5970	2 Jahre danach musste ich dann vom Arzt aus eine Fahrprüfung machen.
244980	249050	4070	Daraufhin entzogen sie mir den Fahrausweis mit der Begründung,
249140	252570	3430	dass man in diesem Alter nicht mehr Auto fährt.
253010	254610	1600	Und was machten Sie dann?
254790	258370	3580	Meine Tochter und ich gingen dann nach Hause und sagten,
258500	260450	1950	es könne ja nicht sein,
260680	264650	3970	dass ich ohne Fortbewegungsmittel alleine leben müsse.
265180	267650	2470	Ich muss irgendwie ins Dorf kommen usw.
267970	273690	5720	Dann fanden wir im Internet die Adresse einer Firma in Ebikon,
273850	277050	3200	die Carellos vertreibt.
277240	282610	5370	Also fuhren wir noch am selben Abend nach Ebikon und kauften einen.
282770	285570	2800	Seither bin ich glücklich mit meinem Carello.
285740	288850	3110	Und jetzt fahren Sie damit in der Gegend herum? Jawohl.
293890	295850	1960	Regelmässiger Piepton
304240	307370	3130	Hans Giger unterwegs zum Flugplatz Buochs,
307610	310810	3200	wo er jahrzehntelang den fachgemässen Unterhalt
310890	312610	1720	der Schweizer Kampfflugzeugflotte garantierte.
313870	318570	4700	Auf dem Höhepunkt seiner Karriere war er Herr über alle Militärflugplätze
318670	321130	2460	mit über 3'000 Mitarbeitern.
327840	331130	3290	In Buochs starten heute die fabrikneuen Pilatus-Flugzeuge
331250	333290	2040	der Stanser Flugzeugwerke.
333570	337850	4280	Hans Giger wohnt seit 67 Jahren hier am Ende der Flugpiste.
342930	345810	2880	1939 wurde das damals bescheidene Flugfeld
346010	350650	4640	nach Kriegsbeginn schnell zu einem logistischen Zentrum ausgebaut.
350820	353810	2990	Giger war damals als junger Offizier dabei.
353890	357690	3800	Dann startete ein riesiges Bauprogramm.
357980	362090	4110	Das Material kam von der Landi 39 aus Zürich.
362280	366730	4450	Der Abbruch der Landi 39 kam nach Buochs und Interlaken.
367530	369450	1920	Zum Aufbau der Werkstätten.
372340	372770	430	Über die Einladung der Flugplatz- direktion zu einer Spritztour
376580	379850	3270	mit einem Sportflieger rund um den Bürgenstock
379930	382250	2320	freut sich der Veteran nur zögerlich.
382460	386130	3670	Schliesslich habe er sein halbes Leben im Cockpit verbracht.
389260	392590.00000000006	3330	Das gab es früher nicht, oder?
397040	401270	4230	Doch hoch über dem See und den Bergen kommen die Erinnerungen an damals,
401430	402670	1240	als er in einem hölzernen 2-Sitzer das Einmaleins des Fliegens lernte.
405810	409510	3700	Doch bis Hans Giger in ein Flugzeug steigen konnte,
409700	412310	2610	musste er zuerst am Flugplatz in Dübendorf
412460	415390	2930	eine Lehre als Flugzeugmechaniker absolvieren.
415540	417670	2130	Der Weg ins Cockpit führte damals über die Werkstatt.
419820	422510	2690	Die Flugzeuge waren damals natürlich aus Holz ...
424660	428630	3970	... Stahlrohren, Blech, Drähten und Stoff.
430430	431870	1440	Oder?
431990	432670	680	Das war in den frühen 30er-Jahren,
434380	437150	2770	als in Deutschland Hitler an die Macht kam.
438410	441030	2620	Wann hörten Sie zum ersten Mal von Hitler?
441990	445990	4000	Ich hörte schon in der Gewerbeschule von Hitler.
446580	447750	1170	1933 war ich in der Gewerbeschule.
450450	453550	3100	Damals hatten wir einen Lehrer namens Grossmann -
453659.99999999994	455909.99999999994	2250	damals wurde Hitler Reichskanzler.
456820	459630	2810	Und da sagte der Lehrer uns Gewerbeschülern,
459840.00000000006	461750	1910	was das jetzt bedeutet.
462090.00000000006	462710	620	"Er hatte ""Mein Kampf"" gelesen, wir noch nicht."
466180	469790	3610	Wir jungen Burschen hatten noch keine Ahnung von Politik
469940	473070	3130	und hatten bis dahin nichts von den Nazis gehört.
473220	476070	2850	Er erzählte uns dann, was die machen wollten.
477010	477790	780	Zuerst erzählte er uns, Hitler wolle eine Armee aufbauen
481020	485950	4930	"und zum Rheinland ausziehen - das schrieb er alles in ""Mein Kampf""."
487270	489190	1920	Das machte uns Eindruck.
490660	492790	2130	Herr Grossmann war offenbar ein besonderer Typ.
493840	497910	4070	Er warnte uns quasi, was jetzt kommen werde.
499390	501590	2200	Hans Giger als junger Offizier.
501750	504910	3160	Nach der Lehre folgte die Rekruten-,
505060	507710	2650	dann die Offiziersschule mit der Pilotenausbildung.
508100	511030	2930	Hier büffelt der 21-jährige Giger Theorie:
511180	514350	3170	Motorentechnik, Aerodynamik, Wetterkunde.
516659.99999999994	519150	2490	Dann die Ausbildung mit den Fluglehrern.
519280	521990	2710	Ganz genau erinnert sich der Pionier daran,
522090.00000000006	522710.00000000006	620	als er zum ersten Mal das Flugzeug alleine steuerte.
527830	531270	3440	Irgendwann zeigte der Lehrer einem den Steuerknüppel -
531390	533320	1930	er hatte ein Doppelsteuer.
533570	536600	3030	Er nahm den Steuerknüppel raus und zeigten ihn einem,
536830	537720	890	damit man sah: Jetzt fliegt man allein.
539220	543560	4340	Die Ausbildung zum Militärpiloten ist geschafft, die Freude gross.
543590	546600	3010	Doch in Europa herrscht Kriegsangst.
546690	550560	3870	Bald werden die jungen Piloten das Gelernte anwenden müssen.
550700	552760	2060	Die Schweizer Armee macht sich bereit für die Kriegsmobilmachung,
554820	557520	2700	den Jungpiloten kommt eine besondere Aufgabe zu.
558710	560680	1970	Es war vorgesehen,
560830	564960	4130	dass unsere Flugzeuge mit Mobilmach- ungsplakaten vollgestopft werden,
565230	567760	2530	die wir in den hintersten Alpentälern hätten abwerfen müssen.
569970	571960	1990	Nach dem Überfall Hitlers auf Polen
572100	575600	3500	ist die Kriegsmobilmachung in der Schweiz in vollem Gang.
575830	579000	3170	Originalton:  Die 130'000 Mann leisten sofort den Fahneneid.
579140	582240	3100	Dem Aufgebot haben ferner 42'000 Pferde
582430	582800	370	und 12'000 zivile Motorfahrzeuge zu folgen.
586220	589280	3060	Die Armee macht sich an den Bau von Geschützstellungen
589380	591320	1940	und Grenzbefestigungen.
592820	594760	1940	Marschmusik
596980	597800	820	Hans Giger repariert während des Krieges mit seinen Leuten
600970	605840	4870	havarierte Flugzeuge, die er als Werkspilot dann auch selber testet.
606070	610680	4610	In den ersten Kriegsjahren leistet er auf vielen Militärflugplätzen
610810	612800	1990	in der ganzen Schweiz Dienst - auch auf dem Flugplatz Lausanne.
618660	623120	4460	Der Hangar aus den 20er-Jahren sieht heute noch gleich aus wie damals.
623280	627280	4000	Die Zeit in der Westschweiz wird Hans Giger nie mehr vergessen.
629370	635280	5910	Ich wurde ja mit der Flugkompanie II nach Lausanne beordert.
636020	640040	4020	Wir arbeiteten z.T. Tag und Nacht.
640980	642800	1820	Denn die Staffeln brauchten ihre Flugzeuge wieder.
644340	649360	5020	Im Sommer gingen wir bei schönem Wetter dann einige Male
649420	654680	5260	mit der ganzen Mannschaft ins Bellerive-Plage baden.
654790	657800	3010	Bei dieser Gelegenheit sah ich ein junges Mädchen,
659570	661600	2030	das immer dort war.
662550	666360	3810	Es entstand eine Freundschaft und wir trafen uns hie und da.
666500	668240	1740	Später wurde sie meine Frau.
672270	672800	530	Aber sie war im Maison de la Jeune Fille.
676670	682870	6200	Sie hatte keinen Ausgang - oder die Chefin musste ihr frei geben.
684180	687870	3690	Ich musste bei der Chefin vorstellig werden, also bei der Heimmutter.
694140	698350	4210	Als der Krieg losging, berichtete sie der Mutter, sie komme heim.
698590	701470	2880	"Die Mutter sagte: ""Nein, bleib in Lausanne!"""
701580	702870	1290	"""Die Schaffhauser gehen alle nach Lausanne und Genf."""
706080	709350	3270	"""Sie ziehen aus, sie fürchten sich vor den Deutschen."""
709560	713710	4150	Der stolze Offizier und die Schaffhauserin Aline am Hochzeitstag.
714790	717510	2720	Ich hatte 3 Tage Urlaub für meine Hochzeit.
718700	720710	2010	Mehr gab es nicht.
720820	724750	3930	Das Jahr darauf bekam ich dann eine Woche Urlaub.
725420	727990	2570	Dann machten meine Frau und ich -
729380	732430	3050	sie hatte ein altes und ich ein steinaltes Velo -
733390	739720	6330	eine Tour von Wilderswil über Innertkirchen, Furka, Oberalp
741150	743480	2330	nach Andermatt, wo wir übernachteten.
744420	747920	3500	Danach fuhren wir über Oberalp nach Chur zu mir nach Hause.
754060	756080	2020	Es war Sommer.
756860	760440	3580	Als wir von Andermatt Richtung Oberalp liefen,
760560	762880	2320	trug meine Frau Shorts.
766260	768240	1980	Da gab es Leute, die Heu ernten.
769780	772320	2540	"Diese riefen ihr nach: ""Sauhund!"""
773100	776640	3540	Sie musste an den Strassenrand und einen Rock anziehen.
778540	781600	3060	Die düsteren Vorahnungen für Schaffhausen
781730	784000	2270	sollten sich später bewahrheiten.
784140	787120	2980	Amerikanische Flugzeuge bombardieren die Stadt irrtümlich.
787310	791520	4210	38 Menschen sterben. Ein Haus von Alines Familie wird beschädigt.
791670	792880	1210	Originalton:  Gegen 11 Uhr warfen amerikanische Bomberstaffeln
795430	798000	2570	Brand- und Sprengbomben auf Schaffhausen ab.
798100	801040	2940	Vom Rheinufer bis zum Bahnhof, im Stadtzentrum
801200	804960	3760	und in südlichen Vierteln entstanden beträchtliche Schäden.
809900	811880	1980	Staffel 1: Alarm!
811980	813680	1700	Die Schweizer Luftwaffe
813770	816480	2710	ist die einzige Waffengattung der Schweizer Armee,
816620	819960	3340	die während des Krieges aktiv in Kampfhandlungen verwickelt wird.
820060	822040	1980	Flugzeuge aller Kriegsparteien
822180	822880	700	dringen in den Schweizer Luftraum ein.
825540	827520	1980	Melancholische Klänge
832730	836000	3270	Diese wichtige Episode des Krieges wollen wir mit Hans Giger
836140	837880	1740	im Fliegermuseum Dübendorf diskutieren.
838870	842120	3250	Hans Giger gehört zu den Gründervätern des Museums.
843220	846120	2900	Flogen Sie jeden dieser Flieger? Ja, sicher.
846290	848200	1910	Okay. Ja, habe ich.
849580	852720	3140	Herr Giger, ich bin Jakob Tanner.
852820	852880	60	Der Historiker Jakob Tanner
854970	859240	4270	hat sich intensiv mit den Einsätzen der Schweizer Luftwaffe beschäftigt.
859380	863680	4300	Das hat eine ähnliche Spann... Es hat dieselben Flügel wie der D1.
863860	866520	2660	Zeitzeugen sind für ihn eine wichtige Quelle.
866690	867880	1190	Man könnte die Flügel wechseln, das ist kein Problem.
871970	876800	4830	Hans Giger begegnet Historikern mit einem gesunden Mass an Misstrauen.
877500	880520	3020	Sie sind schon kritisch gegenüber Historikern.
880610	882920	2310	Sie erlebten es selbst und die ... Es kommt darauf an.
884130	886560	2430	Historiker bringen die Historie.
886660	890800	4140	Aber wenn sie über etwas berichten, das ich selbst erlebt habe -
890970	895840	4870	anders als ich es in Erinnerung habe -, habe ich ein Problem damit.
898290	900360	2070	Sehen Sie das Problem?
900430	906320	5890	Es ist schon so, dass die Historiker zunächst im Detail schauen müssen:
906500	911360	4860	Was haben die Zeitzeugen erlebt? Wie schildern sie das?
911470	912920	1450	Wenn dann aber z.B. Wertungsfragen reinkommen ...
914810	918920	4110	Z.B., wie berichtete man 1933 in der schweizerischen Presse
919010	921800	2790	über Hitlers Machtantritt?
921890	924800	2910	Dann bin ich als Historiker informiert,
924950	927920	2970	dass die meisten durchaus Perspektiven sahen.
928420	932320	3900	Dass man - in Nachhinein betrachtet - zu positiv darüber berichtete.
932510	935880	3370	Wenn ein Zeitzeuge dann sagt, es stimme nicht,
936020	939280	3260	gibt es dann vom Historiker aus wieder ein Problem.
939610	941640	2030	In den ersten Kriegsmonaten
941740	942920	1180	nimmt die Schweizer Luftwaffe den Grenzschutz ernst.
944970	947380	2410	Sie bekämpft deutsche Eindringlinge.
947540	950340	2800	Schweizer Piloten schiessen 11 deutsche Maschinen ab.
950500	953900	3400	Nazi-Deutschland ist ausser sich, bald gibt die Schweiz nach.
954090	957940	3850	Er gab dann verschiedene Befehle.
958930	962900	3970	Einmal sagte man, wir dürften Flugzeuge,
963010	969060	6050	die 5 km in die Schweiz einfliegen, nicht bekämpfen.
969220	973020	3800	Es seien einfach Pilotenfehler, wenn sie eine Kurve fliegen.
976580	980220	3640	Das führte dazu, dass Deutschland enorm gegen die Schweiz
980340	982940	2600	propagandistisch mobilisierte.
983050	985900	2850	Sie wollten die Flughäfen sabotieren.
986060	987980	1920	Diese Aktion wurde aber so dilettantisch durchgeführt,
989510	991470	1960	dass sie sofort aufflog.
991580	994390	2810	Sie konnten also nichts ausrichten.
