start	end	duration	text
2640	9960	7320	MIT TELETEXT-UNTERTITELUNG
10680	13600	2920	Liebe Mitbürgerinnen und Mitbürger.
14190	18840	4650	Am 12. Februar stimmen wir über die Unternehmenssteuerreform III ab.
19450	21480	2030	Um was geht es im Kern?
22180	25440	3260	Wir haben jetzt ausländische Firmen, die bezahlen wenig Steuern,
26080	29040	2960	und wir haben inländische Firmen, die bezahlen mehr.
29610	31360	1750	Das wollen wir ausgleichen,
32009.999999999996	34520	2510	sodass beide gleich viel, den gleichen Ansatz bezahlen.
35150	37640	2490	D.h., internationale Firmen bezahlen mehr,
38280	40360	2080	Schweizer Firmen tendenziell weniger.
41000	43720	2720	Jetzt ist die Frage, was es kosten wird.
44350	48880	4530	Etwa 1,1 Mrd. Fr. rechnen wir auf Stufe des Bundes.
49480	52160	2680	Dieser Betrag ist verkraftbar.
52790	54440	1650	Wir geben ihn den Kantonen.
55120	56880	1760	Kantone und Gemeinden
57530	60280	2750	haben jetzt dieses Steuerregime ebenfalls anzupassen.
60950	62200	1250	Sie werden in den Kantonen
62840	65360	2520	noch einmal über die kantonale Steuergesetzgebung abstimmen können.
65920	68560	2640	Wir wollen mit dieser Aktion Firmen in der Schweiz behalten.
69160	72080	2920	Wir müssen das international anpassen.
72820	76320	3500	Wenn wir höher gehen, werden wohl die Firmen die Schweiz verlassen.
77020	80520	3500	Also brauchen wir ein Niveau, das für alle tragbar ist,
81160	83120	1960	damit interessante Firmen bleiben
83800	85920	2120	und interessante Arbeitsplätze bei uns bleiben.
86530	89039.99999999999	2510	Und das ist wohl der Kern dieser Abstimmung.
89680	91480	1800	Wir wollen auch in Zukunft wichtige Firmen,
92140	93840	1700	die in der Schweiz Steuern bezahlen.
94479.99999999999	96640	2160	Wir wollen auch in Zukunft wichtige Firmen,
97270.00000000001	101440	4170	die gute Arbeitsplätze in der Schweiz unterhalten.
102050	106280	4230	Das ist unsere Zukunft und dafür brauchen wir eine Steuerreform.
106930	109600	2670	Wir haben einen teuren Schweizer Franken, wir haben hohe Löhne,
110160	112200	2040	und wir müssen irgendwo bei den Besten sein.
112880	115840	2960	Und bei den Steuern können und wollen wir uns das leisten.
116470	119759.99999999999	3290	Wenn wir die Beratungen im Parlament ansehen,
120410	122640	2230	dann sind alle grossen bürgerlichen Parteien dafür,
123200	124800	1600	das Parlament in der Mehrzahl,
125350	129039.99999999999	3690	alle 26 Kantone stimmen dem zu, der Gemeindeverband stimmt dem zu
129720	131720	2000	und selbstverständlich auch der Bundesrat.
132480	135080	2600	Ich empfehle Ihnen, ein Ja in die Urne zu legen.
135800	138840	3040	Es sichert Arbeitsplätze, es sichert Steuersubstrat,
139480	141960	2480	es ist verantwortungsvoll, es ist verkraftbar
142660	144920.00000000003	2260	und es ist wesentlich besser als ein Nein.
145520	149120	3600	Das ist eine Blackbox, die uns teuer zu stehen kommt.
149840	152000	2160	SWISS TXT / UT-Redaktion Zürich Alexandra Duttweiler - 2017
