start	end	duration	text
1850	9200	7350	.
9370	13520	4150	1:1-Untertitelung
13730	17920	4190	"Guten Abend und herzlich willkommen zu ""Schweiz aktuell"" am Wochenbeginn."
18010	20840	2830	Das sind heute unsere Themen für Sie:
22470	24720	2250	Homosexuelle gedenken in Zürich
24880	28120	3240	der 49 beim Attentat auf einen Schwulenklub in Florida Verstorbenen.
28210	30920	2710	Auch die Werte der Schweiz seien damit angegriffen worden.
33730	36640	2910	Eine Firma aus Goldach im Kanton St. Gallen steht unter Verdacht,
36850	40280	3430	unerlaubte Stammzellentherapien durchgeführt zu haben.
40440	42720	2280	Jetzt untersucht die Heilmittelbehörde.
44980	47160	2180	Wegen des schlechten Wetters
47340	49040	1700	ist die Hälfte der Jungstörche in Avenches gestorben.
49210	51760	2550	Die Überlebenden wurden jetzt beringt.
55450	58520	3070	Die Trauer und die Betroffenheit bei den Homosexuellen in der Schweiz
58680	61120	2440	sind nach dem Terroranschlag in Florida gross.
61290	65160	3870	Beim Attentat kamen in der Nacht auf Sonntag 49 Menschen ums Leben.
65330	68080	2750	Ein 29-jähriger Einzeltäter hat in einem Klub,
68190	71000	2810	der v.a. bei Lesben und Schwulen beliebt war, um sich geschossen.
71090	73320	2230	Als einen Angriff auf westliche Werte,
73490	77160	3670	Werte, die auch in der Schweiz grossgeschrieben werden,
77330	80800	3470	bezeichnet die Schweizer Gay-Community den Anschlag.
80890	82960.00000000001	2070	In Zürich findet seit 18 Uhr
83170	86200	3030	eine Gedenkfeier für die Opfer des Attentates statt.
88370	91039.99999999999	2670	Die Glocken läuten für die Opfer des Terroranschlags von Orlando.
91140	93720	2580	Die Menschen kommen in die Predigerkirche,
93810	95759.99999999999	1950	um mit den Angehörigen zu trauern
95850	99440	3590	und still gegen die menschen- verachtende Tat zu protestieren.
99590	104759.99999999999	5170	Mit dabei auch die Zürcher Stadtpräsidentin Corine Mauch.
104970	110840	5870	Michel Rudin ist Kopräsident von Pink Cross,
110990.00000000001	115560	4570	des Vereins, der sich für Schwule einsetzt.
115770.00000000001	119000	3230	Er liest auf Facebook Hunderte von Einträgen
119280	122400	3120	von schockierten Menschen. Auch ihn macht es betroffen.
122590	126280	3690	Es herrsche im Moment ein Kampf verschiedener Kulturen.
126420	130880	4460	Wir sind die Speerspitze und der Zankapfel,
130990.00000000001	134320	3330	wir von den Schwulen und Lesben und Transmenschen.
134420	136480	2060	Man stört sich sehr stark an uns,
136620	139960	3340	wenn man aus einem konservativen oder anderen Weltbild kommt.
140110	142700	2590	Darum war das ein Angriff auf unsere Werte.
142930	147579.99999999997	4650	Es verbindet, ob es in Amerika oder hier passiert.
147790	151180	3390	Wir gehören alle zusammen und stehen für eine offene Welt ein.
151410	154420.00000000003	3010	Der Anschlag in Orlando sei ein Anschlag auf die freien Werte,
154500	156260	1760	sagt auch Theres Bachofen,
156440	159300	2860	Kopräsidentin der Lesbenorganisation Schweiz.
159510	161780	2270	Heute sprechen in der Schweiz alle davon, wie tolerant sie seien.
162050	165220	3170	In solchen Momenten zeige sich, ob das wahr sei.
165380	169020	3640	Die Vielfalt, die wir momentan leben können und dürfen,
169160	171340	2180	ist uns sehr wichtig.
171480	175340	3860	Dass wir lesbisch und schwul und Transmenschen sein dürfen.
175610	177340	1730	Haben Sie Angst, wenn so etwas passiert,
177520	179820	2300	dass es diese Vielfalt gefährden könnte?
179930	181980	2050	Ja, es gibt eine kleine Angst.
182210	184860	2650	Wobei ich hoffe, dass sie, wenn wir gut zusammenhalten,
184970	186740	1770	nicht wahr wird.
186920	190820	3900	Dass wir homophobe Menschen ermächtigen,
191080	195620	4540	sich stärker dazu zu äussern, sie hätten ein Recht
195790	198820	3030	und dürften das gegen aussen kommunizieren,
198960	201020	2060	ohne angeprangert zu werden.
201190	204260	3070	Am Samstag demonstrierten in Zürich am Pride-Umzug
204440	208060	3620	mehrere Tausend Lesben, Schwule und Transmenschen für ihre Rechte.
208190	211340	3150	Auch in der Schweiz gibt es Gewalt gegen Homosexuelle.
211510	213300	1790	Weil es keine Zahlen gibt, wie viele betroffen sind,
213490	215820	2330	wollen die Lesben- und Schwulenorganisationen
215970	217780	1810	selber eine Erhebung machen.
217910	222550	4640	Wir haben letzten Samstag Unterlagen ausgeteilt,
222650	225150	2500	auf denen man sich eintragen konnte.
225300	227150	1850	Es sind über 100 Meldungen eingegangen,
227290	230510	3220	von Menschen, die sich beklagt haben, was ihnen alles passiert sei.
230690	235870	5180	Das ging von anspucken über fluchen bis zu physischer Gewalt.
236140	239510	3370	Das macht einen betroffen, wenn man merkt,
239590	243830	4240	dass wir noch nicht dort angekommen sind, wo wir hinwollen.
244000	247150	3150	Für die Lesben- und Schwulen- organisationen ist darum klar:
247370	251910	4540	Nach diesem traurigen Ereignis heisst es nun erst recht zusammenstehen.
