start	end	duration	text
4030.0000000000005	9080	5050	.
9200	13160	3960	1:1-Untertitelung
13330	16560	3230	"Der ""Club"", heute mit Thomy Scherrer."
16740	19440	2700	Guten Abend und herzlich willkommen.
19560	25000	5440	Ein Lohn vom Staat, einfach so, ohne dass man etwas dafür tun muss.
25110	26880	1770	Wie schön wäre das!
27130	29080	1950	Die Idee des bedingungslosen Grundeinkommens
29250	31360	2110	stellt unser Arbeits- und Gesellschaftssystem
31490	33240	1750	völlig auf den Kopf.
33340	35320	1980	Wir sind doch alle mit der Meinung aufgewachsen,
35440	37280	1840	nur wer arbeitet, bekommt etwas.
37410	39280	1870	Am 5. Juni stimmen wir darüber ab.
39460	42040	2580	Wir diskutieren heute Abend darüber.
42140	44560	2420	Auf der Seite der Befürworter stelle ich Ihnen vor:
44710	48080	3370	Christian Müller, Mitglied des Initiativkomitees.
48180	50640	2460	Er ist Ökonom und Journalist, und er sagt,
50790	53240	2450	mit dem bedingungslosen Grundeinkommen
53380	56240	2860	kann man die Lebensqualität aller Menschen steigern.
56390	60240	3850	Franziska Schläpfer, Rapperin Big Zis.
60420	62640	2220	Als Kulturschaffende fände sie
62790	65360	2570	ein solches bedingungsloses Grundeinkommen super.
65500	68640	3140	Das würde mehr Raum für Kreativität erlauben.
68750	70800	2050	Jürg Schläpfer ist Psychologe,
71020	72960.00000000001	1940	nicht verwandt mit Franziska Schläpfer.
73060	75240	2180	Auch er fände es gut.
75330	77080	1750	Er glaubt nicht,
77160	79560	2400	dass es uns Menschen faul oder bequem machen würde.
79710.00000000001	84480	4770	Auf Seite der Gegner sind drei Frauen:
84580	87640	3060	Jeannette Behringer, Politologin und Ethikerin.
87810	90240	2430	Sie ist zuständig für die politisch-ethischen Diskussionen
90390	92360	1970	der Reformierten Landeskirche Zürich.
92520.00000000001	94479.99999999999	1960	Sie sagt, das bedingungslose Grundeinkommen
94690	97920	3230	zementiere das alte Rollenbild zwischen Mann und Frau.
98070	100440	2370	Monika Bütler, Wirtschaftsprofessorin.
100610	102759.99999999999	2150	Sie leitet den Lehrstuhl für Wirtschaftspolitik
102900	104759.99999999999	1860	an der Universität St. Gallen.
104930	107960.00000000001	3030	Das bedingungslose Grundeinkommen sei ein Motivationskiller,
108090	109560	1470	sagt sie.
109710.00000000001	111759.99999999999	2050	Katja Gentinetta,
111910	114800	2890	selbstständige Politikphilosophin und Unternehmerin.
115020.00000000001	118360	3340	Sie ist überzeugt, ein bedingungsloses Grundeinkommen
118460.00000000001	121920	3460	gefährde unsere Demokratie und unseren Wohlstand.
122130	125000	2870	Erste Frage, die ich an Sie alle richte:
125110	128400	3290	Was würden Sie mit z.B. 2'500 Fr. machen,
128539.99999999999	133560	5020	die jeden Monat auf Ihrem Konto auftauchen würden?
133700	135720	2020	Franziska Schläpfer?
135840	138920.00000000003	3080	Im ersten Moment, muss ich sagen,
139100	143480	4380	würde sich wohl nicht viel verändern.
143579.99999999997	145360	1780	Wenn ich es aber richtig verstehe ...
145470	147160	1690	Ich habe drei kleine Kinder.
147329.99999999997	149640	2310	Für die würde ich auch Geld bekommen.
149750	152520	2770	Der Vater der Kinder, mein Partner,
152620	155480	2860	hätte auch ein bedingungsloses Grundeinkommen.
155560	162040	6480	D.h., aufaddiert wären es nicht nur 2'500 Fr.,
162140	165440	3300	als kleine Familie, bzw. als grosse Familie.
165550	168440	2890	Was würden wir damit machen?
168660	171040	2380	Wahrscheinlich nicht viel mehr als jetzt.
171250	174880	3630	Aber ein gewisses Lächeln taucht dennoch auf Ihrem Gesicht auf.
174990	177160	2170	Ja, eine Entspanntheit.
177300	179920.00000000003	2620	Katja Gentinetta?
180110	183680	3570	Ich würde mich wahrscheinlich auch ein bisschen entspannen.
183790	185800	2010	Ich würde es sicher mal auf ein Jahr ausrechnen.
185900	187880	1980	Wir sind zu zweit.
187960	191680	3720	Ich glaube, ich würde sehr genau kalkulieren,
191800	195400	3600	wie viel ich noch verdienen möchte.
195540	197960	2420	Ich bin ja selbstständig und sorge für mich selbst.
198060	200079.99999999997	2020	Wie viel möchte ich noch verdienen?
200190	201880	1690	Und wie würde es sich lohnen,
202020	204000	1980	damit ich möglichst wenig Steuern zahlen muss?
204220	206480	2260	Denn damit finanziere ich ja jene, die nicht arbeiten.
206640	209320	2680	Herr Schläpfer? Was würde bei Ihnen passieren?
209410	211200	1790	Bei mir würde sich nichts ändern.
211420.00000000003	216640	5220	Ich bin ja pensioniert und habe ein Grundeinkommen.
216860	219600	2740	Es ist zwar eines, das ich immer einbezahlt habe.
219750	221280	1530	Es ist nicht bedingungslos.
221400	223680	2280	Aber so gesehen, bin ich versorgt.
223829.99999999997	228840	5010	Ich würde mich einfach für andere Menschen freuen, die es nötig haben.
228940	230680	1740	Frau Bütler?
230900	235600	4700	Für mich und meinen Mann würde sich im Moment sicher nichts ändern.
235800	239079.99999999997	3280	Ausser dass wir für die beiden Jungs zusätzlich Geld bekämen.
239200	242720	3520	Das finde ich etwas absurd. Uns geht es ja gut.
242890	246760	3870	Ich hätte mich aber vor 30 oder 35 Jahren völlig anders verhalten.
246860	249240	2380	Jetzt würde ich mich nicht mehr anders verhalten.
249460	252720	3260	Warum denn? Was hätten Sie anders gemacht?
252870	256720.00000000003	3850	Als Studentin hätte ich ganz sicher weniger gearbeitet.
256880	258480.00000000003	1600	Ich habe mein Studium selber finanziert.
258610	260320	1710	Womit?
260540.00000000003	263630	3090	Ich habe unterrichtet, ich habe in einer Wäscherei gearbeitet,
263780	268110	4330	ich habe an der Bar gearbeitet, ich habe Praktika gemacht.
268230	269830	1600	Dann habe ich wieder unterrichtet.
269910	271670	1760	Ich habe immer gearbeitet.
271900	274230	2330	Und letztlich habe ich von diesen Stellen sehr viel profitiert.
274330	277270	2940	Es klingt aber auch etwas nach Stress während des Studiums.
277370	279510	2140	Ein gewisser Stress gehört dazu.
279650	283750	4100	Jene Studenten, die nicht arbeiten, haben auch Stress.
283870	287350	3480	Herr Müller? Was würde das bei Ihnen bewirken?
287710	290030	2320	Ich würde mich mit Frau Gentinetta zusammentun
290250	292670	2420	und ein Büro für Zukunftsforschung eröffnen.
292780	294870	2090	Einen liberalen Thinktank,
294990	297670	2680	wo wir bessere Lösungen für die Zukunft gemeinsam erarbeiten.
297860	300270	2410	Könnten Sie sich das vorstellen mit Herrn Müller?
300420	303110	2690	Ich denke, wir würden eingehende Diskussionen führen,
303260	306070	2810	bevor wir uns einig werden, welche Themen wir wie verfolgen.
306200	308520	2320	Bevor Sie mit Ihrer Firma Geld verdienen könnten.
308690	311560	2870	Frau Behringer, was würde das bei Ihnen verändern?
311730	315440	3710	Ich glaube, es würde auch bei mir nicht viel verändern.
315550	319880	4330	Das Einkommen bleibt ja gleich.
319990	322280	2290	Ich würde vielleicht das eine oder andere Projekt
322390	325560	3170	mit einem Sabbatical angehen können.
325780	329360	3580	Ich könnte z.B. ein halbes Jahr etwas runterfahren
329520	334400	4880	und eigene Projekte verfolgen. Aber nur für eine befristete Zeit.
334620	338880	4260	Danach werde ich wohl wieder in den Beruf einsteigen.
339100	342680	3580	So viel würde sich nicht verändern. Ich bin da eher bei Herrn Schläpfer.
342830	344560	1730	Wir sind mit der Kamera auf die Strasse
344780	347430	2650	und haben diese Frage gestellt:
347659.99999999994	350070	2410	Was würden Sie machen, wenn Sie vom Staat jeden Monat
350170	353350	3180	einen gewissen Geldbetrag erhielten?
353530	358909.99999999994	5380	Ich glaube, ich könnte mich mehr um das kümmern, was ich gerne mache.
359060	360550	1490	Ich könnte mich um meine Ausbildung kümmern,
360760	362470	1710	ohne nebenbei arbeiten zu müssen.
362570	364190	1620	Wenn ich einen Job suchen würde,
364420	367270	2850	könnte ich mich eher für einen entscheiden, der mir gefällt,
367390	369190	1800	und weniger auf das Geld schauen.
369350	372070	2720	Ich würde trotzdem arbeiten. Wieso?
372200	375670	3470	Ich habe nicht etwas gelernt, um dann nicht zu arbeiten.
375820	380390	4570	Wenn der Staat mir etwas gibt, muss man es auch irgendwie zurückzahlen.
380520	382670	2150	Ich würde definitiv weiterarbeiten,
382830	386270	3440	sonst würde ich mich wahrscheinlich langweilen.
386440	389350	2910	Weiterbildungen usw. würde ich trotzdem machen.
389460	393550	4090	Ich denke, ich würde im Moment normal weiterarbeiten.
393659.99999999994	395630	1970	Ich verdiene einiges mehr,
395790	398150	2360	es würde mir also nichts nützen, nur in der Sonne zu liegen.
398250	400030	1780	Aber ich bin schon über 60,
400230	402980	2750	das wäre natürlich eine Möglichkeit, etwas früher aufzuhören.
403210	407820	4610	Klar könnte man damit leben, aber es wäre am Existenzminimum.
408020	410220	2200	Wieso soll man zu Hause sitzen und nichts tun,
410420	414540	4120	wenn man arbeiten und sich weiterentwickeln kann?
414780	417380	2600	Das würde mir nicht für die Wohnung reichen.
417580	421260	3680	Ich will reisen, ich will ein angenehmes Leben haben.
421460	424060	2600	Da würden mir 2'500 Fr. nicht reichen.
424270	427060	2790	Ich würde ganz normal weiterarbeiten,
427260	429260	2000	weil dann der Lohn einfach kleiner wird.
429340	432020	2680	Dadurch hätte ich ja nicht mehr und nicht weniger.
432120	433580	1460	Für mich würde sich nichts verändern.
433730	436220	2490	Die Frage ist doch: Was mache ich dann den ganzen Tag?
436370	438180	1810	Das, was ich gelernt habe, macht mir Spass.
438390	440500	2110	Das möchte ich anwenden.
440660	443780	3120	Wenn ich den ganzen Tag nur rumsitze mit 2'500 Fr. in den Fingern -
444020	446780	2760	das wäre kein erfülltes Leben für mich.
446950	449820	2870	Es ist natürlich keine repräsentative Umfrage,
449980	453980	4000	aber keiner dieser Menschen antwortete auf die Frage:
454060	455860	1800	"""Ich würde aufhören zu arbeiten."""
