start	end	duration	text
920	3020	2100	.
3180	7220	4040	1:1-Untertitelung
7340	10180	2840	Es ist 10 vor 10, guten Abend, meine Damen und Herren.
10360	15500	5140	Wünschen könnt Ihr Euch Vieles im Westen, bestimmen tue immer noch ich.
15700	18020	2320	So etwa lässt sich einer der seltenen Auftritte
18210	21460	3250	von Syriens Machthaber Baschar al-Assad zusammenfassen.
21670	27380	5710	Dem ehrgeizigen Zeitplan der Syrien- konferenz erteilt er eine Absage:
27540	29660	2120	Die Terroristen sind das grösste Hindernis
29790	32580	2790	für den politischen Fortschritt.
32710	34180	1470	Wenn sie besiegt sind,
34400	37860	3460	reichen eineinhalb bis zwei Jahre für den Übergang.
37960	41140	3180	Das Dilemma: Wer den IS bekämpft,
41320	45580	4260	hilft letztlich dem brutalen Regime Assads, sich an der Macht zu halten.
45750	47980	2230	Unser Fokus heute. Die weiteren Themen:
49480	54940	5460	Warum die Romands auf Spitex statt Pflegeheime setzten.
55800	59180	3380	Schweizer Luftwaffe
59360	62700	3340	verzichtet künftig auf Passagierflüge mit Privatpersonen.
64310	71220	6910	Ein britischer Gentleman erklärt einem Einheimischen sein Land.
72940	75900	2960	Weniger Freiheit - mehr Sicherheit -
76120	79140	3020	unter diesem Eindruck hat heute die französische Nationalversammlung
79280	83300	4020	den Ausnahmezustand im Land um drei Monate verlängert.
83420	86180	2760	Zudem erhalten die Sicherheitskräfte mehr Befugnisse.
86289.99999999999	89420	3130	Im Parlament verkündete Premierminister Manuel Valls
89539.99999999999	94700	5160	den Tod des mutmasslichen Draht- ziehers der Anschläge von Paris -
94800	98900	4100	er starb beim gestrigen Polizeiein- satz am frühen Morgen in Saint-Denis:
100280	103340	3060	Der 28-jährige Abdelhamid Abaaoud:
103560	105660	2100	Er sei laut französischen Sicherheitsbehörden
105880	108740.00000000001	2860	nicht nur der Drahtzieher der Pariser Terroranschläge
108830	110820	1990	vom letzten Freitag gewesen.
111120	115259.99999999999	4140	Vier Terroraktionen allein dieses Jahr soll Abaaoud mitgeplant haben.
115370	117500	2130	So vermutlich auch im August
117660	121740	4080	den vereitelten Anschlag im Hochgeschwindigkeitszug Thalys.
121840	124580	2740	Damals hatte ein Schwerbewaffneter während der Fahrt
124720	128740.00000000001	4020	bereits einen Schuss abgegeben und wurde dann überwältigt.
128840	133140	4300	Heute war das gestürmte Haus im Pariser Vorort Saint-Denis
133290	135420	2130	noch immer von der Polizei abgesperrt.
135630	138700	3070	Wie der 28-jährige Islamist Abaaoud dort genau starb,
138880	143820	4940	ist weiterhin Gegenstand der Ermittlungen.
143920.00000000003	147660	3740	Wir wissen heute, dass Abaaoud, der Drahtzieher der Attentate -
147760	150140	2380	einer der Drahtzieher,
150390	153260	2870	wir müssen da in Anbetracht der Tatsachen extrem vorsichtig sein -
153310	156300	2990	sich unter den Toten befindet.
156450	158220	1770	Die Nationalversammlung beschloss heute,
158370	160980	2610	den Ausnahmezustand um drei Monate zu verlängern.
161110	164579.99999999997	3470	Ausserdem soll ein entsprechendes Gesetz die Möglichkeiten ausweiten,
164800	167700	2900	mutmassliche Gefährder unter Hausarrest zu stellen
167870	172340	4470	und informelle extremistische Gruppen schnell zu verbieten.
172480	175250	2770	Der grosse Fahndungsdruck nach den Terroranschlägen
175470	177730	2260	zeigt auch weitere Erfolge:
177940	180010	2070	Der Bombenbauer Mohammed Khoualed
180110	182770	2660	soll sich der französischen Polizei gestellt haben.
182930	186730	3800	Er sei der Hersteller der Spreng- stoffgürtel gewesen, heisst es.
187880	190170	2290	Christian Rensch hat berichtet.
190350	193210	2860	Die Anschläge von Paris beschäftigen die Weltpolitik.
193300	195970	2670	Russland legt dem UNO-Sicherheitsrat
196070	199810	3740	einen Entwurf für eine Resolution im Kampf gegen den IS vor.
199910	203090	3180	Die internationalen Mächte sollen enger zusammenarbeiten.
203240	207610	4370	Allerdings: An Machthaber Baschar al-Assad wollen sie festhalten.
207829.99999999997	210410	2580	Ein Dilemma für den Westen.
210570	212570	2000	Wie gegen den IS kämpfen, ohne letztlich
212770	216170.00000000003	3400	dem brutalen Machthaber in Syrien in die Hände zu spielen?
217950	220570	2620	Französische Kriegsmarine, unterwegs nach Syrien.
220750	225329.99999999997	4580	Nach den Anschlägen der intensivierte Kampf gegen den IS.
225430	228530	3100	Mitten im diesem Konflikt auch er:
228620	232090	3470	Der syrische Präsident Baschar al-Assad.
232340	235010	2670	Gestern Abend sagte er in einem seiner seltenen Interviews
235150	237610	2460	dem italienischen Sender RAI,
237780	239530	1750	dass die Syrer das Leid der Franzosen verstünden.
239790	242530	2740	Aber fühlt die Welt, insbesondere der Westen, das,
242630	245210	2580	was sie für die Franzosen fühlen, auch für den Rest?
245370	249170	3800	Für die Syrer, die seit fünf Jahren unter dem selben Terrorismus leiden?
249380	251770	2390	Wir können Gefühle nicht politisieren.
251930	254770	2840	Gefühle haben nichts mit Nationalität zu tun.
254870	256529.99999999997	1660	Da geht es um Menschen.
256620	258450	1830	Assad, der Diktator.
258540.00000000003	261450	2910	Er sieht sich nicht als Teil des Problems im syrischen Bürgerkrieg.
261550	263090	1540	Im Gegenteil -
263250	267170	3920	die Schuld am starken IS liege bei den Westmächten, den USA.
267320	271370	4050	Assads stärkster Verbündeter ist der russische Präsident Wladimir Putin.
271470	274250	2780	Im Kampf gegen den IS gehöre Assad dazu,
274480	277370	2890	daran hält Russland bis heute fest.
277460	279850	2390	Seit den Attentaten vergangener Woche
280070	283690	3620	verstärken nebst den Russen auch die Franzosen ihren Einsatz in Syrien.
283860	287370	3510	Stärkt diese Entwicklung das Regime Assad?
287460	290650	3190	Assad sei die Schlüsselfigur für eine Lösung für Syrien,
290820	297130	6310	sagt Roland Popp, Sicherheits- experte an der ETH Zürich:
297310	301250	3940	Man kann nicht wirklich über die Zukunft Syriens verhandeln
301370	303530	2160	und Assad weiter aussperren.
303710	305730	2020	Es ist die wichtigste politische Macht,
305950	307770	1820	es ist immer noch die legitime Regierung Syriens
308010	310530	2520	und es ist die stärkste militärische Macht am Boden.
310630	312930	2300	Also wenn man ernsthaft über eine friedliche Lösung
313150	314930	1780	des syrischen Bürgerkriegs verhandeln will,
315050	317210	2160	dann geht das nur mit Assad.
317320	319970	2650	Bisher lehnten die USA dies klar ab.
320190	322090	1900	Am G20-Gipfel am Montag in der Türkei
322340	325210	2870	gab es Gespräche zwischen Putin und Obama.
325370	328290	2920	Eine Annäherung, von der Assad profitiert?
328410	330370	1960	Doch heute stellte Obama klar:
330460	334250	3790	Einen Kampf gegen den IS gibt es nur ohne Assad.
334350	337530	3180	Ich sehe keine Lösung im syrischen Bürgerkrieg,
337659.99999999994	340210	2550	wenn Assad an der Macht bleibt.
340370	345130	4760	Im Übrigen ist das nicht meine Entscheidung.
345300	347810	2510	Selbst wenn ich sagen würde, das sei okay,
348030	351170	3140	glaube ich nicht, dass dies wirklich möglich wäre.
351280	360490	9210	Die Mehrheit der syrischen Bevölkerung müsste dazu Ja sagen.
360660	365490	4830	Verhärtete Positionen, Assad als Streitpunkt.
365710	369370	3660	Doch die Lage nach den Anschlägen sei verändert, sagt der Experte.
369510	371210	1700	Die Bereitschaft steige,
371370	374810	3440	für den Kampf gegen den IS das Regime von Assad zu tolerieren.
374910	376570	1660	Und Assad selber?
376790	380850	4060	Bietet er Hand für einen politische Machtwechsel?
381070	383290	2220	Es wird politisch nichts Neues beginnen,
383460	386850	3390	solange ein grosser Teil Syriens von Terroristen besetzt ist.
386980	388650	1670	Wenn sie besiegt sind,
388820	391890	3070	reichen eineinhalb bis zwei Jahre für einen Übergang.
392110	395530	3420	Assad, der Diktator, er bleibt eine Schlüsselfigur
395700	399490	3790	im syrischen Bürgerkrieg und im Kampf gegen den IS.
401000	403250	2250	Sarah Weber hat berichtet.
403409.99999999994	406409.99999999994	3000	Man nennt sie die Generation Bataclan, die jungen Leute,
