start	end	duration	text
4210	5700	1490	.
5910	8060.000000000001	2150	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8180	11380	3200	Jubel auf den Strassen Teherans.
11520	13780	2260	Die Menschen feiern das Atomabkommen,
13890	16140	2250	um das jahrelang gerungen wurde.
16309.999999999998	19940	3630	Jetzt, so hoffen sie, stehen die Türen zum Westen wieder offen.
20050	22660	2610	Wird dieser historische Deal
22870	25660	2790	den Iran und die globalen Machtverhältnisse verändern?
25870	29660	3790	Reaktionen und Analysen heute bei uns im Fokus. Guten Abend.
34240	37180	2940	Der Graben durch die iranische Bevölkerung wird immer tiefer.
38750	42460	3710	Die Frankenstärke trifft die Angestellten der Industrie hart.
44480	49780	5300	500 Bergsteiger stürzten seit der Erstbesteigung in den Tod.
51220	54940	3720	Teheran feiert, Washington prüft und Israel tobt.
55120	58700	3580	Dies die Stimmungslagen am Abend nach dem historischen Deal,
58910	61700	2790	den die fünf UNO-Vetomächte sowie Deutschland und der Iran
61790	63460	1670	heute geschlossen haben.
63590	67150	3560	13 Jahre lang wurde um das 100-seitige Dokument gerungen,
67320	70510	3190	das sicherstellen soll, dass Teheran keine Atombombe bauen,
70640	73789.99999999999	3150	aber Atomenergie zivil nutzen kann.
73960.00000000001	78430	4470	Ein grosser Konflikt der Weltgeschichte ist damit gelöst.
78620	81590	2970	Aber ist damit tatsächlich die Gefahr einer iranischen Atombombe
81800	85510	3710	ein für allemal gebannt? Claudia Stahel berichtet.
87300	90030	2730	Die Nachricht über die Einigung im Atomstreit mit dem Iran
90210.00000000001	92990.00000000001	2780	verbreitete sich heute wie ein Lauffeuer um die Welt.
93080	94950	1870	Die am Deal beteiligten Länder
95100	97229.99999999999	2130	verkündeten mit Erleichterung den Durchbruch.
97509.99999999999	102390	4880	Dieses Abkommen ist eine Möglichkeit in eine neue Richtung zu gehen.
102490.00000000001	104990.00000000001	2500	Wir sollten sie packen.
105150	108310	3160	Das ist ein Zeichen der Hoffnung für die ganze Welt,
108470	111190	2720	und das brauchen wir in dieser Zeit.
111400	115229.99999999999	3830	Dieses Abkommen erfüllt die Ziele und Visionen der russischen Politik.
115410	121350	5940	Ich sage dem grossen iranischen Volk,
121470	124150	2680	dass Gott seine Gebete erhöht hat.
124310	131550	7240	Und in diesem 159 Seiten langen Papier
131650	135910	4260	ist der historische Deal festgeschrieben.
136120	137710	1590	In der Vereinbarung steht:
141050	143910	2860	Iran beschränkt das Atomprogramm so,
144100	145950	1850	dass es keine Nuklearwaffen entwickeln kann.
146120	148750	2630	Die Bestände von bereits angereichertem Uran
148960	151350	2390	werden für 15 Jahre drastisch reduziert.
151530	155070	3540	Auch die Zahl der für die Uran- anreicherung nötigen Zentrifugen
155150	157350	2200	wird um zwei Drittel verringert.
157450	160710	3260	Iran muss sich weitreichende Kontrol- len der Atomanlagen gefallen lassen.
160850	164510	3660	Im Gegenzug will der Westen die verhängten Sanktionen aufheben.
164620	170990	6370	Damit sei eine iranische Atombombe aber nicht ein für allemal vom Tisch,
171079.99999999997	173670.00000000003	2590	sagt der Sicherheitsexperte Markus Kaim.
173800	177470	3670	Man hat mit diesem Abkommen für 15 Jahre Zeit gewonnen.
