start	end	duration	text
640	1650	1010	.
1840	6330	4490	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7560	10290	2730	"Die ""Tagesschau"" - meine Damen und Herren, guten Abend!"
10390	12410	2020	Schottland vor dem grossen Tag:
13790	18010	4220	Schottland steht vor der entschei- denden Abstimmung zur Unabhängigkeit.
19810	24610	4800	Der Nationalrat hat die Revision des Kartellgesetzes versenkt.
26240	28970	2730	Heute starten die Schweizer Berufsmeisterschaften.
30890	35810	4920	Paris widmet Niki de Saint Phalle eine Retrospektive.
36030	40170	4140	Am Morgen gibts im Norden noch etwas Regen.
41770	43770	2000	Schottland ist im Ausnahmezustand.
43990	46090	2100	Morgen findet die wohl wichtigste Abstimmung
46310	47690	1380	in der Geschichte des Landes statt.
47870	51330	3460	Über 4 Mio. Stimmberechtigte sollen diese Frage beantworten:
51530	54490	2960	Soll Schottland ein unabhängiges Land werden?
54650	56530	1880	Der Ausgang ist völlig ungewiss.
56630	59650	3020	Alle Umfragen sagen eine äusserst knappe Entscheidung voraus.
59730	64410	4680	Urs Gredig über den Abstimmungskampf in Edinburgh kurz vor dem Urnengang:
66740	68730	1990	Ja zur Unabhängigkeit Schottlands oder Nein -
68930	72450	3520	zu diesem Thema hat fast jeder eine Meinung in der Hauptstadt,
72600	76250	3650	kaum ein Fenster ohne den entsprechenden Slogan.
76490	80330	3840	Wohl an die 90 % der Schotten werden zur Urne gehen.
80510	84210.00000000001	3700	Entsprechend intensiv wird bis zum Schluss Wahlkampf betrieben,
84440	88370	3930	wie hier bei den Unabhängigkeits- gegnern, dem Nein-Lager.
88520	91490	2970	Täglich gehen Freiwillige von Tür zu Tür.
91610	94340	2730	Der persönliche Kontakt mit den Wählern:
94420	96500	2080	Er gilt als besonders wichtig bei der Meinungsbildung.
100240.00000000001	104420	4180	Die Ja-Wähler sind zwar noch in der Minderheit,
104520.00000000001	106460.00000000001	1940	aber sehr leidenschaftlich.
106570	109700	3130	Deshalb müssen wir sichergehen, dass alle Gegner auch wirklich abstimmen.
110710.00000000001	113180	2470	Auch das Ja-Lager ist noch pausenlos unterwegs.
113259.99999999999	116300	3040	Es gilt v.a., die weiterhin grosse Anzahl unentschlossener Wähler
116509.99999999999	118020.00000000001	1510	zu überzeugen.
118240.00000000001	120460	2220	Die Befürworter glauben bis zum Schluss an einen Sieg.
120600	123580	2980	Ich hoffe es natürlich.
123810	126580	2770	Es wird sehr knapp werden, deshalb muss ich weiter.
