start	end	duration	text
2320	3550	1230	.
3650	6310	2660	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7350	10550	3200	"Guten Abend, meine Damen und Herren, willkommen zur ""Tagesschau""."
10720	12550	1830	Das macht an diesem Dienstag Schlagzeilen:
14440	18110	3670	Der Berner Sicherheitsdirektor will Fanmärsche verbieten.
19820	25030	5210	Novartis stärkt den Pharmabereich und baut den Konzern um.
26770	31710	4940	Die US-Regierung muss Unterlagen zu Drohnenangriffen offenlegen.
33410	37590	4180	Teils sonnig, teils bewölkt und örtlich Schauer oder Gewitter.
39270	43070	3800	Im Stadion wurde v.a. Fussball gespielt, gestern, am Cupfinal,
43170	45470	2300	im Stade de Suisse Wankdorf zu Bern.
45570	48950	3380	Draussen in der Stadt ging es ganz und gar nicht um Fussball.
49140	53150	4010	Sachbeschädigungen, Verletzte, 45 Festnahmen - und Hunderte Polizisten,
53410	55830	2420	die es dank eines Grosseinsatzes geschafft haben,
55930	59070	3140	die aufgeheizte Stimmung nicht eskalieren zu lassen.
59260	63510	4250	Heute folgt die politische Reaktion auf das zutiefst unsportliche Treiben
63600	65550	1950	im juristischen Abseits.
65650	67710	2060	Ganz dezidiert äussert sich da
67880	70710.00000000001	2830	der Berner Justiz- und Polizeidirektor Hans-Jürg Käser:
72130	74310	2180	Der Gemeinderat wollte den Fanklubs eine Chance geben.
74550	76910	2360	Offensichtlich haben sie sie nicht gepackt.
77010	80630	3620	Für mich braucht es den Cupfinal
80880	82670	1790	unter solchen Vorzeichen nicht in Bern.
82890	86789.99999999999	3900	So kann es nicht weitergehen - der fast einhellige Tenor am Tag danach.
86940	89630	2690	Und auch Bundesparlamentarier rufen nach neuen,
89800	93150	3350	strengeren Regeln und Gesetzen. Adrian Arnold berichtet.
94520.00000000001	97270.00000000001	2750	Bern, Bahnhof Wankdorf, gestern.
97440	101390	3950	Trotz kantonaler Auflagen, trotz Hooligan-Konkordat,
101490.00000000001	103150	1660	das in Bern in Kraft ist.
103430	106190	2760	Die Sicherheit fällt ins Hoheitsgebiet der Kantone.
106320	108630	2310	Ausgerechnet der Ständeratspräsident
108850	112190	3340	fordert heute eine neue, nationale Regelung,
112289.99999999999	116110	3820	weil die kantonale Konkordatslösung nicht greife.
116360	119070	2710	Der Bund legt einen Rahmen, der für alle Kantone gilt.
119280	122190	2910	Aber in der Umsetzung sind die Kantone ohnehin frei
122350	125590	3240	und können selbstverständlich auch mitwirken
125760	129990.00000000001	4230	bei der Ausarbeitung dieses nationalen Regelungskatalogs.
130199.99999999999	133070	2870	Ins Spiel bringt Germann für gewaltbereite Fans
133240	136870	3630	auch sog. Schnellgerichte - als Übergangslösung.
137070	140550	3480	Eine Idee, die der Basler Jurist und SVP-Nationalrat Sebastian Frehner
140680	141870	1190	mitträgt.
142130	143990	1860	Gewalttätige Fans können dabei schnell,
144090	147390	3300	sogar direkt im Stadion Staatsanwalt und Richter vorgeführt
147520	150630	3110	und innert 24 Std. verurteilt werden.
150850	154190	3340	Ein Modell, das in St. Gallen, Zürich und Schaffhausen angewendet wird.
154340	159590	5250	Dabei wurden schon Haftstrafen von bis zu 14 Monaten ausgesprochen.
159700	162390	2690	Schnellgerichte betreffen nur die, die etwas anstellen,
162520	164470	1950	und nicht die Allgemeinheit.
164770	166870	2100	Das hätte auch eine abschreckende Wirkung.
167120	170790	3670	Das Bundesparlament nimmt sich jetzt also der Sache an.
170900	174829.99999999997	3930	Das Parlament ist hier gefordert.
174990	177230	2240	Es muss klare Zeichen setzen statt dieser Verwässerung,
177360	179030	1670	die nun schon über Jahre andauert.
179250	180870	1620	Das ist ein unbefriedigender Zustand.
181130	182950	1820	Es muss ja nicht zwingend zur Katastrophe kommen,
183120	184710	1590	bis endlich gehandelt wird.
184870	187510	2640	Strengere, neue, weitreichendere Gesetze -
187610	191350	3740	das sei der falsche Weg, sagt SP-Nationalrat Matthias Aebischer.
191520	194790	3270	In der Pflicht stünden viel mehr der Verband und die Vereine -
194880	197190	2310	mit intensiver Fanarbeit.
197760	200470	2710	Der gestrige Tag hat eben gezeigt, dass strengere Regeln,
200590	202790	2200	das neue Konkordat, nichts gebracht haben.
202950	205030	2080	Ich bin überzeugt: Der einzige Weg ist die Fanarbeit.
205200	208230	3030	Nur eigene Fans können die Hooligans zur Vernunft bringen.
208410	212350	3940	Die Ereignisse gestern haben die Hooligan-Debatte in der Schweiz
212570	216430	3860	neu lanciert - diesmal auf Bundesebene.
218090	221400	3310	Der Schweizerische Fussballverband als Veranstalter des Cupfinals
221660	223400	1740	"wollte sich heute auf Anfrage der ""Tagesschau"""
223579.99999999997	226960	3380	vor der Kamera nicht zu den Ereignissen von gestern äussern.
227079.99999999997	228800	1720	Er schreibt in einer Mitteilung:
252140	254000	1860	Noch mehr zu diesen
254170	256920.00000000003	2750	so gar nicht im geordneten Gleichschritt gehaltenen Märschen
257149.99999999997	261279.99999999997	4130	"der Fussball-Fans gibts morgen in der ""Rundschau"" um 20.50 Uhr."
262560	266520	3960	Portefeuille-Bereinigung nennt sich das im noblen Wirtschaftslatein,
266620	269920	3300	Riesenumbau beim Pharmariesen könnte man es auch nennen.
270130	273159.99999999994	3030	In Zukunft will sich Novartis auf weniger Bereiche konzentrieren,
273280	275080	1800	die dafür aber stärken.
275270	278080	2810	Deshalb werden Medikamentensparten dazugekauft,
278240	281600	3360	kleinere Geschäftssparten werden dagegen abgestossen.
281780	285280	3500	Vom Umbau nicht betroffen sind die grössten Konzernsparten:
285420	289000	3580	Pharma, Augenheilkunde und die Generikatochter Sandoz.
289240	292240	3000	Sie machen rund 90 % des Konzernumsatzes aus.
292380	295960	3580	Durch die Übernahme von Krebs- medikamenten von GlaxoSmithKline
296210	298600	2390	wird der Bereich Pharma weiter gestärkt.
298770	302240	3470	Dafür verkauft Novartis im Gegenzug die Sparte Impfstoffe.
302430	306920	4490	Der Bereich Tiergesundheit wird an die US-Firma Eli Lilly verkauft.
307100	310120	3020	Für die rezeptfreien Medikamente schliesslich gründet Novartis
310290	314240	3950	mit GlaxoSmithKline ein Gemeinschaftsunternehmen.
314400	317920	3520	Das Zauberwort heisst: Konzentration.
318140	322040	3900	Damit die Zukunft im Zeichen eines weiteren Zauberworts steht: Profit.
323100	327840	4740	Die Impfstoffe gehörten zu den Sorgenkindern von Novartis.
328010	330880	2870	Zuletzt schrieb die Sparte sogar Verlust.
331130	333810	2680	Von diesem Impfgeschäft und der Tiermedizin trennt sich Novartis,
333960	337370	3410	weil diese Bereiche nicht gross genug waren.
337480	341890	4410	Es geht heute darum, auf unsere 3 grossen Bereiche zu fokussieren:
341980	344250	2270	Pharma, Augenheilkunde und Generika.
344460	347770	3310	In diesen 3 Bereichen sind wir weltweit führend
347930	351570	3640	und sehen dort auch starkes Wachstumspotential.
351670	354050	2380	Nyon ist in der Schweiz am stärksten betroffen.
354180	357130	2950	Dieser Standort geht in das neue Gemeinschaftsunternehmen
357290	359730	2440	mit GlaxoSmithKline über.
