start	end	duration	text
2770	3290	520	.
3490	8090	4600	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8200	10330	2130	Der Kreml bringt sich in Stellung:
10450	14050	3600	Russland schickt Kriegsschiffe und Bomberpatrouillen um die halbe Welt.
14160	17290	3130	Eine solch offensive militärische Machtdemonstration hat es
17440	20250	2810	seit Ende des Kalten Kriegs nicht mehr gegeben -
20420	22890	2470	unser Fokus heute, guten Abend meine Damen und Herren.
24390	30050	5660	Putin lässt vor dem G20-Gipfel in Australien seine Muskeln spielen.
32580	36890	4310	Trotz Hochwasser lassen sich die Tessiner nicht unterkriegen.
38870	43410	4540	Die meisten Mädchen wählen klassische Frauenberufe.
45130	50050	4920	60 Jahre Schweizer Rock und Pop: Eine Zeitreise nach Noten.
51750	56370	4620	Gestern hat Russland angekündigt, seine Langstreckenbomber künftig
56470	60450	3980	auf Patrouillenflüge bis an die Küsten Nordamerikas zu schicken.
60620	63890	3270	Und heute legt der Kreml nach: 4 Kriegsschiffe der Pazifikflotte
64129.99999999999	67970	3840	werden vor die Küste Australiens verlegt.
68150	71330	3180	Im australischen Brisbane findet am Wochenende der G20-Gipfel statt,
71500	75050	3550	an dem auch Russlands Präsident Wladimir Putin teilnehmen wird.
75320	78650	3330	Was steckt hinter dieser militärischen Kraftmeierei?
78780	81690	2910	Peter Düggeli geht der Frage nach.
82530	84650	2120	Wladimir Putin - er lässt die Muskeln spielen.
84789.99999999999	87530	2740	Bei einer militärischen Parade demonstrierte er kürzlich
87700	91050	3350	militärische Stärke für das eigene Volk.
91200	96090	4890	Immer häufiger zeigt er seine Stärke jetzt auch gegen aussen.
96180	104250	8070	Russische Kriegsschiffe wie diese
104320	108490.00000000001	4170	tauchten heute vor der australischen Küste in Brisbane auf.
108690	114490.00000000001	5800	Dort, wo am Wochenende der G20-Gipfel über die Bühne gehen wird.
117360	118770.00000000001	1410	Putins Marine verletzt zwar
119000	124770	5770	keine Hoheitsrechte, irritiert die australische Regierung aber allemal.
124890	127890	3000	Es ist ungewöhnlich,
127870	131300	3430	dass russische Schiffe in australischen Gewässern sind -
131440	136140	4700	es kommt manchmal vor, aber es ist ... ungewöhnlich.
136220	137980	1760	Für die russischen Militärs hingegen
138150	142620	4470	könnten russische Schiffe auf den Weltmeeren bald normal sein.
142730	144340	1610	In der gegenwärtigen Lage
144520	147020	2500	müssen wir unsere Militärpräsenz im westlichen Atlantik,
147180	151420.00000000003	4240	im östlichen Pazifik sowie den Gewässern der Karibik
151550	154150	2600	und des Golfs von Mexiko sicherstellen.
154280	156550	2270	Auch in der Luft ist Russland so präsent
156710	159829.99999999997	3120	wie seit dem Ende des Kalten Krieges nicht mehr und will künftig
159930	163350	3420	mit seinen Bombern bis an die Grenzen der USA und Kanadas fliegen.
163510	168670.00000000003	5160	Und immer wieder provozieren Putins Berater wie Sergej Markov,
168850	172590	3740	hier im Interview mit dem schwedischen Fernsehen:
172690	174630	1940	Schweden muss sich nicht fürchten,
174790	177030	2240	aber Lettland und Estland müssen Angst haben:
177190	179070	1880	Wenn es zu einem grossen Krieg käme,
179240	182710	3470	würde nichts von diesen Ländern übrig bleiben.
182930	186070	3140	Warum diese Muskelspiele, das russische Säbelrasseln -
186330	191390	5060	das fragen wir den Russland- und NATO-Kenner Markus Kaim.
191550	194190	2640	Es ist eindeutig, dass es weniger um eine militärische,
194270	196870	2600	als vielmehr um eine politische Botschaft geht.
196970	199350	2380	Es liegt auf einer Linie
199490	202510	3020	mit dem russischen Bemühen der letzten Monate,
202720	206270	3550	einen besonderen Status in der Weltpolitik wieder zu erringen.
206410	211550	5140	Auf Augenhöhe zu spielen, wie aus Moskau verlautet.
211760	216430	4670	Ausdruck des russischen, wiedererwachten Nationalismus.
216670.00000000003	219630	2960	Doch in der verstärkten russischen Präsenz lauern auch Gefahren -
219800	222990	3190	über 10-mal sind in den letzten Monaten NATO-Kampfjets,
223210	225990	2780	wie hier die norwegischen, aufgestiegen,
226090	228560	2470	um russische Flugzeuge abzufangen -
228770	231920.00000000003	3150	immer wieder kam es auch zu Zwischenfällen.
232020	236079.99999999997	4060	In der Tat hat es in den letzten Wochen
236230	239079.99999999997	2850	einige militärische Beinahe-Zusammenstösse gegeben.
239280	242920	3640	Diese bergen die Gefahr der ungewollten Eskalation,
243130	248880	5750	dass nämlich ein militärischer Kontrollflug dazu führt,
249130	256720.00000000003	7590	dass sich die Flugzeuge berühren, eins beschädigt wird oder mehr.
256810	259000	2190	Eine Auswertung von Experten zeigt:
259089.99999999997	261040.00000000003	1950	Bei 3 Zwischenfällen hätte es leicht
261240	264320	3080	zu Opfern oder aber zu einer direkten militärischen Konfrontation
264450	267720	3270	zwischen russischen und NATO-Truppen kommen können.
267810	270000	2190	Ungefährlich sind die Muskelspiele also keineswegs.
272770	275680	2910	Der Konfrontationskurs Putins irritiert im Westen -
275770	277800	2030	Christoph Franzen in Moskau, guten Abend.
277940	279960	2020	Wie kommt denn das im Land selber an?
280090.00000000006	286200	6110	Wir untertiteln live:
286170	288159.99999999994	1990	Die Umfragen zeigen,
294940	298200	3260	dass die Zustimmungsraten für die Aussenpolitik des Kremls nach wie
298290	299080	790	vor hoch sind,
299250	301600	2350	aber nicht so hoch wie nach der Annexion der Krim.
308590	310520	1930	Es macht sich Ernüchterung breit.
312110	315040	2930	Eine Mehrheit der Russen möchte keinen Krieg mit der Ukraine,
316270	319160	2890	und sie beklagen sich über die Wirtschaftslage aufgrund der
319230	321160	1930	Sanktionen.
321830	324040	2210	Wenn ich mit den Kindern auf dem Spielplatz bin,
325800	328800	3000	beklagen sich Eltern, dass in den Geschäften alles teurer wird,
328930	330400	1470	aber die Löhne bleiben gleich.
330550	332560	2010	Interessant ist auch,
334210	336040	1830	dass man Geschichten hört von Soldaten,
336210	338159.99999999994	1950	die in Dörfern beerdigt werden,
340670	343960	3290	bei denen es heisst, sie seien bei einem Manöver ums Leben gekommen,
344190	346120	1930	aber alle wissen, sie waren in der Ukraine.
348140	351040	2900	Die Frage ist wie geht Putin mit dieser wachsenden Kritik um?
352360	354760	2400	Stürzt er sich in neue aussenpolitische Abenteuer,
354970	356920	1950	oder lässt er sich auf Kompromisse ein?
357640	359640	2000	Wir sprechen uns gleich nochmal, wenden uns aber zuvor
359890	361960	2070	dem gefährlichsten Konflikt mit Russland zu: jenem in der Ukraine.
362640	364520	1880	Sowohl die UNO als auch die NATO bestätigen Berichte, wonach Russland
364700	367600	2900	seine militärische Präsenz im Osten der Ukraine ausbaut -
367740	369680	1940	was Russland selbst vehement bestreitet.
369890	371360	1470	Seit Tagen berichten Beobachter
371520	374040	2520	vor Ort über Lastwagen- und Artilleriekonvois.
374130	377880	3750	In der Ost-Ukraine gilt seit dem 5. September eine Waffenruhe.
378050	380720	2670	Aber die verkommt zunehmend zur Makulatur.
380830	383960	3130	Die UNO befürchtet, dass der Konflikt bald wieder eskalieren könnte:
385530	387680	2150	Die Kämpfe haben wieder zugenommen.
387810	389800	1990	Wir bestätigen Berichte der OSZE,
389950	392680	2730	wonach wieder grosse Konvois mit schweren Waffen und Soldaten
392890	396720	3830	in die von den Rebellen besetzten Gebiete eingedrungen sind.
397010	399200	2190	Es gibt keinen Zweifel, dass die ukrainisch-russische Grenze
399360	404120	4760	durchlässig ist, und das erschwert den Friedensprozess.
405500	408159.99999999994	2660	Dies sind die aktuellsten Bilder von Truppenverschiebungen,
408290	409960	1670	die es derzeit gibt.
410130	412680	2550	Zu sehen ist ein Konvoi von Militärlastwagen,
412770	414720	1950	nahe der Stadt Donezk.
414810	416560	1750	Es ist anzunehmen, dass es sich dabei
416720	420440	3720	um russische Fahrzeuge handelt, gesichert ist das allerdings nicht.
420520	425160	4640	In mehreren Städten in der Ostukraine ist die Gewalt wieder aufgeflammt.
425240	427720	2480	Heftig beschossen wird Donezk,
427950	431160	3210	die wegen des Flughafens strategisch wichtige Stadt.
431320	435360	4040	Auch aus Luhansk werden Gefechte um Elektrizitätswerke gemeldet,
435480	437600	2120	und in Debaltsewe wird gekämpft
437760	441320	3560	um die Hauptverkehrsachse zwischen Luhansk und Donezk.
441570	445240	3670	Im zerstörten Donezk ringen die Menschen um Fassung.
445440	447600	2160	Er seufzt.
447810	451120	3310	Sie stehen vor den Trümmern ihrer Existenz und wollen nur eines:
