start	end	duration	text
5150	8189.999999999999	3040	.
8330	14270	5940	Liveuntertitelung. Fehler sind möglich.
17450	20430	2980	"Der ""Club"" heute mit Thomy Scherrer."
20540	24350	3810	Guten Abend und herzlich willkommen.
24490	26960	2470	Stellen Sie sich vor, sie laufen mitten in der Nacht
27090	30480	3390	an folgende Szene heran:
30700	34480	3780	Ein junger Mann ist laut, randaliert,
34670	40000	5330	ist aggressiv, vor Ort sind auch Sanitäter und ein Notfallpsychiater.
40140	43080	2940	Der Notfallpsychiater verwickelt den man in ein Gespräch und
43170	49080	5910	schätzt ihn als Gefahr für andere ein.
49250	55160	5910	Er veranlasst eine Zwangseinweisung in eine psychiatrische Klinik.
55360	58120	2760	Ich bin ihr mit der Sanität.
58170	60000	1830	Sie dürfen mich nicht einweisen!
60110	63560	3450	Fassen Sie mich nicht an!
63700	69640	5940	Gebrüll
70270	73920	3650	Ich bin sicher,
74039.99999999999	77120	3080	sie hätten als Beobachter Angst und wären froh,
77280	80640	3360	wenn der junge Mann weggebracht wird und keine Gefahr mehr für andere
80740	81920	1180	darstellt.
82090	85480	3390	Aber der junge Mann geht nicht freiwillig, sondern unter Zwang.
85580	88400	2820	Eine psychiatrische Zwangseinweisung passiert in der Schweiz
88539.99999999999	89600	1060	bis zu 15'000 mal
89700	92680	2980	pro Jahr.
92830	96840	4010	Wer das erlebt, erlebt ein extremes Trauma.
97060	100400	3340	Die Schweiz steht im europäischen Vergleich auch an der Spitze.
100580	102520.00000000001	1940	Warum gibt es so viele Zwangseinweisungen
102650	105560	2910	in unserem Land,
105660	108240.00000000001	2580	und wer bestimmt, wer psychisch gesund oder krank ist?
108340	110600	2260	Darüber diskutieren wir heute Abend.
110780	112360	1580	Ich stelle Ihnen meine Gäste vor:
112460.00000000001	114960.00000000001	2500	Momo Christen,
115060	117080	2020	30 mal was sie
117200	119680	2480	schon in einer Klinik,
119810	125760	5950	Meister Zwangseinweisung,
133400	136760	3360	einmal wurde sie nackt mit Gurten auf das Bett gefesselt und wurde mit
136880	140730	3850	Medikamenten still gestellt.
