start	end	duration	text
1210	3090	1880	.
3520	6530	3010	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7010	9730	2720	"Die ""Tagesschau"" - meine Damen und Herren, guten Abend!"
9850	12330	2480	Der Bundesrat zieht die Schraube an:
13500	19170	5670	Der Bundesrat streicht Sozialhilfe für Arbeitslose aus der EU.
19820	25370	5550	FINMA-Chef Patrick Raaflaub wirft nach 5 Jahren das Handtuch.
25760	32100	6340	Die WM 2014 findet ohne Schweizer Schiedsrichter statt.
32520.000000000004	36020	3500	Nur im Süden kann es gelegentlich regnen.
37370	40500	3130	Das Modell Personenfreizügigkeit ist unter Druck,
40620	44380	3760	nicht zuletzt wegen Fällen von Sozialhilfemissbrauch.
44640	47580	2940	Jetzt zieht der Bundesrat andere Saiten auf.
47690	50700	3010	Er hat heute ein ganzes Massnahmenpaket beschlossen.
50800	53100	2300	Wer aus der EU oder der EFTA
53300	55740	2440	lediglich zur Stellensuche in die Schweiz einreist,
55960	58300	2340	erhält keine Sozialhilfe.
58430	61180	2750	Dies gilt auch für Familienangehörige.
61400	65140	3740	Rentnern aus der EU, die Ergänzungsleistungen beziehen,
65300	68460.00000000001	3160	kann die Aufenthaltsbewilligung entzogen werden.
68630	72420	3790	Und EU-Bürgern, die in den ver- gangenen 12 Monaten arbeitslos waren
72510	75500	2990	kann die Niederlassungsbewilligung verweigert werden.
76820	79340	2520	Bundesrat Schneider-Ammann, Volkswirtschaftsminister,
79440	81380	1940	auch zuständig für den Arbeitsmarkt.
81460.00000000001	83020	1560	Es ist kein Zufall,
83280	85780	2500	wenn der Bundesrat 3 Wochen vor der Abstimmung zur Masseneinwanderung
85960.00000000001	88740	2780	nochmals präzisiert. Es gibt offenbar Klärungsbedarf.
88890	91900	3010	Wer als Ausländer in der Schweiz erfolglos Arbeit sucht,
92120	95420	3300	wird nicht automatisch unterstützt und erhält Sozialhilfe.
95590	98220	2630	Es gebe zu viele Missbräuche, sagen die Initianten.
98310	100460.00000000001	2150	Falsch, kontert der Bundesrat.
100680	103620	2940	"Die Aussage war nie schwarz-weiss: ""Es gibt keinen Missbrauch."""
103880	106940	3060	Man hat vom Bundesrat aus in der Vergangenheit
107160	109900	2740	sehr bewusst mit Sorgfalt argumentiert,
110050	114860	4810	hat nie übertrieben, weder in die eine noch in die andere Richtung.
114990.00000000001	116900	1910	Aber es gibt natürlich Einzelfälle,
117060	120580	3520	in denen Missbräuche nachgewiesen werden können.
120660	122980	2320	Und die wollen wir nicht.
123080	125820	2740	Wir wollen, dass die hiesigen gültigen Normen
126010	130100	4090	strikt und stringent durchgesetzt werden.
130250	132020	1770	Im Communique wird präzisiert:
132180	136020	3840	Wer aus der EU/EFTA lediglich zur Stellensuche in die Schweiz einreist
136120	139180	3060	erhält keine Sozialhilfe. Das gilt auch für die Angehörigen.
139320	141620	2300	Aufgrund des Freizügigkeitsabkommens
141840	145220	3380	gebe es keinen generellen Anspruch auf Sozialhilfe, sagt der Bund.
145320	149060	3740	Sind da die Kantone zu grosszügig?
149210	152140	2930	In meiner Stadt Solothurn z.B. wird das abgeklärt.
152260	154820	2560	Wir kennen keinen einzigen Fall dieser Einwanderung
154940	157060	2120	in die Sozialversicherungen.
157320	160100	2780	In grösseren Städten mag das da oder dort der Fall sein.
160260	162420.00000000003	2160	Aber es geht sicher nicht um grosse Zahlen.
162570	166020	3450	Möglicherweise ist der Bundesrat nun aus politischen
166230	169140	2910	oder gewissermassen aus präventiven Gründen
169250	171300	2050	auf dieses Thema eingetreten.
171420.00000000003	173340	1920	Die Stossrichtung: Missbräuche sollen verhindert,
173520	176060	2540	die Praxis für Sozialhilfe und Aufenthaltsbewilligungen
176230	178140	1910	vereinheitlicht werden - alles Massnahmen,
178310	180940	2630	die allerdings nicht von heute auf morgen umzusetzen sind.
182470	185820	3350	Der Bundesrat hat heute in dieser Frage aber noch mehr entschieden.
186070	189260	3190	Er will auch den Anstieg der Wohnungsmieten bremsen.
189410	192500	3090	Deshalb will er Vorkaufsrechte für Gemeinden
192720	195060	2340	auf nicht mehr benötigte Grundstücke prüfen,
195230	198660	3430	um so preisgünstigen Wohnungsbau zu fördern.
198750	202940	4190	Und er will bei einem Mieterwechsel den bisherigen Mietzins offenlegen.
203160	207420.00000000003	4260	So muss ein Vermieter allfällige Mietzinserhöhungen begründen können.
207680	210900	3220	Der Bundesrat verspricht sich davon tiefere Mietzinse.
211090	214020	2930	Trotzdem sind die Mieterverbände enttäuscht.
214220	217300	3080	Sie hatten konkrete Mietzinslimiten gefordert.
217560	220020	2460	Wirtschaftsminister Schneider-Ammann auf die Frage,
220220	223100	2880	warum der Bundesrat nicht auf diese Forderung eingetreten ist:
