start	end	duration	text
1840	3620	1780	.
4340	5540	1200	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6500	8340	1840	Guten Abend, meine Damen und Herren.
8980	11500	2520	"Hier ist die ""Tagesschau"" und das sind die Themen heute Donnerstag:"
12730	17620	4890	Bundesrat Berset kritisiert das Altersvorsorgepaket
18300	19700	1400	des Nationalrates.
21420	24100	2680	Bisher gibt es nach dem Absturz
24800	26980	2180	keine Hinweise auf einen technischen Defekt.
29420	33260	3840	Im Syrienkrieg diktiert Russland zunehmend die Spielregeln.
36720	41100	4380	"Erwin Schrott bringt den ""Rojotango"" in die Schweiz."
44230	47660	3430	Im Süden mehr Wolken und lokal nass.
49630	52540	2910	Wie lange sollen Schweizerinnen und Schweizer arbeiten?
53260	54380	1120	Und reicht dereinst das Geld,
55110	57340	2230	das bei AHV und Pensionskasse angespart worden ist?
58150	59740	1590	Diese Fragen beschäftigen - auch die Politik.
60460	62460	2000	Das Pensionsalter ist dabei das heisseste Eisen,
63180	66340	3160	an dem sich schon so mancher Politiker die Finger verbrannt hat.
67090	69500	2410	Nichtsdestotrotz, eine rechts-bürgerliche Mehrheit
70320	72380	2060	hat sich im Nationalrat definitiv dafür ausgesprochen,
73070	74860	1790	dass Frauen länger arbeiten sollen -
75590	78300	2710	und wenn der AHV das Geld knapp wird, auch die Männer.
79039.99999999999	82220	3180	Eine Vorlage, die so noch zu reden geben wird. Fritz Reimann:
83870	87100	3230	So sieht der Nationalrat die Zukunft der Altersvorsorge:
87750	91060	3310	Das Frauenrentenalter wird auf 65 Jahre erhöht,
91780	96940	5160	bei der zweiten Säule der Umwand- lungssatz von 6,8 auf 6 % gesenkt.
97750	100940	3190	Eine Kompensation von 70 Fr. mehr pro Monat bei der AHV
101710.00000000001	104020.00000000001	2310	lehnt der Nationalrat ab.
104680	105900	1220	Stattdessen sollen die Versicherten
106630	107860	1230	mehr in die Pensionskasse einbezahlen.
108539.99999999999	110539.99999999999	2000	Für die Linke ist das unakzeptabel:
111300	113740.00000000001	2440	Der Crashkurs der rechten Parteien in diesem Saal
114509.99999999999	117539.99999999999	3030	trifft v.a. die Frauen und die junge Generation.
118300	120460	2160	Die Frauen, das muss man hier nochmals ganz klar sagen,
121150	124260	3110	sind die eigentlichen Verlierer dieser Rentenreform.
125070	128740.00000000001	3670	Infrage gestellt hat der Nationalrat auch das Rentenalter 65.
129460.00000000001	133140	3680	Falls der AHV-Fonds weniger als 80 % der Ausgaben deckt,
133900	138340	4440	soll das Rentenalter auf bis zu 67 Jahre erhöht werden.
139030	142660	3630	Für die SVP und die FDP sind die Beschlüsse zwingend:
143560	149340	5780	Wir wollen das Rentensystem nachhaltig sichern.
150020	153700	3680	Wir wollen die Renten nicht senken, aber auch nicht ausbauen,
154370	156860	2490	weder in der AHV, noch im BVG.
157630	159940	2310	Bundesrat Alain Berset nimmt es gelassen.
160790	164500	3710	Dem Mechanismus mit Rentenalter 67 gibt er keine Chance.
166790	169260	2470	Es war von Anfang an für alle Seiten klar,
170030	173900	3870	dass dieser Vorschlag ziemlich realitätsfremd ist
174600	177500	2900	und vor der Bevölkerung keine Chance haben könnte.
178230	183540	5310	Die schrittweise Beerdigung dieses Mechanismus kommt,
184230	185940	1710	sie hat in der Tat schon begonnen.
186660	189140	2480	Ich glaube, das ist beschlossene Sache.
189830	191420	1590	In der Schlussabstimmung zur Altersreform
192150	195380	3230	sagen SVP und FDP Ja, SP und Grüne Nein.
196079.99999999997	198460	2380	Die CVP enthält sich der Stimme.
199829.99999999997	201820	1990	Im Nationalrat hat sich also Rechts durchgesetzt -
202560	205900	3340	allerdings besteht nun eine recht grosse Differenz zum Ständerat.
206540	209020	2480	Fritz Reimann, wird man sich da irgendwie finden?
209720	210100	380	Wir untertiteln live:
219420.00000000003	221340	1920	im Moment ist keine Lösung in Sicht.
222140	224020	1880	Ich erwarte, dass der Ständerat in der Wintersession
224590	229980	5390	auf seiner Position beharrt.
233829.99999999997	236660	2830	Vor einem Jahr fand man dort schon einen Kompromissvorschlag.
237360	238820	1460	Nämlich diese 70 Fr. Ausgleich bei der AHV.
239540	244980	5440	Vertreter aller Fraktionen im Ständerat haben zugestimmt.
246940	249940	3000	Das kann man bei den Beschlüssen des Nationalrates nicht sagen.
250680	252420	1740	Hier fehlt die Kompromissbereitschaft, die nötig
253110	255380	2270	wäre.
256190	258019.99999999997	1830	Ein zweiter, sehr umstrittener Punkt ist ja der sog.
258750	261180	2430	Interventionsmechanismus. Wenn der AHV-Fonds zu wenig Reserven
261950	264540	2590	aufweist, kann das Pensionsalter sukzessive erhöht werden. Damit sei
265290	267940	2650	eine Volksabstimmung zum Scheitern verurteilt, sagt auch Bundesrat
268630	273620	4990	Berset. Ist dieser Aspekt in der Reform wirklich so entschiedend?
274380	279700	5320	Die Vergangenheit zeigt einfach,
285530	288300	2770	dass jede Altersreform ohne die SP und die Gewerkschaften
288909.99999999994	294300	5390	gescheitert.
296210	298260	2050	Indien ist Rentenalter 67 eine Provokation.
298900	303340	4440	Das muss man bedenken.
304110	307180	3070	Gerade in dieser Situation, als alle sagen,
307910	309540	1630	dass die Rentenreform so dringend ist.
313680	315860	2180	Der Ständerat will Kinder besser vor Gewalt und Missbrauch schützen.
316490	317540	1050	Neu sollen alle Fachpersonen,
318280	319980	1700	die beruflich regelmässig in Kontakt mit Kindern stehen,
320670	321340	670	einen Verdacht melden müssen -
322070	322820	750	derzeit sind es z.B. nur Lehrer oder Sozialarbeiter.
323630	324540	910	Und auch das Arztgeheimnis soll gelockert werden.
325120	325940	820	Felicie Notter.
327360	329180	1820	Misshandlungen an Kindern.
329990	331220	1230	1'400 Fälle jährlich sind alleine von Meldungen aus Kinderkliniken bekannt.
331930	334060	2130	Einige davon dürften laut Simonetta Sommaruga verhindert werden,
334780	336940	2160	wenn etwa auch Kita-Angestellte Gefährdungen melden müssten.
337690	339460	1770	Ein Viertel der gemeldeten Kindsmisshandlungen
340150	341460	1310	betreffen Kinder unter zwei Jahren.
342180	343460	1280	Meine Damen und Herren, wollen Sie denn warten,
344130	345540	1410	bis Kinder in die Schule kommen?
346190	347230	1040	Die Gegner befürchten jedoch
347900	350190	2290	eine Flut von mitunter ungerechtfertigten Meldungen:
350850	353270	2420	Stellen Sie sich vor, wohin wir da kämen!
353909.99999999994	355270	1360	Da muss bei jedem Kratzer,
355920	358990	3070	mit dem ein Mädchen oder Knabe zur Schule kommt, gefragt werden,
359650	361070	1420	was da gewesen sei.
361910	364910	3000	Und das muss dann angezeigt werden. Da müssen wir einfach aufpassen.
365600	367510	1910	Nur weil etwas gemeldet wird, heisst das nicht,
368250	370430	2180	dass die Behörden dann auch handeln.
371160	372270	1110	Es bedeutet nur,
373040	375950	2910	dass die Behörde überhaupt einmal die Möglichkeit hat, hinzuschauen.
376690	378350	1660	Nun ist der Nationalrat wieder am Zug,
379090	381470	2380	der zuvor auf die Vorlage nicht einmal eingetreten war.
383300	386310	3010	Der Nationalrat befasste sich heute auch mit Schwarzarbeit,
387020	388590	1570	respektive mit dem Kampf dagegen.
389340	391030	1690	Nach Annahme der Masseneinwanderungs-Initiative
391760	394150	2390	hatte der Bundesrat mehrere griffige Massnahmen vorgeschlagen,
394790	398230	3440	wie die Arbeitnehmer in der Schweiz besser geschützt werden könnten.
398990	402790	3800	Der Nationalrat hat nun den Vorschlag des Bundesrates zünftig zerzaust.
404620	406350	1730	Es geht um Branchen wie das Gastgewerbe:
407110	408190	1080	Der Bundesrat will hier verstärkt
408900	410590.00000000006	1690	gegen Schwarzarbeit und Lohndumping vorgehen.
411260	412750	1490	Doch eine griffigere Meldepflicht
413470	415870	2400	bei Verstössen gegen Gesamtarbeits- verträge scheiterte heute -
416530	417990	1460	ebenso wie weitere Massnahmen.
418710	422270	3560	Im Nationalrat befürworteten nur Politiker von mitte-links
422860	424030	1170	die Pläne des Bundesrats.
425070	428710	3640	Durch die Zuwanderungsproblematik - und v.a. in den Grenzregionen -
429370	433110	3740	ist der Kampf gegen die Schwarzarbeit nötiger denn je.
433910	440070	6160	Dem Staat entgehen Steuern und AHV-Beiträge in Milliardenhöhe.
440700	442230	1530	Und den betroffenen Arbeitnehmer/-innen schliesslich
442950	444190	1240	mangelt es am nötigen Versicherungsschutz.
444990	446630	1640	Doch im Rat setzten sich FDP und SVP
447330	450510	3180	erfolgreich gegen verschiedene Verschärfungen zur Wehr:
451190	452670	1480	Seitens der SVP sind wir der Meinung,
453380	454750	1370	dass wir mit dieser Revision keine Verbesserung
455550	457350	1800	gegenüber den heutigen Massnahmen erreichen werden.
458070	460710	2640	Vielmehr wird ein neues Bürokratie-Monster geschaffen.
461390	463670	2280	Doch vorerst ist bei der Schwarzarbeit
464409.99999999994	465530	1120	das letzte Wort noch nicht gesprochen.
466250	468290	2040	Die Vorlage kommt als nächstes in den Ständerat.
470140	472210	2070	Von der Schwarzarbeit zur Zuwanderung.
473030	474010	980	Diese geht zurück.
474700	476530	1830	In den ersten acht Monaten dieses Jahres sogar deutlich.
477230	478250	1020	Aufs Jahr hochgerechnet
478990	481530	2540	sinkt die Zuwanderung auf den tiefsten Stand seit zehn Jahren.
482740	486730	3990	Die Schweiz verliert im laufenden Jahr deutlich an Attraktivität
487400	488610	1210	für Menschen aus dem Ausland.
489340	491090	1750	Die Einwanderung in die Schweiz
491780	495770	3990	betrug in den letzten acht Monaten 91'580 Personen.
496500	499250	2750	Gegenüber dem Vorjahr ein Minus von 6,9 %.
499900	503930	4030	Gleichzeitig verliessen 51'696 Personen die Schweiz.
504610	507330	2720	5,3 % mehr als noch 2015.
508110	513809.99999999994	5700	Der sog. Wanderungssaldo betrug demzufolge 36'417 Personen -
514500	518490	3990	minus 19,3 % gegenüber dem Vorjahr.
519150	523770	4620	Patrick Schellenbauer vom Thinktank Avenir Suisse sagt,
524470	525930	1460	die Zuwanderung in die Schweiz
526750	528130	1380	habe nichts mit der Personenfreizügigkeit zu tun.
528860	532170	3310	Sie sei wirtschaftsgetrieben - nun wirke sich der Frankenschock aus.
534770	537970	3200	Oft entstand ja der Eindruck, halb Europa wolle in die Schweiz kommen.
538730	540490	1760	Aber die Realität ist natürlich eine andere.
541170	543450	2280	Die Wirtschaft hat sich schlussendlich die Leute geholt,
544230	545330	1100	die es hier nicht gab.
546070	547570	1500	Weil die Schweiz trotz allem ein kleines Land ist
548340	549530	1190	mit einer grossen ökonomischen Aktivität.
550300	552850	2550	Und das ist quasi die Normalität der Migration.
553560	556970	3410	Schellenbauer rechnet damit, dass der Rückgang anhaltend ist.
557670	562330	4660	Das Zuwanderungsniveau von 2009 mit über 100'000 Personen
562970	564130	1160	werde nicht mehr erreicht.
564870	567770	2900	Das dürfte sich auf die Diskussionen um die Masseneinwanderungs-Initaitive
568440	570090	1650	auswirken.
570740	572770	2030	Ich glaube, das wird die Diskussion sehr stark beeinflussen.
573520	575650	2130	Nachdem dieser aufgestaute Bedarf jetzt etwas abgetragen ist,
576380	578980	2600	kehren wir jetzt quasi in die Normalität zurück.
579610	581100	1490	Die Schweiz werde auch in Zukunft
581810	584660	2850	durchaus mit einer gewissen Zuwanderung umgehen können.
586390	588820	2430	In den nächsten Tagen entscheidet der Bundesrat darüber,
589630	591980	2350	wie viele Arbeitsbewilligungen man nächstens Jahr
592660	596820	4160	für gut qualifizierte Arbeitskräfte aus sog. Drittstaaten abgeben will.
597550	598700	1150	Bundespräsident Johann Schneider-Ammann
599550	602500	2950	hat bereits heute auf Radio SRF erklärt, dass der Bundesrat
603210	607060	3850	wieder zu den Kontingenten des Jahres 2014 zurückkehren wolle.
607750	610100	2350	Das würde eine Erhöhung um 2'000
610810	614260	3450	auf neu 8'500 Arbeitsbewilligungen bedeuten.
616510	619380	2870	Nach dem Absturz des Militärhelikopters gestern
620080	621500	1420	beim Gotthard-Hospiz ist klar,
622300	625100	2800	wer die beiden Piloten sind, die ums Leben kamen.
625770	628740	2970	Es sind keine Berufsmilitär, sondern Milizpiloten.
629470	631820	2350	Der eine ist ein 50-jähriger Stadtrat
632540	634660	2120	aus dem zürcherischen Illnau-Effretikon.
635350	637340	1990	Noch wird die genaue Unfallursache untersucht,
638020	641460	3440	aber die Luftwaffe geht bisher nicht von einem technischen Problem aus.
643860	646020	2160	Dieses Kabel hat der Super Puma gestern touchiert.
646730	650940	4210	Kabel, die tiefer als 25 m liegen, sind nicht meldepflichtig.
651670	653020	1350	Es könnte daher sein, dass die Piloten
653790	656300	2510	das Kabel beim Start auf ihrer Gefahrenkarte nicht gesehen haben -
657090	660020	2930	auch wenn es die Luftwaffe heute nicht direkt bestätigt:
660690	662060	1370	Das wäre möglich.
662780	664820	2040	Die Kabelgefahr ist eine grosse Gefahr
665520	666700	1180	für die Hubschrauber-Fliegerei.
667410	668700	1290	Spezialisten in Schutzanzügen
669420	671940	2520	bei den Räumungsarbeiten am Tag danach auf dem Gotthard.
672590	675500	2910	Noch steht allerdings nicht fest, ob das Touchieren des Kabels
676210	678700	2490	wirklich die alleinige Ursache des Absturzes ist.
679430	682460	3030	Klar ist dafür, dass die beiden tödlich verunglückten Piloten
683210	685700	2490	Milizpiloten waren.
686410	688260	1850	Die Luftwaffe betont jedoch:
688980	692740	3760	Die Ausbildung von Milizpiloten und Professionals,
693380	695300	1920	also von Berufsmilitärpiloten, ist genau dieselbe.
695960	697590	1630	Kein Unterschied.
698340	701030	2690	Laut der Luftwaffe gibt es keine Hinweise auf eine technische Ursache.
701700	703150	1450	Sie hat daher den Flugbetrieb
703940	706350	2410	mit den Super-Puma-Helikoptern wieder aufgenommen.
708730	712470	3740	Der Krieg in Syrien, er entzweit Russland und die USA erneut -
713280	714870	1590	nach einer kurzen Phase der zaghaften Annäherung.
715610	718390	2780	US-Aussenminister Kerry droht, die diplomatischen Beziehungen
719100	722110	3010	mit Russland im Zusammenhang mit dem Krieg in Syrien abzubrechen.
