start	end	duration	text
6470	8510	2040	.
8670	14550	5880	Liveuntertitelung. Fehler sind möglich.
14680	17510	2830	Guten Tag,
17730	20510	2780	"Willkommen zurück im ""Abstimmungsstudio""."
20680	26350	5670	Nach dieser längeren Pause bin ich gespannt,
26500	29710	3210	welche Resultaten aus den Kantonen und Gemeinden reingekommen sind.
29890	35070	5180	Pascale Menzi und Mario Grossniklaus:
35250	39230	3980	Nicht nur das Volk lehnt die eidg. Initiativen ab.
39340	42990	3650	Sie sind alle auch relativ früh am Ständemehr gescheitert.
43140	47350	4210	Man kann sich vorstellen,
47460	50710	3250	wie hochrot die Karten heute aussehen.
50830	56830	6000	Bitte beachten Sie die Grafik!
58280	61350	3070	Auch die Initiative zu Abschaffung der Pauschalbesteuerung
61390	66870	5480	scheitert am Ständemehr,
67070	72990	5920	nur der Kanton Schaffhausen sagt Ja zu dieser Vorlage.
73360	75950	2590	Die Gold-Initiative wurde bisher von allen aufgezählten
76070	80390	4320	Ständen abgelehnt.
80570	83110	2540	Wir schauen,
83240	86350	3110	wie die einzelnen Kantone entschieden haben.
86450	92390	5940	Bitte beachten Sie die Grafik!
97140	101670	4530	Bitte beachten Sie die Grafik!
101810	103390	1580	Diese Zahlen sind bemerkenswert,
103580	109509.99999999999	5930	die Zahlen aus dem Kanton Wallis.
111250	114710.00000000001	3460	Überall wurde mit 78 % mit Nein entschieden.
114810	120870	6060	Bitte beachten Sie die Grafik!
129139.99999999999	135030	5890	Bitte beachten Sie die Grafik!
149140	150630	1490	Wir haben einige Resultate
150740	155310	4570	zu kantonalen Vorlagen.
155400	157870	2470	So werden im Kanton Obwalden die Grundstücke künftig
158030	162390	4360	nach einer neuen Methode eingeschätzt.
162590	165270	2680	Der Steuerwert einer Liegenschaft wird nicht mehr vor Ort,
165329.99999999997	170670.00000000003	5340	sondern per Formular ermittelt.
170840	173070	2230	Dazu sagen die Stimmberechtigten deutlich Ja.
173150	176390	3240	Damit werden Ungleichheiten aus der Welt geschafft.
176570	180550	3980	Aber es wird eher mit weniger Steuereinnahmen gerechnet.
180720	183430	2710	Im Kanton Appenzell Ausserrhoden haben die Stimmbürger
183670	189470	5800	der Revision der politischen Rechte deutlich zugestimmt.
192140	195990	3850	Damit erhalten die 3 grossen Gemeinden mehr Sitze im Kantonsrat,
196220	200190	3970	8 kleinere Gemeinden verlieren Sitze.
200280	206270	5990	Das Kanton Wallis möchte sparen,
207070	210430	3360	den Lehrerinnen und Lehrern wird das gar nicht gefallen, denn sie müssen
210579.99999999997	213030	2450	eine Lohnkürzung von 5 % hinnehmen.
213210	216350	3140	Im Kanton Solothurn sind kleine Elektroheizungen künftig verboten.
216530	222430	5900	Dieser Vorlage wurde knapp angenommen.
227540	229990	2450	Sehr klar zugestimmt haben sich hingegen einem Gesetz
230170.00000000003	235230	5060	über den Finanz- und Lastenausgleich unter den Anwohner Gemeinden.
235360	238350	2990	Im Kanton Basel Stadt haben neu zugezogene Ausländerinnen und
238470	241830	3360	Ausländer
242030	244670	2640	Anspruch auf einen gratis Deutsch- Kurs.
244830	247470	2640	Der Gegenvorschlag wurde deutlich angenommen.
247590	252270	4680	In die Stadt St. Gallen:
252410	255150	2740	Dort stand auch noch eine Ersatzwahl in die Regierung an,
255230	258149.99999999997	2920	wo die SP triumphiert.
258339.99999999997	260910.00000000003	2570	Sie musste bei den letzten Wahlen einen Sitz hergeben,
260990	265710	4720	den sie jetzt zurück erobert hat.
265790	271670	5880	Peter Jans von der SP wurde gewählt.
271870	277230	5360	Die FDP verliert einen ihrer beiden Sitze in der Sankt Galler Regierung,
277400	281630	4230	chancenlos war der parteilose This Bürge.
281770	285070	3300	In einer Std. sind sie wieder aktuell informiert bei uns im Resultate
285210	285510	300	Studio.
285650	286870	1220	Zurück zu Urs Leuthard.
286950	290670	3720	Bei mir ist Claude Longchamp.
290830	293350	2520	Um 15:00 Uhr schauen wir uns die Stimmbeteiligung an,
293460	297990	4530	sie machen eine Hochrechnung.
298150	301310	3160	Sie dürfte heute bei etwa 50 % liegen, das haben sie vorausgesagt.
301470	303510	2040	Sie ist für einmal unter 50 %,
303680	309630	5950	die Stimmbeteiligung liegt bei 48 Prozent.
309830	313150	3320	Das liegt über dem langfristigen Mittel der letzten Jahre, ist aber im
313250	314070	820	Vergleich zu dem,
314230	320190	5960	was wir in den letzten 12 Monaten mehrfach erlebt haben -
327550	330790	3240	nämlich die Beteiligung von 54 %, 56 und 57 % - einen vergleichsweise
331020	333150	2130	tiefen Wert.
333290	336550	3260	In den 90er-Jahren wären wir froh gewesen über eine Stimmbeteiligung
336720	342710	5990	von 48 %, jetzt sprechen wir von einem eher tiefen Wert.
344850	350110	5260	1992 hatten wir eine Entscheidung über den EWR-Beitritt
350190	356170	5980	bei 72 %, das war der höchste Wert je.
356340.00000000006	362170	5830	Seit 2014 ist das nächste Jahr nach 1992,
364510	366050	1540	das zweitpolitischste Jahr je.
366140	368250	2110	Heute sind wir nicht ganz so hoch wie damals.
368370	374330	5960	Die Frage ist, darum.
376820	380810	3990	Interessant ist, dass bei der 2. SRG Umfrage, die bei 52 % lag,
380930	382650	1720	dort hat sich bereits abgezeichnet,
382790	385490	2700	dass die Beteiligungsabsicht rausgegangen ist,
385630	388930	3300	aber bei der anderen Seite, bei der SAP ist die Beteiligungsabsicht
389030	389730	700	runter gegangen.
389850	395890	6040	Offensichtlich ist jemand irritiert,
397230	400170	2940	dass die irritiert für einmal die Nein-Parole rausgelassen hat.
400320	401810	1490	Auch bei der Gold-Initiative.
401909.99999999994	404250	2340	Da hat eine Demobilisierung bei der rechten Seite
404370	408050	3680	und eine Mobilisierung auf der linken Seite stattgefunden.
408310	412490	4180	Eigentlich ist somit die Mitte nach links verschoben worden.
412580	415210	2630	Im Normalfall sprechen wir immer noch von einer Schluss
415340.00000000006	416690	1350	Mobilisierung.
416790	419770	2980	An müsste man jetzt von einer Schluss-Demobilisierung sprechen.
419909.99999999994	421250	1340	Normalerweise ja,
421390	423450	2060	und wir sprechen auch davon,
423710	426570	2860	die Schweiz sich nach rechts verschiebt.
426730	428850	2120	Weil die SVP am besten mobilisieren kann.
429060	432130	3070	Jetzt haben wir eine Demobilisierung.
432230	436130	3900	Das hat dazu geführt,
436280	439410	3130	dass wenn man nicht Ja sagen kann zur Ecopop,
439570	442210	2640	und der eigenen Partei nicht schaden möchte,
442360	444730	2370	dann bleibt man eben Zuhause und stimmt gar nicht.
444910	446490	1580	Das sind interessante Ansichten.
446710	450290	3580	Vielen Dank, wir diskutieren
450390	454250	3860	heute Nachmittag noch miteinander ausführlicher.
454420	457130	2710	Jetzt schauen wir, was unsere Aussenstellen machen,
457270	463290	6020	bzw. was es dort für Meinungen gibt.
464900	468010	3110	Zuerst geben wir zu Christoph Nufer nach Bern, zu den Gegnern der
468120	468890	770	Ecopop-Vorlage.
468990	470530	1540	Sie sind kräftig am feiern.
470630	474930	4300	Es ist genauso.
475030	479650	4620	Der Alkoholpegel steigt,
479740	485650	5910	es herrscht ausgelassene Stimmung hier.
485840	491770	5930	Man ist sehr froh darüber, dass es ein so deutliches Resultat gibt.
494220	495730	1510	Ich möchte mit Gerhard Pfister,
