start	end	duration	text
2740	8160	5420	.
8260	13440	5180	1:1-Untertitelung
13830	15680	1850	"Der ""Club"" - heute mit Mona Vetsch."
16420	19200	2780	Schönen guten Abend, meine Damen und Herren,
19270	21440	2170	"herzlich willkommen im ""Club"", schön sind Sie dabei."
21560	23000	1440	Eines vorneweg:
23250	25400	2150	Der Fall Carlos wird in dieser Sendung nicht neu diskutiert.
25500	27560	2060	Sehr wohl aber die Fragen,
27660	29160	1500	die seither wieder hitzig diskutiert werden.
29330	31920	2590	Wie gehen wir in der Schweiz mit den Jugendlichen um,
32030	34440	2410	die mit dem Gesetz in Konflikt kommen?
34630	36960	2330	Mit denjenigen, die prügeln, stehlen, Drogen nehmen.
37220	39000	1780	Kritiker sagen, dass unser Jugendstrafrecht
39140	41160	2020	die Jugendstraftäter verhätschelt.
41290	42480	1190	Die Praktiker sagen,
42740	45000	2260	dass wir eines der besten Jugendstrafgesetze der Welt haben.
45140	46840	1700	Meine Gäste heute haben alle
47060	49280	2220	eigene Erfahrungen mit dem Jugendstrafrecht.
49400	52480	3080	Und sie haben eine eigene Meinung, die wir heute Abend hören.
52640	54800	2160	Herzlich willkommen, Dominic Zinniker.
55020	58480	3460	Im Alter von 12 Jahren kam er bereits auf die schiefe Bahn,
58630	59840	1210	mit Drogen und Gewalt.
60010	63280	3270	Dann verbrachte er 6 Jahre im Heim und nutzte die Chance.
63420	66880	3460	Dort schloss er seine Lehre ab und ist jetzt in der Rekrutenschule.
66980	69360	2380	Christine Liechti ist bei uns,
69500	73039.99999999999	3540	sie kritisiert die Jugendstrafe aus der Opferperspektive.
73200	76480	3280	Ihr Sohn wurde vor 3 Jahren am Bahnhof von 2 Jungen
76590	78800	2210	brutal zusammengeschlagen und verletzt.
78920	81000	2080	Er brauchte zahlreiche Operationen,
81140	83160	2020	und der Fall ist noch nicht abgeschlossen.
83280	85160	1880	Pascal Brenner ist bei uns,
85260	88400	3140	er führt Massnahmen für straffällige Jugendliche durch.
88530	90760	2230	Auch Dominic Zinniker war bei ihm.
90880	92560	1680	Er ist Leiter des Erlenhofs,
92800	96200	3400	eine stationäre Jugendeinrichtung im Kanton Basel-Land.
96360	99800	3440	Beat Burkhardt ist Leiter der Basler Jugendanwaltschaft.
100020.00000000001	104400	4380	Zu ihm kommen die Jungen - und er bestimmt mit seinen Leuten,
104570	106759.99999999999	2190	welche Massnahmen am besten geeignet sind,
106970	108360	1390	um sie wieder auf den rechten Weg zu bringen.
108509.99999999999	111039.99999999999	2530	Auch die Politik beschäftigt sich selbstverständlich
111250	112680	1430	mit dem Jugendstrafrecht.
112830	114400	1570	Er ist Mitglied der Rechtskommission,
114539.99999999999	117360	2820	Luzi Stamm ist Rechtsanwalt und Nationalrat der SVP.
117479.99999999999	119160	1680	Er findet z.B., man müsste früher
119330	122320	2990	konsequent den Tarif durchgeben können.
122410	125280	2870	Ich begrüsse Sie ganz herzlich in dieser Sendung.
125450	129520.00000000001	4070	Am letzten Donnerstag zeigte das Schweizer Fernsehen
129620	131840	2220	"den DOK-Film zum Thema ""Zwischen Recht und Gerechtigkeit""."
131960	134720	2760	Darin sind 2 unserer Gäste zu sehen,
134940	137760	2820	einerseits Pascal Brenner und andererseits Dominic Zinniker.
138020	142320	4300	Wir schauen uns kurz an, was Sie da u.a. sagten.
143440	144680	1240	Was würden Sie sagen,
144880	148240	3360	hat Ihnen am meisten geholfen in dieser Zeit?
151140	154760	3620	Am meisten die Unterstützung, also die Leute, die hier waren,
154890	157280	2390	die immer wieder sagten,
157380	159840	2460	ich solle den Kopf nicht hängen lassen, es gehe weiter.
159940	165440	5500	C. wuchs in einem gewalttätigen Elternhaus auf.
165600	169400	3800	Die Gewalt, die er dort erfuhr, gab er auf der Strasse weiter.
169600	174680	5080	Selbst zuzuschlagen sei damals wie eine Erlösung gewesen, sagt er.
174829.99999999997	177840	3010	Die Behörden durchbrachen diesen Teufelskreis
178060	182080	4020	durch eine Platzierung im Heim, wo sich C. zusehends stabilisierte.
184020	186600	2580	Wo waren Sie vor 6 Jahren?
186710	188560	1850	Wenn ich es krass formuliere:
188690	193320	4630	Ich war ein mit Drogen vollgepumpter, aggressiver Typ,
193500	198040	4540	der unkontrolliert durch die Gegend lief.
198230	201160	2930	Wie eine Bombe, die jederzeit explodieren kann.
201420.00000000003	204760	3340	Dominic Zinniker, heute sind Sie ein anderer Mensch.
204980	207400	2420	Wie das passierte, erzählen Sie uns noch im Laufe der Sendung.
207620	209440	1820	Der Film wurde letzte Woche ausgestrahlt.
209620	211040	1420	Jetzt sind Sie in der Rekrutenschule.
211240	214400	3160	Erhielten Sie Reaktionen von Ihren Kameraden in der RS?
215540	217880	2340	Dominic Zinniker: Alle meine Kameraden haben es
218040	220480	2440	am Wochenende geschaut - sie hatten es aufgezeichnet,
220640	223200	2560	das kann man ja heutzutage mit dem digitalen Fernsehen alles.
223380	227920.00000000003	4540	Ich habe eigentlich nur positive Rückmeldungen erhalten.
228030	229400	1370	Was haben sie gesagt?
229570	232440	2870	Es sei super, dass ich es geschafft hätte.
232660	234960	2300	Und es gab auch Leute, die gar nichts davon wussten.
235060	237440	2380	Denn es sind etwa 100 Kameraden,
237700	240160	2460	und man erzählt nicht jedem seine Lebensgeschichte.
240320	245800	5480	Ein paar sind zu mir gekommen und sagten, sie hätten nie gedacht,
245890	247400	1510	dass ich dazu fähig wäre.
247560	249080	1520	Also, dass Sie diese Vergangenheit hatten?
249220	250080	860	Ja.
250330	253720	3390	Legen Sie das jeweils offen, wenn Sie Leute kennenlernen?
253820	258519.99999999997	4700	Nicht direkt, es braucht schon eine Freundschaft.
258690	262640	3950	Ich lerne nicht jemanden neu kennen und sage sofort, wie es war.
262810	268520	5710	Denn dann kommt eher eine abstossende Reaktion von der Person.
268610	270040	1430	Diese denkt sich dann,
270250	272400	2150	dass sie lieber nichts mit mir zu tun haben will.
272570	274520	1950	Auch wenn Sie jetzt an einem anderen Punkt stehen im Leben -
274690	278360	3670	was war der Grund dafür, in dem Film mitzumachen?
278500	280400	1900	Ich wollte zeigen,
280620	284159.99999999994	3540	dass das pädagogische Werk der Jugend etwas bringt,
284260	287600	3340	mir hat es nämlich sehr viel gebracht.
287780	292840.00000000006	5060	Ich danke hier allen Leuten, die dabei mitgeholfen haben.
292970	298520	5550	Und auch immer um zu zeigen, dass es Jugendliche gibt, die es schaffen,
298680	302120	3440	mit dem System etwas zu erreichen.
302290	307120	4830	Und dass man es schaffen kann, wieder hochzukommen,
307200	309960	2760	obwohl man ganz weit unten war.
310190	313040	2850	War es Ihnen auch wichtig, ein Bild zu korrigieren,
313150	315560	2410	das vielleicht Ihrer Meinung nach
315780	318040	2260	in letzter Zeit in eine falsche Richtung ging?
318170	320680	2510	Das auch.
320890	326880	5990	Denn es ist etwas, das den Jugendlichen wirklich hilft.
327700	330280	2580	Sie werden uns noch erzählen, wie es Ihnen geholfen hat,
330370	332159.99999999994	1790	aber Sie werden uns auch von den schwierigen Momenten
332280	333880	1600	in diesem System berichten.
334120	335920	1800	Christine Liechti, ich möchte zu Ihnen kommen.
336050	339560	3510	Sie, Ihr Mann und Ihr Sohn haben den Film auch gesehen.
339710	341720	2010	Bei diesem Thema, das ist klar,
341900	345680	3780	sind bei Ihnen wieder Gefühle und Gedanken hochgekommen,
345780	347880	2100	vielleicht auch Unverständnis.
348100	355000	6900	Was für Gefühle waren das dem Jugendstrafrecht gegenüber?
355159.99999999994	357880	2720	Christine Liechti: Nach dem Film? Ja.
358090.00000000006	362880	4790	Also da spreche ich jetzt nur für mich, denn wir sind nicht alle
